turbine_idx,P_rated_kW,Longitude,Latitude,Method,Unit,Input,Assembly,Maintenance,Transport,Disposal,Total
20977,3000,4.26932,51.26811,EF v3.1 - acidification - accumulated exceedance (AE),mol H+-Eq,9.845699571400319e-05,1.0290436065853233e-05,9.691868535943929e-09,1.5095570598824487e-05,-6.576302591457996e-08,0.00012378693122130227
20977,3000,4.26932,51.26811,EF v3.1 - climate change - global warming potential (GWP100),kg CO2-Eq,0.01886403951553348,0.0023956161839282803,2.7749005252183113e-06,0.002413600322169036,-4.950393032787955e-05,0.023626526991828135
20977,3000,4.26932,51.26811,EF v3.1 - climate change: biogenic - global warming potential (GWP100),kg CO2-Eq,2.5513697926365492e-05,5.269075015026843e-06,1.3265307152935994e-09,9.237754227218478e-07,-6.912795042651618e-09,3.170096209978683e-05
20977,3000,4.26932,51.26811,EF v3.1 - climate change: fossil - global warming potential (GWP100),kg CO2-Eq,0.018785570778539262,0.0023869947491750774,2.7722983736976062e-06,0.002409277471070877,-4.949078519232161e-05,0.02353512451196659
20977,3000,4.26932,51.26811,EF v3.1 - climate change: land use and land use change - global warming potential (GWP100),kg CO2-Eq,5.295503906784724e-05,3.352359738176575e-06,1.2756208054112795e-09,3.399075675436797e-06,-6.23234051527905e-09,5.970151776175075e-05
20977,3000,4.26932,51.26811,EF v3.1 - ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe),CTUe,0.09641858757699938,0.012873023347293447,2.2576741292404565e-05,0.014553824557962081,-0.00027284793377885074,0.12359516428976847
20977,3000,4.26932,51.26811,"EF v3.1 - ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)",CTUe,0.08783368867523444,0.012371853678026708,1.908497525987737e-05,0.01376994888158399,-0.0002668770619983269,0.1137276991481067
20977,3000,4.26932,51.26811,"EF v3.1 - ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)",CTUe,0.00858489890176492,0.0005011696692667409,3.491766032527191e-06,0.0007838756763780943,-5.970871780523879e-06,0.00986746514166176
20977,3000,4.26932,51.26811,EF v3.1 - energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels,"MJ, net calorific value",0.2083571074153615,0.048431328494461516,3.66909504820884e-05,0.032808737859525594,-0.00019340878851070302,0.28944045593132
20977,3000,4.26932,51.26811,EF v3.1 - eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P),kg P-Eq,7.344572260894458e-06,8.489602999036886e-07,3.661873185620836e-10,2.058906965969155e-07,-2.0535608765147207e-09,8.39773588383711e-06
