Unnamed: 0,P_rated_kW,Hub_height_m,Diameter_m,Longitude,Latitude,ISO_code,Offshore,Commissioning_date,Lifetime_production_kWh,Capacity_factors,turbine_age,Cluster,park_size,Input,Assembly,Transport,Maintenance,Disposal,Total
75947,6150,95,126,2.92817,51.52083,BE,1,2013-07-01,429681906.274594,0.4043227814237,11,5214,200,0.008061842497376081,0.0010007465523758584,0.0010673704134393372,,-1.7840079285739583e-05,0.010112119383905537
75948,6150,95,126,2.90667,51.53383,BE,1,2013-07-01,429681906.274594,0.4043227814237,11,5214,200,0.008080036201846467,0.0010021349788591786,0.0010673568743199623,,-1.7899290052592227e-05,0.010131628764973016
75949,6150,95,126,2.9605,51.53433,BE,1,2013-07-01,429681906.274594,0.4043227814237,11,5214,200,0.008033453630253016,0.00099859501438212,0.0010669846795853205,,-1.752912478858653e-05,0.01008150419943187
75950,6150,95,126,2.9785,51.54483,BE,1,2013-07-01,429681906.274594,0.4043227814237,11,5214,200,0.008025018053947822,0.000997942283735929,0.0010667332833791483,,-1.763326551152317e-05,0.010072060355551376
75951,6150,95,126,2.9355,51.54533,BE,1,2013-07-01,429681906.274594,0.4043227814237,11,5214,200,0.008087619392721828,0.00100273423839238,0.0010670194744041208,,-1.762275044563592e-05,0.010139750355072693
75952,6150,95,126,2.885,51.54667,BE,1,2013-07-01,429681906.274594,0.4043227814237,11,5214,200,0.008132871709686348,0.0010061907544749935,0.0010673477735867818,,-1.7723865576376792e-05,0.010188686372171745
75953,6150,95,126,2.90833,51.55733,BE,1,2013-07-01,429681906.274594,0.4043227814237,11,5214,200,0.008121777270855121,0.0010053712303412846,0.0010670581770576737,,-1.7290239091890108e-05,0.01017691643916219
75954,6150,95,126,2.9535,51.55883,BE,1,2013-07-01,429681906.274594,0.4043227814237,11,5214,200,0.008122812934069685,0.001005436198679347,0.0010667314984934928,,-1.7499706753070184e-05,0.010177480924489455
75955,6150,95,126,3.01617,51.564,BE,1,2013-07-01,429681906.274594,0.4043227814237,11,5214,200,0.008027688129693835,0.000998109780641563,0.0010662419596580023,,-1.8173300644398473e-05,0.010073866569349003
75956,6150,95,126,3.01,51.57733,BE,1,2013-07-01,429681906.274594,0.4043227814237,11,5214,200,0.008064014861614751,0.001000882827269344,0.0010661203710611155,,-1.827944997102221e-05,0.010112738609974189
75957,6150,95,126,2.9908,51.57837,BE,1,2013-07-01,429681906.274594,0.4043227814237,11,5214,200,0.00811616190885037,0.0010048954149639781,0.0010662383654448057,,-1.796478116270965e-05,0.010169330908096444
75958,6150,95,126,3.0035,51.581,BE,1,2013-07-01,429681906.274594,0.4043227814237,11,5214,200,0.008117220994235995,0.0010049618526016219,0.0010661197076301519,,-1.8178986065999362e-05,0.01017012356840177
75959,6150,95,126,2.97295,51.54799,BE,1,2013-07-01,429681906.274594,0.4043227814237,11,5214,200,0.008025543021087591,0.000997975215525075,0.0010667321062413485,,-1.773944253646504e-05,0.01007251090031755
75960,6150,95,126,2.96686,51.55164,BE,1,2013-07-01,429681906.274594,0.4043227814237,11,5214,200,0.008052645777967939,0.0010000460743522092,0.0010667286691954834,,-1.7790275306039665e-05,0.010101630246209591
75961,6150,95,126,2.96005,51.55516,BE,1,2013-07-01,429681906.274594,0.4043227814237,11,5214,200,0.008087727012724508,0.0010027409895182458,0.0010667318318074363,,-1.764451708747515e-05,0.010139555316962715
75962,6150,95,126,2.96298,51.56383,BE,1,2013-07-01,429681906.274594,0.4043227814237,11,5214,200,0.008114199342046635,0.001004772300903557,0.0010666057180940436,,-1.7567842976138444e-05,0.010168009518068098
75963,6150,95,126,2.97158,51.55933,BE,1,2013-07-01,429681906.274594,0.4043227814237,11,5214,200,0.008079280187024545,0.0010020875531846544,0.0010666022530845557,,-1.774638256844234e-05,0.010130223610725313
75964,6150,95,126,2.97955,51.55457,BE,1,2013-07-01,429681906.274594,0.4043227814237,11,5214,200,0.008044144765869041,0.0009993892388438326,0.0010666064418051971,,-1.7881181337937542e-05,0.010092259265180134
75965,6150,95,126,2.98763,51.54981,BE,1,2013-07-01,429681906.274594,0.4043227814237,11,5214,200,0.008132950196815751,0.0010061956780623963,0.0010666100638968285,,-1.7739739960247248e-05,0.010188016198814728
75966,6150,95,126,2.9956,51.55549,BE,1,2013-07-01,429681906.274594,0.4043227814237,11,5214,200,0.007999435132223268,0.0009959667659065364,0.0010664861358903207,,-1.7889826411035928e-05,0.01004399820760909
36234,6000,100,151,2.84,51.69,BE,1,2013-12-01,357408000.0,0.34,11,5214,200,0.024963010342703894,0.004028565180504487,0.001882123103654967,,-2.0938906296161814e-05,0.030852759720567186
76000,3000,72,90,2.8365,51.68833,BE,1,2010-12-01,205470327.454653,0.396354798330736,14,5214,200,0.0218450724560679,0.003622151655334169,0.0008859545234369515,,-2.072884510547324e-05,0.026332449789733547
76053,3000,72,90,2.83328,51.68314,BE,1,2010-12-01,205470327.454653,0.396354798330736,14,5214,200,0.021845437434473848,0.0036221745508470435,0.0008860235686507303,,-2.0802663671201185e-05,0.02633283289030042
76094,3300,72,112,2.8015,51.62133,BE,1,2017-05-01,196574400.0,0.34,7,5214,200,0.026284754760174854,0.004279039038659371,0.0013946423059939188,,-2.4977189247987945e-05,0.03193345891558016
76095,3300,72,112,2.83323,51.64753,BE,1,2017-05-01,196574400.0,0.34,7,5214,200,0.026642961519289746,0.00434625442685331,0.0013940340069531906,,-2.4832978025028635e-05,0.03235841697507122
76096,3300,72,112,2.86617,51.67217,BE,1,2017-05-01,196574400.0,0.34,7,5214,200,0.025927012783452195,0.004211852806796527,0.0013934401166707045,,-2.5215404853152337e-05,0.031507090302066276
76099,3300,72,112,2.7675,51.649,BE,1,2017-05-01,196574400.0,0.34,7,5214,200,0.02592945018228864,0.004212005707613479,0.0013944973880336859,,-2.570838000805936e-05,0.031510244897927746
76100,3300,72,112,2.76633,51.653,BE,1,2017-05-01,196574400.0,0.34,7,5214,200,0.026107750220492977,0.004245563007188492,0.0013944492599691782,,-2.5473794903250887e-05,0.031722288692747395
76104,3300,72,112,2.78001,51.67452,BE,1,2017-05-01,196574400.0,0.34,7,5214,200,0.025923522483491872,0.004211633856287738,0.001394043302525724,,-2.4509475590409985e-05,0.03150469016671492
76105,3300,72,112,2.7733,51.66369,BE,1,2017-05-01,196574400.0,0.34,7,5214,200,0.026105046494826957,0.004245393399384887,0.0013942461671888665,,-2.492695391887321e-05,0.031719759107481836
76106,3300,72,112,2.77042,51.65807,BE,1,2017-05-01,196574400.0,0.34,7,5214,200,0.026285907664070823,0.00427911136163948,0.0013943470966385353,,-2.521036937764543e-05,0.03193415575297119
76109,3300,72,112,2.80492,51.62973,BE,1,2017-05-01,196574400.0,0.34,7,5214,200,0.02610481839757261,0.004245379090583222,0.0013944967051506114,,-2.4880820197295866e-05,0.03171981337310915
76110,3300,72,112,2.80875,51.62609,BE,1,2017-05-01,196574400.0,0.34,7,5214,200,0.026642364318218818,0.0043462169637470405,0.001394520819483269,,-2.471219135439913e-05,0.03235838991009473
76111,3300,72,112,2.8139,51.63241,BE,1,2017-05-01,196574400.0,0.34,7,5214,200,0.026641911643245923,0.004346188566928212,0.0013943923958934974,,-2.462063575358812e-05,0.03235787197031404
76112,3300,72,112,2.81056,51.63422,BE,1,2017-05-01,196574400.0,0.34,7,5214,200,0.02628374652133444,0.004278975790683669,0.0013943909721904667,,-2.4773268292949778e-05,0.031932340015915626
76114,3300,72,112,2.8205,51.63716,BE,1,2017-05-01,196574400.0,0.34,7,5214,200,0.026641640369019177,0.004346171549585679,0.001394275898996995,,-2.4565769290229835e-05,0.032357522048311625
76115,3300,72,112,2.81674,51.63938,BE,1,2017-05-01,196574400.0,0.34,7,5214,200,0.02682202099462288,0.004379859366788071,0.0013942717150581152,,-2.475199258171539e-05,0.03257140008388735
76117,3300,72,112,2.8145,51.64843,BE,1,2017-05-01,196574400.0,0.34,7,5214,200,0.025926893279157953,0.004211845310155457,0.0013941588374716738,,-2.519123455853912e-05,0.031507706192226544
76118,3300,72,112,2.82089,51.64552,BE,1,2017-05-01,196574400.0,0.34,7,5214,200,0.02664339244746556,0.004346281459470684,0.0013941534072411405,,-2.492013523584294e-05,0.03235890717894154
76119,3300,72,112,2.82498,51.64285,BE,1,2017-05-01,196574400.0,0.34,7,5214,200,0.02664235447101276,0.004346216346020541,0.0013941615445301559,,-2.4710199711562895e-05,0.03235802216185189
