Unnamed: 0,P_rated_kW,Hub_height_m,Diameter_m,Longitude,Latitude,ISO_code,Offshore,Commissioning_date,Lifetime_production_kWh,Capacity_factors,turbine_age,Cluster,park_size,Input,Assembly,Transport,Maintenance,Disposal,Total
5686,2000,80,90,32.63026,34.73933,CY,0,2010-10-01,84096000.0,0.24,14,186,33,0.01575279697250572,0.003568718927026316,0.002391197771545107,4.250324293083982e-06,-5.280888053858195e-05,0.021664155114831645
5687,2000,80,90,32.6147,34.73071,CY,0,2010-10-01,84096000.0,0.24,14,186,33,0.015725293354314433,0.0035670094121297412,0.0023912447550803223,4.250324293083982e-06,-4.7763351205667145e-05,0.021640034494611913
5688,2000,80,90,32.64154,34.74889,CY,0,2010-10-01,84096000.0,0.24,14,186,33,0.01577756564016314,0.0035702584483370834,0.002391043701996621,4.250324293083982e-06,-5.735268413320401e-05,0.021685765430656725
5689,2000,80,90,32.66141,34.74234,CY,0,2010-10-01,84096000.0,0.24,14,186,33,0.015793020465124628,0.0035712190584397934,0.00239162174470545,4.250324293083982e-06,-6.018786647670133e-05,0.021699923726086253
5690,2000,80,90,32.65105,34.74702,CY,0,2010-10-01,84096000.0,0.24,14,186,33,0.015785618791105956,0.003570758999988338,0.0023912744211307914,4.250324293083982e-06,-5.8830031914202486e-05,0.021693072504603967
5691,2000,80,90,32.64402,34.74836,CY,0,2010-10-01,84096000.0,0.24,14,186,33,0.015779475457183518,0.003570377154924099,0.0023911054014260267,4.250324293083982e-06,-5.770303941118135e-05,0.021687505298415545
5692,2000,80,90,32.61863,34.73311,CY,0,2010-10-01,84096000.0,0.24,14,186,33,0.0157324705977697,0.003567455520875062,0.0023912247642151174,4.250324293083982e-06,-4.908001405821067e-05,0.02164632119309475
5693,2000,80,90,32.64433,34.74602,CY,0,2010-10-01,84096000.0,0.24,14,186,33,0.015776759522316653,0.0035702083432760925,0.002391195659607965,4.250324293083982e-06,-5.720480209048785e-05,0.021685209047403307
5694,2000,80,90,32.6536,34.73502,CY,0,2010-10-01,84096000.0,0.24,14,186,33,0.015775643821239315,0.003570138995759754,0.0023917537334278705,4.250324293083982e-06,-5.7000127110150174e-05,0.021684786747609874
5695,2000,80,90,32.65954,34.73684,CY,0,2010-10-01,84096000.0,0.24,14,186,33,0.015785203276862593,0.003570733173284962,0.002391789373100906,4.250324293083982e-06,-5.8753805968635816e-05,0.02169322234157291
5696,2000,80,90,32.6615,34.74084,CY,0,2010-10-01,84096000.0,0.24,14,186,33,0.015791624170666138,0.0035711322703612146,0.002391677735932027,4.250324293083982e-06,-5.993171673673943e-05,0.021698752784515725
5697,2000,80,90,32.6557,34.73151,CY,0,2010-10-01,84096000.0,0.24,14,186,33,0.015775287788298713,0.003570116866176244,0.002391917128490241,4.250324293083982e-06,-5.693481298919433e-05,0.021684637294269088
5698,2000,80,90,32.65313,34.72345,CY,0,2010-10-01,84096000.0,0.24,14,186,33,0.015765599115545887,0.0035695146570311116,0.0023921658027275285,4.250324293083982e-06,-5.515742929256889e-05,0.02167637247030504
5699,2000,80,90,32.66006,34.73907,CY,0,2010-10-01,84096000.0,0.24,14,186,33,0.015788011548339444,0.003570907724207314,0.0023917173240876085,4.250324293083982e-06,-5.926898240879403e-05,0.021695617938518656
5700,2000,80,90,32.60992,34.72806,CY,0,2010-10-01,84096000.0,0.24,14,186,33,0.015717105381374042,0.003566500480482384,0.0023912593228544747,4.250324293083982e-06,-4.626127037541036e-05,0.021632854238628575
5701,2000,80,90,32.64065,34.7506,CY,0,2010-10-01,84096000.0,0.24,14,186,33,0.015779014824627402,0.003570348523846869,0.0023909663863613743,4.250324293083982e-06,-5.761853652660032e-05,0.02168696152260213
5702,2000,80,90,32.63482,34.74203,CY,0,2010-10-01,84096000.0,0.24,14,186,33,0.015761226586689204,0.003569242878126815,0.0023911777505978356,4.250324293083982e-06,-5.435529037208375e-05,0.021671542249334853
5703,2000,80,90,32.63653,34.74308,CY,0,2010-10-01,84096000.0,0.24,14,186,33,0.01576444556512957,0.003569442956951256,0.0023911688884580944,4.250324293083982e-06,-5.494581086396648e-05,0.021674361923968037
5704,2000,80,90,32.65468,34.74628,CY,0,2010-10-01,84096000.0,0.24,14,186,33,0.015789001799181485,0.0035709692742388064,0.0023913634508364043,4.250324293083982e-06,-5.945064358645113e-05,0.02169613420496333
5705,2000,80,90,32.65308,34.72153,CY,0,2010-10-01,84096000.0,0.24,14,186,33,0.015764324618724287,0.00356943543940647,0.002392234671637138,4.250324293083982e-06,-5.492362328736015e-05,0.02167532143077362
5706,2000,80,90,32.64343,34.74394,CY,0,2010-10-01,84096000.0,0.24,14,186,33,0.015773106671114367,0.0035699812966561934,0.00239125576689163,4.250324293083982e-06,-5.653468778909875e-05,0.021682059371166178
5707,2000,80,90,32.63042,34.70948,CY,0,2010-10-01,84096000.0,0.24,14,186,33,0.015725068352704766,0.003566995426929656,0.002392284766732554,4.250324293083982e-06,-4.772207473747228e-05,0.021640876795922588
5708,2000,80,90,32.63052,34.71108,CY,0,2010-10-01,84096000.0,0.24,14,186,33,0.015725764458287078,0.0035670386940683378,0.0023922283449547845,4.250324293083982e-06,-4.784977506802216e-05,0.021641432046535264
5709,2000,80,90,32.6172,34.71212,CY,0,2010-10-01,84096000.0,0.24,14,186,33,0.01570663185718793,0.0035658494881114426,0.002391962888062586,4.250324293083982e-06,-4.43399059522836e-05,0.02162435465170276
5710,2000,80,90,32.63019,34.71289,CY,0,2010-10-01,84096000.0,0.24,14,186,33,0.015726058766440294,0.003567056987085955,0.0023921569437300146,4.250324293083982e-06,-4.7903765797883404e-05,0.021641619255751466
5711,2000,80,90,32.61849,34.71338,CY,0,2010-10-01,84096000.0,0.24,14,186,33,0.015709325442481402,0.0035660169105993624,0.002391939149353138,4.250324293083982e-06,-4.483404325139681e-05,0.02162669778347559
5712,2000,80,90,32.63527,34.71556,CY,0,2010-10-01,84096000.0,0.24,14,186,33,0.015734925121295297,0.0035676080842397006,0.0023921468095656575,4.250324293083982e-06,-4.953029555792415e-05,0.021649400043835816
5713,2000,80,90,32.61614,34.71677,CY,0,2010-10-01,84096000.0,0.24,14,186,33,0.015708967885579534,0.0035659946862925157,0.0023917758136521574,4.250324293083982e-06,-4.4768449560269025e-05,0.021626220260257022
5714,2000,80,90,32.62824,34.71863,CY,0,2010-10-01,84096000.0,0.24,14,186,33,0.01572694503449963,0.0035671120739635877,0.0023919150732390894,4.250324293083982e-06,-4.8066351369684376e-05,0.021642156154625707
5715,2000,80,90,32.625,34.72319,CY,0,2010-10-01,84096000.0,0.24,14,186,33,0.015726860164308517,0.003567106798771976,0.002391694022929814,4.250324293083982e-06,-4.8050781962204775e-05,0.021641860528341186
5716,2000,80,90,32.61874,34.72431,CY,0,2010-10-01,84096000.0,0.24,14,186,33,0.015720580256771925,0.003566716464838156,0.0023915463134729,4.250324293083982e-06,-4.6898735076465345e-05,0.0216361946242996
5717,2000,80,90,32.63998,34.71059,CY,0,2010-10-01,84096000.0,0.24,14,186,33,0.01573986871211374,0.0035679153580713816,0.0023924079057898143,4.250324293083982e-06,-5.043719559961743e-05,0.021654005104668403
5718,2000,80,90,32.6456,34.72636,CY,0,2010-10-01,84096000.0,0.24,14,186,33,0.015757156240298224,0.0035689898816759044,0.002391931254291496,4.250324293083982e-06,-5.360858672138577e-05,0.02166871911383732
5719,2000,80,90,33.12303,34.89127,CY,0,2010-10-01,84096000.0,0.24,14,187,3,0.015995729710544193,0.004002298959622505,0.002394227086480401,4.250324293083982e-06,-9.737480808939411e-05,0.02229913127285079
5720,2000,80,90,33.11994,34.89165,CY,0,2010-10-01,84096000.0,0.24,14,187,3,0.015997990161355946,0.004002439460203511,0.0023941593757980948,4.250324293083982e-06,-9.778948701625428e-05,0.022301049834634382
5721,2000,80,90,33.12506,34.89262,CY,0,2010-10-01,84096000.0,0.24,14,187,3,0.015997085913876385,0.004002383255797031,0.002394213971739316,4.250324293083982e-06,-9.762360312597372e-05,0.02230030986257984
5722,2000,80,90,33.51939,34.85821,CY,0,2010-10-01,84096000.0,0.24,14,188,20,0.015773568000856254,0.0035972111909117403,0.0024023913701507003,4.250324293083982e-06,-5.661931857217011e-05,0.02172080156763961
5723,2000,80,90,33.51738,34.86069,CY,0,2010-10-01,84096000.0,0.24,14,188,20,0.015771750468863387,0.0035970982203929087,0.00240226682556566,4.250324293083982e-06,-5.628589295086665e-05,0.021719079946164174
5724,2000,80,90,33.51564,34.86338,CY,0,2010-10-01,84096000.0,0.24,14,188,20,0.015769626982547552,0.0035969662329771324,0.0024021395354817425,4.250324293083982e-06,-5.589634011385218e-05,0.02171708673518566
5725,2000,80,90,33.51298,34.86519,CY,0,2010-10-01,84096000.0,0.24,14,188,20,0.01576992402746304,0.003596984696100944,0.0024020275067400186,4.250324293083982e-06,-5.5950832901814295e-05,0.02171723572169527
5726,2000,80,90,33.51455,34.87078,CY,0,2010-10-01,84096000.0,0.24,14,188,20,0.015760966037889748,0.0035964279032996336,0.0024018548735513542,4.250324293083982e-06,-5.430749278410155e-05,0.02170919164624972
15260,1500,85,80,33.52935,34.88522,CY,0,2012-05-01,63072000.0,0.24,12,188,20,0.016688405783955675,0.003914054985315721,0.0026651259548311807,5.6670990574453096e-06,-5.593166296704601e-05,0.023217322160192976
15261,1500,85,80,33.49338,34.95475,CY,0,2012-05-01,63072000.0,0.24,12,-1,100,0.016764470024235752,0.0038635434339477394,0.002661716402792179,5.6670990574453096e-06,-6.98856217825644e-05,0.023225511338250553
15262,1500,85,80,33.52563,34.88169,CY,0,2012-05-01,63072000.0,0.24,12,188,20,0.01669695495450137,0.003914586367561489,0.002665192804263506,5.6670990574453096e-06,-5.750000537422939e-05,0.023224901220009583
15263,1500,85,80,33.53294,34.88622,CY,0,2012-05-01,63072000.0,0.24,12,188,20,0.01668297931358621,0.003913717697622592,0.00266515564309954,5.6670990574453096e-06,-5.493617883717917e-05,0.023212583574528607
15264,1500,85,80,33.52436,34.86213,CY,0,2012-05-01,63072000.0,0.24,12,188,20,0.016725326486902378,0.003916349828533819,0.0026659341430082706,5.6670990574453096e-06,-6.270475327152121e-05,0.02325057280423039
15265,1500,85,80,33.52093,34.86723,CY,0,2012-05-01,63072000.0,0.24,12,188,20,0.016721011960379756,0.0039160816548226085,0.002665668773381929,5.6670990574453096e-06,-6.19132548593447e-05,0.023246516232782396
15266,1500,85,80,33.51823,34.86824,CY,0,2012-05-01,63072000.0,0.24,12,188,20,0.016722369382921338,0.003916166026778312,0.002665577515603438,5.6670990574453096e-06,-6.216227355946724e-05,0.023247617750801065
