turbine_idx,P_rated_kW,Longitude,Latitude,Method,Unit,Input,Assembly,Maintenance,Transport,Disposal,Total
5583,2000,32.63026,34.73933,EF v3.1 - acidification - accumulated exceedance (AE),mol H+-Eq,8.719445034683658e-05,2.5818211717597222e-05,1.4845067024684758e-08,1.224884721693807e-05,-6.474600048249427e-08,0.00012521160834791405
5583,2000,32.63026,34.73933,EF v3.1 - climate change - global warming potential (GWP100),kg CO2-Eq,0.01575279697250572,0.003568718927026316,4.250324293083982e-06,0.002391197771545107,-5.280888053858195e-05,0.021664155114831645
5583,2000,32.63026,34.73933,EF v3.1 - climate change: biogenic - global warming potential (GWP100),kg CO2-Eq,2.3124650048092415e-05,4.249998866148961e-06,2.031851474852736e-09,8.582604203618428e-07,-6.670682021689495e-09,2.822827050405638e-05
5583,2000,32.63026,34.73933,EF v3.1 - climate change: fossil - global warming potential (GWP100),kg CO2-Eq,0.015677365009464716,0.0035625474030217858,4.246338569011272e-06,0.0023876311793547323,-5.27960939684807e-05,0.021578993836441764
5583,2000,32.63026,34.73933,EF v3.1 - climate change: land use and land use change - global warming potential (GWP100),kg CO2-Eq,5.2307312992915994e-05,1.9215251383823495e-06,1.95387259785695e-09,2.7083317700125935e-06,-6.11588807955371e-09,5.693300788582924e-05
5583,2000,32.63026,34.73933,EF v3.1 - ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe),CTUe,0.08348724324941101,0.023798606447367577,3.458086915250052e-05,0.015284230931863695,-0.000258657015594085,0.12234600448220069
5583,2000,32.63026,34.73933,"EF v3.1 - ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)",CTUe,0.0762277913091931,0.02299597548162329,2.9232519595844534e-05,0.014538088184175745,-0.0002528351532804074,0.11353825234130759
5583,2000,32.63026,34.73933,"EF v3.1 - ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)",CTUe,0.007259451940217912,0.0008026309657442799,5.348349556655977e-06,0.0007461427476879503,-5.821862313677594e-06,0.00880775214089312
5583,2000,32.63026,34.73933,EF v3.1 - energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels,"MJ, net calorific value",0.18184713107081357,0.04427084096901673,5.619964995253036e-05,0.03371191804939114,-0.000190963810440805,0.2596951259287332
5583,2000,32.63026,34.73933,EF v3.1 - eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P),kg P-Eq,6.244654502919224e-06,6.664333450773176e-07,5.60890324449111e-10,1.9570618594038442e-07,-2.503839172549818e-09,7.104851085088826e-06
