turbine_idx,P_rated_kW,Longitude,Latitude,Method,Unit,Input,Assembly,Maintenance,Transport,Disposal,Total
41421,3000,9.73937,51.27007,EF v3.1 - acidification - accumulated exceedance (AE),mol H+-Eq,9.071639606044508e-05,1.0071973609327432e-05,9.896711349789839e-09,1.138722555440464e-05,-6.575201231718591e-08,0.00011211973992320975
41421,3000,9.73937,51.27007,EF v3.1 - climate change - global warming potential (GWP100),kg CO2-Eq,0.015541692311082565,0.0024894751023585124,2.8335495287226548e-06,0.0017996583962861363,-7.203548778521822e-05,0.019761623871470718
41421,3000,9.73937,51.27007,EF v3.1 - climate change: biogenic - global warming potential (GWP100),kg CO2-Eq,2.2781922239063143e-05,1.6096760832108222e-05,1.3545676499018239e-09,6.915628439803496e-07,-9.241348340047271e-09,3.956235913446157e-05
41421,3000,9.73937,51.27007,EF v3.1 - climate change: fossil - global warming potential (GWP100),kg CO2-Eq,0.0154664747141818,0.0024699884116679495,2.830892379340848e-06,0.00179640035076604,-7.201993654240776e-05,0.019663674432452722
41421,3000,9.73937,51.27007,EF v3.1 - climate change: land use and land use change - global warming potential (GWP100),kg CO2-Eq,5.2435674661700464e-05,3.3899298584548106e-06,1.3025817319046331e-09,2.5664826761159213e-06,-6.3098944704414645e-09,5.838707988353266e-05
41421,3000,9.73937,51.27007,EF v3.1 - ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe),CTUe,0.09059310929953696,0.012042765708259889,2.305391276833368e-05,0.010809758466804133,-0.0003858007430488155,0.1130828866443205
41421,3000,9.73937,51.27007,"EF v3.1 - ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)",CTUe,0.083121854351207,0.011620983179012024,1.948834639722969e-05,0.010223795899200723,-0.0003793794044188022,0.10460674237139818
41421,3000,9.73937,51.27007,"EF v3.1 - ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)",CTUe,0.0074712549483299615,0.00042178252924786515,3.565566371103985e-06,0.0005859625676034057,-6.42133863001324e-06,0.008476144272922323
41421,3000,9.73937,51.27007,EF v3.1 - energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels,"MJ, net calorific value",0.1748789148782471,0.03458806202185096,3.7466433301686906e-05,0.024404587923693207,-0.00017999965034920013,0.23372903160674377
41421,3000,9.73937,51.27007,EF v3.1 - eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P),kg P-Eq,6.79065533935686e-06,2.0324871193906605e-06,3.73926882966074e-10,1.5392066146184835e-07,-2.1021784415276094e-09,8.975334868650807e-06
