Unnamed: 0,P_rated_kW,Hub_height_m,Diameter_m,Longitude,Latitude,ISO_code,Offshore,Commissioning_date,Lifetime_production_kWh,Capacity_factors,turbine_age,Cluster,park_size,Input,Assembly,Transport,Maintenance,Disposal,Total
73225,5000,90,116,6.59449,54.00034,DE,1,2009-11-16,297840000.0,0.34,15,5216,200,0.009532328498618264,0.0014866059678835463,0.001165290417035986,,-2.4237637538187165e-05,0.01215998724599961
73226,5000,90,116,6.60716,54.00034,DE,1,2009-11-16,297840000.0,0.34,15,5216,200,0.009533735841308238,0.0014866942521002354,0.0011651519518798806,,-2.4522473366753913e-05,0.0121610595719216
73227,5000,90,116,6.61984,54.00034,DE,1,2009-11-16,297840000.0,0.34,15,5216,200,0.009535144393139664,0.0014867826121677504,0.001165013634478234,,-2.4807553916672724e-05,0.012162133085868975
73228,5000,90,116,6.60664,54.0075,DE,1,2009-11-16,297840000.0,0.34,15,5216,200,0.009546676076229027,0.0014876842590279724,0.00116505434366298,,-2.4528087835205478e-05,0.012174886591084774
73229,5000,90,116,6.61932,54.0075,DE,1,2009-11-16,297840000.0,0.34,15,5216,200,0.009548078960989975,0.0014877722635936754,0.0011649158501922635,,-2.4812021411664856e-05,0.01217595505336425
73230,5000,90,116,6.59416,54.0075,DE,1,2009-11-16,297840000.0,0.34,15,5216,200,0.009532383705467672,0.0014866094310723567,0.0011651909036820643,,-2.4248810999211203e-05,0.012159935229222882
73231,5080,92,126,6.59383,54.01458,DE,1,2009-11-16,302605440.0,0.34,15,5216,200,0.010400404660167431,0.0016555431180836624,0.0013691685299807984,,-2.448634626376533e-05,0.013400629961968127
73232,5080,92,126,6.60628,54.01458,DE,1,2009-11-16,302605440.0,0.34,15,5216,200,0.010401747462548662,0.0016556273536129614,0.0013690179255128505,,-2.4758119607659012e-05,0.013401634622066816
73233,5080,92,126,6.61883,54.01459,DE,1,2009-11-16,302605440.0,0.34,15,5216,200,0.01040310367885346,0.001655712430613029,0.00136886623748797,,-2.5032607831205073e-05,0.013402649739123253
73234,5080,92,126,6.5935,54.02166,DE,1,2009-11-16,302605440.0,0.34,15,5216,200,0.010426054778740044,0.001685863689962898,0.0013690527455178004,,-2.406400430849939e-05,0.013456907209912243
73235,5080,92,126,6.60592,54.02167,DE,1,2009-11-16,302605440.0,0.34,15,5216,200,0.010401958946733217,0.0016840012426908055,0.0013689021352207475,,-2.431182051592265e-05,0.013430550504128847
73236,5080,92,126,6.61834,54.02168,DE,1,2009-11-16,302605440.0,0.34,15,5216,200,0.010403285748838554,0.0016840844745044964,0.001368751815395648,,-2.456044961228347e-05,0.013431561589126414
73237,3600,88,120,7.64102,54.50638,DE,1,2015-12-31,214444800.0,0.34,8,5217,200,0.01164316580443515,0.0018887256009036985,0.001640099006331323,,-2.7094003898405756e-05,0.015144896407771766
73238,3600,88,120,7.65383,54.50638,DE,1,2015-12-31,214444800.0,0.34,8,5217,200,0.011641771908911466,0.0018886381602431323,0.0016399490041989705,,-2.6811889677575932e-05,0.015143547183675993
73239,3600,88,120,7.66667,54.50638,DE,1,2015-12-31,214444800.0,0.34,8,5217,200,0.011622547269501628,0.0018871846055264028,0.0016397993129405298,,-2.6550677796914137e-05,0.015122980510171646
73240,3600,88,120,7.67907,54.50638,DE,1,2015-12-31,214444800.0,0.34,8,5217,200,0.01162142546619609,0.0018871142335219057,0.0016396553847187311,,-2.6323633043495176e-05,0.015121871451393232
73241,3600,88,120,7.69148,54.50638,DE,1,2015-12-31,214444800.0,0.34,8,5217,200,0.011620452069851947,0.001887053171255847,0.0016395119676413323,,-2.6126624769546387e-05,0.01512089058397958
73242,3600,88,120,7.70388,54.50638,DE,1,2015-12-31,214444800.0,0.34,8,5217,200,0.011619658014658283,0.0018870033592652922,0.0016393692968742339,,-2.5965913827835407e-05,0.015120064756969974
73243,3600,88,120,7.71629,54.50638,DE,1,2015-12-31,214444800.0,0.34,8,5217,200,0.011619071926671104,0.001886966593295477,0.001639227146351775,,-2.5847293921944734e-05,0.015119418372396411
73244,3600,88,120,7.7287,54.50638,DE,1,2015-12-31,214444800.0,0.34,8,5217,200,0.0116007869138026,0.0018855719824264496,0.00163908563544653,,-2.577625555506219e-05,0.015099668276120517
73209,7000,105,154,6.24806,54.46614,DE,1,2019-09-23,416976000.0,0.34,5,5215,167,0.02450807459368502,0.0043846034134174495,0.00167128677387183,,-2.370525978825607e-05,0.030540259521186042
73210,7000,105,154,6.25876,54.47245,DE,1,2019-09-23,416976000.0,0.34,5,5215,167,0.024508148861752115,0.004384608072338246,0.0016710169784352827,,-2.3720291099803076e-05,0.03054005362142584
73211,7000,105,154,6.23338,54.47557,DE,1,2019-09-23,416976000.0,0.34,5,5215,167,0.024510127017089746,0.00438473216428523,0.0016713752787481985,,-2.412065521768473e-05,0.03054211380490549
