Unnamed: 0,P_rated_kW,Hub_height_m,Diameter_m,Longitude,Latitude,ISO_code,Offshore,Commissioning_date,Lifetime_production_kWh,Capacity_factors,turbine_age,Cluster,park_size,Input,Assembly,Transport,Maintenance,Disposal,Total
37323,660,45,47,11.64218,55.843,DK,0,2000-08-09,23507117.8581785,0.206116002544354,24,2113,5,0.014565708368938255,0.0020336988489371077,0.0010282487683542802,6.690378655493344e-06,-0.0001984628475884137,0.017435883517296722
37324,660,45,47,11.64501,55.8434,DK,0,2000-07-07,23507117.8581785,0.206116002544354,24,2113,5,0.014562107234310746,0.0020334750168126406,0.0010282929092008336,6.690378655493344e-06,-0.00019773504380867098,0.017432830495171043
37325,11,18,14,11.56855,55.87593,DK,0,2000-03-14,462528.0,0.24,24,-1,100,0.08287241508243925,0.01486332997560041,0.01079241101908427,0.00015455724702123568,-0.000368020977865606,0.10831469234627956
37326,550,35,37,11.48232,55.76692,DK,0,2000-10-13,24875746.1557589,0.261739753322379,24,2114,3,0.00970254682538575,0.0015620937159697688,0.0005715000696697546,2.8737652290959874e-06,-0.00013483500621042354,0.011704179370043945
37327,550,35,37,11.48405,55.76779,DK,0,2000-10-13,24875746.1557589,0.261739753322379,24,2114,3,0.009704713563363072,0.0015622283917358245,0.0005715234213285446,2.8737652290959874e-06,-0.00013527291266289594,0.011706066228993641
37328,550,35,37,11.48579,55.76866,DK,0,2000-10-30,24875746.1557589,0.261739753322379,24,2114,3,0.009706890080008653,0.0015623636753047863,0.0005715468619866587,2.8737652290959874e-06,-0.0001357127954235209,0.011707961587105674
37329,55,18,16,11.50076,55.82569,DK,0,2007-12-03,2312640.0,0.24,17,-1,100,0.02281851082706745,0.0034988631552690668,0.0022750650150570035,3.0911449404247136e-05,-0.00019579813153393117,0.028427552315263834
37330,25,18,13,11.62376,55.85715,DK,0,2013-12-19,1051200.0,0.24,10,2113,5,0.03756829952591194,0.006946146828189453,0.004676702567717798,6.80051886893437e-05,-0.00024491977057452554,0.04901423433993401
37331,10,18,13,11.37799,55.9623,DK,0,2014-12-18,420480.0,0.24,9,-1,100,0.08634112465345246,0.015891662862274742,0.011610864775915927,0.00017001297172335926,-0.0003827173591039737,0.11363094790426252
37332,10,18,13,11.34767,55.97076,DK,0,2015-12-11,420480.0,0.24,8,-1,100,0.08634021696590306,0.015891606444047277,0.01160672711640459,0.00017001297172335926,-0.0003825339118026087,0.11362602958627568
