turbine_idx,P_rated_kW,Longitude,Latitude,Method,Unit,Input,Assembly,Transport,Disposal,Total
72547,3600,11.18376,56.50794,EF v3.1 - acidification - accumulated exceedance (AE),mol H+-Eq,6.470775497345031e-05,6.812928021240062e-06,1.1029374893342443e-05,-5.152295260242238e-08,8.249853493543039e-05
72547,3600,11.18376,56.50794,EF v3.1 - climate change - global warming potential (GWP100),kg CO2-Eq,0.011313552032004813,0.0014190427257174524,0.0015335806118577048,-3.1487166742781704e-05,0.014234688202837189
72547,3600,11.18376,56.50794,EF v3.1 - climate change: biogenic - global warming potential (GWP100),kg CO2-Eq,1.735021492961226e-05,5.3758094517542845e-06,6.172063873878826e-07,-4.899645182706478e-09,2.333833112357172e-05
72547,3600,11.18376,56.50794,EF v3.1 - climate change: fossil - global warming potential (GWP100),kg CO2-Eq,0.011256362590288524,0.0014113668328770705,0.0015304534910504546,-3.147751253676458e-05,0.014166705401679284
72547,3600,11.18376,56.50794,EF v3.1 - climate change: land use and land use change - global warming potential (GWP100),kg CO2-Eq,3.983922678667941e-05,2.3000833886274275e-06,2.5099144198623234e-06,-4.754560834418327e-09,4.4644470034334745e-05
72547,3600,11.18376,56.50794,EF v3.1 - ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe),CTUe,0.0615047455653393,0.008560172919491377,0.00878761433698103,-0.00019017732730818043,0.07866235549450352
72547,3600,11.18376,56.50794,"EF v3.1 - ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)",CTUe,0.05607947775895908,0.008264930382330758,0.00827336738589639,-0.00018567779597216915,0.07243209773121406
72547,3600,11.18376,56.50794,"EF v3.1 - ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)",CTUe,0.005425267806380213,0.00029524253716061805,0.0005142469510846416,-4.499531336011213e-06,0.0062302577632894615
72547,3600,11.18376,56.50794,EF v3.1 - energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels,"MJ, net calorific value",0.14097532583409084,0.01931172178244565,0.020204840238592026,-0.00015606750045363786,0.18033582035467488
72547,3600,11.18376,56.50794,EF v3.1 - eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P),kg P-Eq,4.576140433937982e-06,7.167692581549763e-07,1.3521611593584687e-07,-1.442292268273073e-09,5.426683515760532e-06
72547,3600,11.18376,56.50794,EF v3.1 - eutrophication: marine - fraction of nutrients reaching marine end compartment (N),kg N-Eq,1.4955323332024593e-05,1.4617843142029194e-06,4.8523227253780285e-06,-2.1675473618099598e-08,2.124775489798744e-05
72547,3600,11.18376,56.50794,EF v3.1 - eutrophication: terrestrial - accumulated exceedance (AE),mol N-Eq,0.00012896123668674903,1.54948034313416e-05,5.2485298357837015e-05,-2.1173914943834402e-07,0.0001967295993264893
72547,3600,11.18376,56.50794,EF v3.1 - human toxicity: carcinogenic - comparative toxic unit for human (CTUh),CTUh,9.280087993047096e-11,6.27992620014008e-12,7.581446010005097e-13,-4.908523353254303e-13,9.934809839628611e-11
72547,3600,11.18376,56.50794,"EF v3.1 - human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)",CTUh,7.466014034055378e-11,4.554562509523659e-12,3.7070320099831214e-13,-3.6368552291852035e-15,7.958176919584657e-11
72547,3600,11.18376,56.50794,"EF v3.1 - human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)",CTUh,1.8140739589917158e-11,1.7253636906164219e-12,3.8744140000219736e-13,-4.872154800962451e-13,1.976632920043953e-11
72547,3600,11.18376,56.50794,EF v3.1 - human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh),CTUh,3.8528571103202485e-10,2.0580354076308593e-11,8.64131655238361e-12,-1.0526967100046028e-13,4.144021119897166e-10
72547,3600,11.18376,56.50794,"EF v3.1 - human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)",CTUh,3.724723276314421e-10,1.9867702942454444e-11,8.136904355093486e-12,-9.859646712035385e-14,4.0037833846186966e-10
72547,3600,11.18376,56.50794,"EF v3.1 - human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)",CTUh,1.2813383400582715e-11,7.126511338541416e-13,5.044121972901245e-13,-6.673203880106457e-15,1.4023773527846875e-11
72547,3600,11.18376,56.50794,EF v3.1 - ionising radiation: human health - human exposure efficiency relative to u235,kBq U235-Eq,0.000594823814362956,0.00021571053064007648,4.897241046457705e-05,-1.7168629341866498e-07,0.0008593350691741909
72547,3600,11.18376,56.50794,EF v3.1 - land use - soil quality index,dimensionless,0.603280427281055,0.010432832316975608,0.015569641356498114,-0.0002706194437517208,0.629012281510777
72547,3600,11.18376,56.50794,EF v3.1 - material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves),kg Sb-Eq,2.4501451836132745e-07,1.2903489972751538e-08,2.6334368557451228e-09,-1.471743028608576e-11,2.60536727759538e-07
72547,3600,11.18376,56.50794,EF v3.1 - ozone depletion - ozone depletion potential (ODP),kg CFC-11-Eq,1.4274039932478313e-10,2.2266836948269828e-11,3.032192024390383e-11,-2.0758373971761806e-13,1.9512157277723917e-10
72547,3600,11.18376,56.50794,EF v3.1 - particulate matter formation - impact on human health,disease incidence,1.0676661758601716e-09,8.08080851393465e-11,6.383587892960043e-11,-2.2022014916240326e-11,1.1902881250128782e-09
72547,3600,11.18376,56.50794,EF v3.1 - photochemical oxidant formation: human health - tropospheric ozone concentration increase,kg NMVOC-Eq,5.589751138580972e-05,5.641233898434058e-06,1.5546005579136145e-05,-7.314429295774818e-08,7.701160657042217e-05
72547,3600,11.18376,56.50794,EF v3.1 - water use - user deprivation potential (deprivation-weighted water consumption),m3 world eq. deprived,0.006307115297568675,0.001122074412715715,0.00012241397846151275,-1.2592106303550258e-06,0.007550344478115548
72548,3600,11.18464,56.5135,EF v3.1 - acidification - accumulated exceedance (AE),mol H+-Eq,6.457816083830848e-05,6.807480071968453e-06,1.1029661994365118e-05,-5.1382364762251864e-08,8.236392053987981e-05
72548,3600,11.18464,56.5135,EF v3.1 - climate change - global warming potential (GWP100),kg CO2-Eq,0.011311022889518626,0.00141888406971641,0.0015336966816096426,-3.097601688270743e-05,0.014232627623961972
72548,3600,11.18464,56.5135,EF v3.1 - climate change: biogenic - global warming potential (GWP100),kg CO2-Eq,1.734405200316469e-05,5.372396807951655e-06,6.172415794080331e-07,-4.840195404689293e-09,2.3328850195119687e-05
72548,3600,11.18464,56.5135,EF v3.1 - climate change: fossil - global warming potential (GWP100),kg CO2-Eq,0.011253843329426378,0.0014112118556551436,0.0015305694690294282,-3.09664361967799e-05,0.01416465821791417
72548,3600,11.18464,56.5135,EF v3.1 - climate change: land use and land use change - global warming potential (GWP100),kg CO2-Eq,3.983550808908042e-05,2.2998172533145014e-06,2.509971000807003e-06,-4.740490522836827e-09,4.4640555852679084e-05
72548,3600,11.18464,56.5135,EF v3.1 - ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe),CTUe,0.06135845849639808,0.008554230561783664,0.008788454557479406,-0.00018747938171303837,0.07851366423394811
72548,3600,11.18464,56.5135,"EF v3.1 - ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)",CTUe,0.05593399778992698,0.008259032429222766,0.008274174848156858,-0.00018300274124111526,0.07228420232606549
72548,3600,11.18464,56.5135,"EF v3.1 - ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)",CTUe,0.005424460706471103,0.0002951981325608976,0.0005142797093225482,-4.476640471923141e-06,0.006229461907882625
72548,3600,11.18464,56.5135,EF v3.1 - energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels,"MJ, net calorific value",0.14092891390846785,0.019309659112607472,0.020206613821169686,-0.0001559069312893754,0.18028927991095564
