turbine_idx,P_rated_kW,Longitude,Latitude,Method,Unit,Input,Assembly,Maintenance,Transport,Disposal,Total
0,2300,-4.34066,55.70955,EF v3.1 - acidification - accumulated exceedance (AE),mol H+-Eq,8.654588486834326e-05,8.73117121682912e-06,1.2908753934508486e-08,1.0150766877700471e-05,-6.545725480345872e-08,0.0001053752744620039
0,2300,-4.34066,55.70955,EF v3.1 - climate change - global warming potential (GWP100),kg CO2-Eq,0.01590197087465543,0.0020054036422174166,3.695934167899115e-06,0.001593792195058917,-4.723412724323024e-05,0.01945762851885643
0,2300,-4.34066,55.70955,EF v3.1 - climate change: biogenic - global warming potential (GWP100),kg CO2-Eq,2.3313462522330242e-05,3.441831069582553e-06,1.7668273694371616e-09,6.138452840583581e-07,-6.275944310406465e-09,2.7364629759030183e-05
0,2300,-4.34066,55.70955,EF v3.1 - climate change: fossil - global warming potential (GWP100),kg CO2-Eq,0.015826313476562694,0.0019995551595380257,3.6924683208793672e-06,0.0015908893416829368,-4.722170430521602e-05,0.01937322874179932
0,2300,-4.34066,55.70955,EF v3.1 - climate change: land use and land use change - global warming potential (GWP100),kg CO2-Eq,5.234393557040531e-05,2.4066516098073066e-06,1.6990196503103911e-09,2.289008091921683e-06,-6.1469937037982215e-09,5.703514729808081e-05
0,2300,-4.34066,55.70955,EF v3.1 - ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe),CTUe,0.08182219336979266,0.01115941687051771,3.0070321002174364e-05,0.009552058761872484,-0.0002396130260839438,0.10232412629710108
0,2300,-4.34066,55.70955,"EF v3.1 - ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)",CTUe,0.07459251017077274,0.010777428661920435,2.5419582257256117e-05,0.009032381177473474,-0.00023383808632651112,0.0941939015060974
0,2300,-4.34066,55.70955,"EF v3.1 - ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)",CTUe,0.007229683199019941,0.00038198820859727865,4.6507387449182415e-06,0.0005196775843990108,-5.774939757432657e-06,0.008130224791003716
0,2300,-4.34066,55.70955,EF v3.1 - energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels,"MJ, net calorific value",0.18435796903768126,0.03346672559240838,4.8869260828287275e-05,0.021583387599855338,-0.00019602097693492267,0.23926093051383834
0,2300,-4.34066,55.70955,EF v3.1 - eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P),kg P-Eq,6.122415702953386e-06,6.758062978017355e-07,4.877307169122704e-10,1.3651559204436264e-07,-2.3354362708712152e-09,6.932889887245525e-06
0,2300,-4.34066,55.70955,EF v3.1 - eutrophication: marine - fraction of nutrients reaching marine end compartment (N),kg N-Eq,2.0089173430238585e-05,1.9066637237016737e-06,3.3303804640905548e-09,4.351580228669642e-06,-2.757244373812193e-08,2.632317531933587e-05
0,2300,-4.34066,55.70955,EF v3.1 - eutrophication: terrestrial - accumulated exceedance (AE),mol N-Eq,0.00017745244292556152,2.0242993907349215e-05,3.479414885518038e-08,4.6955481526842285e-05,-2.695246954505214e-07,0.00024441618781315767
0,2300,-4.34066,55.70955,EF v3.1 - human toxicity: carcinogenic - comparative toxic unit for human (CTUh),CTUh,1.1800930264998042e-10,7.964434014391895e-12,3.318836819187843e-15,7.798700182501155e-13,-6.116460309581039e-13,1.2614527948848352e-10
0,2300,-4.34066,55.70955,"EF v3.1 - human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)",CTUh,9.455461995995182e-11,5.74776534994474e-12,1.535991862369406e-15,3.8421100423370324e-13,-4.948218569258365e-15,1.0068318408742337e-10
0,2300,-4.34066,55.70955,"EF v3.1 - human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)",CTUh,2.3454682690028608e-11,2.216668664447154e-12,1.782844956818437e-15,3.9565901401641224e-13,-6.066978123888455e-13,2.5462095401060148e-11
