Unnamed: 0,P_rated_kW,Hub_height_m,Diameter_m,Longitude,Latitude,ISO_code,Offshore,Commissioning_date,Lifetime_production_kWh,Capacity_factors,turbine_age,Cluster,park_size,Input,Assembly,Transport,Maintenance,Disposal,Total
620,3600,87,116,10.18746,63.88419,NO,0,2020-02-01,151372800.0,0.24,4,4556,80,0.015411920061933876,0.0014772429612338823,0.00182091840748665,2.3612912739355455e-06,-3.362426991551599e-05,0.018678818452012826
621,3600,87,116,10.19324,63.91325,NO,0,2020-02-01,151372800.0,0.24,4,4556,80,0.015428578047637672,0.0014782783549958773,0.0018221583699127178,2.3612912739355455e-06,-3.697255443600492e-05,0.018694403509384196
622,3600,87,116,10.07586,63.8673,NO,0,2020-02-01,151372800.0,0.24,4,4556,80,0.015508888383006049,0.001483270124213526,0.0018201059268701828,2.3612912739355455e-06,-5.311507355751026e-05,0.018761510651806184
623,3600,87,116,10.0829,63.87112,NO,0,2020-02-01,151372800.0,0.24,4,4556,80,0.015501076965565014,0.0014827845977498464,0.0018202737970018294,2.3612912739355455e-06,-5.1544964868141405e-05,0.018754951686722483
624,3600,87,116,10.09008,63.87294,NO,0,2020-02-01,151372800.0,0.24,4,4556,80,0.015494417382985971,0.0014823706647340274,0.0018203568360725096,2.3612912739355455e-06,-5.020637701851566e-05,0.018749299798047927
625,3600,87,116,10.09158,63.86931,NO,0,2020-02-01,151372800.0,0.24,4,4556,80,0.015495458455688612,0.0014824353736490946,0.0018202037608498003,2.3612912739355455e-06,-5.041563446878314e-05,0.01875004324699266
626,3600,87,116,10.08725,63.86662,NO,0,2020-02-01,151372800.0,0.24,4,4556,80,0.015500616666951192,0.0014827559874291342,0.0018200859882062652,2.3612912739355455e-06,-5.14524440345379e-05,0.01875436748982599
627,3600,87,116,10.10934,63.86279,NO,0,2020-02-01,151372800.0,0.24,4,4556,80,0.015487385445134498,0.0014819335876038381,0.0018199410769732171,2.3612912739355455e-06,-4.879294510208938e-05,0.0187428284558834
628,3600,87,116,10.09548,63.86596,NO,0,2020-02-01,151372800.0,0.24,4,4556,80,0.01549488291751106,0.0014823996004980407,0.001820064517362449,2.3612912739355455e-06,-5.0299950279523007e-05,0.01874940837636596
629,3600,87,116,10.11626,63.86288,NO,0,2020-02-01,151372800.0,0.24,4,4556,80,0.01548238749969389,0.0014816229353062538,0.0018199506245481908,2.3612912739355455e-06,-4.7788349249349754e-05,0.01873853400157292
630,3600,87,116,10.12055,63.8601,NO,0,2020-02-01,151372800.0,0.24,4,4556,80,0.015482241854035265,0.0014816138825546736,0.0018198360670353196,2.3612912739355455e-06,-4.775907421496478e-05,0.018738294020684228
631,3600,87,116,10.10562,63.85727,NO,0,2020-02-01,151372800.0,0.24,4,4556,80,0.015495382893069284,0.0014824306769789157,0.001819703442548129,2.3612912739355455e-06,-5.040044624896392e-05,0.0187494778576213
632,3600,87,116,10.11396,63.85875,NO,0,2020-02-01,151372800.0,0.24,4,4556,80,0.015488140521289473,0.0014819805201174436,0.0018197732079618212,2.3612912739355455e-06,-4.894471674161705e-05,0.018743310823901054
633,3600,87,116,10.19235,63.90832,NO,0,2020-02-01,151372800.0,0.24,4,4556,80,0.01542128110669295,0.0014778248063333833,0.0018219480935639698,2.3612912739355455e-06,-3.5505856430221656e-05,0.018687909441434017
634,3600,87,116,10.11136,63.8547,NO,0,2020-02-01,151372800.0,0.24,4,4556,80,0.015494266252828012,0.0014823612710879056,0.0018195989477477544,2.3612912739355455e-06,-5.017599959008746e-05,0.01874841176334752
635,3600,87,116,10.19847,63.90564,NO,0,2020-02-01,151372800.0,0.24,4,4556,80,0.015414275431177545,0.001477389361564958,0.0018218398943416802,2.3612912739355455e-06,-3.4097703289685924e-05,0.01868176827506843
636,3600,87,116,10.12232,63.8537,NO,0,2020-02-01,151372800.0,0.24,4,4556,80,0.015488367162980892,0.001481994607258451,0.0018195655858502273,2.3612912739355455e-06,-4.8990272121515415e-05,0.01874329837524199
637,3600,87,116,10.18736,63.90399,NO,0,2020-02-01,151372800.0,0.24,4,4556,80,0.015418198328716137,0.0014776331931849772,0.0018217595452736323,2.3612912739355455e-06,-3.488621261713371e-05,0.01868506614583155
638,3600,87,116,10.12974,63.85503,NO,0,2020-02-01,151372800.0,0.24,4,4556,80,0.015482126377668642,0.0014816067050056115,0.0018196283726526778,2.3612912739355455e-06,-4.773586326150766e-05,0.018737986883339358
639,3600,87,116,10.20243,63.8756,NO,0,2020-02-01,151372800.0,0.24,4,4556,80,0.015413739878522877,0.0014773560737540705,0.0018205673662610566,2.3612912739355455e-06,-3.399005626108178e-05,0.018680034553550856
640,3600,87,116,10.19872,63.90185,NO,0,2020-02-01,151372800.0,0.24,4,4556,80,0.015408663158692392,0.001477040525155498,0.001821679108720018,2.3612912739355455e-06,-3.296962661697494e-05,0.01867677445722487
641,3600,87,116,10.13669,63.85621,NO,0,2020-02-01,151372800.0,0.24,4,4556,80,0.015476407165764216,0.0014812512216695907,0.0018196844493306673,2.3612912739355455e-06,-4.658629157682175e-05,0.018733117836461588
642,3600,87,116,10.14525,63.85829,NO,0,2020-02-01,151372800.0,0.24,4,4556,80,0.015468621435006578,0.001480767291787408,0.0018197802247605151,2.3612912739355455e-06,-4.5021345956142695e-05,0.018726508896872295
643,3600,87,116,10.1509,63.86603,NO,0,2020-02-01,151372800.0,0.24,4,4556,80,0.01545557894982221,0.00147995662307626,0.0018201140318930152,2.3612912739355455e-06,-4.239978341982878e-05,0.01871561111264559
644,3600,87,116,10.15916,63.865,NO,0,2020-02-01,151372800.0,0.24,4,4556,80,0.015451695334363559,0.001479715233073208,0.0018200775378170847,2.3612912739355455e-06,-4.161916985976442e-05,0.018712230226668024
645,3600,87,116,10.15849,63.88077,NO,0,2020-02-01,151372800.0,0.24,4,4556,80,0.015436411393093227,0.0014787652444172314,0.0018207470107186826,2.3612912739355455e-06,-3.854707069498481e-05,0.018699737868808092
646,3600,87,116,10.16047,63.86124,NO,0,2020-02-01,151372800.0,0.24,4,4556,80,0.015455941224859616,0.0014799791406435417,0.0018199189391811103,2.3612912739355455e-06,-4.247260134160292e-05,0.018715727994616602
647,3600,87,116,10.17073,63.86191,NO,0,2020-02-01,151372800.0,0.24,4,4556,80,0.015449543150034077,0.0014795814619036902,0.0018199565813154747,2.3612912739355455e-06,-4.118657701187834e-05,0.018710255907515298
648,3600,87,116,10.15225,63.86221,NO,0,2020-02-01,151372800.0,0.24,4,4556,80,0.015459404585852899,0.0014801944093099783,0.0018199529003571756,2.3612912739355455e-06,-4.316874301256319e-05,0.018718744443781424
649,3600,87,116,10.11587,63.85206,NO,0,2020-02-01,151372800.0,0.24,4,4556,80,0.015494400556229216,0.0014823696188501318,0.00181949049961163,2.3612912739355455e-06,-5.020299481071622e-05,0.018748418971154198
