turbine_idx,P_rated_kW,Longitude,Latitude,Method,Unit,Input,Assembly,Transport,Disposal,Total
35679,5000,5.02958,59.14031,EF v3.1 - acidification - accumulated exceedance (AE),mol H+-Eq,6.901662781301573e-05,6.591696713652713e-06,1.4785614046886412e-05,-5.3228177688442583e-08,9.034071039586642e-05
35679,5000,5.02958,59.14031,EF v3.1 - climate change - global warming potential (GWP100),kg CO2-Eq,0.011993693579981275,0.0013315420335126987,0.0021213100327227316,-3.195434857942437e-05,0.015414591297637281
35679,5000,5.02958,59.14031,EF v3.1 - climate change: biogenic - global warming potential (GWP100),kg CO2-Eq,1.817639199202768e-05,3.511799709607301e-06,8.438430107451117e-07,-5.267658135483306e-09,2.252676705424461e-05
35679,5000,5.02958,59.14031,EF v3.1 - climate change: fossil - global warming potential (GWP100),kg CO2-Eq,0.011935009809124942,0.0013261401887519966,0.0021171090045031893,-3.194415252495022e-05,0.015346314849855177
35679,5000,5.02958,59.14031,EF v3.1 - climate change: land use and land use change - global warming potential (GWP100),kg CO2-Eq,4.0507378864302815e-05,1.8900450510944742e-06,3.3571852087969398e-06,-4.928396338670602e-09,4.574968072785556e-05
35679,5000,5.02958,59.14031,EF v3.1 - ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe),CTUe,0.06735622384277304,0.008691701534985271,0.012305881938895914,-0.00020854735561320995,0.08814525996104101
35679,5000,5.02958,59.14031,"EF v3.1 - ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)",CTUe,0.06132825029083785,0.008370211823241694,0.011599851253437427,-0.00020386130869374033,0.08109445205882324
35679,5000,5.02958,59.14031,"EF v3.1 - ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)",CTUe,0.006027973551935197,0.00032148971174357694,0.0007060306854584905,-4.686046919469577e-06,0.0070508079022177945
35679,5000,5.02958,59.14031,EF v3.1 - energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels,"MJ, net calorific value",0.1499219806571261,0.01736212946650485,0.02815815345478418,-0.00016042247522813003,0.19528184110318703
35679,5000,5.02958,59.14031,EF v3.1 - eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P),kg P-Eq,5.040571964712265e-06,5.670277728717687e-07,1.8559764592936654e-07,-1.3354722539484863e-09,5.791861911259452e-06
35679,5000,5.02958,59.14031,EF v3.1 - eutrophication: marine - fraction of nutrients reaching marine end compartment (N),kg N-Eq,1.5868917480407343e-05,1.3815397671658285e-06,6.463883320723455e-06,-2.2760772571853858e-08,2.369157979572477e-05
35679,5000,5.02958,59.14031,EF v3.1 - eutrophication: terrestrial - accumulated exceedance (AE),mol N-Eq,0.0001374218449302661,1.4380660582623962e-05,6.987605868654348e-05,-2.1875819988909823e-07,0.00022145980599954445
35679,5000,5.02958,59.14031,EF v3.1 - human toxicity: carcinogenic - comparative toxic unit for human (CTUh),CTUh,1.0227086876523383e-10,6.9202963335671655e-12,1.0458105996946115e-12,-5.946876201256973e-13,1.0964228807836991e-10
35679,5000,5.02958,59.14031,"EF v3.1 - human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)",CTUh,8.118702641066436e-11,4.926304593654962e-12,5.123958757542121e-13,-3.878890918586153e-15,8.662184798915494e-11
35679,5000,5.02958,59.14031,"EF v3.1 - human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)",CTUh,2.1083842354569484e-11,1.9939917399122035e-12,5.334147239403993e-13,-5.908087292071112e-13,2.3020440089214977e-11
