turbine_idx,P_rated_kW,Longitude,Latitude,Method,Unit,Input,Assembly,Maintenance,Transport,Disposal,Total
26015,3600,21.66466,42.65445,EF v3.1 - acidification - accumulated exceedance (AE),mol H+-Eq,0.00012877814815191182,4.047391049289645e-05,8.2472594581582e-09,1.8906972389126127e-05,-9.225275480582221e-08,0.00018807502553858674
26015,3600,21.66466,42.65445,EF v3.1 - climate change - global warming potential (GWP100),kg CO2-Eq,0.02211384680533781,0.006149343945664379,2.3612912739355455e-06,0.0032569649146577907,-0.00011437825065638911,0.031408138706277525
26015,3600,21.66466,42.65445,EF v3.1 - climate change: biogenic - global warming potential (GWP100),kg CO2-Eq,2.9238216675764835e-05,5.064849617699944e-06,1.1288063749181865e-09,1.2157778898338752e-06,-1.570208639107337e-08,3.55042709032825e-05
26015,3600,21.66466,42.65445,EF v3.1 - climate change: fossil - global warming potential (GWP100),kg CO2-Eq,0.022028803144237687,0.006141513068157374,2.35907698278404e-06,0.0032515187412768924,-0.00011435375972388129,0.03130984027093086
26015,3600,21.66466,42.65445,EF v3.1 - climate change: land use and land use change - global warming potential (GWP100),kg CO2-Eq,5.5805444424359224e-05,2.766027889306835e-06,1.0854847765871943e-09,4.23039549106384e-06,-8.788846116757633e-09,6.279416444338973e-05
26015,3600,21.66466,42.65445,EF v3.1 - ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe),CTUe,0.12824769776597664,0.017024374044451254,1.9211593973611398e-05,0.020107173811720634,-0.0006819034153666537,0.16471655380075548
26015,3600,21.66466,42.65445,"EF v3.1 - ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)",CTUe,0.11850298076673373,0.016418967108369154,1.6240288664358076e-05,0.01906586144164212,-0.0006716418603273131,0.15333240774508206
26015,3600,21.66466,42.65445,"EF v3.1 - ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)",CTUe,0.009744716999242932,0.0006054069360820976,2.971305309253321e-06,0.0010413123700785242,-1.0261555039340435e-05,0.011384146055673467
26015,3600,21.66466,42.65445,EF v3.1 - energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels,"MJ, net calorific value",0.2450400381371884,0.06580500285680438,3.122202775140576e-05,0.04492576792012077,-0.00023627118633462712,0.35556575975553034
26015,3600,21.66466,42.65445,EF v3.1 - eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P),kg P-Eq,9.661614647490996e-06,9.706318843628342e-06,3.1160573580506165e-10,2.733603683432432e-07,-2.3262340185077334e-09,1.963927923117988e-05
26015,3600,21.66466,42.65445,EF v3.1 - eutrophication: marine - fraction of nutrients reaching marine end compartment (N),kg N-Eq,2.718910293833666e-05,7.008904619476217e-06,2.1277430742800767e-09,7.924761868329672e-06,-5.341532801444282e-08,4.2071481841202386e-05
26015,3600,21.66466,42.65445,EF v3.1 - eutrophication: terrestrial - accumulated exceedance (AE),mol N-Eq,0.00024719975696424896,5.619670071287653e-05,2.22295951019208e-08,8.532750865117415e-05,-3.873290677504809e-07,0.00038835886685565106
26015,3600,21.66466,42.65445,EF v3.1 - human toxicity: carcinogenic - comparative toxic unit for human (CTUh),CTUh,1.5595566833480777e-10,1.1814747855348303e-11,2.120367967814455e-15,1.5824309716358812e-12,-4.129966877655562e-12,1.652250006521042e-10
26015,3600,21.66466,42.65445,"EF v3.1 - human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)",CTUh,1.201331524932693e-10,8.283378383879988e-12,9.813281342915649e-16,7.836817730450513e-13,-1.5114650730354232e-14,1.2918607932759828e-10
26015,3600,21.66466,42.65445,"EF v3.1 - human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)",CTUh,3.5822515841538474e-11,3.5313694714683154e-12,1.1390398335228904e-15,7.9874919859083e-13,-4.114852226925208e-12,3.6038921324505937e-11
26015,3600,21.66466,42.65445,EF v3.1 - human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh),CTUh,8.579812160890195e-10,8.326721712637334e-11,2.642878751464688e-14,2.3396785152280962e-11,-4.603150502880866e-13,9.642113321049003e-10
26015,3600,21.66466,42.65445,"EF v3.1 - human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)",CTUh,8.260924387560907e-10,8.156933935479251e-11,2.0561251393224406e-14,2.2111446661291295e-11,-4.37472394169739e-13,9.293563136293979e-10
26015,3600,21.66466,42.65445,"EF v3.1 - human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)",CTUh,3.1888777332928665e-11,1.6978777715808331e-12,5.867536121422475e-15,1.285338490989668e-12,-2.2842656118347597e-14,3.485501847550224e-11
26015,3600,21.66466,42.65445,EF v3.1 - ionising radiation: human health - human exposure efficiency relative to u235,kBq U235-Eq,0.0010942143678447948,0.00020150439963251496,4.9815900139163816e-08,9.174983956602347e-05,-2.8668548000121713e-07,0.0013872317374634712
26015,3600,21.66466,42.65445,EF v3.1 - land use - soil quality index,dimensionless,0.835654988309607,0.015189745134323836,1.1170547643325158e-05,0.03808317387671642,-0.00039081011705381603,0.8885482677512369
26015,3600,21.66466,42.65445,EF v3.1 - material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves),kg Sb-Eq,6.067861391326766e-07,2.7718607080851196e-08,2.3520506799824604e-11,6.689271692260078e-09,-2.8912114259810495e-11,6.411886262983279e-07
26015,3600,21.66466,42.65445,EF v3.1 - ozone depletion - ozone depletion potential (ODP),kg CFC-11-Eq,2.9397273099112e-10,3.562591916240301e-11,5.189020323619988e-14,6.717886997190962e-11,-4.060284288488412e-13,3.9642338189981996e-10
26015,3600,21.66466,42.65445,EF v3.1 - particulate matter formation - impact on human health,disease incidence,1.83299211409358e-09,2.6579037961325337e-10,1.2805186915159335e-13,1.9043379532452923e-10,-1.7919861074172908e-10,2.110145730158785e-09
26015,3600,21.66466,42.65445,EF v3.1 - photochemical oxidant formation: human health - tropospheric ozone concentration increase,kg NMVOC-Eq,0.00010200284864070555,1.9224642420133136e-05,9.88471203425061e-09,2.717848576156773e-05,-1.4036824610214425e-07,0.00014827549328833852
