,Offshore,dist_rotor_m,dist_nacelle_m,dist_tower_m,dist_found_m,dist_to_grid_m,sea_depth_m
14644,0,349262.5704491849,1240471.253315455,1204022.97499424,50000.0,41685.084171671195,0.0
14645,0,349462.4678837956,1240198.726529924,1203852.2951631558,50000.0,41919.464267525196,0.0
14646,0,349543.21153211896,1240042.7964549388,1203799.3153069145,50000.0,42162.14578860294,0.0
14647,0,349691.48880491604,1239817.5785243583,1203681.276664964,50000.0,42412.843885238086,0.0
14648,0,349844.4645043686,1239587.932853498,1203558.9178880095,50000.0,42664.3886820642,0.0
14649,0,349993.988061893,1239364.728315759,1203439.2236661376,50000.0,42907.74269775509,0.0
14650,0,350139.6263079857,1239151.7787172105,1203321.3485377163,50000.0,43131.69790485515,0.0
14651,0,350290.3358521838,1238930.5784523801,1203199.9848303306,50000.0,43367.60132399055,0.0
14652,0,350670.7668689965,1239017.0142718672,1202661.9400028281,50000.0,41866.72006482999,0.0
14653,0,350969.4818048197,1238706.820188713,1202373.9175069819,50000.0,41917.34239518949,0.0
14654,0,351372.8444101083,1238265.9221530468,1201992.7321760866,50000.0,42060.59602132314,0.0
14655,0,351667.5807838313,1237935.7755115638,1201717.1155075855,50000.0,42194.00032535156,0.0
14656,0,351919.8679934092,1237668.1494653968,1201476.0068104402,50000.0,42261.55139437972,0.0
14657,0,352206.0314161153,1237344.46385347,1201209.720043981,50000.0,42405.63821622013,0.0
14658,0,352422.03988525074,1237079.2579724656,1201016.2850578201,50000.0,42584.02965619467,0.0
14659,0,352626.7016894457,1236827.7989388949,1200833.2495545652,50000.0,42755.13814879116,0.0
14660,0,352843.1950218754,1236560.15519465,1200640.4181251575,50000.0,42943.1011204083,0.0
14661,0,353050.860122135,1236301.4367757796,1200456.3705985814,50000.0,43131.452503428685,0.0
14662,0,353225.5831485234,1236071.6561357798,1200306.1644933526,50000.0,43330.944064188494,0.0
14663,0,353423.7094527651,1235811.6915801005,1200135.8759032402,50000.0,43556.6866650687,0.0
14664,0,353664.789066686,1235507.0816630127,1199924.5903270538,50000.0,43794.66693301338,0.0
14665,0,353928.7849837074,1235202.4219621762,1199682.499634179,50000.0,43961.63642722858,0.0
17813,0,367715.31053401396,1220699.278761333,1186560.9286031032,50000.0,48418.27843982784,0.0
17814,0,367282.1767575552,1221287.084272515,1186911.720409258,50000.0,48603.89864744438,0.0
17815,0,366671.32958469255,1221506.190170294,1187685.1351484277,50000.0,47236.54458465087,0.0
17816,0,367106.97895773133,1220911.1283914389,1187338.045725509,50000.0,47036.600626786974,0.0
17817,0,366810.50776621373,1221292.3927325243,1187585.2801927016,50000.0,47107.97903438795,0.0
17818,0,367289.3767957975,1220810.7842160366,1187121.6629336695,50000.0,47353.94542095675,0.0
17819,0,367426.34917801584,1221095.8914626455,1186792.7401141839,50000.0,48553.22149142343,0.0
17820,0,367451.1503720045,1220887.2926304555,1186852.6376765915,50000.0,48076.44263452645,0.0
17821,0,366548.2621089647,1221721.0214147533,1187761.7718911844,50000.0,47420.655481519214,0.0
17822,0,366979.6341379574,1220957.5420640868,1187500.8084139093,50000.0,46750.883994274605,0.0
17823,0,367392.8763157411,1220786.41093317,1186983.6229618748,50000.0,47620.72698021159,0.0
17824,0,367471.3152869133,1220790.2767140942,1186868.7837879441,50000.0,47882.112116120894,0.0
17825,0,367543.6655075264,1220913.320594738,1186708.3265347767,50000.0,48440.73432299288,0.0
17826,0,367200.3639191781,1221516.2134864486,1186925.876773031,50000.0,48906.90699049645,0.0
17827,0,367264.83971085626,1221514.4174246057,1186835.7375554964,50000.0,48725.84382339472,0.0
17828,0,366547.3132128463,1221798.8741489667,1187727.1560029548,50000.0,47627.839259839326,0.0
17829,0,366668.5479575209,1221762.7980117584,1187570.4060327641,50000.0,47919.42820975985,0.0
17830,0,366570.23955528595,1221945.6892063008,1187627.6992164652,50000.0,48097.18399371136,0.0
19642,0,323903.57674382086,1284458.235140403,1229004.7090081105,50000.0,8106.588652584685,0.0
19643,0,324059.2483093874,1284182.3974034372,1228822.771455905,50000.0,8122.688230353098,0.0
19644,0,324214.19467860047,1283907.9087402471,1228641.9632520713,50000.0,8151.540610302792,0.0
19645,0,324200.0841159263,1283749.2209628455,1228623.6170532363,50000.0,8010.662034081279,0.0
19646,0,323681.79274887324,1283433.1963617776,1228998.9462369129,50000.0,7100.206231964522,0.0
19647,0,323518.4677013941,1283709.7535325314,1229185.2677394948,50000.0,6989.22329017323,0.0
19648,0,323526.29759741947,1283871.425417358,1229207.8248082832,50000.0,7075.925595030788,0.0
19649,0,323275.1919967702,1285012.8533266168,1229630.9703542711,50000.0,7552.696988847162,0.0
19650,0,323470.07292962103,1284522.430138753,1229375.527282271,50000.0,7433.5262119763875,0.0
19651,0,323620.95642300736,1284252.1565095424,1229199.2395696219,50000.0,7463.313015850714,0.0
19652,0,324136.77272571396,1283653.9400450517,1228658.43708856,50000.0,7848.821125435571,0.0
19653,0,324328.0198971691,1283346.6277159955,1228442.2136103988,50000.0,7948.739676168553,0.0
19654,0,324466.22498485266,1283067.1003500593,1228275.6699498135,50000.0,8001.557093717285,0.0
19655,0,324442.4937147717,1282931.3981015054,1228271.0381054103,50000.0,7910.888685772773,0.0
19656,0,324206.4820013434,1282975.7735960428,1228477.0394651443,50000.0,7620.580280679631,0.0
