,Offshore,dist_rotor_m,dist_nacelle_m,dist_tower_m,dist_found_m,dist_to_grid_m,sea_depth_m
31528,0,960642.6205680618,980286.5936316798,476698.68684537295,50000.0,119532.19774052453,0.0
31529,0,960636.5961747207,980226.0633587309,476686.36067014927,50000.0,119964.61873153539,0.0
31530,0,960143.0797692359,979733.6631213437,476192.7087815344,50000.0,119695.7859558275,0.0
31531,0,961240.2728302018,980858.7613923678,477293.68051579926,50000.0,120053.05234436083,0.0
31532,0,960270.8582634559,979937.1699612534,476329.38408877293,50000.0,119157.01706240686,0.0
34990,0,912025.5440165731,924724.9666411699,429915.44737575564,50000.0,109813.16485470338,0.0
34991,0,911763.6665995533,924413.1213870783,429686.5505096699,50000.0,109905.05781051787,0.0
34992,0,912006.2211057837,924671.3609548056,429917.73102238995,50000.0,109995.0704064129,0.0
36049,0,961022.4177737023,980401.2278526804,477050.8245046509,50000.0,121854.92162797593,0.0
36050,0,960657.6115507614,980301.7719564447,476713.70826524403,50000.0,119538.6448739919,0.0
36051,0,1001113.8826672956,1034492.1275833858,528403.6529615655,50000.0,86913.54474395826,0.0
36052,0,1248800.8050612984,1287084.5676356554,783282.1067419652,50000.0,262101.05069747166,0.0
