,Offshore,dist_rotor_m,dist_nacelle_m,dist_tower_m,dist_found_m,dist_to_grid_m,sea_depth_m
27030,0,723374.1582594592,797527.4127672333,975493.8242691874,50000.0,16786.389073696766,0.0
27031,0,722967.86461617,797778.5826036349,975652.2986270413,50000.0,16953.963565240127,0.0
27032,0,723197.5623402842,796903.2022469254,974881.6885233255,50000.0,16174.581725086939,0.0
27033,0,723017.1309349413,798242.9971668903,976092.5720857914,50000.0,17400.48557790027,0.0
27034,0,723185.4474710587,798025.3710285531,975921.4770122885,50000.0,17219.98380806045,0.0
27035,0,723057.7954120357,797507.7061114347,975417.3232896349,50000.0,16713.177192139698,0.0
27036,0,723389.8924034183,798049.295397488,975981.2950567533,50000.0,17275.730525039344,0.0
27037,0,722821.3673125156,797323.3294749247,975202.6011495005,50000.0,16502.27851680088,0.0
31571,0,858136.8270442849,835203.6382951502,1033084.0115472779,50000.0,3491.351454001006,0.0
31572,0,858378.1887710433,835595.0928931179,1033482.5580157806,50000.0,3172.4306804817375,0.0
31573,0,858866.33499943,835511.3704570774,1033480.1297784222,50000.0,2810.356127480257,0.0
31574,0,858804.0523386606,835982.7316120199,1033905.8601603996,50000.0,2708.1452975613433,0.0
31575,0,859314.6199504454,836280.9952072538,1034259.5682883834,50000.0,2191.152149106436,0.0
34984,0,853722.6377364738,848786.0800095823,1044934.9676046028,50000.0,2323.7141858797545,0.0
34985,0,853931.1229305117,848831.332541073,1045008.996971984,50000.0,2425.9551509759967,0.0
34986,0,853481.6560226337,848708.5801423737,1044826.1634276919,50000.0,2202.468522690247,0.0
34987,0,718837.380123876,796167.1688242097,973393.6504051791,50000.0,15222.329967316264,0.0
34988,0,718509.8021843686,796646.7481028712,973778.5455666195,50000.0,15749.169889625467,0.0
34989,0,718187.5694258804,797053.7477907628,974096.9696470253,50000.0,16211.983533451137,0.0
35692,0,724787.4201832927,794757.7511359068,973181.347538791,50000.0,14737.053043999573,0.0
35693,0,724972.0435208371,794629.234503059,973095.8857896271,50000.0,14702.769739758955,0.0
35694,0,722438.2947513337,799918.6761995249,977541.6678378499,50000.0,18955.39570546858,0.0
35695,0,722513.4263028782,800260.7174402808,977872.9769457297,50000.0,19294.816825054444,0.0
35696,0,720488.3101514362,782747.526485485,961219.4306070333,50000.0,4793.31760731506,0.0
35697,0,720822.8594289598,782500.1124675174,961051.059147105,50000.0,5110.969339240997,0.0
35700,0,855721.4417645361,824465.9340951641,1022790.7972273523,50000.0,2774.6216451445675,0.0
36053,0,889233.1289908799,788019.5940309266,995446.5681288821,50000.0,7462.265991953234,0.0
36054,0,801615.5463975675,796217.2620186901,987989.8221504721,50000.0,14801.888975676577,0.0
36055,0,802467.9878709972,795217.3505629036,987204.4533944919,50000.0,13180.269859478407,0.0
36056,0,743642.0762504053,783666.5018263632,966302.9931153046,50000.0,7371.376171259605,0.0
36057,0,855869.8335676201,824522.5060362994,1022865.9139852361,50000.0,2874.603584955486,0.0
36058,0,855581.0115742354,824494.117832888,1022795.2646824067,50000.0,2611.571453166969,0.0
36059,0,804636.3463961157,906487.3283315566,1067971.3134833332,50000.0,6208.057734687988,0.0
36060,0,796344.6157170627,905683.8550076693,1060407.8289442293,50000.0,4768.580642421302,0.0
36061,0,853689.8570634143,848821.499370159,1044962.535695009,50000.0,2345.8648268935267,0.0
36062,0,799685.6258047869,908903.3163584522,1060832.9456309117,50000.0,1179.5345081709854,0.0
