,Offshore,dist_rotor_m,dist_nacelle_m,dist_tower_m,dist_found_m,dist_to_grid_m,sea_depth_m
17330,0,928109.3394381071,1006337.0148066249,645970.798989173,50000.0,28662.16259398359,0.0
17331,0,929150.0591111117,1007290.9066492121,646255.5434895641,50000.0,27188.526121212875,0.0
17332,0,929401.4884127916,1007485.5688231367,646062.1001561364,50000.0,26621.24157955105,0.0
17333,0,929245.0363041982,1007288.7126892126,645627.0994828565,50000.0,26535.51180562388,0.0
17334,0,929271.3748893151,1007384.0838915607,646156.627011195,50000.0,26908.348523716817,0.0
17335,0,929620.1708983126,1007663.0018196472,645953.9266519548,50000.0,26187.00820328407,0.0
17336,0,929080.0391532299,1007157.9894495794,645731.8358306702,50000.0,26878.249253469097,0.0
17337,0,929499.4098230973,1007562.9904401011,645998.7433314205,50000.0,26414.10439963899,0.0
17338,0,928947.359798033,1007053.877268352,645823.6332474877,50000.0,27164.43592819659,0.0
17339,0,928814.8880941542,1006949.379630071,645911.4404206494,50000.0,27451.21042154824,0.0
17340,0,928316.0896916818,1006478.1282815312,645671.2917704119,50000.0,28067.782225520757,0.0
17341,0,928677.7514041007,1006842.063503325,646008.8548474422,50000.0,27756.35368703466,0.0
17342,0,928181.4909807654,1006370.4234129199,645749.6516492835,50000.0,28353.29076542003,0.0
17343,0,929468.0536449825,1007615.2149899179,646584.1275766158,50000.0,26941.44451709328,0.0
17344,0,929037.8804056466,1007204.438740221,646344.8979377745,50000.0,27447.209040755326,0.0
17345,0,928532.331134486,1006726.7691398354,646101.3647294783,50000.0,28073.80075153732,0.0
17346,0,929363.1569814523,1007531.9034927278,646649.6250063449,50000.0,27170.145109073746,0.0
17347,0,928904.5902594815,1007101.4006936224,646449.0708343673,50000.0,27757.150521069314,0.0
18696,0,1134479.4606604371,1206333.7026665385,793866.1448613632,50000.0,5233.799818472076,0.0
18697,0,1134917.0158370952,1206762.804689949,794230.3579424457,50000.0,4825.520786018323,0.0
18698,0,1135288.0182056865,1207126.444510436,794538.0769681416,50000.0,4487.15075044093,0.0
18699,0,1135771.0812609743,1207600.9733876751,794944.9199847152,50000.0,4054.4566989203445,0.0
18700,0,1136124.5384084904,1207956.915343974,795293.4325533198,50000.0,3701.9446610388413,0.0
18701,0,1135256.4409320797,1207119.1485335745,794649.6353604274,50000.0,4441.103224070246,0.0
18702,0,1135877.739638728,1207729.6962836178,795174.1536401547,50000.0,3858.6445637149077,0.0
18703,0,1134499.3230825802,1206383.7532193582,794060.8385030446,50000.0,5158.408753131785,0.0
18704,0,1134998.1476823664,1206886.9857711794,794557.8480254612,50000.0,4655.239067860081,0.0
18705,0,1136432.5303029406,1208296.6409480004,795769.2494384941,50000.0,3271.8282473487866,0.0
18706,0,1135961.2997791527,1207840.4454426703,795411.4856564364,50000.0,3704.895341832177,0.0
18707,0,1135525.2693207304,1207422.046898301,795102.2139564918,50000.0,4122.656514047127,0.0
18708,0,1134778.666765177,1206698.44830938,794530.953869018,50000.0,4874.1506191914,0.0
18709,0,1136201.4864741724,1208099.9986544135,795751.3343612133,50000.0,3445.5452102167637,0.0
18710,0,1135312.136386797,1207234.7268693182,795051.3782613572,50000.0,4345.443838556414,0.0
18711,0,1136630.9881310686,1208535.483948732,796192.1125781076,50000.0,3016.0555547344243,0.0
18712,0,1135942.3075370332,1207865.00091673,795647.4267230999,50000.0,3718.9587837967133,0.0
21612,0,891598.9760526061,968737.5280584539,605825.2723626186,50000.0,27908.008638716317,0.0
21613,0,891199.5209279523,968316.0625582915,605315.8806207981,50000.0,27934.80502060535,0.0
21614,0,891238.510927958,968315.0650914512,605060.7826984402,50000.0,27497.20206820888,0.0
21615,0,890674.1389586118,967811.616351645,605007.1439192159,50000.0,28494.538667957037,0.0
21616,0,890855.6435318149,968025.3941104024,605399.9810163601,50000.0,28711.805899117397,0.0
21617,0,891391.3996239748,968566.2808491531,605906.5540498527,50000.0,28424.381390287304,0.0
21618,0,890780.8223896206,967998.0063711744,605678.4608530423,50000.0,29259.411158873514,0.0
21619,0,890153.489362643,967352.1209625532,604994.4347892373,50000.0,29467.18852665529,0.0
21620,0,890050.4144594494,967212.5261791898,604639.3305430375,50000.0,29158.403060988094,0.0
21621,0,889954.0204267579,967081.6340721207,604304.9515551007,50000.0,28872.40224756341,0.0
21622,0,890321.4066668361,967432.5073632908,604507.1672109616,50000.0,28459.05334019428,0.0
21623,0,889521.075935014,966692.1306341314,604240.6712412726,50000.0,29601.745892176586,0.0
21624,0,889630.173187606,966830.0224159538,604545.0645741444,50000.0,29822.612060217183,0.0
26731,0,1068421.0438081059,1142588.786107476,745964.4490378506,50000.0,19746.51433213442,0.0
26732,0,1069167.349216004,1143330.0455737498,746626.8117578344,50000.0,19145.014804859533,0.0
26733,0,1069146.1143659689,1143395.2547753286,747154.4710014854,50000.0,20101.417709749567,0.0
26734,0,1069884.3003951423,1144124.2962157985,747783.2219815229,50000.0,19493.651988569924,0.0
26735,0,1070126.7358097974,1144331.9195892296,747788.292960247,50000.0,18932.847819064482,0.0
26736,0,1070737.5790846134,1144967.3710661244,748512.4970970952,50000.0,18807.926628642123,0.0
26737,0,1070090.9594120889,1144361.7319804255,748170.5908037933,50000.0,19712.869725823242,0.0
26738,0,1070606.0544330531,1144871.5351447659,748616.2678409062,50000.0,19315.75359879273,0.0
26747,0,865420.4177165495,939259.4228412586,559868.4218534846,50000.0,16913.134606640815,0.0
26748,0,865024.2673196396,938878.4028144829,559624.1908701487,50000.0,17315.84152318016,0.0
26749,0,865308.0534640137,939167.8128458217,559910.1515131128,50000.0,17036.174339570858,0.0
26750,0,865184.6721735459,939065.5958943671,559945.1072552303,50000.0,17174.537874361133,0.0
26751,0,865627.5537590348,939439.490722585,559867.0998266775,50000.0,16698.285437849347,0.0
26752,0,865055.1460806079,938981.6509741229,560139.7048676993,50000.0,17351.136887895933,0.0
26753,0,865355.0040525025,939300.7504196903,560531.7445549384,50000.0,17080.786586309074,0.0
26754,0,865029.2115445102,938931.7412409462,559955.1056556546,50000.0,17349.29173984777,0.0
26768,0,1074282.5321277122,1148558.670325677,752105.6727906481,50000.0,17329.675043732615,0.0
26769,0,1074588.0637999678,1148850.3314074022,752302.3090738878,50000.0,16987.698651254173,0.0
26770,0,1074615.5102665883,1148848.8306488201,752144.6536255437,50000.0,16579.82414256038,0.0
26771,0,1074281.4366377045,1148488.2441986382,751665.8772691955,50000.0,16398.629135639836,0.0
26772,0,1074759.601189786,1148932.4721612276,751896.7168095456,50000.0,15692.823775661323,0.0
26773,0,1074234.189252938,1148401.6994443813,751373.5390792666,50000.0,15907.868443442503,0.0
26774,0,1073802.2925455035,1147984.2099452121,751062.3747836793,50000.0,16337.392870169582,0.0
26775,0,1073430.8550881224,1147635.587808125,750860.7617875292,50000.0,16842.690223093257,0.0
26776,0,928095.8663695914,1006340.193510723,646081.4962293912,50000.0,28782.13223138762,0.0
26777,0,928428.0817780136,1006668.0337116446,646343.9123912364,50000.0,28459.744703623554,0.0
26778,0,928008.2763922191,1006269.3079941403,646126.9105586298,50000.0,28969.51428513708,0.0
26779,0,928355.0428650285,1006611.1565971567,646398.1963484256,50000.0,28631.339244471998,0.0
26780,0,928493.0401288578,1006715.9563886006,646276.0853568316,50000.0,28290.887172866813,0.0
26781,0,928841.431868694,1007059.890596309,646552.3278511689,50000.0,27953.266074248608,0.0
26782,0,928768.8471501827,1007004.1138630927,646611.6768828267,50000.0,28128.081939635107,0.0
30780,0,774122.4550816249,847013.299318734,475543.3831373344,50000.0,73777.50141188529,0.0
