,Offshore,dist_rotor_m,dist_nacelle_m,dist_tower_m,dist_found_m,dist_to_grid_m,sea_depth_m
8043,0,1010924.7997755676,1105349.8411161744,876222.3103790891,50000.0,22942.486323735076,0.0
8044,0,1010671.8496851223,1105111.2080593405,876195.2508362298,50000.0,22616.76248475561,0.0
8045,0,1011008.8061155609,1105460.3683915616,876661.6572041998,50000.0,22184.805736168106,0.0
8046,0,1010294.4316889159,1104751.7395582413,876108.2594495186,50000.0,22234.3861880751,0.0
8047,0,1009954.7089324218,1104426.8277976492,876011.7004243927,50000.0,21936.681519387752,0.0
8048,0,1009550.8530273999,1104003.6746430076,875388.165736087,50000.0,22595.60419542474,0.0
8049,0,1009660.0906369708,1104091.79616419,875194.1825695968,50000.0,23134.07740334477,0.0
8050,0,1010354.0973752318,1104777.4856961223,875694.2356757377,50000.0,23148.51718243138,0.0
8051,0,1010194.5285901509,1104683.652208951,876458.7358433082,50000.0,21394.14703507666,0.0
8052,0,1010550.8033755335,1105023.1751301705,876542.9445848856,50000.0,21742.30245420326,0.0
8053,0,1009719.5860847493,1104220.9822006847,876207.8654898484,50000.0,21219.60723892723,0.0
8054,0,1009105.6469604321,1103614.8940729958,875773.0189897583,50000.0,21230.914003631373,0.0
8055,0,1010113.803517874,1104740.4867998871,877013.0094119628,50000.0,20324.939665135247,0.0
8056,0,1009539.9655929977,1104178.4390278687,876564.3760934314,50000.0,20422.372705365528,0.0
8057,0,1009071.9356208532,1103793.3399823373,876392.3185550645,50000.0,20223.18841383965,0.0
8058,0,1008615.3630638482,1103160.0399122539,875543.6753865232,50000.0,21057.076995421477,0.0
8059,0,1008018.7365646093,1102566.691462323,875053.8126752486,50000.0,21233.16948181802,0.0
8060,0,1009159.4545230103,1103641.2833988513,875441.7553761998,50000.0,21947.645742835444,0.0
8061,0,1008867.7784077073,1103332.3126456905,874944.9972697913,50000.0,22518.9035779481,0.0
8062,0,1008312.0186800193,1102782.4767816053,874534.8766267692,50000.0,22570.989991748706,0.0
8063,0,1007853.3346884479,1102327.8833947242,874185.4607580102,50000.0,22646.139839969936,0.0
8064,0,1007121.130962026,1101613.2725372624,873780.6272066183,50000.0,22499.15132083102,0.0
8065,0,1006615.6195782615,1101103.1334278286,873269.5675485524,50000.0,22847.059696113676,0.0
8066,0,1004150.252321369,1098480.3674023827,868927.5502718952,50000.0,27993.316485353786,0.0
8067,0,1004104.4658939153,1098462.9023354407,869274.3763430464,50000.0,27300.917079492563,0.0
8068,0,1003940.3002678177,1098313.5059041362,869331.5494184421,50000.0,27009.971560573897,0.0
8069,0,1004631.3626769258,1099003.402289043,869926.4387478441,50000.0,26709.267246271418,0.0
8070,0,1004566.925206926,1098958.4335271528,870136.4076376605,50000.0,26248.35909785971,0.0
8071,0,1004148.6513469092,1098545.7463041043,869843.3392117999,50000.0,26311.397788666796,0.0
8072,0,1004662.3544111336,1099017.5034936934,869722.549922323,50000.0,27123.03232999375,0.0
8073,0,1003505.5061794162,1097842.6989082561,868454.3970780409,50000.0,28120.645408323588,0.0
8074,0,1003579.1412229952,1097934.0601387075,868761.9208674958,50000.0,27642.66544909115,0.0
8075,0,1003763.8257787605,1098059.5273840302,868116.4004466112,50000.0,29041.15529152889,0.0
8076,0,1003682.725997263,1097998.3920388015,868317.0054650392,50000.0,28575.619250402473,0.0
14490,0,1391656.8723621196,1514772.5690770107,1291539.9991451066,50000.0,18639.112804289645,0.0
14491,0,1394688.1524610273,1518010.4862472226,1294895.8840312867,50000.0,19865.929873768637,0.0
14492,0,1392734.707668968,1516702.0342902641,1294894.7398786948,50000.0,23471.61515079646,0.0
14493,0,1393346.5029366873,1517177.4804138923,1295077.272996362,50000.0,22703.856944387415,0.0
14494,0,1391833.8452595496,1515233.0595223983,1292489.5201579002,50000.0,20238.861147222207,0.0
14495,0,1391852.2132629214,1515368.5461869745,1292831.6480492668,50000.0,20904.74328939165,0.0
14496,0,1393110.2253285684,1516613.1375066016,1293948.9246288347,50000.0,20814.20216814662,0.0
14497,0,1392686.3902660783,1515817.1599008702,1292526.6489274146,50000.0,18682.615628277556,0.0
14498,0,1393983.6309375186,1517581.4421082889,1295014.2208461643,50000.0,21395.051202725797,0.0
14499,0,1391644.5567412102,1514939.9859828546,1292027.6338766064,50000.0,19659.24132055502,0.0
14500,0,1392693.1866339725,1515955.4907547457,1292898.0184516348,50000.0,19434.149343229394,0.0
14501,0,1395628.381040102,1519297.033928805,1296720.9828752475,50000.0,21968.251324096833,0.0
14502,0,1393496.285810092,1517085.4638755415,1294542.8976320082,50000.0,21320.613864685947,0.0
14503,0,1394575.496285225,1518459.7863103454,1296353.5871323731,50000.0,23089.195989879314,0.0
14504,0,1394446.4283128623,1517887.3399439212,1295003.2536434217,50000.0,20526.38230555329,0.0
14505,0,1392367.88096786,1516012.408362378,1293660.9967896133,50000.0,21622.676945652816,0.0
14506,0,1394760.1152806678,1518391.0368661915,1295819.0093095666,50000.0,21648.190739121183,0.0
14507,0,1392700.9846430067,1516581.874112002,1294623.521972382,50000.0,22975.579562205727,0.0
14508,0,1394058.3827787207,1517882.9737078673,1295712.9636545703,50000.0,22704.39252784065,0.0
14509,0,1395413.667940822,1518885.8383250707,1295978.0508218678,50000.0,20809.446713951012,0.0
14510,0,1392249.759218457,1515813.8595571537,1293329.1627568095,50000.0,21164.985738016763,0.0
14511,0,1393495.807869123,1516801.9503924588,1293756.4059324728,50000.0,19695.774821836392,0.0
14600,0,1255903.263268816,1370063.0276304076,1143565.0446000227,50000.0,11273.370335492573,0.0
14601,0,1255272.4448759824,1369382.1930962834,1142861.9860077521,50000.0,10697.978678312675,0.0
14602,0,1257224.6919611918,1371478.8580186116,1145009.7185638167,50000.0,11607.464482632386,0.0
14603,0,1256756.5676251773,1371071.840752409,1144756.2742106598,50000.0,12089.507442582111,0.0
14604,0,1256741.7852673733,1370973.6587416558,1144515.0863211094,50000.0,11747.44472228171,0.0
14605,0,1256257.375982174,1370600.3945193146,1144383.8019031684,50000.0,12296.526576740318,0.0
14606,0,1256175.2701212002,1370419.0958776942,1144038.9915960508,50000.0,11804.58877959684,0.0
14607,0,1255547.459279041,1370103.7421965015,1144329.2982429957,50000.0,12908.562626341127,0.0
14608,0,1255800.7176519255,1370236.8894771454,1144228.3488241388,50000.0,12475.949591575587,0.0
14609,0,1255183.980883389,1369687.405476329,1143858.4357155093,50000.0,12485.493877191346,0.0
14610,0,1255785.6976848543,1370133.6044405773,1143973.6083243964,50000.0,12061.744601768516,0.0
14611,0,1255602.8779481854,1369858.9054286722,1143558.3567818215,50000.0,11543.510488076381,0.0
14612,0,1255026.1896034328,1369454.0983199521,1143510.337637547,50000.0,12054.051995463058,0.0
14613,0,1255023.8397630274,1369372.1706730663,1143290.7214673953,50000.0,11677.645005142735,0.0
14614,0,1255018.532825422,1369285.854803492,1143064.5679002919,50000.0,11295.213038354314,0.0
14615,0,1257307.9603920905,1371458.9104014568,1144802.475225857,50000.0,11129.144261424608,0.0
14616,0,1256594.4572739694,1370732.0141537264,1144125.0663467245,50000.0,11437.05383063094,0.0
14617,0,1257491.8472975574,1371539.9623321395,1144686.6979601076,50000.0,10606.955253361992,0.0
14618,0,1256963.2675226831,1370996.2041597953,1144170.4788330523,50000.0,10817.013998089842,0.0
14619,0,1256279.664003214,1370240.7402430335,1143360.2672540925,50000.0,10628.137875156091,0.0
14620,0,1255987.0639654442,1370044.5526614864,1143360.8747780826,50000.0,10867.928944708674,0.0
14621,0,1255241.846725107,1369263.6409725035,1142594.2396819738,50000.0,10281.648314065507,0.0
15626,0,1016707.8435074068,1122148.5681444062,911314.2467807028,50000.0,24908.879113482162,0.0
15627,0,1018754.0224664704,1119426.5004415659,900295.3296742784,50000.0,8049.61814530058,0.0
15628,0,1018392.1280713142,1119183.9588252723,900309.2760670877,50000.0,8089.077810744326,0.0
15629,0,1039304.9175712138,1145701.2826293663,932946.3654338404,50000.0,16795.3769428955,0.0
15630,0,1038696.3215649918,1145154.3534836737,932596.3056954611,50000.0,17425.286740017436,0.0
15631,0,1037434.5572657774,1143956.5672915033,931699.3300862618,50000.0,18621.805833652186,0.0
15632,0,1037280.9712409404,1143693.2556960778,931274.5252688538,50000.0,18574.40649366737,0.0
15633,0,1038024.4516649216,1144364.411604488,931709.9675240333,50000.0,17805.209776454856,0.0
15634,0,1039078.7802753281,1145356.1901951726,932435.2248143009,50000.0,16781.601869280392,0.0
15635,0,1037083.4548683666,1143377.023288456,930788.4320074952,50000.0,18566.78442208554,0.0
15636,0,1038903.037489547,1145060.161183891,931963.2824119995,50000.0,16741.195198603302,0.0
