,Offshore,dist_rotor_m,dist_nacelle_m,dist_tower_m,dist_found_m,dist_to_grid_m,sea_depth_m
13203,0,799248.8489041572,867419.8279020004,752810.8939954457,50000.0,16869.255148230066,0.0
13204,0,799246.0388151297,866921.7940867891,752784.0155456115,50000.0,17458.377729115804,0.0
13205,0,799652.0252782303,866827.828191671,752391.5529878071,50000.0,17469.97475867286,0.0
13206,0,801403.5355320866,865106.2561054002,750621.5219130291,50000.0,19110.048670118053,0.0
13207,0,801697.5638344964,865037.4364461567,750337.0831408898,50000.0,19148.12904514222,0.0
13208,0,801785.1024465291,865312.6032218506,750269.9929699914,50000.0,18846.207343072514,0.0
13209,0,802071.6641160321,865397.2546880605,750002.6952630188,50000.0,18746.485423531638,0.0
13210,0,802675.5260968494,864958.9900991645,749401.6224377145,50000.0,19185.015488666275,0.0
13211,0,802857.559168128,865006.3352266119,749231.7901023633,50000.0,19145.28559345107,0.0
13212,0,803074.7373244176,864306.1337018608,748981.8745550617,50000.0,19836.581961455428,0.0
13213,0,803247.6766553606,864533.5482850928,748831.4748575595,50000.0,19618.750444020534,0.0
13214,0,803343.3749368679,864240.4964610931,748722.3248765134,50000.0,19906.05458252726,0.0
13215,0,803851.635584786,863331.6424698723,748184.0314234039,50000.0,20811.101013925032,0.0
13216,0,803999.5092508608,861727.553470081,747957.0622251045,50000.0,22086.988471748762,0.0
13217,0,804226.6052183083,863247.6577342796,747821.7524690243,50000.0,20902.476108015555,0.0
13218,0,804063.8308922253,861964.2621980583,747906.9424803214,50000.0,22221.41604894596,0.0
13219,0,804309.8958880409,861594.3128343832,747652.288938971,50000.0,22179.90507987911,0.0
13220,0,804569.1535391391,860835.286391014,747366.9853253608,50000.0,21236.851878765785,0.0
13221,0,804609.9258802983,861065.5450668421,747338.3765135497,50000.0,21641.575630331416,0.0
13222,0,804717.611900591,861250.2362593116,747243.7047942311,50000.0,22041.942982221302,0.0
13223,0,805137.6162507923,860401.9066353262,746799.5146109954,50000.0,21120.904218598975,0.0
13224,0,801268.9756006008,865947.1774388887,750799.6564109285,50000.0,18213.32950897808,0.0
13225,0,800865.5442466465,866586.113186777,751222.9603371961,50000.0,17568.280246656515,0.0
13226,0,800971.2329944213,867121.0354076325,751158.090667128,50000.0,17023.087781751583,0.0
13227,0,801020.271782328,865892.6195615132,751032.888932398,50000.0,18295.25620104562,0.0
16421,0,762929.7578142118,856404.7286676327,793875.4590939741,50000.0,30477.61135798958,0.0
16422,0,755756.2394861149,851007.7802643946,806531.2377968847,50000.0,738.3811092582698,0.0
16423,0,752435.0882734007,859054.985040434,807066.7801618486,50000.0,13806.02353829154,0.0
16424,0,752390.5995860731,859346.6796299315,806989.2433765657,50000.0,14416.871983954774,0.0
16425,0,751707.9624369083,859905.9197393513,807689.4504298249,50000.0,14429.568408537825,0.0
16426,0,751705.7086326818,860098.9681513067,807600.1396685828,50000.0,14882.138040548254,0.0
16427,0,751881.4334843155,859422.0544077491,807677.0893105615,50000.0,13611.983218197242,0.0
16428,0,751330.8831033295,860113.4081163438,808125.2903184409,50000.0,14212.569089273937,0.0
16429,0,750648.6768549985,860764.0392377877,808780.9711198001,50000.0,14492.8391660896,0.0
16430,0,750020.5695065289,861212.9910625567,809457.4468468145,50000.0,14431.874973502567,0.0
16431,0,749947.3209682533,861607.2317966745,809371.3132218265,50000.0,15206.150827269354,0.0
16432,0,749887.468101964,861875.8753823981,809327.9868040828,50000.0,15716.962331834553,0.0
16433,0,753180.0062505632,858493.541459487,806278.9066494368,50000.0,13945.211423321678,0.0
16434,0,752903.1099033711,859021.2322225212,806418.5114578244,50000.0,14656.524509908491,0.0
16435,0,753378.085134557,859150.2572363857,805687.6951475333,50000.0,15934.825421308633,0.0
16436,0,753806.006211931,859245.8322390909,805044.2414089715,50000.0,17050.892366181364,0.0
16437,0,753485.5621339381,859728.8204621243,805272.1119520736,50000.0,17543.228369630215,0.0
16438,0,754556.2962057561,858203.465938574,804472.6516928568,50000.0,16126.68237163863,0.0
16439,0,754330.3668251683,858123.0917471121,804827.6497481273,50000.0,15449.745470740705,0.0
17436,0,798427.1080098476,868002.2498899146,753628.0150490003,50000.0,16383.862995446603,0.0
17437,0,802670.0564906356,860709.175426443,749200.3565397981,50000.0,19313.70942596539,0.0
17438,0,802078.0003330404,861362.0597161686,749798.6025725602,50000.0,19826.169031355363,0.0
17439,0,803619.6863391554,860554.5213217168,748272.8013931859,50000.0,19895.779880737235,0.0
20691,0,766816.1532598889,1082508.5623082425,866853.2578932308,50000.0,16835.7187497219,0.0
20692,0,773709.5731707073,1030352.3659099764,830808.9314386741,50000.0,38546.50910097964,0.0
20693,0,783419.9625568996,1013371.5602966703,815597.1060272966,50000.0,23609.04525076591,0.0
22803,0,824289.0910374115,807197.4507333225,731648.2436288525,50000.0,8013.620091812908,0.0
22804,0,824475.418662137,807133.0676405809,731435.5041017175,50000.0,8033.356106069561,0.0
22805,0,824661.7989590375,807068.7573117067,731222.7974817933,50000.0,8062.078298311821,0.0
22806,0,824978.6400576108,807001.4538694067,730849.3798570847,50000.0,8199.08289592349,0.0
22807,0,825201.9763082268,806873.026309209,730609.6707694249,50000.0,8177.182199074052,0.0
22808,0,825480.1993095896,805706.2621256735,730605.1925735028,50000.0,6531.4456232376915,0.0
22809,0,825722.6065275007,806240.9621267427,730146.5761554573,50000.0,7582.4685045394435,0.0
22810,0,825770.1034513357,805702.9450642588,730244.7525520372,50000.0,6739.824729942911,0.0
22811,0,826006.6501193253,805560.6299385346,729992.2209716825,50000.0,6705.589073872836,0.0
22812,0,826009.938008601,805809.3777610568,729915.2623270057,50000.0,7118.391711103739,0.0
22813,0,826242.0771006097,805420.0927870721,729740.6137585258,50000.0,6675.810611249018,0.0
22814,0,826502.871507897,805017.2201183893,729534.741632477,50000.0,6235.684998144602,0.0
22815,0,818919.333111447,811409.2659326146,737094.3436804394,50000.0,11918.952538920967,0.0
22816,0,818848.2015680274,810544.528939463,737446.2643418917,50000.0,11341.93254609512,0.0
22817,0,818821.2104623149,811397.275340474,737220.4700972391,50000.0,11928.734674726345,0.0
22818,0,828105.0847216599,805535.528395247,727407.5557581552,50000.0,9166.233047971136,0.0
22819,0,828331.7005162261,805027.6054658747,727268.918265723,50000.0,8515.469998810086,0.0
22820,0,828330.0487834879,805479.0789452493,727147.3216600183,50000.0,9390.996795820389,0.0
22821,0,826561.3414479962,807021.8036701704,728894.6730998459,50000.0,9884.337344113379,0.0
22822,0,827608.2833887043,806492.4441878457,727757.1991222122,50000.0,10291.952038763693,0.0
22823,0,827642.6051751996,806115.7603158188,727816.3850125932,50000.0,9618.17583150937,0.0
22824,0,826851.7223625454,806997.6853714639,728546.0224868081,50000.0,10213.637139729217,0.0
22825,0,828554.0565691664,804977.9382516743,727009.5141890629,50000.0,8753.492388533201,0.0
22826,0,828554.0678678718,805421.3834118808,726888.8055810494,50000.0,9619.138849895386,0.0
22827,0,827111.9844159856,806972.5890913592,728234.9765351671,50000.0,10515.549041112392,0.0
22828,0,827297.9547439595,807011.7593853794,727997.9454666302,50000.0,10847.200282835687,0.0
22829,0,827509.2122851055,806960.9970680883,727754.1434741426,50000.0,11048.997913397003,0.0
27797,0,791755.3316086422,820878.0225536758,769793.7422990359,50000.0,25738.89993223261,0.0
27798,0,791123.6075536812,821611.3976252994,770325.3326478859,50000.0,26140.14607176583,0.0
27799,0,790498.811119736,822240.7617075669,770902.7203082604,50000.0,26318.790600706005,0.0
27800,0,791704.157572912,820746.5684534697,769939.6890537533,50000.0,25307.092366151737,0.0
27801,0,792357.813766227,820181.2164794562,769285.9148023429,50000.0,25376.326567942157,0.0
27802,0,793140.9665304727,819827.7861358013,768328.9662341941,50000.0,26265.111783588527,0.0
27803,0,792896.0943721592,819910.152581196,768642.9543953096,50000.0,25917.27995363992,0.0
29280,0,802415.9065370071,859313.9099089034,749408.5379036095,50000.0,17020.944661150323,0.0
29281,0,802632.7310403027,859277.218288111,749194.9696540394,50000.0,17125.33532035778,0.0
29282,0,802566.6017645157,859537.3401138496,749266.241495088,50000.0,17463.933927937054,0.0
29283,0,802810.962802396,859434.5342844953,749024.3066656087,50000.0,17496.45395703502,0.0
29284,0,802823.6361468331,859238.1067000972,749006.8704741327,50000.0,17211.089809433575,0.0
29285,0,802321.6135177262,859644.8285528679,749508.9675176947,50000.0,17442.475355228817,0.0
34018,0,817891.133377389,811231.3750147836,738438.3504530196,50000.0,12196.517174501612,0.0
34019,0,818002.3810049747,811502.0211883925,738214.6307236115,50000.0,12278.450343871458,0.0
34020,0,818387.2570998073,810865.0591955481,737927.2192867817,50000.0,11745.499512377886,0.0
34021,0,818408.840424423,811043.6116729972,737844.7699457802,50000.0,11828.929298273852,0.0
35814,0,818721.3858144234,811738.4998426242,737243.5515411017,50000.0,12232.561490424972,0.0
35865,0,763171.1270521315,893653.8434845251,788735.1362435434,50000.0,21601.358816913016,0.0
35866,0,763700.113188863,892984.9016073109,788196.3705122892,50000.0,22154.545339892033,0.0
36593,0,878611.0287194779,960930.3006964003,729899.8752642849,50000.0,12894.683417273058,0.0
36594,0,895019.0740934573,955729.24705156,717229.4424737999,50000.0,4783.673026322357,0.0
36595,0,767992.9355741172,893208.373836011,784102.9915762527,50000.0,21957.90419039508,0.0
36596,0,744730.1820244859,952449.2515188709,814883.056219535,50000.0,11536.718177220373,0.0
36597,0,801201.7779607815,854513.3892854652,750609.7314465505,50000.0,10582.051506454407,0.0
36598,0,797114.4705885869,833832.1320154477,757743.6148510076,50000.0,19140.67475896202,0.0
36599,0,818278.403976237,811071.1659713436,738000.3454346906,50000.0,11907.717102563116,0.0
36600,0,787621.5058567539,824758.9576527096,773765.3393487952,50000.0,26410.10065383361,0.0
36601,0,816128.6493210489,824805.6021979897,737305.0274945456,50000.0,8633.897337044464,0.0
36602,0,827343.3830819031,806491.2468310862,728081.1034705626,50000.0,9918.029913507522,0.0
36603,0,818740.514955112,811611.2243252543,737257.4359090378,50000.0,12120.666225354158,0.0
36604,0,792070.4330473163,820668.4120641075,769444.870647065,50000.0,25923.282202938564,0.0
36605,0,819223.351634931,811454.1284195789,736702.0606856716,50000.0,11921.522331913351,0.0
36606,0,824645.315686722,956107.4224837823,760502.5384465172,50000.0,11526.98953788392,0.0
36607,0,773716.7511427845,1030365.0175431689,830812.0897522947,50000.0,38563.66002848769,0.0
36608,0,783431.8204370334,1013390.8543618049,815600.7824901538,50000.0,23639.727488372675,0.0
36609,0,808621.2479149211,854602.47060267,743209.7446856864,50000.0,15586.035114097265,0.0
36610,0,802229.2348949221,860009.1711737859,749608.8787336611,50000.0,17915.48326030222,0.0
36611,0,762946.9942957272,856396.6234456392,793855.8211924299,50000.0,30497.926320042465,0.0
36612,0,755730.8077048744,851041.2095086012,806550.0120356437,50000.0,761.7358355169954,0.0
36613,0,764075.8689020675,858096.3593718702,791829.605285823,50000.0,36573.06725686028,0.0
36614,0,756314.7345084182,877636.0451695917,796622.724933906,50000.0,42887.62083514777,0.0
36615,0,764509.5939570934,892557.0956886967,787396.5349197316,50000.0,22939.159774589447,0.0
