,Offshore,dist_rotor_m,dist_nacelle_m,dist_tower_m,dist_found_m,dist_to_grid_m,sea_depth_m
27818,0,516596.57103758457,540181.5985236873,673469.1526483065,50000.0,10133.27283795964,0.0
27819,0,516962.40671219263,540073.9784804806,673480.2237472828,50000.0,10503.765089756422,0.0
27820,0,517307.35627082887,540052.1437061618,673578.607730918,50000.0,10864.273049870828,0.0
27821,0,517817.5327464824,539813.3327680753,673495.8439828394,50000.0,11368.466598766123,0.0
27822,0,518064.32512823894,539995.242331352,673784.2106887486,50000.0,11656.703227062846,0.0
27823,0,518522.17765288264,540073.8353738344,674033.0220016746,50000.0,12157.666871622365,0.0
27824,0,518741.6429878445,540292.3205981898,674351.5863717673,50000.0,12435.895193036364,0.0
27825,0,526455.6316501788,558080.8826418162,696318.194610423,50000.0,8284.694605070556,0.0
27826,0,526703.1722860428,557737.5686298979,696030.3290450549,50000.0,7978.256281633779,0.0
27827,0,527049.7978256985,557173.6191141458,695537.843745925,50000.0,7541.4607682676215,0.0
27828,0,527035.551709917,558046.3658405009,696470.3392156299,50000.0,7781.57228606023,0.0
27829,0,527711.7797119309,557881.2440332408,696513.4885520305,50000.0,7169.314793430372,0.0
27830,0,526614.9925782293,558358.9695677224,696668.7628861774,50000.0,8233.59849249759,0.0
27831,0,527588.481536854,557598.7053914679,696170.1311413634,50000.0,7176.049902925417,0.0
31360,0,523067.65159614396,538196.6315250738,673567.2477645102,50000.0,16671.192750234066,0.0
31361,0,523929.1664028473,537532.3987490722,673139.250814486,50000.0,17489.50746921529,0.0
31362,0,523493.06611000985,537790.1137883284,673269.5182028966,50000.0,17064.176133614063,0.0
31363,0,522573.1893224265,537409.0910507208,672526.1710573155,50000.0,16071.511857664638,0.0
31364,0,524668.663922653,537737.575373356,673624.1809721763,50000.0,18291.605044020416,0.0
33562,0,533459.4854043968,549235.0154834595,689106.247459095,50000.0,4744.733451289607,0.0
33563,0,530137.828869115,548733.2803014755,687465.6838577088,50000.0,7836.386328392585,0.0
33564,0,531327.7890832581,551755.9649435872,691116.7602155306,50000.0,4184.477057738157,0.0
33565,0,532215.3240607821,546677.4346930732,685937.2078320591,50000.0,6414.311453752627,0.0
33581,0,524952.9020780106,553683.662105347,691087.984777231,50000.0,10064.896868537959,0.0
33582,0,519178.4610680465,556814.8272456318,692550.6302703822,50000.0,15458.917581080685,0.0
33583,0,520752.5164814816,555931.0966434305,692119.4303287688,50000.0,13956.938769891198,0.0
33584,0,522288.16408618115,556802.1328620499,693571.0593989358,50000.0,12217.378647627575,0.0
33585,0,561002.6629211103,553473.6792139835,702321.9563655966,50000.0,4589.537137888932,0.0
33586,0,560798.7100514997,553626.7728269916,702420.2697724666,50000.0,4747.680405911479,0.0
33587,0,560726.6791187621,553369.0985596452,702128.3099429504,50000.0,4918.416192582922,0.0
33588,0,561059.2134783437,553375.5665370126,702236.3748021963,50000.0,4568.635100467345,0.0
33589,0,513622.28524998226,554450.7113590869,688105.1490423707,50000.0,13378.491934024634,0.0
33590,0,514270.7384290209,554133.3253546682,687980.1681878017,50000.0,14007.521359825307,0.0
33591,0,514457.4733482439,553647.6902075963,687514.0178017317,50000.0,14336.707099461746,0.0
33592,0,513993.3642962788,553794.2748241317,687515.425329881,50000.0,13921.814953660096,0.0
34375,0,514204.9018905222,552198.8894514408,685844.9357089903,50000.0,14798.917026771396,0.0
34376,0,514914.67245781585,551558.5973387612,685388.6913844204,50000.0,15310.475753654611,0.0
34377,0,515356.5021509846,550777.7247123732,684686.6813128187,50000.0,15032.336163388785,0.0
34378,0,528315.9549747499,534001.9269317306,670798.3144575875,50000.0,19359.62089587849,0.0
34379,0,527869.3332544789,533895.7257803561,670524.64416026,50000.0,19874.286506456257,0.0
34380,0,527284.8908183825,533733.3136983294,670140.2196542677,50000.0,20573.9891509252,0.0
34381,0,516522.1817137391,549696.810101207,683905.5502961129,50000.0,15264.999012898588,0.0
34382,0,516085.2548616441,549856.9803209986,683930.3383523194,50000.0,14958.740562826984,0.0
34383,0,515861.5245575902,549645.4203602545,683621.741128129,50000.0,14557.810482486495,0.0
35441,0,518202.888861696,544771.7445045285,679091.0093827192,50000.0,13605.615752353517,0.0
35442,0,519051.40881839645,544250.940261473,678814.8292959845,50000.0,14262.49663584592,0.0
35501,0,528084.6003973496,557347.6285802806,696062.3926758877,50000.0,6680.192637378288,0.0
35534,0,525801.1220858567,569801.3054964012,708630.4863698817,50000.0,9471.152381082899,0.0
35535,0,526232.5960762764,569244.3496085803,708174.747210217,50000.0,9008.330380218551,0.0
36689,0,521813.51001975004,542133.6181706237,677453.141145603,50000.0,16361.92576212107,0.0
36690,0,520479.3237662454,544169.3426414882,679221.4144560391,50000.0,15796.164359919527,0.0
36691,0,518573.0785638782,544508.83443924,678931.3389192959,50000.0,13870.264416490949,0.0
36692,0,526741.631907919,533536.4498040401,669731.7737295865,50000.0,20239.206072788078,0.0
36693,0,523382.7778574856,537991.4510239369,673452.2459512464,50000.0,16974.351048911532,0.0
36694,0,528992.3690827639,556105.4716156624,695025.299985384,50000.0,5562.997896551444,0.0
36695,0,560903.694323359,553379.1159882806,702192.7345624869,50000.0,4729.582362458142,0.0
36696,0,561475.6044708947,583043.1716181968,733120.5090896414,50000.0,12634.447306171403,0.0
