,Offshore,dist_rotor_m,dist_nacelle_m,dist_tower_m,dist_found_m,dist_to_grid_m,sea_depth_m
8558,0,660476.9182421512,718336.3393488437,291690.2967663339,50000.0,1316.5410660799523,0.0
8559,0,660389.2271537808,718270.7868828756,291743.8444081107,50000.0,1317.7708677402786,0.0
8560,0,659472.7341279112,717401.253606414,291285.12638871605,50000.0,1031.9560658733017,0.0
8561,0,660301.2584729479,718205.7949548083,291801.8938908437,50000.0,1352.6576805616428,0.0
8562,0,659303.1344764528,717261.6143021282,291318.32921612624,50000.0,1247.7221986276174,0.0
8563,0,660198.910742553,718127.8851067658,291856.84102680814,50000.0,1415.2561752869683,0.0
8564,0,660149.0930135415,718099.5983657351,291936.98095864686,50000.0,1520.8471756506515,0.0
8565,0,661066.6676133923,718999.6292798462,292559.9802441952,50000.0,2139.494451037771,0.0
8566,0,660088.0367299939,718065.5520077556,292038.73097173485,50000.0,1672.839678176966,0.0
8567,0,660987.9241092454,718943.932412358,292625.6396537769,50000.0,2181.5565691763327,0.0
8568,0,659501.1524205843,717512.1495084367,291764.6026787077,50000.0,1711.0058410739468,0.0
8569,0,660031.6005809626,718032.8023324421,292125.7756523479,50000.0,1817.9064644285907,0.0
8570,0,660931.3972294404,718907.3533537072,292691.6668814098,50000.0,2241.2810314475896,0.0
8571,0,659343.53237609,717380.9121186383,291787.6406855279,50000.0,1904.2749248706714,0.0
8572,0,659953.8979717048,717978.2835681861,292193.448548848,50000.0,1960.0308380846586,0.0
8573,0,662375.6788196969,720322.4798317405,293665.6961160664,50000.0,3392.336692575802,0.0
8574,0,660497.7347285303,718512.6912033635,292567.44163117657,50000.0,2175.453778541625,0.0
8575,0,660830.8397527017,718835.407752955,292771.18795304804,50000.0,2332.17911176472,0.0
8576,0,662266.7566644683,720228.6768947968,293663.52474070556,50000.0,3342.549641702551,0.0
8577,0,662094.3372798001,720072.463149582,293617.47342566296,50000.0,3246.719785040287,0.0
8578,0,661927.8109042671,719915.4984456651,293539.399860186,50000.0,3138.088500713259,0.0
8579,0,661877.9152616557,719885.2923353828,293609.1089624159,50000.0,3184.031303386661,0.0
8580,0,661733.38209316,719364.0590247789,291417.94424731884,50000.0,2802.7576359875065,0.0
8581,0,661551.0974529483,719194.0142921414,291341.6043106242,50000.0,2599.4382084885633,0.0
8582,0,661893.2289124673,719572.109808377,291808.91785945796,50000.0,2786.560885048486,0.0
8583,0,661395.2797952169,719092.1941352442,291515.95493107097,50000.0,2277.468617198039,0.0
8584,0,661729.8037163138,719416.9887839307,291725.8419900341,50000.0,2612.873152068984,0.0
8585,0,661220.76926922,718931.3302984715,291453.7378924423,50000.0,2078.6231384156667,0.0
8586,0,661585.2316350315,719289.8479435187,291707.90299778595,50000.0,2433.4844418351117,0.0
8587,0,661061.1339733382,718785.804442836,291405.8581508631,50000.0,1893.2145060403245,0.0
8588,0,661852.7409316564,719615.6056311653,292239.29014340055,50000.0,2602.943973756883,0.0
8589,0,661631.4865117468,719405.056931411,292124.0910222281,50000.0,2376.885420324478,0.0
8590,0,662187.0896525495,719982.1017429307,292679.72490768885,50000.0,2929.159168062818,0.0
25505,0,714312.2518158633,780781.6289950748,384857.2825221969,50000.0,5367.903045034096,0.0
25506,0,713965.8378932966,780473.749337917,384818.5577520843,50000.0,4873.897183186847,0.0
25507,0,714092.7617732788,780648.7840854769,385219.87003837846,50000.0,4701.654382275209,0.0
25508,0,714652.5644428412,781419.9739179006,386987.725497969,50000.0,4537.817272905594,0.0
25509,0,715184.376676961,781991.9279419588,387665.6039893527,50000.0,5047.1004090971555,0.0
25510,0,714737.4905002088,781570.5082245059,387466.0828650519,50000.0,4604.126842148937,0.0
25511,0,715625.9915659693,782434.7096944042,388027.6418176147,50000.0,5488.603429523966,0.0
25512,0,727033.738251503,794236.6964072837,399707.89172076085,50000.0,17476.909982540074,0.0
25513,0,725679.0238929882,792918.6971232807,398838.3953233526,50000.0,16253.911889562341,0.0
35528,0,695959.9897887559,758401.0086458067,345870.2633906284,50000.0,4666.604548892956,0.0
35529,0,696179.5332178778,758626.7506922605,346082.70227386255,50000.0,4864.896712431501,0.0
36697,0,649142.5047489029,704632.838446134,269914.8900956781,50000.0,21913.170074226477,0.0
36698,0,652907.9907130437,710774.0724483543,285823.9700855743,50000.0,6351.425802856047,0.0
36699,0,722998.9098110652,789410.5506007953,391515.56851594377,50000.0,13333.580000386539,0.0
36700,0,696008.362366543,761686.9437764467,365374.3258064792,50000.0,18438.579295038562,0.0
36701,0,656978.2470287518,717099.2419796493,301756.855162709,50000.0,19279.40707859785,0.0
36702,0,882120.515709532,948174.502789405,526931.9730126192,50000.0,32328.29188731481,0.0
