,Offshore,dist_rotor_m,dist_nacelle_m,dist_tower_m,dist_found_m,dist_to_grid_m,sea_depth_m
11916,0,305312.78475749755,1370009.8209096363,1280142.6982726732,50000.0,40470.96618604814,0.0
11917,0,305173.91274078604,1369920.4465366066,1280151.5946661092,50000.0,40729.34607907359,0.0
11918,0,305099.46502401226,1369776.3561364291,1280095.2994088288,50000.0,40959.67549351568,0.0
11919,0,305035.40968743246,1369675.571555015,1280061.6767940065,50000.0,41136.076680771526,0.0
11920,0,305398.9695648399,1370177.9622308607,1280208.9918598833,50000.0,40204.157183889874,0.0
11921,0,305416.9122173672,1370389.9961602099,1280335.6709357046,50000.0,39982.00597674007,0.0
11922,0,305366.8367765543,1370595.0231908313,1280490.1327777144,50000.0,39852.44354597855,0.0
11923,0,305310.9565437926,1370822.478533617,1280661.7534738446,50000.0,39710.3725192409,0.0
11924,0,305209.45016925986,1371121.5286399773,1280900.7734469434,50000.0,39560.633896796455,0.0
11925,0,305209.4744760704,1371345.3691230137,1281044.0174271918,50000.0,39355.14100418047,0.0
11926,0,305071.19233653345,1371632.004992114,1281292.699078545,50000.0,39266.70991461777,0.0
11927,0,305124.06456385716,1371846.0029616854,1281405.0933414067,50000.0,39007.06789026782,0.0
11928,0,305207.8523814238,1371959.8432117866,1281438.832620131,50000.0,38799.94115375573,0.0
11929,0,305160.1018999452,1372196.5137117929,1281613.3078778873,50000.0,38647.654293606574,0.0
11930,0,305148.9839000797,1372464.6409033623,1281790.9950170685,50000.0,38423.29912994208,0.0
11931,0,305297.18569950253,1372554.45838662,1281779.4353215182,50000.0,38158.938678935774,0.0
11932,0,306398.9640394322,1368052.3315210626,1278385.3214292522,50000.0,41021.26287813938,0.0
11933,0,306430.38846339646,1368236.6921482831,1278487.032899878,50000.0,40799.097646831375,0.0
11934,0,307265.88302794896,1368387.7383773634,1278186.1190791947,50000.0,39613.57603508321,0.0
11935,0,307293.92832506885,1368638.2002180996,1278332.0644462926,50000.0,39331.99589084942,0.0
11936,0,307388.51424035424,1368769.7430136693,1278371.01540131,50000.0,39085.85736890916,0.0
11937,0,307373.0023151557,1368958.0608276394,1278498.3241532603,50000.0,38920.96391820157,0.0
11938,0,307314.669808499,1369236.867785932,1278703.691182879,50000.0,38722.18716059184,0.0
11939,0,307276.3965572547,1369455.345196163,1278861.2355462322,50000.0,38558.54980490576,0.0
11940,0,307406.1523201309,1369560.5687192997,1278867.2636476147,50000.0,38296.63235722081,0.0
11941,0,307436.91355506546,1369722.622314466,1278956.408675069,50000.0,38103.162074706444,0.0
14230,0,229408.94877359614,1468039.6706333016,1381905.8627631294,50000.0,32642.991778886568,0.0
14231,0,229308.3223102066,1467828.6824387026,1381779.877760516,50000.0,32690.10947500276,0.0
14232,0,229244.21224841304,1467593.3459116018,1381621.1108088477,50000.0,32702.403668609506,0.0
14233,0,229150.61028678785,1467378.492600911,1381489.7457236112,50000.0,32748.238858800592,0.0
14234,0,229088.93860608694,1467144.1248110926,1381331.1250587532,50000.0,32764.361421410795,0.0
14235,0,229006.34834205554,1466917.258775186,1381186.5234155129,50000.0,32803.92867233853,0.0
14236,0,228820.71237882946,1466482.7384080177,1380920.5852320825,50000.0,32913.81718622888,0.0
14237,0,228922.08687305855,1466698.149265776,1381048.7514464275,50000.0,32849.18524220694,0.0
14238,0,227056.95598266862,1463374.263124482,1379206.8836437096,50000.0,34475.70895416019,0.0
14239,0,227353.24945075475,1463679.0837041896,1379325.3050271755,50000.0,34170.39219660859,0.0
14240,0,226913.23862494496,1463187.5092696873,1379119.8561961518,50000.0,34628.087439654926,0.0
14241,0,227532.83633631407,1463937.6357946075,1379453.9814031175,50000.0,33989.15535496242,0.0
14242,0,228648.01607942017,1465951.010943346,1380575.0662392764,50000.0,33012.38247392308,0.0
14243,0,228492.58556591577,1465504.9514155376,1380289.9844242504,50000.0,33117.47431320095,0.0
14244,0,227208.99169895443,1463537.1269749326,1379272.531393271,50000.0,34317.94806216701,0.0
14245,0,228317.05948391202,1465087.1055914757,1380035.0870387594,50000.0,33255.27811423577,0.0
14246,0,228189.06884792828,1464904.6238632123,1379943.8036257338,50000.0,33368.81152106953,0.0
14247,0,228038.6143596226,1464743.704734007,1379877.9670036908,50000.0,33507.78901790284,0.0
14248,0,227772.32949480854,1464385.6783809485,1379705.4434268665,50000.0,33757.23896042569,0.0
14249,0,227699.22370236923,1464154.2506601552,1379555.8375450252,50000.0,33825.134615992305,0.0
14250,0,227886.4676400161,1464548.978272755,1379786.8943560107,50000.0,33649.47392639742,0.0
14251,0,228417.29072047162,1465286.6997051914,1380150.443523015,50000.0,33172.31473254383,0.0
14252,0,228596.7006839828,1465713.7775130887,1380411.2846278774,50000.0,33036.9154657503,0.0
