,Offshore,dist_rotor_m,dist_nacelle_m,dist_tower_m,dist_found_m,dist_to_grid_m,sea_depth_m
4201,1,410111.7993785362,373530.1897175235,421446.87738201045,50000.0,15098.062635927798,3.0
4202,1,408961.767486167,373025.72879557847,420379.6784156383,50000.0,16313.224161134704,1.0
4203,1,408179.1831257553,372405.1829450682,419596.82768677355,50000.0,17078.40072654524,3.0
4204,1,408335.8397881719,372763.4999064832,419801.2602781656,50000.0,16980.90778008595,3.0
4205,1,411786.2948079864,374752.07284803916,423099.6214854409,50000.0,13433.199453052508,2.0
4206,1,411318.20710866957,374539.84373805707,422664.00406857306,50000.0,13927.44678868305,2.0
4207,1,408978.79138755717,373489.6735509677,420488.490522327,50000.0,16416.999695790917,3.0
4208,1,408510.6310935754,373281.14033201477,420053.3572823491,50000.0,16918.281932719998,3.0
4209,1,408043.5877807643,373073.6347417815,419619.33571161237,50000.0,17419.20714784129,3.0
4210,1,407575.36186955665,372865.6646919455,419184.1929388931,50000.0,17922.0267994012,2.0
4211,1,407108.2526340244,372658.7211388632,418750.1614968949,50000.0,18424.363668992468,3.0
4212,1,406641.1077417477,372453.7975488536,418316.47743563337,50000.0,18927.92646719929,2.0
4213,1,406174.5075257781,372248.6604371844,417883.1723489311,50000.0,19431.203266958582,3.0
4214,1,411874.070892123,375272.8990413991,423279.23045445903,50000.0,13464.775649363628,3.0
4215,1,411493.5435219016,375100.5959931448,422925.1637196826,50000.0,13871.85663846307,3.0
4216,1,411747.12580466515,375651.88066346734,423249.96180745534,50000.0,13748.243200565179,3.0
4217,1,411113.37225150387,374929.2961051784,422571.5769826577,50000.0,14279.361797417108,3.0
4218,1,411367.8818917835,375480.6019253593,422897.18122593814,50000.0,14158.148441272648,3.0
4219,1,410738.0246946298,374759.97452175553,422222.4145991681,50000.0,14682.11809801766,3.0
4220,1,410990.72297165974,375310.5895394786,422546.3838939034,50000.0,14566.205153950108,3.0
4221,1,410357.99600593507,374589.4420442412,421869.0584944353,50000.0,15090.637101140162,3.0
4222,1,410611.9075760174,375140.6943244882,422194.19930924574,50000.0,14976.64556586134,3.0
4223,1,409978.76089379337,374419.11812739744,421516.38756630593,50000.0,15498.658787702838,3.0
4224,1,410231.87147819024,374970.12557987275,421840.83157788205,50000.0,15388.58852987334,4.0
4225,1,409601.8968607193,374250.6762286237,421166.0656290316,50000.0,15904.775227473321,3.0
4226,1,409857.0791465691,374804.17349690734,421492.778362248,50000.0,15795.968845391266,4.0
4227,1,409223.0909697903,374081.7404702632,420813.99227341014,50000.0,16313.452440752928,3.0
4228,1,409477.6203031174,374633.5747783795,421139.843629664,50000.0,16207.549917561642,4.0
4229,1,408844.35747922637,373913.1914008348,420462.0358338662,50000.0,16722.485862003352,3.0
4230,1,409099.0940317227,374465.21932563704,420788.1252852097,50000.0,16619.031424778703,4.0
4231,1,408465.12344749,373743.7905369031,420109.46344494564,50000.0,17132.10223160351,4.0
4232,1,408723.22664261353,374299.3606500364,420439.12302755925,50000.0,17028.323944659056,4.0
