,Offshore,dist_rotor_m,dist_nacelle_m,dist_tower_m,dist_found_m,dist_to_grid_m,sea_depth_m
5211,0,424578.4915362264,2053363.9560299572,380305.72313054366,50000.0,20367.437552138774,0.0
5212,0,426113.756995703,2053153.9166790326,379851.87614041404,50000.0,21636.73706811366,0.0
5213,0,424356.9110069056,2052702.5739550851,379658.86627653,50000.0,20842.482265786675,0.0
5214,0,424169.21546469274,2052182.838175596,379152.81495532446,50000.0,20414.13115804207,0.0
5215,0,425904.51023469557,2053385.2536502918,380122.22799458914,50000.0,21274.851845801837,0.0
5216,0,426740.3663631445,2053696.973895391,380315.8542393407,50000.0,21603.92441684629,0.0
5217,0,424475.8834731138,2052923.31710137,379867.69028706604,50000.0,20712.930415972714,0.0
5218,0,425671.73325019993,2053804.0008985982,380589.46166102384,50000.0,20724.42013814683,0.0
5219,0,424722.4017472693,2053558.119950081,380483.3380604091,50000.0,20283.979198692807,0.0
5220,0,425844.02927493176,2053602.9133059944,380355.7578840281,50000.0,21032.31618969956,0.0
5221,0,424257.3505418409,2052405.5391211181,379368.42678007897,50000.0,20638.21825017983,0.0
5222,0,426481.46167046536,2053903.7275881376,380568.1797950792,50000.0,21225.710039658905,0.0
5223,0,426301.04772508977,2053482.724105823,380161.9721352608,50000.0,21473.16610227446,0.0
5224,0,424070.016806263,2047129.3285749585,373966.95663664193,50000.0,15892.605950676916,0.0
5225,0,424858.1674062873,2046412.2880051956,373107.7975489494,50000.0,15609.173034385203,0.0
5226,0,422376.8242559627,2043568.0706006954,370573.0465883694,50000.0,12272.707207860163,0.0
5227,0,423382.24861390004,2046109.5254848197,373026.0429068991,50000.0,14782.597949897485,0.0
5228,0,422334.46312580025,2043322.2764443974,370327.2786046463,50000.0,12052.822546400075,0.0
5229,0,424188.94632485,2045762.8974387478,372543.7770843038,50000.0,14803.284681102956,0.0
5230,0,423671.5927135288,2046876.798433667,373769.53470865806,50000.0,15538.46935905572,0.0
5231,0,424003.23702377884,2048989.1207938886,375890.4631341294,50000.0,17484.280655890514,0.0
5232,0,423242.9422310192,2048081.5315251618,375076.1333421218,50000.0,16462.50226915629,0.0
5233,0,422915.42835787265,2044495.3254609278,371440.4705976414,50000.0,13251.701090612225,0.0
5234,0,423556.1542420823,2045703.5354739137,372581.42041228444,50000.0,14503.448990770841,0.0
5235,0,422995.59553518327,2043928.088541629,370845.0412203802,50000.0,12818.090049501938,0.0
5236,0,422059.34982427105,2044069.315016379,371138.60410541436,50000.0,12579.085530045262,0.0
5237,0,423022.66021987575,2044264.2245817243,371186.11326239444,50000.0,13103.31296131132,0.0
5238,0,422315.5633969147,2044022.8474590916,371050.02472398157,50000.0,12630.326077612996,0.0
5239,0,423139.5924922479,2045788.899522991,372734.616750989,50000.0,14424.314931350109,0.0
5240,0,424452.5724796061,2046646.7902266814,373411.4271577527,50000.0,15632.787785498283,0.0
5241,0,424338.12813103624,2045596.1113362296,372349.2556431128,50000.0,14731.853103072377,0.0
5242,0,423404.20354609925,2046969.0192106043,373906.3450321569,50000.0,15529.583735915756,0.0
5243,0,422964.9586003253,2044809.7076055342,371755.714792692,50000.0,13532.85747973294,0.0
5244,0,423467.3723880626,2048619.1972521727,375593.95345621154,50000.0,17004.60344532834,0.0
5245,0,423080.1257864248,2046577.802304858,373555.1169980931,50000.0,15085.891306759811,0.0
5246,0,423808.46820966055,2047424.389279857,374311.2312203797,50000.0,16055.599417694597,0.0
5247,0,422687.17562119087,2044512.1661912324,371493.8538692987,50000.0,13179.461887699586,0.0
5248,0,422456.7628846129,2043785.8658078625,370784.10713142407,50000.0,12484.636143464166,0.0
5249,0,422405.8295078117,2044308.1105448974,371328.7950323499,50000.0,12904.524131984092,0.0
5250,0,422290.4145119936,2043044.8024970968,370049.26241962303,50000.0,11807.337304886945,0.0
5251,0,424490.4775765079,2053852.839262483,380823.40310531954,50000.0,19849.150881120484,0.0
5252,0,421453.8980977699,2043141.0661663972,370281.8799344303,50000.0,11574.709513892903,0.0
5295,0,404204.07078407943,1992515.7754566292,321851.4468198143,50000.0,1890.159831820861,0.0
5296,0,402924.2968272784,1992113.3169591108,321706.7864663768,50000.0,3129.412639739586,0.0
5297,0,403680.6179374952,1992517.928475916,321959.4055835332,50000.0,2312.408188906824,0.0
5298,0,403137.6187122619,1991837.0968344412,321385.5442748738,50000.0,3083.9881121985864,0.0
5299,0,402762.9412871812,1992508.6853495475,322137.2620070456,50000.0,3134.897914599001,0.0
5300,0,403938.2273588921,1992488.4631097068,321877.62611498,50000.0,2112.671407362625,0.0
5301,0,404589.9045620097,1996340.5499132052,325624.06243967847,50000.0,2885.784153224498,0.0
5302,0,405246.07153627713,1996513.6807651422,325668.0580149502,50000.0,2764.156250754866,0.0
5303,0,404464.8442609648,1996665.8090786433,325976.8054120191,50000.0,3252.4204184768373,0.0
5304,0,404879.26017805375,1996952.239248945,326182.8573239346,50000.0,3330.214400514925,0.0
5305,0,404589.9045620097,1996340.5499132052,325624.06243967847,50000.0,2885.784153224498,0.0
5306,0,404943.07488394197,1996345.2535377655,325558.4386613957,50000.0,2716.5671602891716,0.0
5307,0,405848.21299179393,1996483.4683738367,325518.8427557594,50000.0,2598.2392583313954,0.0
5308,0,405264.0289713215,1995941.3045095894,325087.7350532312,50000.0,2193.5536233732655,0.0
5309,0,403052.7268550943,1992579.4299651044,322149.05411640945,50000.0,2847.5348814844656,0.0
5310,0,406855.437929897,1994271.4839802787,323093.55001821555,50000.0,1088.7774342107894,0.0
5311,0,406927.1781666774,1994566.9498604517,323377.1754430458,50000.0,1248.8377504429284,0.0
5312,0,406483.3126115984,1994743.5766996683,323641.4652011637,50000.0,1025.351023977002,0.0
5313,0,405467.0817958342,1994491.5399372648,323587.35980510863,50000.0,715.8955718391865,0.0
5314,0,406154.0345642602,1994208.0331506229,323166.59946457954,50000.0,446.53211372348323,0.0
5315,0,405963.6247658228,1993571.0236225307,322562.75023758324,50000.0,288.91225442997984,0.0
5316,0,405780.9215038102,1992961.661467636,321985.540262417,50000.0,808.5920306172055,0.0
5317,0,406994.76773608144,1992523.932113085,321307.40407726064,50000.0,1863.9297030763498,0.0
5318,0,406761.32595661806,1992773.996256594,321604.4502190967,50000.0,1497.6641125331482,0.0
5319,0,406463.1901927292,1992939.0327789313,321828.7274038471,50000.0,1150.1449015316252,0.0
5320,0,405923.7581829725,1992283.415045262,321275.06139794807,50000.0,1518.4634990544303,0.0
5321,0,405687.317351574,1992438.504230478,321477.7305930806,50000.0,1326.7140389715435,0.0
5322,0,406026.4333569774,1991915.5677578005,320884.8685345069,50000.0,1911.9185762034324,0.0
5323,0,405819.26995810255,1991234.8218393896,320241.2597403092,50000.0,2554.837721641948,0.0
5324,0,405324.2768665031,1991912.9476928883,321021.139770064,50000.0,1861.8129383601702,0.0
5325,0,405100.8126987661,1992419.0294996311,321574.5250463048,50000.0,1434.8062434379272,0.0
5326,0,404906.4659951884,1992657.2095078197,321852.8312994223,50000.0,1324.9072367127221,0.0
5327,0,404691.87919129984,1992929.4820459045,322169.5854036286,50000.0,1287.999394894498,0.0
5328,0,404040.85861717793,1993017.7543435208,322389.1825868714,50000.0,1810.7363031493928,0.0
5329,0,403465.45327794994,1993217.7010331661,322706.7785366058,50000.0,2321.809301722022,0.0
5330,0,402304.71135345433,1992966.9211985248,322692.1555652944,50000.0,3486.880547023946,0.0
5331,0,401584.2187172371,1991506.8725638331,321374.27066112834,50000.0,4534.475797900095,0.0
5332,0,401803.90625649056,1992340.7815092106,322166.38979113137,50000.0,4074.837874794859,0.0
5333,0,401779.9433261393,1990893.4495909682,320717.48074941046,50000.0,4649.634567042828,0.0
5334,0,401591.7454343328,1991230.0180796026,321094.64508762315,50000.0,4642.5813543093045,0.0
5335,0,401952.53305087145,1990596.841288625,320383.79612504854,50000.0,4680.678488276553,0.0
5336,0,405182.642755076,1993289.0860084593,322433.47837296594,50000.0,713.8807484330955,0.0
5950,0,462118.25426807953,1970629.7820646036,292605.8272673888,50000.0,19303.171048225893,0.0
5951,0,461927.83635249885,1970074.3691731617,292057.0545648762,50000.0,18747.116442059032,0.0
5952,0,462583.0522003675,1970333.7969408154,292289.04007227096,50000.0,19280.911470891355,0.0
5953,0,461967.2281297048,1969744.88191299,291724.8415239469,50000.0,18491.15941700247,0.0
5954,0,462653.04687212105,1970055.4449233653,292006.9240630717,50000.0,19087.31833753194,0.0
5955,0,462233.8581441801,1969639.7631879214,291607.8205832752,50000.0,18535.68265278905,0.0
5956,0,461992.993364422,1969428.9010981254,291406.78940243763,50000.0,18242.088456102974,0.0
5957,0,462563.5877425234,1969630.1419062659,291584.1319464636,50000.0,18694.833823640256,0.0
5958,0,464085.9984403473,1970603.2658687634,292499.27197630476,50000.0,20280.29198792653,0.0
5959,0,462669.7708782152,1969300.192863259,291248.77881120116,50000.0,18483.1373827873,0.0
5960,0,463203.32427733816,1969457.7085383923,291384.8900086989,50000.0,18894.122566591333,0.0
5961,0,463981.25287258317,1969781.0121803572,291678.7115590833,50000.0,19577.634169265053,0.0
5962,0,462941.1445188554,1968960.1878201559,290896.59953153564,50000.0,18357.56499944842,0.0
5963,0,464172.19725566666,1969713.479833583,291603.8092417383,50000.0,19633.416427086977,0.0
5964,0,463066.9061878352,1968625.9995205202,290556.3673117164,50000.0,18164.76105327102,0.0
5965,0,464248.2021392481,1969427.417864778,291314.15208139946,50000.0,19457.624705766284,0.0
5966,0,463085.9908463653,1967945.44684583,289873.19177520013,50000.0,17649.941494530416,0.0
5967,0,463294.8356362021,1967303.5554759442,289221.25292094285,50000.0,17290.23111126652,0.0
5968,0,463513.4450319743,1967195.1566390889,289103.9840992058,50000.0,17344.521600865948,0.0
5969,0,463929.01812224207,1967479.1198392843,289372.7312715815,50000.0,17810.90733205087,0.0
5970,0,464185.63147926674,1967586.5942282993,289470.883920427,50000.0,18050.174287066922,0.0
5971,0,463715.32668499154,1967191.6992168394,289092.7133475246,50000.0,17467.897932630636,0.0
5972,0,463904.1717402642,1967139.6232894307,289033.3159683371,50000.0,17549.433574889255,0.0
5973,0,464154.6659896191,1967151.6424074194,289035.992756772,50000.0,17718.20170291548,0.0
5974,0,464352.7171008881,1966907.3782036693,288783.8538694353,50000.0,17674.493003846812,0.0
5975,0,464595.5076789307,1966884.1868462956,288751.8525893721,50000.0,17818.975548804687,0.0
5976,0,464908.2102787176,1966904.6698762667,288761.3690352365,50000.0,18042.650182534526,0.0
5977,0,466078.6619614584,1967753.0911280627,289573.0306937553,50000.0,19412.72136762789,0.0
5978,0,465180.02414410777,1966863.4256006146,288710.6910482215,50000.0,18199.35731609363,0.0
5979,0,465485.3640846926,1966910.4861028357,288747.6334603825,50000.0,18440.885549733594,0.0
5980,0,465769.6684194732,1967071.3022750227,288899.5373737618,50000.0,18744.72681567167,0.0
5981,0,466271.5642558076,1967398.4346216049,289211.59099513054,50000.0,19310.29601169964,0.0
5982,0,465977.33603718237,1967064.385275714,288885.9797356994,50000.0,18885.05509194773,0.0
