country,n_turbines,source,bbox_pad_deg,buses_mean_m,gridfinder_mean_m,abs_diff_mean_m,abs_diff_median_m,rel_diff_median_pct
AT,952,openstreetmap,1.0,12155.918666642545,2513.6778813528013,9642.880695322898,7762.529894809108,80.05167970061498
BA,55,openstreetmap,1.0,18851.888660878805,2211.369606090794,16640.519054788012,16442.419345134313,88.21882320819465
BE,1217,openstreetmap,1.0,9578.24478561779,14048.569004661138,16686.725298719724,13548.036499529751,95.18457573738033
BG,177,openstreetmap,1.0,41205.98095319955,3157.7225150724407,38048.25843812711,56700.51231388027,94.25009968656411
CH,36,openstreetmap,1.0,9630.794572143901,1955.5839937408919,7675.210578403009,6355.0796854316795,83.92776083891346
CZ,177,openstreetmap,1.0,16693.34240760372,3174.603082315538,13518.739325288181,12018.521325317117,82.74325652349215
DE,27916,openstreetmap,1.0,15931.209226032172,5947.107063174225,12980.412934879272,10774.268995839058,85.57509031734286
DK,4932,openstreetmap,1.0,25766.586971001656,4761.37581234502,24500.57989075705,20868.916386098455,94.18311018244151
EE,123,openstreetmap,1.0,27198.01386511176,1004.7474891895102,26193.266375922245,21216.854641092283,96.83615848414979
ES,9198,openstreetmap,1.0,13646.31881978436,2679.2144737136828,11078.180633871118,7466.395213378659,81.15024587655378
FI,596,openstreetmap,1.0,21665.400222784687,5425.1787773806145,16357.760273147169,14987.247373915798,81.79676431065141
FR,6261,openstreetmap,1.0,13812.522405611462,2773.4945106471678,11049.900501934955,9953.241075009066,82.32707903439893
GB,7493,openstreetmap,1.0,18446.99907343327,13138.402178450693,14614.126103868586,8001.069130779475,65.08951423059924
GR,834,openstreetmap,1.0,81054.37987962848,6022.444041836836,75031.93583779164,21220.841444274636,89.95682171762822
HR,263,openstreetmap,1.0,13430.814296460687,1666.3347588142274,11764.479537646459,9194.63343983185,85.64463828820917
HU,121,openstreetmap,1.0,16453.203005168092,1760.86104402368,14692.341961144411,14797.650234046396,93.36430497041347
IE,1459,openstreetmap,1.0,26201.99672894209,5249.573966229906,20958.89812021005,13948.87073701248,81.87490090336637
IT,4122,openstreetmap,1.0,17538.54494727484,2538.9232624776523,15000.905709262888,13995.388693085928,86.0357143796562
LT,131,openstreetmap,1.0,17116.098690244173,1627.9648421571462,15488.133848087027,14022.636726729848,90.7085345702814
LU,57,openstreetmap,1.0,11879.784739691571,2327.3420199022858,9552.442719789287,9236.407576374859,77.03905808294469
LV,50,openstreetmap,1.0,5251.275776501753,1916.0527378397064,3335.2230386620463,1901.6754576580568,68.6066727546866
ME,49,openstreetmap,1.0,29043.887878400797,13636.890554015548,15406.997324385246,15102.420969954728,52.44280376540675
MK,16,openstreetmap,1.0,20820.57305762867,5561.751788204019,15258.82126942465,9679.006163456821,81.68361113980261
NL,1816,openstreetmap,1.0,13414.770840670639,16012.471165166571,18826.791475064183,13693.866936871149,85.39707823602728
NO,856,openstreetmap,1.0,25132.62086649172,3836.1740254735537,21305.54203040387,7403.602883200966,77.24406623592661
PL,1476,openstreetmap,1.0,26710.616352770852,1755.757255764739,24954.859097006116,23822.228132433942,94.65200843455665
PT,1675,openstreetmap,1.0,14024.078563822055,1930.4422133563799,12099.054154449737,11095.974988014412,88.74824474498914
RO,412,openstreetmap,1.0,17195.18587641971,5180.169974762048,12054.509246015317,11829.260694431114,73.03225628832331
RS,172,openstreetmap,1.0,12671.578904670321,2181.700455175887,11003.880226037676,3827.2801428433495,85.10304376408038
SE,4601,openstreetmap,1.0,21943.834487182714,5492.469070978926,16498.79858538805,11551.83734695473,77.14268536436023
SI,2,openstreetmap,1.0,7673.179716143174,1454.4093595377094,6218.770356605464,6218.770356605464,79.32165820922715
SK,5,openstreetmap,1.0,12344.50957311553,1554.6804430707489,10789.829130044784,10735.532612876932,93.6193025506602
UA,203,openstreetmap,1.0,37414.24697287301,2581.537710639022,34838.59156486271,38766.409459238246,93.4687846726219
