country,n_turbines,voltage_threshold_kv,n_candidate_points,buses_mean_m,osm_hv_mean_m,abs_diff_mean_m,abs_diff_median_m,rel_diff_median_pct
AT,952,220.0,139,12155.918666642545,14397.734657698411,2659.9205137147624,538.0124442067008,6.361944442264965
BA,55,220.0,17,18851.888660878805,34838.69108661563,16315.161512076165,19179.245079990364,66.73335783408515
BE,1217,220.0,641,9578.24478561779,8518.641706386974,2802.0619102857017,1145.4717910077964,14.120228497701387
BG,177,220.0,47,41205.98095319955,41365.13613841669,270.7250561979332,13.149106976998155,0.022033284440852056
CH,36,220.0,321,9630.794572143901,15039.444803276063,5451.726456632424,7339.624798970182,50.62968834140129
CZ,177,220.0,209,16693.34240760372,18445.518380206206,2116.5542604343673,125.99744584853033,1.2302051269444652
DK,4932,220.0,156,25766.586971001656,25978.101361762103,4750.399685114531,784.290115196312,2.717919407487827
EE,123,220.0,38,27198.01386511176,33449.517841747016,6337.748356474969,293.69895556943993,6.438775367452553
ES,9198,220.0,1192,13646.31881978436,13020.334166651919,1564.664796433895,194.9796510856288,2.045990002082501
FI,596,220.0,121,21665.400222784687,23657.438209651955,7933.911521971617,1049.6696453605214,9.813757037363775
GB,7493,220.0,755,18446.99907343327,18986.785572744437,3111.1266646069785,133.8721937407554,1.2482371615809087
HR,263,220.0,40,13430.814296460687,15815.041578470504,2440.506726822927,40.286737512942636,0.3429591296303495
HU,121,220.0,100,16453.203005168092,18491.46853194569,4687.491538361416,5204.772155904591,26.529580315299434
IE,1459,220.0,72,26201.99672894209,27802.712801091162,2421.25600089292,83.24473998286703,0.5615161094071258
IT,4122,220.0,642,17538.54494727484,17510.70379243221,391.2804383527699,45.60095384521446,0.3581354396336164
LT,131,220.0,38,17116.098690244173,17075.55168015846,2601.5972667600713,1300.4892261947643,10.158818481019516
LU,57,220.0,143,11879.784739691571,12801.448857518064,1554.3398648907457,158.90392584273923,1.7406893851008907
LV,50,220.0,26,5251.275776501753,7343.590397730237,2125.9862140187142,81.51450338754853,3.971664866503195
ME,49,220.0,24,29043.887878400797,36614.57914446828,7609.031562226721,11733.60086918222,44.172760329507746
MK,16,220.0,15,20820.57305762867,56743.128783943466,36144.85861815508,52273.52736133852,456.83462857877885
NL,1816,220.0,467,13414.770840670639,13767.919682663354,2482.007795386882,587.406040295205,6.456583933031258
NO,856,220.0,388,25132.62086649172,28744.386528185973,5159.173237324547,25.59796459602876,0.22894222699310754
PL,1476,220.0,241,26710.616352770852,28258.352918299435,2582.082167032093,200.4108515904063,0.8578601628473455
PT,1675,220.0,303,14024.078563822055,14370.17354858951,1346.9960501607038,170.78173378323845,1.1489692759169936
RO,412,220.0,121,17195.18587641971,16024.733343851924,3176.1935596782782,32.68793291693737,0.6238391070385916
RS,172,220.0,69,12671.578904670321,13727.828465018747,1283.3928588398733,43.76021155678427,1.440015541699381
SE,4601,220.0,311,21943.834487182714,32319.696626642104,11975.065056608497,4121.2160587326825,21.28224069796425
SI,2,220.0,29,7673.179716143174,7857.0305047416,183.8507885984268,183.8507885984268,2.772764665155151
SK,5,220.0,36,12344.50957311553,11991.737198949584,743.4838398238055,690.7629041599848,6.031651465324133
UA,203,220.0,53,37414.24697287301,37387.75832884393,145.99163661664977,20.447780029175192,0.07619616824462927
