turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
1464,Input,0.00010208880857087711,0.01809081010780386,2.5079425882277745e-05,0.01801205019322227,5.368048869929245e-05,0.10215650698511793,0.0937137774850565,0.008442729500061455,0.20013479243705978,7.716219876909715e-06,2.2335433220145388e-05,0.00020453922868208493,1.3288490508441028e-10,1.031467647890302e-10,2.973814029538062e-11,6.518693646723575e-10,6.284384936147428e-10,2.3430871057615077e-11,0.0009379966149421271,0.8091119894288109,4.4463422572616945e-07,2.3576531347608016e-10,1.5549838661763709e-09,8.608540628635948e-05,0.008347173900984606
1465,Input,0.00010169324455132302,0.01808309033091705,2.506061459763323e-05,0.018004360578311677,5.3669138007722584e-05,0.101709990627219,0.09326972466237328,0.00844026596484576,0.1999931279414069,7.685498176529726e-06,2.231392049369517e-05,0.00020425076773808538,1.3281417236165563e-10,1.0307809991514331e-10,2.9736072446512844e-11,6.46777141484228e-10,6.235924049777745e-10,2.3184736506453855e-11,0.0009373730608398167,0.8089851599169015,4.3969148700116095e-07,2.3518522567973667e-10,1.553987325485865e-09,8.600068002944582e-05,0.008341967189206172
1466,Input,0.0001018238385470076,0.018085638986658235,2.506682507357201e-05,0.018006899276188152,5.367288539649562e-05,0.10185740634865467,0.09341632705678365,0.008441079291871028,0.20003989794984903,7.695640832101307e-06,2.2321022840638582e-05,0.00020434600205014014,1.3283752450804293e-10,1.0310076936888732e-10,2.9736755139156174e-11,6.484583201055932e-10,6.251923231888819e-10,2.326599691671163e-11,0.0009375789249167316,0.8090270322104169,4.4132331388079355e-07,2.35376739516758e-10,1.55431632970314e-09,8.602865208929654e-05,0.008343686165811501
1467,Input,0.0001015016175842665,0.0180793505635013,2.505150166206611e-05,0.018000635422558607,5.3663639280608875e-05,0.10149368031795036,0.0930546077876899,0.008439072530260498,0.19992450001697595,7.670615361168323e-06,2.2303498872114374e-05,0.0002041110257669243,1.327799066133492e-10,1.0304483591519435e-10,2.9735070698155374e-11,6.443102657400281e-10,6.212447666141129e-10,2.3065499125915524e-11,0.000937070986395442,0.8089237186494983,4.3729702748511614e-07,2.3490420804530896e-10,1.5535045614814812e-09,8.595963525580661e-05,0.008339444850628553
1468,Input,0.00010125109203387077,0.018074461338855236,2.5039587768976114e-05,0.01799576530062492,5.365645046132213e-05,0.10121088473798476,0.09277337245710321,0.008437512280881583,0.1998347785711655,7.651158154455071e-06,2.228987405446658e-05,0.00020392833261691375,1.3273510892340996e-10,1.0300134787160849e-10,2.973376105180201e-11,6.410851695384521e-10,6.181755566682448e-10,2.2909612870207582e-11,0.0009366760661626591,0.808843392756073,4.341666054084548e-07,2.3453681665662654e-10,1.5528734148335575e-09,8.590597493510756e-05,0.008336147244502712
1469,Input,0.00010150036286330455,0.018079326076527256,2.5051441993056807e-05,0.01800061103125773,5.366360327644788e-05,0.10149226397721557,0.0930531992612383,0.008439064715977291,0.19992405066009952,7.670517912564438e-06,2.230343063418703e-05,0.00020411011077472264,1.3277968225060245e-10,1.0304461811162184e-10,2.9735064138981154e-11,6.442941133124533e-10,6.212293949202893e-10,2.3064718392164382e-11,0.0009370690084946108,0.8089233163488861,4.3728134921919437e-07,2.3490236801870933e-10,1.5535014004748373e-09,8.595936650585637e-05,0.008339428335045517
1470,Input,0.0001012404583364207,0.018074253812973864,2.503908207710408e-05,0.017995558585568887,5.3656145327856915e-05,0.10119888132103659,0.09276143526581473,0.008437446055221901,0.19983097029409347,7.65033228240695e-06,2.228929574144242e-05,0.00020392057810373,1.3273320746034352e-10,1.029995019972158e-10,2.973370546312825e-11,6.40948278521944e-10,6.180452823312619e-10,2.2902996190682464e-11,0.0009366593035519566,0.8088399832784897,4.340337328882601e-07,2.345212225231466e-10,1.552846625460218e-09,8.590369729270949e-05,0.008336007275761814
1471,Input,0.00010100323773726615,0.018069624246057008,2.5027800908965307e-05,0.017990947106854477,5.3649338293541564e-05,0.10093110449423498,0.09249513582641694,0.00843596866781805,0.19974601378926377,7.631908412158579e-06,2.227639451280256e-05,0.00020374758745092642,1.3269078889332975e-10,1.0295832352364614e-10,2.973246536968414e-11,6.378944612483745e-10,6.151390724810495e-10,2.2755388767325508e-11,0.000936285356806441,0.8087639233455374,4.31069561770946e-07,2.3417334261544927e-10,1.5522489978500267e-09,8.585288677295634e-05,0.008332884799432705
1472,Input,0.00010085149751607094,0.018066662903279414,2.5020584811565596e-05,0.017987997334353037,5.364498411478821e-05,0.10075981871604099,0.09232479507193611,0.008435023644104887,0.1996916706214243,7.620123423179026e-06,2.2268142129601106e-05,0.00020363693247402027,1.3266365548769636e-10,1.0293198335457898e-10,2.973167213311792e-11,6.359410604466202e-10,6.132800900525311e-10,2.2660970394089517e-11,0.0009360461585155589,0.8087152709473417,4.291735039133877e-07,2.3395081820428316e-10,1.5518667201469691e-09,8.58203853817034e-05,0.008330887480268414
1473,Input,0.00010066340402450063,0.01806299209471997,2.5011639912548496e-05,0.01798434086802681,5.3639586780593054e-05,0.10054749702688649,0.0921136448112165,0.008433852215669996,0.19962430815087165,7.605515037163628e-06,2.225791267588138e-05,0.000203499767253079,1.3263002157729622e-10,1.0289933272095417e-10,2.9730688856342594e-11,6.335196722718557e-10,6.109757405992766e-10,2.2543931672579417e-11,0.0009357496541256531,0.8086549626165787,4.268231966590659e-07,2.336749823505708e-10,1.5513928579939339e-09,8.578009744674777e-05,0.008328411651958472
