turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
14644,Input,0.00012841297856499358,0.018924731651770256,2.69758763041834e-05,0.018843341593690065,5.4414181775990864e-05,0.12781544014125554,0.11947744629276887,0.008337993848486745,0.21953201371072997,9.408743538567347e-06,2.4412152275840147e-05,0.00022335132139291935,1.3690762861357417e-10,1.0871084775210875e-10,2.8196780861465998e-11,9.664408333200633e-10,9.280174761043529e-10,3.842335721571076e-11,0.000983028501875777,0.8240647426655384,7.471902097735333e-07,2.6494056560148485e-10,1.63659160302286e-09,9.129662027861924e-05,0.009535384568368601
14645,Input,0.0001286139963418953,0.018928654689031616,2.6985435825355646e-05,0.018847249303234278,5.441994997196642e-05,0.1280423508843415,0.11970310511619606,0.008339245768145506,0.2196040047932712,9.424355696417263e-06,2.4423084616074208e-05,0.00022349791151441502,1.3694357357818033e-10,1.087457418769979e-10,2.819783170118301e-11,9.69028599987818e-10,9.304801620826435e-10,3.8548437905175144e-11,0.0009833453796837374,0.8241291949040366,7.497020114066223e-07,2.652353546962065e-10,1.637098025205604e-09,9.1339676479305e-05,0.009538030515863645
14646,Input,0.00012882213389591593,0.01893271667495394,2.699533393180706e-05,0.018851295418552492,5.442592246962296e-05,0.12827729849830305,0.11993675646920192,0.008340542029101233,0.21967854570235087,9.440520815731336e-06,2.4434404164977334e-05,0.00022364969365926794,1.3698079166469884e-10,1.0878187190448136e-10,2.8198919760218073e-11,9.71708021842463e-10,9.33030073059387e-10,3.867794878307655e-11,0.0009836734808740346,0.8241959299534384,7.523027776480667e-07,2.6554058482098945e-10,1.6376223841754562e-09,9.138425767224367e-05,0.0095407701792316
14647,Input,0.00012903714692368804,0.018936912841743904,2.70055590055442e-05,0.018855475190479656,5.443209225868642e-05,0.12852000721121848,0.12017812610136286,0.008341881109855712,0.21975554894489166,9.457219922552164e-06,2.4446097636124967e-05,0.00022380648967179015,1.370192391880585e-10,1.088191954266072e-10,2.8200043761451897e-11,9.744759538879642e-10,9.356642160531334e-10,3.8811737834831465e-11,0.00098401242033488,0.8242648694828659,7.549894558245819e-07,2.658558977091688e-10,1.638164064461255e-09,9.143031152985017e-05,0.009543600342767404
14648,Input,0.00012925288612997574,0.018941123180541038,2.701581861313701e-05,0.018859669079042473,5.44382828854094e-05,0.12876353564122123,0.12042031092804018,0.008343224713181148,0.21983281225586157,9.47397542843275e-06,2.445783060044939e-05,0.0002239638152424364,1.3705781656292406e-10,1.0885664500407103e-10,2.8201171558853595e-11,9.772532342636804e-10,9.38307255521986e-10,3.894597874169494e-11,0.0009843525045196387,0.8243340418465809,7.576852079069448e-07,2.6617227552558754e-10,1.6387075742017152e-09,9.147652092836649e-05,0.00954644006481218
14649,Input,0.00012946160045384375,0.01894519642263004,2.7025744148225096e-05,0.018863726406548344,5.4444271933450505e-05,0.12899913431837073,0.120654609752166,0.00834452456620481,0.2199075597252083,9.49018534289897e-06,2.4469181516947495e-05,0.00022411601799069713,1.370951377844591e-10,1.0889287515145131e-10,2.8202262633008378e-11,9.799400810625716e-10,9.408642325554622e-10,3.907584850711011e-11,0.0009846815149109416,0.8244009618254369,7.602931811301145e-07,2.6647835147338076e-10,1.6392333862223844e-09,9.152122566022136e-05,0.009549187320059604
14650,Input,0.00012965367724983952,0.01894894496884992,2.703487847567772e-05,0.01886746030680584,5.444978356838518e-05,0.12921595239874517,0.1208702315964632,0.008345720802282061,0.2199763487481888,9.505103094476027e-06,2.4479627602449286e-05,0.0002242560879949301,1.3712948396886203e-10,1.0892621723597285e-10,2.820326673288979e-11,9.824127475997704e-10,9.43217381811933e-10,3.9195365787838007e-11,0.000984984298450852,0.8244625473212884,7.626932614478694e-07,2.667600287741714e-10,1.6397172834765573e-09,9.156236678317546e-05,0.009551715579624774
14651,Input,0.00012985600151592245,0.01895289350338728,2.7044500127728047e-05,0.018871393414005528,5.445558925400845e-05,0.1294443379190151,0.12109735706038362,0.008346980858631592,0.2200488077275098,9.520816721537478e-06,2.4490630996022313e-05,0.00022440363086006249,1.371656625531416e-10,1.089613381507378e-10,2.8204324402404358e-11,9.850173331240813e-10,9.456960737009295e-10,3.932125942315268e-11,0.000985303235765361,0.8245274184588193,7.652213882125444e-07,2.670567338126913e-10,1.64022699708513e-09,9.160570282209866e-05,0.009554378724115178
14652,Input,0.00012856875989666043,0.018927771860343712,2.6983284579019897e-05,0.01884636992385045,5.441865191422559e-05,0.127991287562674,0.11965232352282125,0.008338964039852839,0.21958780413324516,9.420842382647401e-06,2.4420624434602146e-05,0.00022346492330757475,1.369354846297901e-10,1.087378894064657e-10,2.8197595223324973e-11,9.684462566401261e-10,9.299259665229039e-10,3.8520290117222724e-11,0.0009832740704402124,0.824114690763149,7.491367630053744e-07,2.6516901623129684e-10,1.6369840614572804e-09,9.13299872394061e-05,0.009537435079674871
14653,Input,0.00012861217650280768,0.0189286191732844,2.6985349281814294e-05,0.018847213926250803,5.441989775176649e-05,0.12804029663299102,0.11970106219863093,0.008339234434360182,0.21960335304899273,9.424214357598701e-06,2.4422985644230107e-05,0.00022349658441570233,1.3694324816391797e-10,1.08745425976119e-10,2.8197822187799564e-11,9.690051726123678e-10,9.304578670783264e-10,3.854730553404209e-11,0.0009833425109492912,0.8241286114098565,7.496792717521365e-07,2.6523268593364506e-10,1.6370934405022153e-09,9.133928668613258e-05,0.009538006561769884
