turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
20977,Input,9.515549272513143e-05,0.018799607808965977,2.5356692988465222e-05,0.018721390813379184,5.2860302598304445e-05,0.0926918202062162,0.08412748274895845,0.008564337457257785,0.20717473051788904,7.088159188630656e-06,2.2806469037924743e-05,0.00020420023130824312,1.349298314849204e-10,1.0416730932892107e-10,3.076252215599989e-11,5.283731296427815e-10,5.112543098844828e-10,1.7118819758298997e-11,0.0009481343325734852,0.7996316735338993,3.160121598532702e-07,2.285613642176312e-10,1.5807745697789558e-09,8.649571066471768e-05,0.008768517670952162
20978,Input,9.54836528197949e-05,0.018806012139462997,2.537229883895851e-05,0.01872777012148671,5.286971913731187e-05,0.0930622503844768,0.0844958691772579,0.00856638120721892,0.207292255449394,7.113645925559572e-06,2.2824316005796926e-05,0.00020443953864159544,1.34988511384627e-10,1.0422427374024487e-10,3.076423764438269e-11,5.32597640368878e-10,5.152746272724187e-10,1.73230130964597e-11,0.0009486516333468789,0.7997368913559886,3.2011265819921186e-07,2.2904260532337126e-10,1.5816013003994534e-09,8.656599960687328e-05,0.008772837161466042
20979,Input,9.602221480300277e-05,0.01881652264634573,2.539791047769213e-05,0.018738239562719063,5.2885173148952105e-05,0.09367018417864717,0.08510044885845065,0.008569735320196543,0.2074851322227036,7.155473642607288e-06,2.2853605668275068e-05,0.0002048322793621836,1.3508481426750138e-10,1.0431776123867542e-10,3.0767053028826546e-11,5.395307224581635e-10,5.218725961930222e-10,1.7658126265141718e-11,0.000949500604732993,0.7999095702400293,3.2684221659843066e-07,2.298323971613286e-10,1.582958094506337e-09,8.668135474206643e-05,0.008779926120225604
20980,Input,9.575174949562148e-05,0.01881124427994891,2.5385048337476872e-05,0.018732981819452165,5.287741215924457e-05,0.0933648804148568,0.0847968295269555,0.008568050887901338,0.20738826969358642,7.134467803537504e-06,2.283889642809057e-05,0.00020463504535193593,1.3503645105281034e-10,1.0427081190733063e-10,3.076563914548025e-11,5.360489353345919e-10,5.18559102578835e-10,1.748983275575727e-11,0.0009490742521235206,0.7998228510713792,3.234626388752801e-07,2.2943576446373634e-10,1.5822767138173668e-09,8.66234235046772e-05,0.008776366051988897
20981,Input,9.654354541770669e-05,0.018826696868041407,2.5422702668342204e-05,0.01874837403266579,5.290013270725599e-05,0.09425866704319383,0.08568568492534928,0.008572982117844597,0.20767183787577012,7.1959630758017025e-06,2.2881958203768287e-05,0.00020521245428664435,1.3517803592571726e-10,1.0440825759107968e-10,3.076977833463814e-11,5.462419795837981e-10,5.282594621442487e-10,1.798251743954984e-11,0.0009503224131568863,0.8000767242382137,3.333564618038824e-07,2.3059691949526304e-10,1.5842714777896414e-09,8.679301907303404e-05,0.008786788266724917
20982,Input,9.637375346857966e-05,0.018823383230046946,2.54146281101734e-05,0.018745073341401762,5.289526053498976e-05,0.0940670043059959,0.08549507963631484,0.008571924669681118,0.20761102978997376,7.182776089295966e-06,2.287272407838162e-05,0.00020508863527503678,1.3514767460297334e-10,1.0437878387204183e-10,3.0768890730932035e-11,5.440561930669229e-10,5.261793264528361e-10,1.787686661408731e-11,0.0009500547587161797,0.8000222839226911,3.3123484001661573e-07,2.3034792253715505e-10,1.583843722539262e-09,8.675665116394104e-05,0.00878455333711125
20983,Input,9.555031858452853e-05,0.018807313180013434,2.5375469169459908e-05,0.018729066078735552,5.287163210840215e-05,0.09313750332203914,0.08457070692675718,0.008566796395282,0.2073161306540927,7.118823559390017e-06,2.2827941619577283e-05,0.00020448815395663144,1.3500043221367372e-10,1.0423584606760966e-10,3.0764586146064616e-11,5.33455850257163e-10,5.160913552582318e-10,1.73644949989316e-11,0.0009487567230644174,0.7997582663698529,3.209456749567844e-07,2.2914036951486544e-10,1.5817692508295647e-09,8.658027881436171e-05,0.008773714666510229
20984,Input,9.561496409793317e-05,0.018808574793596943,2.537854342569539e-05,0.018730322763062756,5.2873487108472326e-05,0.09321047578104208,0.08464327677963078,0.008567199001411313,0.2073392823402926,7.123844289273302e-06,2.2831457362105323e-05,0.00020453529602441363,1.3501199179177216e-10,1.0424706770508388e-10,3.076492408668887e-11,5.342880527985839e-10,5.168833329722167e-10,1.7404719826367558e-11,0.0009488586281242477,0.7997789936314514,3.217534478246588e-07,2.292351710427108e-10,1.5819321116596246e-09,8.659412530217729e-05,0.008774565579483674
20985,Input,9.581352506037253e-05,0.018812449883981022,2.5387986111579575e-05,0.018734182713063156,5.2879184806268514e-05,0.09343461324902833,0.08486617762876586,0.0085684356202625,0.20741039355670723,7.139265637256622e-06,2.284225608862616e-05,0.00020468009453953465,1.350474974414568e-10,1.042815353582848e-10,3.076596208317254e-11,5.368441921014731e-10,5.193159203063924e-10,1.7528271795081097e-11,0.0009491716330907443,0.7998426581426444,3.242345505281613e-07,2.2952635726149564e-10,1.5824323444129471e-09,8.66366552752917e-05,0.008777179188534961
20986,Input,9.57405065237548e-05,0.018811024863545835,2.5384513671193847e-05,0.018732763260331943,5.2877089542677643e-05,0.09335218924325954,0.08478420837552123,0.008567980867738346,0.20738424321529111,7.1335946118517245e-06,2.2838284979712304e-05,0.00020462684653172557,1.3503444064242752e-10,1.0426886027066205e-10,3.076558037176603e-11,5.359042009320357e-10,5.184213639688618e-10,1.7482836963174217e-11,0.0009490565290726791,0.7998192462424166,3.233221532151026e-07,2.2941927683985733e-10,1.582248389504756e-09,8.662101536117638e-05,0.008776218063518889
