turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
75177,Input,4.6998528777782926e-05,0.00806182631293843,1.3249226481354898e-05,0.008015346309147273,3.3230777309793855e-05,0.04487910575270624,0.040813058063407466,0.004066047689298795,0.10057559724253043,3.323248087573829e-06,1.0776295851103334e-05,9.493495316214602e-05,7.241794504880334e-11,5.978473259583324e-11,1.2633212452970458e-11,2.8179951120878275e-10,2.725717654593487e-10,9.227745749434158e-12,0.0004576081883751107,0.5102938797183075,1.8202107119201202e-07,1.0071560073012072e-10,7.962858571664579e-10,4.152017088342843e-05,0.004416878911110206
75178,Input,4.707006300496658e-05,0.00808003256181699,1.3259769710277132e-05,0.008033534906901394,3.323788520531159e-05,0.04495047584082668,0.04088119343272253,0.004069282408104161,0.10070297625034191,3.3291720445635213e-06,1.0792405600739487e-05,9.509955148687614e-05,7.248244829409799e-11,5.982402517457177e-11,1.2658423119526604e-11,2.822396046399388e-10,2.7299641603944363e-10,9.243188600495375e-12,0.00045821515279063506,0.5103344872407838,1.8230043178613404e-07,1.0091027921494277e-10,7.971062608466155e-10,4.157983975407601e-05,0.004420418241440958
75179,Input,4.6836406053245034e-05,0.008033447052496503,1.3230804574124527e-05,0.007986997705552971,3.321854236940082e-05,0.04471016773077195,0.04064931354206241,0.004060854188709548,0.10036489538880587,3.3101044187184343e-06,1.0749149768846569e-05,9.464807775155496e-05,7.231138730307922e-11,5.971627743398725e-11,1.259510986909235e-11,2.804336377096697e-10,2.712631681277463e-10,9.170469581923616e-12,0.00045661132312664707,0.5102153910792195,1.809170140630365e-07,1.0034318839132742e-10,7.949171406529856e-10,4.1418925329893054e-05,0.00441084831523984
75180,Input,4.6835022814896275e-05,0.008025014959375186,1.3227168105511884e-05,0.007978571816204287,3.3215975065379925e-05,0.04471329552606273,0.04065384455724033,0.004059450968822406,0.1003135198823926,3.3098128830872024e-06,1.0742964859105793e-05,9.459085267232356e-05,7.22852840280939e-11,5.970259974727293e-11,1.2582684280821346e-11,2.806562257084621e-10,2.7147208263422594e-10,9.18414307423634e-12,0.0004563620425282359,0.5102061118042822,1.812069747426027e-07,1.0029627250754742e-10,7.945935617843684e-10,4.139645561153926e-05,0.00440953123655697
75181,Input,4.702795351211939e-05,0.00808761585635089,1.326133785592295e-05,0.008041115314007573,3.323920448738678e-05,0.04489825304455329,0.04082783828516892,0.004070414759384374,0.100738775578122,3.326085692949053e-06,1.0796225160795914e-05,9.512505994458053e-05,7.250077442266591e-11,5.983015307729428e-11,1.267062134537202e-11,2.8145712068660336e-10,2.7225466836305877e-10,9.202452323544754e-12,0.000458395872878946,0.5103298214610738,1.8146701114531812e-07,1.0089341376030667e-10,7.973202688891832e-10,4.159299372040224e-05,0.004421162836013545
75182,Input,4.719312443878143e-05,0.008132864801152896,1.3287046098000563e-05,0.008086321172934969,3.325658211991991e-05,0.04506125349019755,0.0409828370358904,0.004078416454307153,0.10105232933982154,3.3398343134294292e-06,1.0835756384155354e-05,9.55265909589694e-05,7.265958909505194e-11,5.99260125165135e-11,1.2733576578538835e-11,2.8238144493040173e-10,2.7314888812400033e-10,9.232556806401563e-12,0.0004598917434269229,0.5104269589795319,1.8199466719280843e-07,1.0136007101212781e-10,7.993368528880911e-10,4.17392390536989e-05,0.0044298312975320645
75183,Input,4.705556241506634e-05,0.008121775060248219,1.3276933565419919e-05,0.008075248019510954,3.325010717183979e-05,0.0449106614013254,0.04083449627547139,0.004076165125854023,0.10095218372795407,3.328966376418588e-06,1.0822165399005567e-05,9.537005891793755e-05,7.260913503032282e-11,5.988869592772262e-11,1.2720439102600568e-11,2.808509595092316e-10,2.7168946468330285e-10,9.161494825928846e-12,0.0004594277950729393,0.5103740167625002,1.8058301669774458e-07,1.0111345129380555e-10,7.986702000944131e-10,4.1687601063751176e-05,0.004426721731032586
75184,Input,4.7108342002239256e-05,0.008122805099930828,1.3279443530403208e-05,0.008076274034720722,3.3251621679695845e-05,0.04497023949202846,0.04089374565990885,0.004076493832119615,0.1009710858353956,3.3330655325176026e-06,1.0825035813818032e-05,9.540854788252278e-05,7.261857280454408e-11,5.989785779158757e-11,1.2720715012956873e-11,2.815304081556601e-10,2.723360719201059e-10,9.194336235554336e-12,0.0004595109950771688,0.5103909394575609,1.8124251982875134e-07,1.0119085164596492e-10,7.988031672088266e-10,4.169890597684123e-05,0.004427416455741127
75185,Input,4.6971717371118354e-05,0.008027682672876695,1.3233668697272852e-05,0.007981229106669955,3.321989750946042e-05,0.04486759761718239,0.04080729532762201,0.004060302289560391,0.1003624747023672,3.320429342098223e-06,1.0750398984683124e-05,9.469053575465213e-05,7.230972704532845e-11,5.972632818059859e-11,1.2583398864730249e-11,2.8241593881298005e-10,2.731467393342716e-10,9.269199478708693e-12,0.00045657752332801114,0.5102499401177518,1.8291503069091254e-07,1.0049673271113319e-10,7.949379350860644e-10,4.142573435661377e-05,0.00441133051333834
75186,Input,4.7109465120205344e-05,0.00806399133242909,1.32545021257805e-05,0.008017502869680206,3.323396062309961e-05,0.045004331731633554,0.04093759314131055,0.004066738590323023,0.10061532719829477,3.331864020532027e-06,1.0782329117704809e-05,9.501585233516763e-05,7.243778211477518e-11,5.980398973143041e-11,1.2633792383345148e-11,2.8322763052035834e-10,2.7393085607898115e-10,9.296774441377342e-12,0.0004577830647743615,0.510329449187387,1.8340726742977945e-07,1.0087828695846565e-10,7.965653380439262e-10,4.154393245067042e-05,0.004418339138866509
75187,Input,4.7197672028433236e-05,0.008116143355295032,1.3280120985595542e-05,0.00806961157692075,3.3251657388679724e-05,0.04507576526715169,0.041000109701306964,0.004075655565844747,0.10095219773490202,3.33981929321265e-06,1.0823784339751499e-05,9.541747450726279e-05,7.26086904087942e-11,5.98999267718141e-11,1.2708763636980479e-11,2.829207772627953e-10,2.7365632238939227e-10,9.264454873403208e-12,0.0004594047118835856,0.5104107455354285,1.8266598088591198e-07,1.0127696519642675e-10,7.987081214089836e-10,4.169586622425074e-05,0.004427293413420533
75188,Input,4.725177441261325e-05,0.008117199210515092,1.3282693856985373e-05,0.008070663306803965,3.32532098541358e-05,0.0451368365434648,0.04106084403310011,0.004075992510364703,0.10097157357949255,3.3440211850795984e-06,1.0826726694803105e-05,9.545692810779701e-05,7.261836471877032e-11,5.990931825638564e-11,1.2709046462385065e-11,2.836172547016817e-10,2.743191353254709e-10,9.298119376210904e-12,0.00045948999710148356,0.5104280923582928,1.8334201292164503e-07,1.0135630540752912e-10,7.98844421033377e-10,4.170745446856793e-05,0.004428005549780328
