turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
36011,Input,0.00012592188219798226,0.024975059184668292,2.95264526707483e-05,0.02489643718834105,4.9095543656485244e-05,0.1355474935162894,0.1252570612252283,0.010290432291061028,0.2873843329675328,1.1157227192224986e-05,3.0787321424749184e-05,0.00027239454002223024,2.0919263285777686e-10,1.4542493841501168e-10,6.376769444276585e-11,6.851952826278503e-10,6.651089274333083e-10,2.0086355194541653e-11,0.0010424284403008006,0.651209664586231,3.296412650454558e-07,3.809906737047608e-10,2.270231774709808e-09,0.00012104512443572583,0.010960058861844072
75230,Input,0.0001107096218223361,0.021867301943395763,2.53387665467643e-05,0.02179898996422027,4.297321262872657e-05,0.1230355276219684,0.11418602146054163,0.008849506161426764,0.2472150690280218,1.0267893708194172e-05,2.6836406546722822e-05,0.0002416296273473808,1.8425877906834985e-10,1.2443134299000384e-10,5.98274360783465e-11,6.163462119801431e-10,5.979168353333469e-10,1.842937664679591e-11,0.000903893076340773,0.568544604162265,2.958756586742695e-07,3.4742395556963825e-10,2.0158895871430002e-09,0.00010854038153454819,0.009025192488838447
75283,Input,0.00011076713432995995,0.02186842435014943,2.5341501588623646e-05,0.02180010798561329,4.297486294751994e-05,0.1231004482774587,0.11425058393358643,0.008849864343872261,0.24723566615006398,1.0272360449201893e-05,2.683953436114177e-05,0.00024167156774494185,1.8426906315905472e-10,1.2444132642855663e-10,5.982773673049859e-11,6.170865890378435e-10,5.986214259834106e-10,1.846516305443255e-11,0.0009039837371650396,0.5685630443714601,2.9659430163609683e-07,3.4750829666781824e-10,2.0160344778591096e-09,0.00010855270019665043,0.009025949511813363
75324,Input,0.0001320229466579692,0.02629665670038105,3.0453200038503846e-05,0.026216268383785348,4.993511655720222e-05,0.1440975071212507,0.133534615232082,0.01056289188916864,0.30014364939075827,1.1973746091054854e-05,3.230919144616666e-05,0.00028717749987300665,2.1800604833545382e-10,1.4839134055873601e-10,6.961470777671836e-11,7.211506471431565e-10,6.998759323720492e-10,2.1274714771106748e-11,0.0010786598919661453,0.6560278042877545,3.412248360000817e-07,4.0834982013369903e-10,2.39408652297029e-09,0.0001282791552960284,0.01126481275263403
75325,Input,0.00013365797726135382,0.026655838391946827,3.076709020602414e-05,0.026574897662202963,5.017363953784196e-05,0.14607739478034448,0.13539093443957836,0.010686460340766068,0.3039449472879368,1.2149382492181154e-05,3.27238281942022e-05,0.0002909568663865484,2.2094535850796757e-10,1.5013726576478015e-10,7.0808092743188e-11,7.295514415027741e-10,7.080543568881991e-10,2.1497084614574496e-11,0.0010903266837844184,0.6572786760266531,3.4399458622707377e-07,4.1462991356471986e-10,2.4253143881308205e-09,0.00012999053762481125,0.011384938697650263
75326,Input,0.00013059693379951376,0.02594155417243096,3.014924983544253e-05,0.025861702331264263,4.9702591331257146e-05,0.14235356064383273,0.1319129354635602,0.010440625180272478,0.2964172076279958,1.1814343169760857e-05,3.190592211616618e-05,0.00028355055737437634,2.151041136406682e-10,1.4668169817010252e-10,6.842241547056623e-11,7.154406056196003e-10,6.942582021267484e-10,2.1182403492851466e-11,0.0010673225888421507,0.654843949813469,3.4106685036998116e-07,4.0237624761221216e-10,2.3633852342362364e-09,0.000126612542689164,0.011147438056721921
75329,Input,0.0001308705722920075,0.025946894466303175,3.016226287838258e-05,0.025867021760049434,4.9710443375367335e-05,0.14266244632859998,0.13222011695373617,0.010442329374863755,0.2965152065791493,1.1835595456023649e-05,3.19208039298405e-05,0.00028375010539683887,2.1515304426799463e-10,1.4672919832595304e-10,6.842384594204217e-11,7.189632421784366e-10,6.976105707031573e-10,2.1352671475278945e-11,0.001067753943556204,0.6549316863990203,3.444860783751633e-07,4.0277753373091527e-10,2.364074609100427e-09,0.00012667115359427773,0.011151039892812844
75330,Input,0.00013172353584896713,0.026127177115708645,3.0320893725222837e-05,0.02604702549993166,4.983072205176161e-05,0.1436924044796053,0.13318807011056935,0.010504334369035903,0.29842855071475244,1.1926166765119125e-05,3.213005015518196e-05,0.00028566563892479745,2.1662903802887308e-10,1.476083142944409e-10,6.902072373443276e-11,7.236199761799166e-10,7.021340625684745e-10,2.148591361144172e-11,0.0010736432189283323,0.6555684880264541,3.4631389434116954e-07,4.0596956469996166e-10,2.3797778461346747e-09,0.0001275344374562717,0.011211569461975617
75334,Input,0.00013102876842962185,0.025949981801921096,3.016978599076697e-05,0.025870097033123984,4.971498280634902e-05,0.14284101960551443,0.13239770500010198,0.010443314605412375,0.29657186182315914,1.1847881847355545e-05,3.192940741768505e-05,0.00028386546828359675,2.1518133208738568e-10,1.4675665915985527e-10,6.842467292753095e-11,7.209997520742059e-10,6.995486451159142e-10,2.145110695829136e-11,0.0010680033187412629,0.654982408754765,3.4646280562253666e-07,4.030095256319031e-10,2.364473151132615e-09,0.00012670503778478974,0.011153122189615136
75335,Input,0.00013177192275965423,0.02612812142847796,3.032319479383628e-05,0.026047966123172162,4.9832110511965464e-05,0.14374702407608517,0.13324238835795635,0.010504635718128753,0.29844587966015657,1.1929924761546906e-05,3.213268167453642e-05,0.00028570092457577695,2.16637690327286e-10,1.4761671364563531e-10,6.902097668165126e-11,7.242428764853609e-10,7.027268547499355e-10,2.151602173542499e-11,0.0010737194944619138,0.6555840022996485,3.469185091327434e-07,4.0604052326799323e-10,2.3798997468207937e-09,0.00012754480149754815,0.011212206366965308
75336,Input,0.00013254960616887598,0.026306934920134455,3.0478245648014986e-05,0.026226506445458504,4.995022902794053e-05,0.14469200529357693,0.13412583341889978,0.010566171874677083,0.30033226349695913,1.201464939594742e-05,3.233783379337335e-05,0.00028756156083955707,2.181002228794709e-10,1.484827619396253e-10,6.961746093984619e-11,7.279305048681127e-10,7.063280830864489e-10,2.1602421781663358e-11,0.0010794901006866374,0.6561966668875081,3.4780566800393145e-07,4.091221572017914e-10,2.3954133312913607e-09,0.0001283919610286565,0.011271745042081774
75339,Input,0.00013124291038451875,0.02611779729052676,3.029803729245291e-05,0.026037682322708415,4.9816930525895004e-05,0.14314986996865336,0.13264852888944836,0.010501341079204935,0.2982564229158293,1.1888838720140662e-05,3.210391136694399e-05,0.0002853151478074777,2.165430950561933e-10,1.4752488383749393e-10,6.901821121869992e-11,7.174327295804193e-10,6.962458788946245e-10,2.1186850685794425e-11,0.0010728855767636848,0.6554143853021062,3.4030827710117867e-07,4.052647357651847e-10,2.378567010951141e-09,0.00012743149180255425,0.011205243107345131
75340,Input,0.00013361813503660043,0.026655060836176924,3.076519548508478e-05,0.026574123144424824,5.0172496267012754e-05,0.14603242050511206,0.1353462082979448,0.010686212207167207,0.3039306784758195,1.2146288123556008e-05,3.272166137710076e-05,0.00029092781185884807,2.2093823412632996e-10,1.5013034966219542e-10,7.080788446413513e-11,7.290385396949086e-10,7.075662463849574e-10,2.1472293309950796e-11,0.001090263877812535,0.6572659014322282,3.434967408785483e-07,4.1457148563089344e-10,2.4252140139911e-09,0.0001299820037784461,0.011384414264257318
75341,Input,0.00013362945194049346,0.02665528169542798,3.076573366724974e-05,0.026574343140755675,5.0172821005055824e-05,0.14604519513187084,0.13535891244409892,0.010686282687771852,0.30393473143160693,1.2147167057213882e-05,3.272227684626802e-05,0.0002909360645932191,2.2094025775685736e-10,1.501323141325218e-10,7.080794362433612e-11,7.291842258482823e-10,7.07704890742509e-10,2.147933510577283e-11,0.0010902817174073898,0.6572695299659829,3.4363815035047723e-07,4.1458808167481103e-10,2.4252425245599653e-09,0.0001299844277575223,0.01138456322587638
75342,Input,0.00013204795733925978,0.026297144805642922,3.0454389436481554e-05,0.026216754581968878,4.993583423756557e-05,0.14412573941176848,0.13356269175844765,0.010563047653320792,0.30015260653897147,1.1975688559578088e-05,3.2310551650630016e-05,0.0002871957386520121,2.180105206167994e-10,1.483956820943453e-10,6.961483852245466e-11,7.214726177090395e-10,7.001823403677556e-10,2.1290277341283463e-11,0.001078699317981024,0.6560358234511361,3.415373549776499e-07,4.0838649786543824e-10,2.3941495321429427e-09,0.0001282845123591177,0.011265141962072765
75344,Input,0.00013362623707675167,0.026655218954557774,3.076558078247269e-05,0.026574280645020616,5.017272875468681e-05,0.1460415661636681,0.13535530349776279,0.010686262665905225,0.30393358008308163,1.214691737302686e-05,3.272210200608835e-05,0.0002909337201872976,2.209396828914639e-10,1.5013175607313704e-10,7.080792681832743e-11,7.291428398705816e-10,7.076655051718346e-10,2.147733469874639e-11,0.0010902766496019892,0.6572684991856818,3.435979792764499e-07,4.1458336713271086e-10,2.425234425384169e-09,0.00012998373916261007,0.011384520909416633
