turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
3364,Input,0.00015114676580580845,0.017375742103628158,2.8032549178906024e-05,0.01728379931949262,6.391023495661901e-05,0.15613457776992704,0.14783844917073047,0.008296128599196727,0.20855897953188507,1.1259919594004937e-05,2.3977642743895973e-05,0.00023151817406194146,1.391841863165363e-10,1.1436997651434107e-10,2.4814209802195835e-11,1.326949805635822e-09,1.2705688721327922e-09,5.6380933503030456e-11,0.0010106525171901205,0.9825289111976682,1.1177756809663468e-06,2.857134268945543e-10,1.6447328324532692e-09,9.368256392111272e-05,0.008850956892838656
3365,Input,0.00015074031034401758,0.017367809770745635,2.8013219945181264e-05,0.017275897979064835,6.389857173560899e-05,0.15567576705035857,0.1473821698172475,0.00829359723311125,0.20841341445226813,1.1228352003684091e-05,2.3955537686986193e-05,0.00023122177064705516,1.3911150604211857e-10,1.1429942102485049e-10,2.4812085017268705e-11,1.3217173733994254e-09,1.265589351505413e-09,5.612802189401278e-11,0.0010100117941767082,0.9823985895675817,1.112696849091674e-06,2.851173669864569e-10,1.6437088530554221e-09,9.359550481518473e-05,0.008845606819688167
3366,Input,0.00015085213208292986,0.01736999206952112,2.801853769516898e-05,0.01727807175137061,6.39017804553268e-05,0.15580199247310889,0.1475076988248082,0.008294293648300886,0.20845346149765892,1.1237036701454897e-05,2.3961619105824844e-05,0.00023130331548625128,1.3913150143013528e-10,1.1431883185399737e-10,2.4812669576138498e-11,1.3231568907055441e-09,1.2669592891931727e-09,5.619760151237207e-11,0.001010188066285847,0.9824344429209354,1.1140941087308154e-06,2.852813516334479e-10,1.643990564503887e-09,9.361945602639523e-05,0.008847078701700428
3367,Input,0.00015093563930918956,0.017371621785883817,2.8022508931493293e-05,0.01727969510026092,6.390417669139042e-05,0.15589625620965847,0.1476014424862688,0.00829481372338984,0.20848336818407798,1.1243522336795562e-05,2.396616064152156e-05,0.00023136421226180944,1.3914643376268082e-10,1.1433332764450489e-10,2.4813106118176544e-11,1.3242319061592134e-09,1.2679823433646271e-09,5.624956279458709e-11,0.0010103197043290783,0.982461217804959,1.1151375666305436e-06,2.854038135371225e-10,1.6442009434686194e-09,9.363734252353976e-05,0.008848177886755331
3368,Input,0.00014807862716291064,0.017315864701715644,2.7886642002096952e-05,0.01722415586485588,6.382219485765251e-05,0.15267123422846937,0.14439421370589195,0.00827702052257759,0.20746017809405637,1.1021630893688782e-05,2.3810782200284335e-05,0.0002292807658915787,1.386355575503366e-10,1.1383738673729424e-10,2.4798170813042982e-11,1.2874526674497627e-09,1.2329808431943869e-09,5.447182425537607e-11,0.0010058160044066958,0.9815451752982602,1.079437998734678e-06,2.8121405461534346e-10,1.6370032998097082e-09,9.302539620601577e-05,0.008810571739437056
3369,Input,0.00014849438504901247,0.01732397857952297,2.7906413618199648e-05,0.017232238040893452,6.383412501130553e-05,0.15314054561143897,0.14486093578815928,0.008279609823279837,0.20760907467801445,1.1053920961986291e-05,2.383339316900518e-05,0.0002295839530025687,1.3870990123640762e-10,1.139095570091224e-10,2.48003442272858e-11,1.2928048527942287e-09,1.238074328617655e-09,5.473052417657408e-11,0.0010064713914556469,0.9816784795604281,1.0846330683119862e-06,2.818237563678767e-10,1.6380507147170758e-09,9.311444780760343e-05,0.008816044258107949
3370,Input,0.00014939482266634747,0.01734155140506497,2.7949234470165434e-05,0.017249742207566966,6.385996302782633e-05,0.15415696799955414,0.14587175033615207,0.008285217663402256,0.20793155102728017,1.112385395215517e-05,2.388236341702988e-05,0.00023024058776273208,1.3887091285828518e-10,1.1406586150695569e-10,2.4805051351330107e-11,1.304396476621963e-09,1.249105666883924e-09,5.529080973803962e-11,0.001007890811681978,0.9819671864646614,1.0958844148972323e-06,2.8314423256733855e-10,1.6403191786839154e-09,9.330731345040649e-05,0.008827896496724616
3371,Input,0.00014834101679759911,0.017320985464315562,2.789912009884463e-05,0.017229256620100403,6.382972411629904e-05,0.15296742209753694,0.1446887674371883,0.008278654660348808,0.2075541484589662,1.1042009531131093e-05,2.382505224547395e-05,0.00022947211080157144,1.3868247671478702e-10,1.1388293423475223e-10,2.4799542480035387e-11,1.2908304938344572e-09,1.2361954010516854e-09,5.4635092782771995e-11,0.0010062296267915078,0.9816293051676432,1.0827166675324056e-06,2.815988444785403e-10,1.6376643355328988e-09,9.308159770691356e-05,0.008814025509582813
3372,Input,0.0001505820041932339,0.017364720288124753,2.8005691601054502e-05,0.01727282056737588,6.38940291478044e-05,0.1554970695895516,0.1472044582721407,0.00829261131741104,0.20835671980892115,1.1216057068117988e-05,2.3946928216081746e-05,0.00023110632753433862,1.3908319855073866e-10,1.1427194109406371e-10,2.4811257456675532e-11,1.3196794472686488e-09,1.2636499293119085e-09,5.602951795674081e-11,0.0010097622455705092,0.9823478319383645,1.1107187471834982e-06,2.848852137530581e-10,1.6433100338680977e-09,9.356159706084087e-05,0.00884352307480962
3373,Input,0.00015124041895075868,0.01737756982644425,2.8037002910490357e-05,0.017285619901204387,6.391292232935853e-05,0.1562402943142075,0.14794358245210218,0.008296711862105484,0.20859251980574678,1.1267193217784085e-05,2.3982736064797074e-05,0.00023158646964310003,1.3920093289006018e-10,1.1438623350706343e-10,2.4814699382997365e-11,1.3281554327727251e-09,1.2717162248219252e-09,5.643920795080037e-11,0.0010108001489256707,0.9825589391629926,1.1189459163855998e-06,2.8585076761259046e-10,1.6449687719349287e-09,9.370262358283011e-05,0.008852189626122765
