turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
31528,Input,0.00014949725933339719,0.015540635159151377,2.3215629280623307e-05,0.015473888477205959,4.353105266477787e-05,0.15591206617528958,0.14911010828598525,0.006801957889304375,0.18715279987610545,1.119357491531513e-05,2.1511068516418177e-05,0.00020905996082367935,1.1611577070577961e-10,9.402853348412231e-11,2.2087237221657772e-11,1.3974756908859173e-09,1.336421347042158e-09,6.105434384376007e-11,0.0008391848523331626,0.6818344938452137,1.2085397292874158e-06,2.807691498087045e-10,1.3900164930278272e-09,8.13204641059549e-05,0.00794625409185069
31529,Input,0.00014978383959751322,0.015546228022985737,2.3229257777289573e-05,0.015479459489135995,4.3539276072436787e-05,0.1562355606526767,0.1494318179686543,0.006803742684022481,0.1872554337016638,1.1215832331494983e-05,2.1526654167597746e-05,0.00020926894649839198,1.161670155141207e-10,9.407828016663449e-11,2.208873534748667e-11,1.4011649310444057e-09,1.3399322663696481e-09,6.123266467475824e-11,0.0008396366080300842,0.6819263799451216,1.2121206701699214e-06,2.811894148117601e-10,1.3907384719747739e-09,8.138184702220509e-05,0.007950026277294457
31530,Input,0.00014960567487039088,0.015542750982925232,2.3220785046631995e-05,0.015475996034234897,4.353416364368638e-05,0.156034446645517,0.1492318135545257,0.0068026330909913574,0.18719162704847184,1.120199506851261e-05,2.151696468916141e-05,0.00020913902172558005,1.1613515701429452e-10,9.404735304001479e-11,2.2087803974280202e-11,1.3988713590562812e-09,1.3377495550588736e-09,6.112180399740835e-11,0.0008393557550176961,0.6818692550695935,1.2098944270015696e-06,2.809281393194668e-10,1.3902896232640383e-09,8.13436857393358e-05,0.007947681138865905
31531,Input,0.0001498424475944585,0.015547371809169097,2.3232044915801883e-05,0.015480598806427031,4.354095782624646e-05,0.15630171790673955,0.14949761021766797,0.006804107689071623,0.1872764231544908,1.1220384154292352e-05,2.152984156014043e-05,0.00020931168577013821,1.1617749549458962e-10,9.408845376817578e-11,2.2089041726414317e-11,1.4019194106894227e-09,1.3406502779530886e-09,6.126913273633486e-11,0.0008397289957476643,0.6819451714005602,1.2128530017313796e-06,2.8127536242609173e-10,1.3908861225467617e-09,8.139440032827164e-05,0.007950797719925538
31532,Input,0.00014924861419344954,0.015535782632355465,2.3203804811582112e-05,0.01546905490974008,4.35239178037835e-05,0.15563139322019157,0.14883098386924812,0.006800409350943472,0.18706375186717145,1.117426375172896e-05,2.1497545964784437e-05,0.0002088786389434157,1.1607130926116179e-10,9.398537185583181e-11,2.2085937405330448e-11,1.3942748018144482e-09,1.3333751741655248e-09,6.08996276489241e-11,0.0008387928963175252,0.6817547708669361,1.2054328037298546e-06,2.8040451600943646e-10,1.3893900836801477e-09,8.126720655226916e-05,0.00794298123710451
34990,Input,0.0002736383126364197,0.023588281847487454,4.080648845871253e-05,0.023456988500590376,9.048685843835157e-05,0.28952687162598423,0.2782614661549113,0.011265405471073065,0.2984072941520564,2.0508400748578024e-05,3.51982174100385e-05,0.000355477040971985,1.9633378787662684e-10,1.6541487340177505e-10,3.091891447485264e-11,2.7294906629805856e-09,2.6078042177698055e-09,1.216864452107812e-10,0.001447958428906749,1.5581325009836045,2.429485460618219e-06,4.781391103897309e-10,2.3436585325128118e-09,0.00013847093211871115,0.012589124230402303
34991,Input,0.00027377230001500284,0.023590896728055904,4.0812860309014134e-05,0.02345959316454679,9.04907032000927e-05,0.2896781178297133,0.27841187789794813,0.011266239931765343,0.29845527944261,2.0518806953126582e-05,3.520550430591566e-05,0.0003555747498731982,1.963577468102847e-10,1.654381319035549e-10,3.091961490673067e-11,2.7312155257143265e-09,2.6094457086050455e-09,1.21769817109282e-10,0.001448169642200788,1.5581754612959375,2.4311596892437946e-06,4.783356005641096e-10,2.343996085647505e-09,0.00013849963101067258,0.012590887873271077
34992,Input,0.00027390354567639804,0.02359345810162187,4.081910177530737e-05,0.02346214453055817,9.049446928838371e-05,0.28982626915748644,0.27855921184018373,0.011267057317302882,0.2985022828339931,2.0529000220679336e-05,3.521264209366126e-05,0.00035567045940568953,1.9638121548418147e-10,1.6546091447816332e-10,3.0920301006019026e-11,2.732905093438538e-09,2.611053610428512e-09,1.2185148301002743e-10,0.0014483765335420826,1.5582175425327338,2.4327996589604503e-06,4.785280700576299e-10,2.3443267316000366e-09,0.00013852774265146013,0.012592615427591679
36049,Input,0.00019573118788363233,0.019310018533006373,2.9521494326312093e-05,0.019223069139449468,5.742789923057816e-05,0.20624325283109055,0.19759328842704219,0.008649964404048527,0.23169311791103808,1.4797700535503046e-05,2.7066022210690465e-05,0.00026798767516251305,1.4722617818125111e-10,1.194897687798049e-10,2.7736409401446782e-11,1.8717048454537367e-09,1.7891680152553615e-09,8.25368301983768e-11,0.0010710266637485645,0.8799482213296362,1.6363830004398133e-06,3.6283264526777116e-10,1.7620861110026588e-09,0.00010392024815537115,0.009693813609714748
36050,Input,0.0001602458296934323,0.016109786460837484,2.4599400815121727e-05,0.016037850359290836,4.733670073150743e-05,0.1676395765827161,0.1605005790260044,0.007138997556711825,0.19544732262946338,1.2006065842486897e-05,2.2562674485315126e-05,0.0002208095572045356,1.2237246314750873e-10,9.972492452280239e-11,2.264753862470685e-11,1.5180637571599608e-09,1.4514503219847473e-09,6.661343517521464e-11,0.0008867144096162842,0.7459434198038493,1.3207799658089162e-06,2.973907260222749e-10,1.4634796973381536e-09,8.58294784738526e-05,0.008282972211826238
