turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
27030,Input,0.00010191302605157265,0.017198223269836783,2.461170664886163e-05,0.017120397414308243,5.321414887966276e-05,0.10027076142962975,0.09238525140995159,0.00788551001967821,0.19628720745888398,7.481145298436862e-06,2.1723481984916227e-05,0.00019663307642911218,1.2611135641628647e-10,9.950754875211364e-11,2.6603807664173404e-11,6.76203802055152e-10,6.512814665590861e-10,2.4922335496066608e-11,0.0009028060733304877,0.8291805992624238,4.776088668353344e-07,2.2193091411924496e-10,1.498417287326378e-09,8.250530545079627e-05,0.008459350172790174
27031,Input,0.0001020567475208926,0.01720102811967688,2.461854140969744e-05,0.01712319130530647,5.321827296069536e-05,0.10043299556585111,0.09254659046248635,0.007886405103364842,0.1963386788477344,7.492307506576005e-06,2.1731298268758192e-05,0.00019673788381467712,1.2613705594996692e-10,9.953249696802271e-11,2.660455898194478e-11,6.780539748780695e-10,6.530422105725199e-10,2.501176430555026e-11,0.0009030326311248127,0.8292266806118481,4.79404727017015e-07,2.221416791694106e-10,1.4987793634637327e-09,8.25360892974852e-05,0.008461241943098214
27032,Input,0.00010138830507361777,0.017187982882244893,2.4586753227449883e-05,0.017110197036982383,5.319909203503944e-05,0.09967845149139597,0.09179620938422682,0.007882242107169224,0.19609928760514125,7.44039255078808e-06,2.169494506471262e-05,0.0001962504291175395,1.2601752851075788e-10,9.941646387584584e-11,2.6601064634912594e-11,6.694488996900377e-10,6.448530649776866e-10,2.459583471235176e-11,0.0009019789204495432,0.8290123582136103,4.710522576157049e-07,2.21161419876214e-10,1.497095362733025e-09,8.239291493449926e-05,0.008452443399774294
27033,Input,0.00010243971034030594,0.01720850197315108,2.4636753436697196e-05,0.01713063595765297,5.322926206139968e-05,0.1008652875713978,0.09297649741189727,0.007888790159500609,0.1964758304388401,7.522050527713154e-06,2.1752125679663587e-05,0.00019701715546463464,1.2620553539094705e-10,9.959897443411792e-11,2.6606560956829694e-11,6.829839787530592e-10,6.577339208287573e-10,2.5250057924302532e-11,0.00090363632110993,0.8293494698066806,4.84190008448543e-07,2.2270328752359158e-10,1.4997441580699926e-09,8.261811649061207e-05,0.008466282788382348
27034,Input,0.00010228490169767005,0.017205480747452533,2.4629391418672052e-05,0.01712762653619941,5.322481983443249e-05,0.10069053813043762,0.0928027121044881,0.007887826025949592,0.1964203883682836,7.510027228069638e-06,2.174370642053858e-05,0.00019690426287333082,1.26177853305979e-10,9.957210162618361e-11,2.6605751679795964e-11,6.809910771725719e-10,6.558373469067207e-10,2.5153730265851664e-11,0.0009033922858604715,0.8292998335819123,4.82255609375076e-07,2.2247626332542814e-10,1.4993541501218415e-09,8.258495787107126e-05,0.008464245080342258
27035,Input,0.00010185023535418103,0.017196997854605694,2.4608720599516207e-05,0.01711917678690271,5.321234710345381e-05,0.10019988270425714,0.09231476373909002,0.007885118965167194,0.1962647200433508,7.476268623874572e-06,2.1720067116450366e-05,0.00019658728696660138,1.2610012850684422e-10,9.949664908706694e-11,2.6603479419777833e-11,6.753954771584211e-10,6.505122123547224e-10,2.4883264803699252e-11,0.0009027070921415777,0.8291604667096412,4.7682427067333305e-07,2.2183883264701742e-10,1.4982590993167443e-09,8.249185624789608e-05,0.008458523674303144
27036,Input,0.00010233271327090043,0.01720641383200952,2.4631665126767026e-05,0.01712855597509738,5.3226191785354174e-05,0.10074450828062546,0.09285638448873024,0.007888123791895301,0.19643751126640688,7.513740540592692e-06,2.1746306650198545e-05,0.00019693912896545838,1.2618640272550808e-10,9.958040110612595e-11,2.6606001619382688e-11,6.816065709733962e-10,6.564230905797892e-10,2.518348039360756e-11,0.0009034676544510204,0.8293151633849193,4.828530350832477e-07,2.2254637817102555e-10,1.499474601365751e-09,8.259519868023668e-05,0.008464874412306688
27037,Input,0.00010166935658666603,0.017193467847679507,2.4600118801036888e-05,0.017115660572083018,5.320715679543764e-05,0.09999570506296637,0.09211171259361665,0.007883992469349788,0.19619994140295974,7.46222057343014e-06,2.1710230035083386e-05,0.00019645538300808245,1.2606778469627907e-10,9.946525083761484e-11,2.660253385866479e-11,6.730669664530778e-10,6.482962511029595e-10,2.4770715350118787e-11,0.0009024219608052341,0.8291024716325747,4.745641144292537e-07,2.2157357706140734e-10,1.497803413149735e-09,8.245311364197358e-05,0.008456142811629255
31571,Input,8.799984914166328e-05,0.016504437921523996,2.3547740191649516e-05,0.016428200940842495,5.2689240489836436e-05,0.08563530316893805,0.0779166688847959,0.007718634284142208,0.18578428524622081,6.472015497149565e-06,2.04911344151303e-05,0.00018414495377178992,1.2217954575172455e-10,9.602637348390453e-11,2.615317226782054e-11,5.151650608884796e-10,4.978276986859722e-10,1.7337362202507634e-11,0.0008689625077844611,0.8417611828094624,3.264203115130538e-07,2.0141074760819546e-10,1.4384600001442417e-09,7.847301515037837e-05,0.007949708067855029
31572,Input,8.772632444381286e-05,0.0164990998484535,2.353473256028211e-05,0.016422883724182148,5.268139171105837e-05,0.08532654593662646,0.07760961513837332,0.007716930798253183,0.1856863270486747,6.450772048811265e-06,2.0476258790171115e-05,0.00018394548873288657,1.221306354725707e-10,9.597889308135424e-11,2.6151742391217008e-11,5.116438892447842e-10,4.944767242174719e-10,1.7167165027312546e-11,0.0008685313324525386,0.8416734827098359,3.230025054197808e-07,2.0100962836736955e-10,1.437770911961819e-09,7.841442861905423e-05,0.007946107729614973
31573,Input,8.741578859625362e-05,0.01649303947051211,2.3519964841450285e-05,0.016416847024771624,5.26724808990209e-05,0.08497601017302107,0.07726101336258882,0.007714996810432298,0.18557511394017154,6.42665410887144e-06,2.0459370315963934e-05,0.00018371903369829163,1.2207510705005252e-10,9.5924988014776e-11,2.615011903527705e-11,5.076462611352579e-10,4.906723229882483e-10,1.6973938147009772e-11,0.0008680418139622615,0.8415739157420901,3.191222294508879e-07,2.0055423291532783e-10,1.4369885819402403e-09,7.834791463218841e-05,0.007942020222725608
31574,Input,8.732812674198774e-05,0.016491328672959847,2.3515796029294613e-05,0.01641514291148444,5.266996544609539e-05,0.08487705665359432,0.07716260579288041,0.007714450860713967,0.18554371934471112,6.41984580202759e-06,2.0454602831062078e-05,0.00018365510720350374,1.2205943180830293e-10,9.590977103378101e-11,2.6149660774522462e-11,5.065177618154502e-10,4.895983701137366e-10,1.6919391701713717e-11,0.0008679036267001712,0.8415458087615761,3.1802685772755856e-07,2.004256783215055e-10,1.4367677362604952e-09,7.83291382510746e-05,0.007940866351325371
31575,Input,8.688472384552096e-05,0.016482675278660874,2.349470973811211e-05,0.01640652332690262,5.2657242020125926e-05,0.08437653932485609,0.07666484993534832,0.007711689389507819,0.18538492217258765,6.38540866856882e-06,2.0430488390042708e-05,0.00018333176025645044,1.2198014478371525e-10,9.583280194038044e-11,2.614734284333534e-11,5.00809693337389e-10,4.841662033039527e-10,1.6643490033436458e-11,0.0008672046609666855,0.8414036406922923,3.124863521233891e-07,1.997754356391866e-10,1.4356506755401712e-09,7.82341653367922e-05,0.007935029948190859
34984,Input,8.757038117018087e-05,0.01663329133038971,2.36206750344508e-05,0.016556936925041572,5.273373031367279e-05,0.0851699372141654,0.07739120230765703,0.007778734906508399,0.1867157666553337,6.449782873915998e-06,2.0586842227282934e-05,0.00018485111215772287,1.2284735274504185e-10,9.6355301076183e-11,2.6492051668859392e-11,5.048580893799975e-10,4.880724796581305e-10,1.6785609721867343e-11,0.0008729526787623536,0.8523589172528387,3.148306948163383e-07,2.0202778152910787e-10,1.4457944554861447e-09,7.884964069902376e-05,0.007977999126422563
34985,Input,8.76580688700986e-05,0.016635002632342414,2.3624845075711973e-05,0.016558641540758447,5.2736246508238096e-05,0.0852689199084052,0.07748963889121425,0.0077792810171909985,0.18674717050697273,6.456593188076825e-06,2.0591611117799076e-05,0.00018491505750018329,1.2286303260837792e-10,9.637052254365386e-11,2.649251006472461e-11,5.059869214192162e-10,4.891467491699334e-10,1.6840172249283104e-11,0.000873090906766679,0.8523870325202322,3.1592638949195327e-07,2.021563740251318e-10,1.4460153662785959e-09,7.886842261604385e-05,0.00797915333802275
34986,Input,8.7466393954097e-05,0.016631261929161176,2.3615729859903963e-05,0.01655491545289602,5.273074640523159e-05,0.08505255547391975,0.07727446818993554,0.007778087283984254,0.18667852541044627,6.441706648733841e-06,2.058118688851766e-05,0.00018477528056275308,1.228287582860878e-10,9.633725022037893e-11,2.6491508065709423e-11,5.035194284127836e-10,4.867985233796446e-10,1.6720905033139185e-11,0.0008727887567371652,0.8523255758789806,3.135313308336814e-07,2.0187528607440506e-10,1.4455324814768883e-09,7.882736757217164e-05,0.007976630368304977
34987,Input,9.040892918825918e-05,0.014791382299241125,2.2277419214909958e-05,0.014717029500003824,5.20753800223787e-05,0.08982786262509744,0.0827229576928477,0.007104904932249766,0.16977090672290238,6.6732917075792805e-06,1.8952624646641775e-05,0.00017392681609096821,1.1360017571978141e-10,9.076109627113643e-11,2.2839079448645494e-11,6.132870118447871e-10,5.904782406576139e-10,2.2808771187173584e-11,0.0008151762853729886,0.8694216936086708,4.4110742427433574e-07,1.9383332475448632e-10,1.3383207725468123e-09,7.364422032342738e-05,0.007245141397152768
34988,Input,9.086077724122538e-05,0.014800200508135785,2.2298907120584488e-05,0.014725813255233455,5.2088345781730235e-05,0.09033791292532857,0.08323019392623857,0.0071077189990900215,0.16993272838354628,6.708384738831614e-06,1.8977198377011596e-05,0.00017425632158049665,1.1368097286380306e-10,9.083953133610502e-11,2.2841441527698547e-11,6.191037975459224e-10,5.960138698020045e-10,2.3089927743918258e-11,0.0008158885637732479,0.869566569444647,4.467534556594284e-07,1.9449595211281566e-10,1.3394591090699731e-09,7.374100211431098e-05,0.007251088961802591
34989,Input,9.125771269541844e-05,0.01480794704976586,2.2317783624627356e-05,0.014733529530314662,5.209973582655476e-05,0.0907859773714504,0.08367578629597977,0.00711019107547064,0.17007488403508506,6.7392129524483635e-06,1.8998785688855766e-05,0.00017454578262893197,1.1375195081944367e-10,9.090843427357167e-11,2.284351654587249e-11,6.242136756544295e-10,6.008767600020361e-10,2.333691565239364e-11,0.0008165142797599888,0.8696938386790218,4.51713331036821e-07,1.950780510943484e-10,1.3404591048027846e-09,7.382602212019526e-05,0.007256313725437451
35692,Input,0.00010480245668376665,0.01867785426422499,2.5691720309518952e-05,0.01859818978640541,5.3972757510041406e-05,0.10426074541565776,0.09566044938512332,0.008600296030534475,0.20703190276383823,7.876174306262377e-06,2.3026575046712582e-05,0.00020988296184812566,1.3633881457324021e-10,1.0589606330667085e-10,3.044275126656992e-11,6.644794670487182e-10,6.406847887208184e-10,2.3794678327900345e-11,0.0009595846153381943,0.8101010971307833,4.514469543367618e-07,2.4175406279991183e-10,1.593838945923031e-09,8.808387327277853e-05,0.008683408657582166
35693,Input,0.00010477305336102211,0.018677280432733506,2.5690322016837365e-05,0.018597618196933615,5.39719137830311e-05,0.104227554670461,0.09562744176103327,0.008600112909427754,0.20702137246613364,7.873890680788674e-06,2.3024975948696426e-05,0.00020986151978106106,1.363335568223505e-10,1.058909592644721e-10,3.0442597557878936e-11,6.641009485928267e-10,6.403245660989477e-10,2.3776382493879506e-11,0.0009595382649078909,0.8100916695567679,4.510795474574981e-07,2.4171094333541835e-10,1.5937648704103387e-09,8.807757534537912e-05,0.008683021628885693
