turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
5583,Input,8.719572946512041e-05,0.015752821939245775,2.312471089550697e-05,0.015677389878645403,5.2307349704855276e-05,0.08348868715025441,0.07622922724104302,0.007259459909211458,0.1818475891598748,6.244753846570712e-06,1.991657719551498e-05,0.00017728017388265517,1.1720104089097232e-10,9.355121262711238e-11,2.3649828263860535e-11,5.271383315965266e-10,5.089695529621492e-10,1.8168778634377723e-11,0.000840313854262376,0.8051280926577823,3.4629273480763213e-07,1.8983153688835802e-10,1.3902365902829362e-09,7.539351141029827e-05,0.007979502203051787
5584,Input,8.578759925535887e-05,0.0157253410499091,2.3057746417235603e-05,0.015650016360019395,5.2266943472460236e-05,0.08189917662445143,0.07464848641670059,0.007250690207750893,0.18134329138222463,6.1353906278202495e-06,1.9839996115054134e-05,0.00017625330958382436,1.1694924629185332e-10,9.330677916377922e-11,2.3642467128074682e-11,5.090110173020246e-10,4.917184293220624e-10,1.729258797996251e-11,0.0008380941241416389,0.8046766045082524,3.2869755583890656e-07,1.877665382788635e-10,1.3866891011732341e-09,7.509190257829517e-05,0.007960967331864566
5585,Input,8.846504792268808e-05,0.015777593796154746,2.3185074097490705e-05,0.015702064949316915,5.2343772740327594e-05,0.08492150567436058,0.07765414057012239,0.007267365104238231,0.18230217387998396,6.3433361731032e-06,1.9985609006817347e-05,0.00017820581115603207,1.174280138867663e-10,9.377155013887452e-11,2.365646374789238e-11,5.434786774399967e-10,5.245200819532518e-10,1.895859548674528e-11,0.0008423147661052856,0.8055350736582599,3.6215340257428135e-07,1.9169297046297525e-10,1.3934343722591695e-09,7.566538801288304e-05,0.007996209929328438
5586,Input,8.925012000037264e-05,0.015792915162558648,2.3222408671895206e-05,0.01571732645353881,5.236630034792941e-05,0.08580770236437046,0.07853544790565456,0.007272254458715957,0.18258333403216803,6.404309234238814e-06,2.00283051066041e-05,0.00017877831679719697,1.1756839643641244e-10,9.390782864890455e-11,2.3660567787508494e-11,5.535851634718781e-10,5.341380671258086e-10,1.9447096346069943e-11,0.0008435523278916215,0.8057867909619186,3.7196320824029864e-07,1.9284426509292718e-10,1.3954121969138858e-09,7.583354339421584e-05,0.00800654363975642
5587,Input,8.887475793233497e-05,0.015785589644377575,2.3204558103194413e-05,0.015710029556923927,5.2355529350440485e-05,0.08538399015793034,0.07811407341859117,0.007269916739339234,0.1824489045203137,6.375156529699949e-06,2.000789106212507e-05,0.00017850458791606708,1.1750127612268662e-10,9.384267057640651e-11,2.365860554628071e-11,5.487530065204942e-10,5.295394743247829e-10,1.9213532195711813e-11,0.0008429606194808302,0.8056664387925473,3.6727290139267264e-07,1.9229380310924034e-10,1.3944665508086265e-09,7.575314421370378e-05,0.008001602841290895
5588,Input,8.856212782504422e-05,0.01577948839513073,2.318969079058261e-05,0.01570395214589642,5.234655844371517e-05,0.08503109037438994,0.07776312066572272,0.007267969708667271,0.18233694138846673,6.350875937909074e-06,1.9990888691722855e-05,0.00017827660566436122,1.1744537321541846e-10,9.3788401973022e-11,2.3656971242397054e-11,5.44728418330072e-10,5.257094161404624e-10,1.9019002189610064e-11,0.0008424677996684349,0.805566200343255,3.6336645676797837e-07,1.9183533646150692e-10,1.393678944738328e-09,7.568618165523063e-05,0.007997487768176412
5589,Input,8.61551444496858e-05,0.015732514014981155,2.3075225249809915e-05,0.015657161299566222,5.227749016511316e-05,0.08231406507087564,0.07506108582649654,0.00725297924437916,0.18147492141430557,6.163936230499041e-06,1.9859985039306044e-05,0.00017652133809116326,1.170149688324409e-10,9.33705803265964e-11,2.364438850584509e-11,5.137425451172871e-10,4.962212569346647e-10,1.7521288182622756e-11,0.000838673510289968,0.8047944503569565,3.332901875631933e-07,1.883055369523882e-10,1.3876150543025395e-09,7.517062745473118e-05,0.007965805238746407
5590,Input,8.842215987572018e-05,0.0157767567985075,2.31830345306457e-05,0.015701231221907072,5.2342542069768326e-05,0.08487309324657936,0.07760599524503208,0.007267098001547352,0.18228681425867643,6.340005248995603e-06,1.9983276542849958e-05,0.00017817453549418441,1.174203448668714e-10,9.376410532036039e-11,2.365623954651162e-11,5.429265657805243e-10,5.239946568215445e-10,1.893190895898038e-11,0.0008422471587995022,0.805521322483242,3.6161749839667904e-07,1.916300758835261e-10,1.3933263248083725e-09,7.56562017787811e-05,0.007995645404527742
5591,Input,8.835947026147655e-05,0.01577553335600222,2.318005328837012e-05,0.015700012559519704,5.234074319413572e-05,0.0848023286248079,0.07753562104823535,0.007266707576572601,0.1822643630443458,6.3351364251124275e-06,1.997986717178529e-05,0.00017812881974550723,1.1740913503259757e-10,9.375322320206026e-11,2.36559118305379e-11,5.42119542159756e-10,5.232266409954731e-10,1.8892901164283285e-11,0.0008421483369547399,0.805501222340703,3.6083416531110896e-07,1.9153814264798762e-10,1.3931683914565566e-09,7.564277422698251e-05,0.007994820236573295
5592,Input,8.884844594373586e-05,0.015785076142968466,2.32033068207657e-05,0.015709518061818566,5.235477432912304e-05,0.08535428893957485,0.0780845360688064,0.007269752870768522,0.1824394813311199,6.373112994418215e-06,2.00064600861386e-05,0.00017848540017225165,1.1749657114826352e-10,9.383810315042851e-11,2.3658467997835595e-11,5.484142838059734e-10,5.292171239019363e-10,1.919715990403751e-11,0.0008429191421279368,0.8056580023915947,3.669441220331966e-07,1.9225521703282955e-10,1.394400263264788e-09,7.574750842228758e-05,0.008001256503064514
5593,Input,8.917812237732486e-05,0.01579151006614231,2.321898478166776e-05,0.01571592684698122,5.236423437940705e-05,0.08572643077536973,0.07845462471102504,0.00727180606434474,0.18255754931350535,6.398717498656193e-06,2.0024389520016024e-05,0.00017872581327998247,1.1755552219189504e-10,9.389533077887001e-11,2.366019141302563e-11,5.526583148520584e-10,5.332560180877444e-10,1.9402296764314465e-11,0.0008434388332081093,0.805763706396745,3.7106356767150285e-07,1.9273868182339011e-10,1.3952308139835888e-09,7.581812215060931e-05,0.008005595952774258
5594,Input,8.83398103353505e-05,0.015775149675394777,2.317911834876954e-05,0.01569963037799255,5.234017905344872e-05,0.08478013631666959,0.07751355118025327,0.007266585136416379,0.1822573221776806,6.333609525975802e-06,1.9978797967833782e-05,0.00017811448294901172,1.1740561954576027e-10,9.374981048937321e-11,2.3655809056387645e-11,5.418664535906567e-10,5.229857855589484e-10,1.88806680317088e-11,0.0008421173456942082,0.8054949187875196,3.605885062688542e-07,1.9150931170619572e-10,1.3931188623907457e-09,7.563856324754677e-05,0.00799456145780712
5595,Input,8.784199050713289e-05,0.01576543428720552,2.3155444227698464e-05,0.01568995294884172,5.2325894136094935e-05,0.08421819264738398,0.07695470788566622,0.007263484761717822,0.18207903651112792,6.294946071137418e-06,1.9951724065111256e-05,0.0001777514530208822,1.173166019654182e-10,9.366339530995046e-11,2.3653206655468334e-11,5.354578584013925e-10,5.168869522638918e-10,1.8570906137501076e-11,0.0008413325989003857,0.8053353030421266,3.5436803822481424e-07,1.9077926753419956e-10,1.3918647096093103e-09,7.553193471568527e-05,0.007988008778000598
5596,Input,8.899284334157032e-05,0.015787894184143128,2.3210173725788183e-05,0.015712325092611435,5.235891780589366e-05,0.0855172860702133,0.07824663390613949,0.007270652164073868,0.18249119479222004,6.384327698922737e-06,2.0014313130313943e-05,0.00017859070047165042,1.175223915480032e-10,9.386316869891564e-11,2.3659222849088138e-11,5.502731580746368e-10,5.309861487734152e-10,1.928700930122206e-11,0.0008431467654337271,0.8057043004636717,3.687484282258361e-07,1.9246697332047664e-10,1.3947640422624517e-09,7.577843704678782e-05,0.008003157170453138
5597,Input,8.536837667073966e-05,0.015717159555487994,2.3037810035312975e-05,0.015641866831553233,5.2254913899440674e-05,0.08142595425745215,0.07417787492821748,0.00724807932923472,0.1811931539756846,6.102831471778416e-06,1.9817196718903716e-05,0.00017594759587750316,1.1687428306621971e-10,9.32340074644324e-11,2.3640275601787928e-11,5.036142297762227e-10,4.865824975809151e-10,1.7031732195307947e-11,0.0008374332754559693,0.8045421893613726,3.2345919339701567e-07,1.8715175560585066e-10,1.3856329576836847e-09,7.500210886943232e-05,0.0079554492082203
5598,Input,8.854005316664646e-05,0.015779057588916668,2.3188641016937836e-05,0.015703523022887324,5.2345925012395336e-05,0.08500617229392159,0.07773834006413428,0.007267832229787368,0.18232903572669254,6.349161497242678e-06,1.998968816269565e-05,0.0001782605079494905,1.174414259385804e-10,9.378457009357885e-11,2.365685584500215e-11,5.444442441337185e-10,5.2543897761234e-10,1.900526652137892e-11,0.0008424330019034194,0.8055591225555602,3.630906246308013e-07,1.9180296435658335e-10,1.39362333226036e-09,7.568145346185045e-05,0.007997197204883993
5599,Input,8.762737127817386e-05,0.015761245805742903,2.3145237881300513e-05,0.01568578083221452,5.2319735647070514e-05,0.0839759284582449,0.07671378032473995,0.007262148133505019,0.1820021743009042,6.278277548921224e-06,1.9940052010689428e-05,0.00017759494418204553,1.1727822485913617e-10,9.362614014628116e-11,2.3652084712855597e-11,5.32694995855007e-10,5.142576337330867e-10,1.8437362121920618e-11,0.0008409942802110291,0.8052664897762336,3.516862807300271e-07,1.9046453214517166e-10,1.391324021417134e-09,7.548596520624432e-05,0.007985183797941595
5600,Input,8.779221385241969e-05,0.015764462852369286,2.3153077068972755e-05,0.01568898530950305,5.232446579724938e-05,0.0841620042948741,0.07689882953744324,0.00726317475743092,0.1820612098526437,6.2910801394641044e-06,1.9949016964607882e-05,0.00017771515391353697,1.1730770116012897e-10,9.365475471689994e-11,2.3652946443229604e-11,5.348170674729259e-10,5.162771342094999e-10,1.8539933263426356e-11,0.0008412541326200584,0.8053193431759365,3.537460579973668e-07,1.90706270930579e-10,1.3917393077542202e-09,7.552127300373209e-05,0.007987353580152526
5601,Input,8.904698723550038e-05,0.01578895084946217,2.3212748571199125e-05,0.015713377629428486,5.236047146247012e-05,0.08557840420311973,0.07830741483600719,0.0072709893671126105,0.18251058550281837,6.388532814667593e-06,2.001725774287092e-05,0.00017863018434273776,1.1753207328053924e-10,9.387256738905092e-11,2.3659505891488927e-11,5.509701698819218e-10,5.316494702489919e-10,1.9320699632930232e-11,0.0008432321160862289,0.8057216605957882,3.694249789433471e-07,1.9254637440490975e-10,1.3949004464619655e-09,7.579003418212027e-05,0.008003869853195551
5602,Input,8.777630160743966e-05,0.01576415231102846,2.315232035260106e-05,0.015688675981479744,5.232400919610261e-05,0.08414404240419837,0.0768809667467208,0.00726307565747761,0.1820555111539543,6.289844306075615e-06,1.9948151578079928e-05,0.00017770355007450914,1.1730485581435194e-10,9.365199255391039e-11,2.365286326044214e-11,5.346122240117994e-10,5.160821919352421e-10,1.8530032076557678e-11,0.000841229049080748,0.8053142412400563,3.535472278066094e-07,1.906829358983995e-10,1.3916992201860492e-09,7.55178647439066e-05,0.007987144131190378
5603,Input,8.823456565522567e-05,0.015773095733658614,2.317411337476462e-05,0.0156975844612217,5.233715906213401e-05,0.08466133513927596,0.07739540545675064,0.007265929682525391,0.18221963059352986,6.325435639146995e-06,1.997307424195897e-05,0.0001780377343614785,1.173868002335562e-10,9.373154135383307e-11,2.3655258879723754e-11,5.405116048833273e-10,5.216964239809432e-10,1.881518090238436e-11,0.0008419514414440891,0.8054611742335371,3.5927342974434985e-07,1.9135497220221525e-10,1.392853720464233e-09,7.561602078320154e-05,0.007993176148000021
5604,Input,8.576718446308156e-05,0.015724942637430257,2.3056775579521593e-05,0.015649619504179802,5.226635767092332e-05,0.08187613221635487,0.07462556914999506,0.007250563066359839,0.18133598017314378,6.133805101582624e-06,1.983888585775041e-05,0.00017623842230904516,1.1694559582373472e-10,9.330323541594612e-11,2.3642360407789196e-11,5.087482110975256e-10,4.914683259557536e-10,1.7279885141772397e-11,0.0008380619429349488,0.8046700589226777,3.2844246442673556e-07,1.8773660033891055e-10,1.386637670380273e-09,7.5087529913316e-05,0.007960698616981135
5605,Input,8.580302370397947e-05,0.015725642071478474,2.3058479936158315e-05,0.015650316205465992,5.2267386076312636e-05,0.08191658788604299,0.07466580161628834,0.007250786269754717,0.18134881538498154,6.136588576232197e-06,1.9840834972805134e-05,0.00017626455770243432,1.169520044123951e-10,9.330945665153582e-11,2.3642547760859874e-11,5.092095812033077e-10,4.919073955613984e-10,1.7302185641909667e-11,0.0008381184387348217,0.8046815500422072,3.288902908090761e-07,1.8778915796611467e-10,1.3867279598406538e-09,7.50952063565257e-05,0.007961170360083359
5606,Input,8.482539305463127e-05,0.015706562756582283,2.3011988123169812e-05,0.015631311435449855,5.223933300924524e-05,0.08081302928278733,0.07356833160404083,0.007244697678746549,0.18099869367009236,6.0606603461433554e-06,1.9787666586174613e-05,0.00017555163072714524,1.1677718952969987e-10,9.313975242686666e-11,2.363743710283381e-11,4.966242265806881e-10,4.79930358857456e-10,1.6693867723232375e-11,0.0008365773339532678,0.8043680927711835,3.166743848357884e-07,1.863554795196839e-10,1.3842650241988846e-09,7.488580666022187e-05,0.007948302048595734
5607,Input,8.58184340795356e-05,0.01572594281839972,2.305921278582799e-05,0.015650615777337538,5.2267828276339096e-05,0.08193398326182805,0.07468310101771526,0.007250882244112832,0.1813543343477109,6.1377854316517395e-06,1.9841673065193337e-05,0.0001762757955584085,1.169547600164639e-10,9.331213169638774e-11,2.3642628320076763e-11,5.09407963937494e-10,4.920961893904182e-10,1.7311774547076057e-11,0.0008381427311436889,0.8046864910639218,3.29082849930389e-07,1.8781175701546016e-10,1.3867667830539354e-09,7.509850712043234e-05,0.007961373203061872
5608,Input,8.496342322449892e-05,0.015709256535749123,2.301855223084026e-05,0.015633994689739576,5.224329377869861e-05,0.08096883902705819,0.07372328170949853,0.007245557317559707,0.18104812681727603,6.07138053633369e-06,1.9795173349023235e-05,0.00017565228779182297,1.1680187137449462e-10,9.316371270570402e-11,2.36381586687912e-11,4.984011334703842e-10,4.816213782745115e-10,1.6779755195873034e-11,0.0008367949201704384,0.8044123493218495,3.1839912983811047e-07,1.865578983775914e-10,1.3846127622993964e-09,7.491537148173224e-05,0.007950118905730616
5609,Input,8.627223440755462e-05,0.01573479912764497,2.3080793533115783e-05,0.01565943748405571,5.2280850056134574e-05,0.08244623730836341,0.07519252883882642,0.007253708469537046,0.1815168551823116,6.173030087435793e-06,1.9866352969929607e-05,0.00017660672472419873,1.1703590625626582e-10,9.339090565143143e-11,2.3645000604834987e-11,5.152498819049677e-10,4.976557360234624e-10,1.759414588150552e-11,0.0008388580870460913,0.8048319928569613,3.3475327581303005e-07,1.8847724735140434e-10,1.3879100379251587e-09,7.51957070710815e-05,0.00796734646502745
