turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
14991,Input,8.271609423495667e-05,0.014424361786777603,2.1878426047947938e-05,0.014350769388933524,5.171397179612155e-05,0.08000238490104142,0.07316004834593152,0.006842336555109945,0.16740224670372655,5.955572785627042e-06,1.844982798029042e-05,0.00016591837038775026,1.1028092122943416e-10,8.867835933841299e-11,2.1602561891021714e-11,5.185347532942135e-10,5.00254983256724e-10,1.8279770037489874e-11,0.000793475539986072,0.8063498593418656,3.514738501734206e-07,1.76993136459055e-10,1.3045926573164985e-09,7.086548618840452e-05,0.007305407731201308
14992,Input,8.353893886789133e-05,0.014440420317545707,2.1917556918914902e-05,0.014366765177341301,5.173758328548019e-05,0.08093121960402788,0.07408375845054688,0.006847461153481063,0.16769693445125425,6.019479473350556e-06,1.849457833832174e-05,0.0001665184212716726,1.1042805807306602e-10,8.882119468277178e-11,2.160686339029479e-11,5.291274976110029e-10,5.10335723234415e-10,1.8791774376588004e-11,0.0007947726451853996,0.8066136876427564,3.6175563979740194e-07,1.781998238882863e-10,1.3066656420121448e-09,7.1041732111501e-05,0.007316238632472237
14993,Input,8.424890149700532e-05,0.014454275857543789,2.1951319618359316e-05,0.01438056658229455,5.175795563086765e-05,0.08173263204733774,0.07488074931390458,0.0068518827334332075,0.16795119543762815,6.074619117237319e-06,1.8533189615068354e-05,0.00016703615412925023,1.105550099375655e-10,8.89444351495045e-11,2.1610574788061524e-11,5.382670754895849e-10,5.190335361282669e-10,1.9233539361318394e-11,0.0007958918069088804,0.8068413226380373,3.7062692132646077e-07,1.7924097181036777e-10,1.3084542441439772e-09,7.119379972417522e-05,0.007325583695725015
14994,Input,8.287925466710761e-05,0.014427546004933697,2.188618524034206e-05,0.014353941166016033,5.171865367730943e-05,0.08018656191997094,0.07334320921715665,0.006843352702814342,0.16746067982501303,5.96824473166516e-06,1.8458701451007805e-05,0.0001660373534346277,1.1031009673843235e-10,8.870668191059639e-11,2.1603414827836513e-11,5.206351701544751e-10,5.022538756664554e-10,1.8381294488020066e-11,0.0007937327407216626,0.8064021733971125,3.5351260836808826e-07,1.7723240841216028e-10,1.3050037058489262e-09,7.090043368617782e-05,0.007307555371790088
14995,Input,8.266564053122276e-05,0.014423377138739145,2.1876026691749212e-05,0.014349788588018001,5.1712524029385113e-05,0.07994543228927663,0.07310340995505077,0.006842022334225925,0.1673841775717025,5.951654270563609e-06,1.8447084058515002e-05,0.0001658815775494538,1.1027189935772253e-10,8.86696012182788e-11,2.1602298139444256e-11,5.178852464953633e-10,4.996368706168698e-10,1.8248375878493896e-11,0.0007933960064279503,0.8063336823937552,3.5084340993381837e-07,1.769191469747501e-10,1.3044655497782188e-09,7.085467945863768e-05,0.007304743621523707
14996,Input,8.529428161307163e-05,0.014474677362379937,2.2001033297948293e-05,0.014400888376316172,5.1787952765804536e-05,0.08291266688107231,0.07605427361937468,0.006858393261697683,0.16832558046656748,6.1558091474761475e-06,1.8590042552549327e-05,0.00016779848669796766,1.1074193943132052e-10,8.912589981839544e-11,2.1616039612925618e-11,5.517245908456161e-10,5.318405773437256e-10,1.9884013501890893e-11,0.0007975397097201163,0.8071765023898005,3.836893853692208e-07,1.807740036785185e-10,1.3110878603760107e-09,7.141771074719021e-05,0.007339343776759177
14997,Input,8.403972507057731e-05,0.01445019359712024,2.1941372107706317e-05,0.01437650027168971,5.175195332281458e-05,0.08149651174450477,0.07464593174202622,0.006850580002478609,0.16787628247414424,6.058373313317838e-06,1.8521813567149102e-05,0.00016688361439750745,1.105176060852282e-10,8.890812478700747e-11,2.1609481298221266e-11,5.355742798954166e-10,5.164708978368038e-10,1.910338205861326e-11,0.0007955620680743097,0.8067742544954476,3.680131739375298e-07,1.7893421819715895e-10,1.3079272679527018e-09,7.114899601410624e-05,0.007322830357935392
14998,Input,8.27069310479737e-05,0.014424182959190707,2.1877990287084798e-05,0.014350591260044725,5.171370885888737e-05,0.07999204141003582,0.07314976192238583,0.006842279487650054,0.16739896506485558,5.954861121595176e-06,1.8449329640893428e-05,0.0001659116882290187,1.1027928271548351e-10,8.867676872590152e-11,2.1602513989582522e-11,5.184167926331693e-10,5.00142724269249e-10,1.8274068363920558e-11,0.0007934610954396748,0.8063469213533855,3.5135935229973544e-07,1.769796988037535e-10,1.3045695725862608e-09,7.086352351612877e-05,0.0073052871184275635
14999,Input,8.27831964545843e-05,0.014425671345126007,2.1881617134324085e-05,0.014352073830700408,5.171589729126518e-05,0.08007813051296245,0.07323537605158975,0.00684275446137273,0.16742627821728903,5.960784316970453e-06,1.8453477330645087e-05,0.00016596730398297482,1.102929201030994e-10,8.869000742878646e-11,2.1602912674313473e-11,5.193985818071e-10,5.010770582887742e-10,1.832152351832614e-11,0.0007935813177167415,0.8063713742960645,3.5231232061838525e-07,1.7709154070410595e-10,1.3047617073032935e-09,7.087985888060757e-05,0.0073062909811937825
15000,Input,8.544981501264105e-05,0.014477712732342241,2.200842978222492e-05,0.014403911886770364,5.1792415789638994e-05,0.08308823443442474,0.07622887252545862,0.006859361908966178,0.1683812820964377,6.16788873577146e-06,1.8598501227538475e-05,0.00016791190781072161,1.1076975111359444e-10,8.91528984348992e-11,2.1616852678695764e-11,5.537268224558337e-10,5.337460303249446e-10,1.9980792130889425e-11,0.000797784887452553,0.8072263709930554,3.856328405852703e-07,1.8100209072019568e-10,1.3114796941974442e-09,7.14510246031507e-05,0.007341391024596307
