turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
72455,Input,5.7443738931846e-05,0.009567644030227598,1.5589544046324778e-05,0.009513070921122935,3.898356505833587e-05,0.05535057843909302,0.050568651091617255,0.004781927347475786,0.11873105599591802,4.090627773282812e-06,1.2796381839705334e-05,0.0001133858295465087,8.36411566221548e-11,6.871708717434874e-11,1.492406944780651e-11,3.6024504271115844e-10,3.479086445982556e-10,1.2336398112903017e-11,0.0005400125816345451,0.5990819002931663,2.4208768611557705e-07,1.2216155681779525e-10,9.378339626364652e-10,4.934145529605472e-05,0.005209045897246754
72456,Input,5.751564931589102e-05,0.009569047424098705,1.5592963787849024e-05,0.009514468831787313,3.8985628523539015e-05,0.05543175155189305,0.05064937635336231,0.004782375198530766,0.11875680947142225,4.096212733399588e-06,1.2800292681805266e-05,0.00011343826944558847,8.365401526704261e-11,6.872956990080393e-11,1.4924445366239123e-11,3.611707682751624e-10,3.4878962486383555e-10,1.2381143411327038e-11,0.0005401259387973642,0.5991049568869382,2.42986236596357e-07,1.2226701215284296e-10,9.380151257863683e-10,4.935685785385112e-05,0.005209992435923404
72457,Input,5.7587616510061084e-05,0.009570451926668957,1.5596386231012905e-05,0.009515867846819032,3.898769361890612e-05,0.05551298879249255,0.050730165389098754,0.004782823403393819,0.11878258329250223,4.101802105706436e-06,1.280420661352058e-05,0.0001134907507728606,8.366688407042466e-11,6.8742062488773e-11,1.4924821581652116e-11,3.6209722517422653e-10,3.496713011151164e-10,1.2425924059110295e-11,0.0005402393855137948,0.5991280316957148,2.438854969435331e-07,1.2237255079895692e-10,9.381964320574819e-10,4.937227257986559e-05,0.00521093972237774
72458,Input,5.755405093288558e-05,0.00958192256532265,1.5599941289022185e-05,0.009527332247092176,3.8990376941447745e-05,0.055468334722511864,0.0506837084209559,0.004784626301555981,0.11884396508192384,4.099460818312088e-06,1.2811195347015876e-05,0.00011354737453897385,8.36981833691396e-11,6.875562178531597e-11,1.4942561583824045e-11,3.613183165666702e-10,3.489342461534307e-10,1.2384070413239616e-11,0.0005405429553259905,0.5991300165903427,2.4302283107359484e-07,1.2238808470822972e-10,9.38573657611271e-10,4.939707187543447e-05,0.005212371737073734
72459,Input,5.7625980529686204e-05,0.00958332633414744,1.560336194422057e-05,0.009528730531245255,3.8992440957960035e-05,0.055549529522849764,0.0507644552505836,0.00478507427226618,0.11886972543814828,4.105047270598251e-06,1.2815107234000417e-05,0.00011359982844875565,8.37110454495535e-11,6.876810784686076e-11,1.4942937602693182e-11,3.622442894626728e-10,3.4981546179612274e-10,1.2428827666550182e-11,0.0005406563427751654,0.5991530793442917,2.4392162162583324e-07,1.2249356821845137e-10,9.387548691636876e-10,4.941247854843041e-05,0.005213318528643154
72460,Input,5.7442941889538433e-05,0.009567628475251718,1.55895061424989e-05,0.009513055426921971,3.898354218724307e-05,0.05534967873029579,0.05056775634672395,0.004781922383571852,0.11873077054883249,4.090565870547091e-06,1.2796338492605284e-05,0.000113385248311702,8.364101409915024e-11,6.871694881795931e-11,1.492406528119137e-11,3.602347821284971e-10,3.47898879964773e-10,1.23359021637243e-11,0.0005400113252032823,0.5990816447378532,2.420777267368563e-07,1.2216038796903014e-10,9.378319546553235e-10,4.9341284576757755e-05,0.005209035405975139
72461,Input,6.130867270850215e-05,0.010434967304728208,1.6471541372858762e-05,0.01037903107742617,3.9464685929170946e-05,0.058871863286214625,0.053756121450368115,0.00511574183584651,0.12936908847539544,4.368462811865154e-06,1.3847568529328778e-05,0.00012148263620138975,8.937075529685844e-11,7.275791767046862e-11,1.6612837626390245e-11,3.7661635538149077e-10,3.6389977851971227e-10,1.271657686177874e-11,0.0005690689394547108,0.6014618252719937,2.4744515202564e-07,1.3321257764536803e-10,1.0036270899370611e-09,5.2698302068255245e-05,0.005696049449467925
72462,Input,6.137810565389275e-05,0.010436322349222935,1.6474843298299103e-05,0.010380380827620245,3.946667830438445e-05,0.05895023984313442,0.053834065585486014,0.005116174257648402,0.12939395469857104,4.373855360325943e-06,1.385134463606999e-05,0.00012153326945411739,8.938317093891276e-11,7.276997034513862e-11,1.6613200593774575e-11,3.775101880787535e-10,3.647504074724363e-10,1.2759780606317434e-11,0.0005691783912647682,0.6014840875257351,2.4831274586888273e-07,1.3331439985945784e-10,1.003802011699211e-09,5.271317398096376e-05,0.005696963378229656
72463,Input,6.144810610364536e-05,0.010437688469060315,1.6478172211750394e-05,0.010381741609884447,3.9468686964109854e-05,0.05902925700427577,0.05391264679046211,0.005116610213813663,0.1294190241637384,4.379291984329787e-06,1.3855151606503292e-05,0.00012158431655349413,8.939568805917721e-11,7.278212153133524e-11,1.6613566527842407e-11,3.7841132644268157e-10,3.6560798896963925e-10,1.2803337473042489e-11,0.0005692887376700253,0.6015065317381425,2.491874309177158e-07,1.3341705430888378e-10,1.0039783631697286e-09,5.272816744800481e-05,0.005697884776911553
72464,Input,6.139053505631446e-05,0.010460434408378941,1.648557471907379e-05,0.01040447462057376,3.947421308610047e-05,0.05895095347112308,0.05383074128977776,0.005120212181345334,0.12954289963465554,4.3753435351752404e-06,1.386937138690823e-05,0.00012170198132846579,8.945882130095257e-11,7.281028905914421e-11,1.6648532241808792e-11,3.7698750265827186e-10,3.6426126341868223e-10,1.2726239239589815e-11,0.0005698997197692409,0.6015131652995275,2.4759551736013915e-07,1.3346010226074348e-10,1.0047423544921645e-09,5.277880620873783e-05,0.005700815625366411
