turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
72439,Input,0.00012422295085077572,0.024508035951491296,2.908852196642718e-05,0.02443004411158532,4.890331793953432e-05,0.13411402455612878,0.1240008913294941,0.010113133226634628,0.281443871907926,1.103966673650651e-05,3.0210207787761837e-05,0.00026840686429856496,2.0759429393645814e-10,1.4475715244179606e-10,6.283714149466269e-11,6.816811700659197e-10,6.616153930839875e-10,2.0065776981932253e-11,0.0010293589333646679,0.6502599681107295,3.3202793766716145e-07,3.7537986827708255e-10,2.236201923186794e-09,0.00011930274101651259,0.01065610454900163
72440,Input,0.00012422691383991058,0.024508113292681124,2.9088710428756852e-05,0.024430121150595025,4.89034316573275e-05,0.13411849801525902,0.12400534010750373,0.010113157907755283,0.2814452911847796,1.1039974524269784e-05,3.021042331469798e-05,0.00026840975426714245,2.0759500257778523e-10,1.4475784036621717e-10,6.283716221156867e-11,6.817321869030666e-10,6.616639440028412e-10,2.0068242900225486e-11,0.001029365180490317,0.6502612387621356,3.3207745688249777e-07,3.753856799321384e-10,2.236211907107812e-09,0.00011930358985315844,0.010656156712851696
72441,Input,0.00012432789807906143,0.024510084088195355,2.9093512794931146e-05,0.024432084246004925,4.890632939548203e-05,0.13423248996710962,0.12411870313908584,0.010113786828023762,0.2814814569647824,1.1047817521572193e-05,3.0215915336735482e-05,0.00026848339597244057,2.0761306005985471e-10,1.447753699434868e-10,6.283769011636857e-11,6.830321895797995e-10,6.629011105540696e-10,2.0131079025729943e-11,0.0010295243687214969,0.6502936172928637,3.3333929740588277e-07,3.7553377157308307e-10,2.2364663157457034e-09,0.00011932521976934792,0.01065748594352342
72442,Input,0.00012432217108891038,0.02450997232098698,2.9093240444473167e-05,0.024431972915482734,4.890616505975983e-05,0.13422602528716515,0.12411227412629314,0.010113751160871999,0.2814794059411016,1.1047372731685344e-05,3.021560387470554e-05,0.00026847921962448273,2.0761203598894195e-10,1.4477437581096454e-10,6.283766017797802e-11,6.829584641887031e-10,6.62830948707888e-10,2.0127515480815222e-11,0.0010295153408826996,0.650291781050613,3.3326773625623833e-07,3.755253730410322e-10,2.236451887793621e-09,0.00011932399309954255,0.010657410560562382
72443,Input,0.00012437019082171268,0.02451090946795959,2.9095524051721656e-05,0.02443290640092404,4.890754298381096e-05,0.134280230409821,0.12416618018660518,0.010114050223215789,0.2814966033880193,1.1051102211037746e-05,3.0218215425111853e-05,0.00026851423751481155,2.0762062263049468e-10,1.4478271142475638e-10,6.283791120573888e-11,6.835766376948256e-10,6.634192425616764e-10,2.0157395133149373e-11,0.0010295910376091474,0.650307177595729,3.338677630057746e-07,3.755957931490433e-10,2.23657286345197e-09,0.00011933427849461697,0.010658042632479998
72444,Input,0.0001244186128487458,0.024511854466055027,2.9097826790314038e-05,0.024433847706813023,4.890893245167677e-05,0.13433488964596,0.12422053785495006,0.010114351791009911,0.2815139449097428,1.1054862934796138e-05,3.0220848854266766e-05,0.00026854954877402083,2.0762928120823187e-10,1.4479111687170105e-10,6.283816433653144e-11,6.84199990064316e-10,6.640124649564954e-10,2.018752510782084e-11,0.0010296673684989808,0.6503227031282616,3.344728165908546e-07,3.756668032145891e-10,2.236694852606367e-09,0.00011934465005749901,0.010658679999697506
72445,Input,0.00012425727330444536,0.024508705784113675,2.9090154191335817e-05,0.024430711327101545,4.8904302820783035e-05,0.13415276806223425,0.12403942107861181,0.010113346983622434,0.28145616390833134,1.1042332409029336e-05,3.02120744124304e-05,0.00026843189359065554,2.0760043130103042e-10,1.4476311038244845e-10,6.28373209185826e-11,6.821230140805674e-10,6.620358803995647e-10,2.0087133681002726e-11,0.001029413038151072,0.6502709729034589,3.3245681115540585e-07,3.754302015620379e-10,2.2362883914194667e-09,0.00011931009257753371,0.010656556327007093
72446,Input,0.0001244859198992358,0.024513168021856383,2.9101027617544937e-05,0.02443515613041439,4.891086382443269e-05,0.1344108664728706,0.12429609549993069,0.01011477097293989,0.28153804977997926,1.1060090374442812e-05,3.0224509344336098e-05,0.0002685986317400198,2.0764131670869803e-10,1.4480280051810248e-10,6.28385161905962e-11,6.850664554309493e-10,6.648370493889602e-10,2.0229406041989275e-11,0.0010297734691182808,0.6503442837572868,3.353138464835586e-07,3.7576550784055877e-10,2.236864418621615e-09,0.00011935906662263138,0.01065956594582818
72447,Input,0.0001244105687112717,0.02451169747769543,2.909744424652273e-05,0.024433691331823375,4.890870162551742e-05,0.13432580934848645,0.12421150765560215,0.010114301692884279,0.28151106403933523,1.1054238182369025e-05,3.0220411374312943e-05,0.0002685436826704959,2.0762784279695674e-10,1.4478972051192643e-10,6.283812228503094e-11,6.840964352884788e-10,6.639139155402682e-10,2.0182519748210777e-11,0.0010296546879854011,0.6503201239401172,3.34372301711247e-07,3.756550066260468e-10,2.236674587086965e-09,0.00011934292707556792,0.010658574116696868
72448,Input,0.00012436506014390852,0.024510809338306818,2.909528005925565e-05,0.0244328066624883,4.8907395759244465e-05,0.13427443885282028,0.12416042058297948,0.010114018269840794,0.281494765923418,1.1050703734082172e-05,3.0217936393494596e-05,0.00026851049602142593,2.0761970518908763e-10,1.447818208044599e-10,6.283788438462837e-11,6.835105888248738e-10,6.6335638618906e-10,2.015420263581379e-11,0.0010295829497775086,0.6503055325488353,3.3380365302960237e-07,3.755882690987403e-10,2.2365599377839394e-09,0.00011933317954955551,0.010657975098631534
72449,Input,0.00012428213433802104,0.024509190968869853,2.9091336472726515e-05,0.0244311946161901,4.890501620701201e-05,0.13418083142901455,0.12406732961323169,0.010113501815782805,0.28146506746277206,1.1044263255079262e-05,3.021342647831138e-05,0.00026845002324062247,2.0760487682314155e-10,1.4476742594112109e-10,6.28374508820211e-11,6.824430581831571e-10,6.623404550483162e-10,2.010260313484095e-11,0.0010294522282662175,0.6502789440853616,3.3276746022186237e-07,3.7546665983799027e-10,2.236351023586048e-09,0.0001193154175874278,0.010656883566669812
72450,Input,0.0001243434018065085,0.024510386656960183,2.9094250084006085e-05,0.02443238563260192,4.8906774274236755e-05,0.13424999071938057,0.12413610733561195,0.010113883383768603,0.28148700935989657,1.1049021627218451e-05,3.0216758506060902e-05,0.00026849470190430956,2.076158323566284e-10,1.447780611930376e-10,6.283777116359143e-11,6.832317740629823e-10,6.630910480450897e-10,2.0140726017892708e-11,0.0010295488082872127,0.6502985882459528,3.33533022998319e-07,3.755565075213627e-10,2.2365053741395203e-09,0.00011932854052839036,0.010657690015269883
72451,Input,0.0001245453756290312,0.02451432835228578,2.9103855070502335e-05,0.024436311927311362,4.891256990389798e-05,0.13447798065568833,0.12436283939809943,0.01011514125758886,0.28155934283384354,1.1064708036885184e-05,3.022774284078107e-05,0.0002686419892121233,2.0765194827639355e-10,1.4481312127526552e-10,6.283882700112865e-11,6.858318482143289e-10,6.655654466200555e-10,2.0266401594273456e-11,0.0010298671931740268,0.650363347020924,3.3605677082337764e-07,3.7585269864045983e-10,2.2370142048789487e-09,0.00011937180150545342,0.010660348546958005
72452,Input,0.0001244104201540542,0.024511694578471743,2.9097437181794983e-05,0.024433688443927258,4.89086973626748e-05,0.13432564165571256,0.12421134088802852,0.010114300767684013,0.2815110108361058,1.1054226644589804e-05,3.0220403295037216e-05,0.0002685435743366913,2.0762781623271948e-10,1.4478969472428624e-10,6.283812150843383e-11,6.840945228635102e-10,6.639120955530901e-10,2.0182427310420072e-11,0.0010296544538046927,0.6503200763082839,3.3437044542635887e-07,3.756547887694555e-10,2.236674212828173e-09,0.00011934289525594744,0.0106585721612748
72453,Input,0.00012450964109261348,0.024513630961636827,2.910215569315008e-05,0.024435617261440664,4.8911544502998963e-05,0.13443764317739482,0.12432272447111124,0.010114918706283562,0.2815465451201265,1.1061932694167511e-05,3.0225799420073473e-05,0.0002686159301733865,2.076455584104496e-10,1.4480691821503951e-10,6.28386401954107e-11,6.853718260030861e-10,6.651276597579531e-10,2.0244166245133146e-11,0.0010298108624268508,0.6503518894727444,3.3561025276753624e-07,3.7580029456056584e-10,2.236924179199574e-09,0.0001193641474890021,0.010659878182055067
72454,Input,0.0001244546624930662,0.024512558006309564,2.9099541152811947e-05,0.024434548498262158,4.8909966894582746e-05,0.13437558282099563,0.12426100651621823,0.01011457630477736,0.28152685547397177,1.1057662750544965e-05,3.022280941209952e-05,0.0002685758376019159,2.076357274201497e-10,1.4479737463064413e-10,6.28383527895062e-11,6.846640687612088e-10,6.644541122324657e-10,2.0209956528743125e-11,0.0010297241959718844,0.6503342617093449,3.349232720524161e-07,3.75719669394775e-10,2.2367856721340987e-09,0.00011935237156723032,0.010659154512288167
72658,Input,0.000120336628105821,0.023743012035561433,2.8058281254614967e-05,0.023666454846077614,4.84989082292022e-05,0.132098321848409,0.12235632184046402,0.009742000007944965,0.2702035930294727,1.0957932546372717e-05,2.9225767711742243e-05,0.000262157116940403,2.0189861121490124e-10,1.3879074884277776e-10,6.310786237212402e-11,6.649215386927008e-10,6.452236830081142e-10,1.9697855684586e-11,0.0009980173519779161,0.6485292450368199,3.212953131694136e-07,3.709709842296316e-10,2.1892334983025263e-09,0.00011735988026019908,0.010005048596711474
72659,Input,0.00012028775082766368,0.023742058152843196,2.8055956866281808e-05,0.023665504690278987,4.849750569792606e-05,0.13204314872055117,0.12230145311566118,0.009741695604889997,0.2701860884673367,1.0954136465281645e-05,2.922310952378112e-05,0.0002621214736940499,2.0188987123150032e-10,1.3878226437003832e-10,6.310760686146253e-11,6.642923257286756e-10,6.446248832928339e-10,1.966744243584109e-11,0.000997940303445193,0.6485135735373261,3.206845710301424e-07,3.708993065461822e-10,2.189110362238281e-09,0.00011734941118661888,0.01000440523713553
72660,Input,0.00012021446392950711,0.02374062789509849,2.805247166380184e-05,0.023664080020700973,4.8495402733713026e-05,0.1319604217857722,0.12221918260473653,0.00974123918103562,0.2701598420168203,1.0948444597428034e-05,2.9219123820040412e-05,0.0002620680299863819,2.0187676644544142e-10,1.3876954269827166e-10,6.310722374717031e-11,6.633488798546054e-10,6.437270392351375e-10,1.9621840619467355e-11,0.0009978247763908297,0.6484900755924597,3.1976882042683284e-07,3.7079183257698654e-10,2.1889257312494046e-09,0.00011733371379187447,0.010003440579742607
72661,Input,0.00012009748318934812,0.02373834491391355,2.8046908574409795e-05,0.02366180595936245,4.849204597668882e-05,0.1318283728342548,0.12208786219817952,0.009740510636075277,0.2701179473632711,1.0939359222945682e-05,2.9212761829215713e-05,0.00026198272299922447,2.0185584855136543e-10,1.3874923633223948e-10,6.310661221912649e-11,6.618429490617247e-10,6.422938981818443e-10,1.954905087987982e-11,0.0009976403718019097,0.6484525681108797,3.1830709689819707e-07,3.706202823438537e-10,2.1886310227779286e-09,0.00011730865756897576,0.010001900791067383
72662,Input,0.00012014792528121154,0.023739329335336228,2.804930737839904e-05,0.023662786534547602,4.849349341022316e-05,0.1318853123384318,0.1221444875537901,0.009740824784641666,0.2701360123367021,1.0943276836166709e-05,2.921550511948023e-05,0.0002620195073696853,2.0186486834670216e-10,1.387579924367009e-10,6.310687591000178e-11,6.624923063772213e-10,6.429118685636797e-10,1.9580437813540852e-11,0.0009977198870554608,0.6484687413358812,3.189373920425957e-07,3.7069425479955126e-10,2.188758101062533e-09,0.00011731946181158433,0.010002564747900794
72663,Input,0.0001200722714125024,0.023737852884096508,2.8045709613212124e-05,0.0236613158519574,4.849132252589765e-05,0.1317999135451971,0.122059559925678,0.00974035361951907,0.27010891819612043,1.0937401136223903e-05,2.9211390688182163e-05,0.00026196433757337854,2.0185134031114735e-10,1.3874485988900404e-10,6.310648042214387e-11,6.615183897279093e-10,6.419850265472915e-10,1.9533363180617138e-11,0.0009976006287866163,0.6484444844703218,3.1799206514712383e-07,3.705833097089593e-10,2.1885675069871467e-09,0.00011730325743302636,0.010001568934657375
72664,Input,0.00012011804786360294,0.023738746251469923,2.8047886539851304e-05,0.02366220572885099,4.849263607908228e-05,0.13185158643052675,0.12211094771960963,0.009740638710917076,0.27012531225002157,1.094095638985075e-05,2.9213880237842163e-05,0.0002619977195738757,2.0185952582060809e-10,1.3875280609767423e-10,6.31067197229344e-11,6.621076847452551e-10,6.425458377650791e-10,1.9561846980175267e-11,0.0009976727892776161,0.6484591617530447,3.185640611486893e-07,3.7065044008313553e-10,2.188682831167137e-09,0.0001173130623373271,0.010002171478810376
72665,Input,0.00012027190282438799,0.023741748865235272,2.8055203204962966e-05,0.023665196611090112,4.849705094019207e-05,0.13202525934651102,0.12228366244148306,0.009741596905027931,0.2701804127757162,1.095290562126098e-05,2.9222247631034563e-05,0.0002621099167026164,2.0188703737309436e-10,1.3877951335859014e-10,6.310752401450474e-11,6.640883092717263e-10,6.444307280491906e-10,1.9657581222534933e-11,0.000997915321174391,0.6485084921992345,3.2048654356648895e-07,3.7087606572335157e-10,2.1890704365136273e-09,0.00011734601668678892,0.010004196633771115
72666,Input,0.00012004966215696082,0.023737411644752862,2.804463441647893e-05,0.023660876336582044,4.849067375433707e-05,0.13177439200648228,0.12203417919526342,0.009740212811218835,0.2701008210775124,1.0935645175771922e-05,2.9210161085120045e-05,0.00026194785000910515,2.018472974403986e-10,1.3874093521030807e-10,6.31063622300911e-11,6.612273334901226e-10,6.417080386238349e-10,1.9519294866286904e-11,0.0009975649883002568,0.6484372352749874,3.1770955299388243e-07,3.7055015362656616e-10,2.188510547703654e-09,0.00011729841473374393,0.0100012713345944
72667,Input,0.00012015054958877363,0.02373938055098745,2.8049432178922104e-05,0.023662837550093914,4.849356871460943e-05,0.13188827468130598,0.12214743355272559,0.009740841128580388,0.2701369521876209,1.0943480654478389e-05,2.9215647842296035e-05,0.0002620214211186596,2.0186533761187805e-10,1.3875844798305722e-10,6.310688962882135e-11,6.62526089934774e-10,6.429440191800852e-10,1.9582070754688098e-11,0.000997724023927535,0.6484695827664227,3.189701838688797e-07,3.706981033012232e-10,2.1887647124557353e-09,0.0001173200239146719,0.010002599291014975
72668,Input,0.00011998261888049781,0.023736103236731736,2.8041446133180398e-05,0.023659573040647985,4.8488749950564866e-05,0.13169871293015573,0.12195891765810724,0.009739795272048492,0.2700768106734373,1.0930438222282291e-05,2.9206514940385994e-05,0.0002618989593975699,2.0183530910664682e-10,1.3872929735171693e-10,6.31060117549304e-11,6.603642637716027e-10,6.408866857095362e-10,1.9477578062065935e-11,0.0009974593034856522,0.6484157392197087,3.168718190685404e-07,3.704518358206471e-10,2.188341646211816e-09,0.00011728405466663688,0.010000388860456285
72669,Input,0.00012004362429263301,0.023737293810563758,2.8044347282212673e-05,0.02366075896278345,4.849050049809449e-05,0.13176757640886505,0.12202740120089285,0.00974017520797217,0.27009865871955635,1.0935176241668606e-05,2.9209832716215878e-05,0.0002619434469593897,2.0184621778056502e-10,1.3873988711398957e-10,6.310633066657599e-11,6.611496061154957e-10,6.416340682315242e-10,1.9515537883970946e-11,0.0009975554704096383,0.6484352993572906,3.176341073407035e-07,3.705412992029093e-10,2.188495336569201e-09,0.00011729712147748465,0.010001191859673126
72670,Input,0.00012021199395601213,0.02374057969141121,2.805235420272808e-05,0.023664032005350548,4.84953318579358e-05,0.1319576336566336,0.12221640985835873,0.009741223798274839,0.27015895743801094,1.094825276555782e-05,2.921898949067396e-05,0.0002620662287839196,2.0187632477748932e-10,1.38769113942343e-10,6.310721083514686e-11,6.63317083089269e-10,6.436967793785883e-10,1.962030371068011e-11,0.0009978208828058997,0.6484892836459799,3.197379570696014e-07,3.7078821040355594e-10,2.188919508668557e-09,0.00011733318474575661,0.010003408068089744
72671,Input,0.00011997253789171489,0.023735906497442123,2.8040966725701154e-05,0.023659377070039365,4.8488460677049744e-05,0.13168733341591063,0.12194760092730463,0.009739732488605993,0.2700732003395318,1.0929655276661325e-05,2.9205966686390907e-05,0.00026189160794142874,2.0183350647610048e-10,1.3872754742050678e-10,6.310595905559424e-11,6.602344879520086e-10,6.407631826537089e-10,1.9471305298299048e-11,0.0009974434121467028,0.6484125069568545,3.1674585287550836e-07,3.7043705222487256e-10,2.18831624927219e-09,0.00011728189540946649,0.010000256166883464
