turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
37093,Input,0.00011117184156275339,0.014563600368112516,2.4835393810652777e-05,0.01447779518440452,6.096978989733192e-05,0.11134507034024979,0.10431935856482043,0.007025711775429453,0.1788988084473215,8.041028460093792e-06,1.9870394566979165e-05,0.00018806156008147664,1.361582150088235e-10,1.1589689828380192e-10,2.026131672502229e-11,8.933044749919214e-10,8.583381194099944e-10,3.496635558192712e-11,0.0008888457421510908,1.1148656707607714,7.08367364587744e-07,2.172876403484733e-10,1.4322158470319142e-09,7.84860949515236e-05,0.007507447235158173
37094,Input,0.00011098794992104943,0.014560011562318438,2.482664873313096e-05,0.01447422040045027,6.096451313502776e-05,0.11113749173844908,0.10411292522273197,0.007024566515717207,0.17883295079751266,8.02674641309371e-06,1.9860393630622722e-05,0.00018792745901581514,1.361253324515975e-10,1.1586497703777788e-10,2.0260355413820328e-11,8.9093717858553e-10,8.560852471788455e-10,3.4851931406684574e-11,0.0008885558614190306,1.1148067096672223,7.060695612140192e-07,2.170179664349503e-10,1.4317525705594775e-09,7.844670701503524e-05,0.007505026714763283
37095,Input,0.00043008412902129973,0.08287146142987542,9.436299455282454e-05,0.08267971820478202,9.738023054043951e-05,0.44243950907038787,0.4002421575359952,0.04219735153439278,1.0010046870721165,3.381421729886828e-05,0.00010068384746868767,0.0008501727443632376,7.105631347030124e-10,5.331337997149012e-10,1.7742933498811384e-10,2.443436324335034e-09,2.3727830202028184e-09,7.0653304132217e-11,0.0032632961852837273,1.4388894910160406,1.3287726945834076e-06,1.2492568922358569e-09,6.708680657466221e-09,0.0003583194212226415,0.04080625927700344
37096,Input,7.53553965729651e-05,0.009702211068160722,1.7770314059871267e-05,0.00963734523915469,4.7095514946159914e-05,0.07543843593593968,0.07047474900723438,0.004963686928705361,0.12183362950066624,5.417614891519474e-06,1.3534992303875277e-05,0.00012890832301585786,9.732872287953749e-11,8.414784473545851e-11,1.3180878144079501e-11,6.025284620496989e-10,5.791368546403319e-10,2.3391607409367326e-11,0.0006302435414957777,1.0063851636549208,4.78589370469297e-07,1.4447873977193116e-10,1.0062170044961466e-09,5.4669416309023266e-05,0.005096616296204976
37097,Input,7.546604875441674e-05,0.009704370542002171,1.777557619085115e-05,0.009639496275705836,4.709869010547953e-05,0.07556334115131048,0.07059896509130856,0.004964376060002001,0.1218732576890336,5.426208754957259e-06,1.3541010116398699e-05,0.00012898901496744922,9.734850913330654e-11,8.416705254433163e-11,1.3181456588975449e-11,6.039529232654592e-10,5.804924639796064e-10,2.3460459285853227e-11,0.000630417969953026,1.006420642013597,4.799720159962691e-07,1.4464100928312488e-10,1.0064957694895706e-09,5.4693117011539875e-05,0.005098072783620397
37098,Input,7.557720158919942e-05,0.00970653978653009,1.7780862130701037e-05,0.009641657044768362,4.710187963102373e-05,0.07568881150883507,0.070723743199515,0.004965068309320127,0.12191306517783815,5.434841501915463e-06,1.3547055156924735e-05,0.0001290700720152712,9.73683849113284e-11,8.418634726024418e-11,1.3182037651084723e-11,6.053838295530048e-10,5.818542068656616e-10,2.3529622687343523e-11,0.0006305931876237088,1.0064562808965236,4.813609173970946e-07,1.4480401299377357e-10,1.0067757957741932e-09,5.471692494949919e-05,0.005099535861012324
37099,Input,0.0001439196518497593,0.022817872337765242,3.211666078266317e-05,0.022727322047497722,5.843362948482682e-05,0.14496356824343953,0.13321463903686195,0.01174892920657765,0.2855471781710412,1.0697766729780597e-05,2.9755218427103657e-05,0.00026002027788240726,1.965470680097356e-10,1.553686810610308e-10,4.1178386948705683e-11,9.775573707272654e-10,9.42495708950837e-10,3.506166177642892e-11,0.0011001108821639468,0.9117924840425405,6.869321245649243e-07,3.421754367028155e-10,2.0428585587222784e-09,0.00010980498621305737,0.012188999729233612
37100,Input,0.00021692101645860492,0.03756649092718131,4.724398867342712e-05,0.03745048622737938,6.876071112845278e-05,0.22748502607185986,0.20723190829153226,0.020253117780327665,0.45725924287229536,1.714424560562493e-05,4.7016044745786725e-05,0.0004107036375364976,3.362999236809706e-10,2.5673750157928183e-10,7.956242210169012e-11,1.3895695881186391e-09,1.3440931204289456e-09,4.547646768969449e-11,0.0016388092297369317,4.576925997759915,8.783409553559578e-07,5.915353837564421e-10,3.2354541223896497e-09,0.00017444203824392617,0.018379195831923385
37101,Input,0.00044644235320296944,0.08634009087974227,9.753798164978083e-05,0.08614256854192327,9.998435616908339e-05,0.4654779754289281,0.42046397925760665,0.045013996171321506,1.0405514470811599,3.567130712707108e-05,0.00010474713054482584,0.0008870210526854055,7.413293319613539e-10,5.509121891439074e-10,1.9041714281744934e-10,2.529757816919131e-09,2.4568840538003055e-09,7.287376311882775e-11,0.0033722804610606047,1.493246023414918,1.3568000436405823e-06,1.3250432848500208e-09,7.014895696161485e-09,0.0003758092345060316,0.04199472667318214
37102,Input,0.00044639445406086776,0.08633915608620236,9.753570377729558e-05,0.08614163740071958,9.998298170537692e-05,0.46542390643018083,0.4204102085701757,0.04501369786000517,1.0405342928217416,3.566758701346275e-05,0.00010474452555273783,0.0008869861227345899,7.413207668832098e-10,5.509038744631248e-10,1.9041689242008793e-10,2.529141195815987e-09,2.4562972373135047e-09,7.284395850248398e-11,0.003372204954429368,1.493230665534744,1.3562015237225487e-06,1.3249730415861874e-09,7.014775024306148e-09,0.0003757989749404012,0.04199409618857021
37103,Input,0.00044021012506300944,0.08621846351130157,9.724160429563599e-05,0.08602141638434005,9.980552266574937e-05,0.45844297812612217,0.4134677956808629,0.04497518244525931,1.0383194810463408,3.5187277649790956e-05,0.00010440819117591803,0.0008824762651829931,7.40214916990891e-10,5.498303537440471e-10,1.9038456324684672e-10,2.4495283342584153e-09,2.3805324938022535e-09,6.89958404561635e-11,0.0033624561817250176,1.4912477869373162,1.2789257329153736e-06,1.3159038300227223e-09,6.999194902795628e-09,0.00037447434726546277,0.041912693388914284
37104,Input,6.359738867292514e-05,0.008953008272545318,1.5473731064457322e-05,0.008898686656785374,3.884788469548219e-05,0.061930158744215986,0.05755952616844674,0.004370632575769299,0.11256586749106798,4.464043905494574e-06,1.227476426693071e-05,0.00011240925735186855,8.070850615494966e-11,6.872430510409494e-11,1.1984201050855176e-11,4.731768383913232e-10,4.551292574015402e-10,1.804758098978359e-11,0.0005424820385297521,0.7366219290914504,3.6411667279175675e-07,1.2400685817674467e-10,8.843014561973064e-10,4.766814493952264e-05,0.004927995404174175
37105,Input,6.351553064978178e-05,0.008951410741820013,1.546983825697821e-05,0.008897095367779807,3.884553578322706e-05,0.061837756643539646,0.05746763387177868,0.004370122771761016,0.11253655143856953,4.4576863564345175e-06,1.2270312423050614e-05,0.00011234956324051714,8.069386872442002e-11,6.871009559423581e-11,1.1983773130184672e-11,4.721230536612183e-10,4.541264077585243e-10,1.7996645902694404e-11,0.0005423530002360377,0.7365956829906729,3.6309382237831567e-07,1.2388681480092958e-10,8.840952320543759e-10,4.76506116868595e-05,0.004926917927173764
37106,Input,6.34357339281306e-05,0.008949853439191378,1.5466043475930196e-05,0.008895544149695518,3.88432460199246e-05,0.06174768135923009,0.05737805555388712,0.0043696258053430225,0.11250797360598451,4.451488899505454e-06,1.22659726829336e-05,0.00011229137231182368,8.067959988521759e-11,6.869624390005255e-11,1.1983355985165503e-11,4.710958047299656e-10,4.531488112963964e-10,1.79469934335697e-11,0.0005422272113101577,0.7365700978040566,3.6209672879361924e-07,1.2376979428811786e-10,8.838942009287845e-10,4.763351994644512e-05,0.004925867582577281
37107,Input,5.958138102618673e-05,0.008485826120882597,1.4932383899005162e-05,0.008432341663816366,3.8552073167224496e-05,0.058420957376917014,0.05422794590382598,0.004193011473091091,0.10532624125864896,4.225706684476353e-06,1.1548042413561326e-05,0.00010763725032165521,8.246913863577865e-11,7.084032738457179e-11,1.162881125120732e-11,4.439576361450038e-10,4.2753141833548057e-10,1.6426217809523456e-11,0.0005306333586562944,0.70924709970416,3.362268506145433e-07,1.1758506789065094e-10,8.526348296158245e-10,4.586142039422999e-05,0.0044587135926373
37108,Input,5.951480903083259e-05,0.0084845269103234,1.492921802776295e-05,0.00843104752940879,3.85501628868423e-05,0.0583458102871056,0.05415321341809084,0.004192596869014817,0.1053023996358515,4.220536333297108e-06,1.1544421899423278e-05,0.00010758870338696322,8.245723457408993e-11,7.082877133437657e-11,1.1628463239713824e-11,4.4310063338018074e-10,4.2671583912635616e-10,1.6384794253824763e-11,0.0005305284167537198,0.7092257547555291,3.353950055447898e-07,1.1748744121033075e-10,8.524671154180231e-10,4.5847161271299676e-05,0.004457837321856365
37109,Input,5.944860412386025e-05,0.008483234863814179,1.4926069613629318e-05,0.0084297605310605,3.854826314004455e-05,0.058271077570086365,0.054078893018956235,0.004192184551130188,0.10527868947948653,4.215394492241943e-06,1.1540821349365758e-05,0.00010754042414765281,8.244539615325692e-11,7.081727900604733e-11,1.1628117147210067e-11,4.4224835626247786e-10,4.2590475714839493e-10,1.634359911408309e-11,0.0005304240535171892,0.7092045275062793,3.345677473986958e-07,1.1739035285877642e-10,8.523003260225077e-10,4.5832980775400664e-05,0.004456965882969402
37110,Input,8.1985416289529e-05,0.010654128633237073,1.8107223052095682e-05,0.010590555783781075,4.5465626403898945e-05,0.08204369007265877,0.07679322974346146,0.005250460329197354,0.13045849949747798,5.917478579256601e-06,1.4698775800100683e-05,0.00013750509149544697,8.760770508824393e-11,7.312539331557454e-11,1.4482311772669838e-11,6.565903271830749e-10,6.299372951551469e-10,2.6653032027928502e-11,0.0006426633234380709,0.7220674906265571,5.284630096123257e-07,1.5337956356279485e-10,1.0408764833856118e-09,5.7553260898121876e-05,0.005727557396315619
37111,Input,5.930597899585132e-05,0.00811639423430764,1.4308820571267338e-05,0.008065409020875136,3.66763928612327e-05,0.058763047338291755,0.054781373272358755,0.0039816740659330135,0.10032330589540267,4.24725278410079e-06,1.1064732735817049e-05,0.00010454656996506177,8.106946784833116e-11,6.986792618034816e-11,1.1201541667983458e-11,4.600260165702014e-10,4.4277842766584963e-10,1.724758890435207e-11,0.0005116073031203812,0.7616373535905197,3.542932168370148e-07,1.163063963359499e-10,8.180750442466022e-10,4.4227236412671315e-05,0.004173323534967808
37112,Input,5.928308220850186e-05,0.008115947383529953,1.4307731700786243e-05,0.008064963915990203,3.667573583895995e-05,0.058737201230988086,0.05475566976407617,0.003981531466911937,0.10031510580218997,4.2454744923304534e-06,1.1063487495354093e-05,0.00010452987272121026,8.106537356262391e-11,6.986395158979379e-11,1.1201421972830574e-11,4.5973125884272645e-10,4.424979171656216e-10,1.7233341677105148e-11,0.0005115712093783427,0.7616300122039924,3.5400711185295173e-07,1.1627281859313127e-10,8.180173605869477e-10,4.4222332126660536e-05,0.004173022150194454
37113,Input,8.18487078796519e-05,0.010651460649369402,1.8100721801515824e-05,0.010587898224005594,4.546170356228845e-05,0.08188937234340402,0.07663976342122397,0.005249608922180119,0.13040953971605354,5.906861044293731e-06,1.4691340921093121e-05,0.0001374053983104847,8.758325959377009e-11,7.31016624774309e-11,1.4481597116339624e-11,6.548304357359884e-10,6.282624687327888e-10,2.6567967003200033e-11,0.00064244782079985,0.7220236578711963,5.267547805567722e-07,1.5317908304306352e-10,1.040532075182534e-09,5.7523979185719003e-05,0.005725757937182
37114,Input,8.189253374356728e-05,0.010652315949332426,1.8102805966809307e-05,0.010588750182222148,4.546296114346241e-05,0.08193884338771014,0.07668896152220415,0.005249881865506046,0.13042523520047888,5.910264804478038e-06,1.4693724388181251e-05,0.00013743735786557994,8.759109630926637e-11,7.310927008901835e-11,1.4481826220248464e-11,6.553946202154596e-10,6.287993831401331e-10,2.6595237075326974e-11,0.0006425169064494055,0.722037709738036,5.273024031514048e-07,1.5324335291485364e-10,1.0406424852666905e-09,5.753336629178023e-05,0.005726334806236231
37115,Input,0.0004484513544119364,0.08696045083743206,9.896558753694798e-05,0.08676190494935278,9.958030054218309e-05,0.45510840238524386,0.41192816738503696,0.04318023500020694,1.0517015586957301,3.4743965235004056e-05,0.00010553434216603088,0.0008865314643056794,7.423843415543916e-10,5.609285726576624e-10,1.8145576889673195e-10,2.522306334793747e-09,2.450187329391171e-09,7.211900540257715e-11,0.003422759707776785,1.4498593056941143,1.3640161253104189e-06,1.2851416731201418e-09,6.985385526595311e-09,0.00037178436409741406,0.04328636844968184
37116,Input,0.000440999060372173,0.08564335618854121,9.780841787002272e-05,0.08544666791221622,9.887985845483199e-05,0.44637474471446265,0.4038810327349927,0.04249371197946991,1.0397156726184873,3.4070933995018124e-05,0.00010411360086429208,0.0008724009668632469,7.347199450201991e-10,5.562071798524998e-10,1.7851276516770234e-10,2.4672208354175833e-09,2.3973112480569518e-09,6.990958736063216e-11,0.0033709718779290046,9.430162555345147,1.324029506566651e-06,1.2630327860301513e-09,6.894908353916788e-09,0.0003661905448509442,0.04289721983360535
37117,Input,0.0004507399384647886,0.08700511455152478,9.907442252679271e-05,0.08680639415764024,9.964597135760493e-05,0.4576917774282446,0.41449728934350627,0.04319448808473833,1.05252117597531,3.49217093929419e-05,0.00010565880667810363,0.0008882003904053086,7.427935743796966e-10,5.613258416902347e-10,1.8146773268946474e-10,2.551768015345621e-09,2.4782249683700056e-09,7.35430469756163e-11,0.003426367356359806,1.450593093359419,1.3926129452037475e-06,1.2884978420696391e-09,6.9911511347385414e-09,0.0003722745582274288,0.04331649251798653
37118,Input,0.00011135181401583577,0.014567112687521986,2.484395250880465e-05,0.014481293780814473,6.0974954198696615e-05,0.1115482249253485,0.1045213922985421,0.00702683262680649,0.17896326250668232,8.055006121121918e-06,1.9880182358487858e-05,0.00018819280311962904,1.361903967569049e-10,1.1592813920861594e-10,2.0262257548289677e-11,8.956213184192984e-10,8.605429773261241e-10,3.5078341093174466e-11,0.0008891294448031899,1.1149233752466527,7.106161960519604e-07,2.175515668396359e-10,1.432669249929551e-09,7.852464343304232e-05,0.007509816168238371
37119,Input,5.9327139476644755e-05,0.008116807199548328,1.4309826870646812e-05,0.008065820372617409,3.6677000060267703e-05,0.05878693348654641,0.054805127635144966,0.003981805851401455,0.100330884160086,4.248896224653259e-06,1.1065883547347827e-05,0.0001045620010254298,8.107325165663355e-11,6.98715993702068e-11,1.1201652286427216e-11,4.6029842226344357e-10,4.4303766652594975e-10,1.7260755737494072e-11,0.0005116406598059071,0.7616441382658646,3.545576259406927e-07,1.1633742781522062e-10,8.181283536455842e-10,4.4231768797426996e-05,0.004173602065165548
37120,Input,9.813853883217869e-05,0.013933120342129611,2.3960303784371394e-05,0.013848719789600594,6.0440248744635875e-05,0.09659571157059005,0.0898125220017909,0.006783189568799237,0.1712619320158848,6.998233450905584e-06,1.8835145196616627e-05,0.00017576271971380726,1.317843139284853e-10,1.1252691686636646e-10,1.9257397062119567e-11,7.386129142758864e-10,7.10976414398382e-10,2.7636499877504603e-11,0.0008555289251406632,1.0809429510100752,5.625668280311876e-07,1.9481224006125864e-10,1.3762983148814416e-09,7.440980264312624e-05,0.007242990530940722
37121,Input,9.821261911374134e-05,0.013934566083443546,2.3963826716675986e-05,0.013850159882251911,6.0442374474949695e-05,0.09667933408396416,0.08989568315019399,0.006783650933770257,0.1712884626031137,7.003986937324289e-06,1.8839174048468238e-05,0.00017581674198806617,1.3179756058328285e-10,1.1253977625938392e-10,1.9257784323899662e-11,7.395665736303989e-10,7.11883978264046e-10,2.768259536635333e-11,0.0008556457028585172,1.0809667033371024,5.634924922937055e-07,1.9492087751350366e-10,1.376484944633623e-09,7.44256699734638e-05,0.00724396563144404
