turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
72547,Input,6.470607173626375e-05,0.011313519188226605,1.735013489491215e-05,0.011256329874839663,3.9839178492019616e-05,0.06150284552131932,0.05607758819572469,0.005425257325594649,0.1409747230297889,4.576009704544225e-06,1.4955231794498597e-05,0.00012896000924954784,9.280057895321142e-11,7.465984815631849e-11,1.8140730796893365e-11,3.85264041953387e-10,3.7245170593781166e-10,1.2812336015575536e-11,0.0005948211613664953,0.6032798875975833,2.4499348536126523e-07,1.4273793394021686e-10,1.0676619355217413e-09,5.589715086497545e-05,0.006307093143357974
72548,Input,6.457664113958547e-05,0.011310993237231844,1.7343979745112205e-05,0.011253813792999797,3.983546448692821e-05,0.06135674305554243,0.05593229181143433,0.005424451244108104,0.14092836967282496,4.56595740500587e-06,1.4948192718943224e-05,0.0001288656233341091,9.277743483984858e-11,7.463738065381907e-11,1.8140054186029976e-11,3.8359784014261157e-10,3.7086604062743854e-10,1.2731799515173274e-11,0.0005946171312334862,0.6032383883241627,2.433761956413259e-07,1.42548126207726e-10,1.0673358622445719e-09,5.586942799473307e-05,0.006305389480287266
72549,Input,6.45561848305763e-05,0.011310594014517767,1.7343006933045067e-05,0.011253416130090644,3.983487749407057e-05,0.06133365178297138,0.0559093279388166,0.0054243238441547825,0.14092104359523588,4.564368654348092e-06,1.494708020375443e-05,0.0001288507057836853,9.277377694792161e-11,7.463382969921028e-11,1.8139947248711787e-11,3.833344994798349e-10,3.706154286360967e-10,1.2719070843738342e-11,0.0005945848845811865,0.603231829427097,2.431205854601362e-07,1.4251812738420353e-10,1.067284326858901e-09,5.586504643724316e-05,0.0063051202189293165
72550,Input,6.444730932702042e-05,0.011308469214095224,1.733782929305012e-05,0.011251299631485726,3.9831753316442454e-05,0.06121075209819472,0.05578710632035507,0.005423645777839654,0.14088205169370352,4.5559127775908105e-06,1.4941159015756168e-05,0.00012877130945595673,9.275430839055264e-11,7.461493029898308e-11,1.8139378091570016e-11,3.8193291001158263e-10,3.692815855296859e-10,1.2651324481896871e-11,0.0005944132568205022,0.6031969207238472,2.4176014027041177e-07,1.423584633404295e-10,1.0670100378332837e-09,5.584172628315968e-05,0.006303687117487517
72551,Input,6.450133764448558e-05,0.01130952362383874,1.734039864215282e-05,0.011252349921540021,3.98333036565575e-05,0.06127173976730868,0.055847757506229556,0.005423982261079131,0.14090140101256549,4.560108917025005e-06,1.4944097342693748e-05,0.00012881070904411006,9.27639694562999e-11,7.46243089265166e-11,1.8139660529783746e-11,3.8262843396576296e-10,3.699434910681057e-10,1.268494289765742e-11,0.0005944984252820683,0.6032142437987343,2.424352468114039e-07,1.4243769493397493e-10,1.0671461508621033e-09,5.585329866305239e-05,0.006304398278925384
72552,Input,6.431838900707264e-05,0.011305953221595971,1.733169840976672e-05,0.01124879346923248,3.982805395371865e-05,0.061065225637554704,0.05564238276324649,0.005422842874308215,0.14083588108363285,4.545900108979562e-06,1.4934147691571429e-05,0.00012867729565451243,9.273125552224933e-11,7.459255137402258e-11,1.8138704148227198e-11,3.802732771577168e-10,3.677021716631832e-10,1.2571105494533766e-11,0.0005942100310709377,0.6031555850602229,2.4014922667274754e-07,1.421694039199425e-10,1.0666852500914515e-09,5.5814112709605644e-05,0.006301990171063753
72553,Input,6.445906384484277e-05,0.011308698613763837,1.7338388286208456e-05,0.011251528134865825,3.9832090611797336e-05,0.06122402070764209,0.05580030172377974,0.005423718983862364,0.1408862613734434,4.556825698778781e-06,1.4941798284531804e-05,0.00012877988131573082,9.275641027295128e-11,7.461697073351193e-11,1.8139439539439814e-11,3.820842297101935e-10,3.694255911329158e-10,1.2658638577277895e-11,0.000594431786255553,0.6032006895695574,2.4190701791236667e-07,1.4237570113760914e-10,1.0670396508787787e-09,5.584424399520547e-05,0.006303841839310964
72554,Input,6.433096630176698e-05,0.011306198678472937,1.733229653057361e-05,0.011249037967083738,3.982841485861849e-05,0.06107942300521588,0.05565650180070859,0.0054229212045072885,0.14084038542685284,4.546876931592565e-06,1.4934831707019925e-05,0.00012868646751575648,9.273350452937496e-11,7.459473463213337e-11,1.813876989724204e-11,3.8043518872833607e-10,3.6785625717624573e-10,1.257893155209053e-11,0.0005942298575043718,0.6031596177125077,2.4030638525762505e-07,1.4218784830518113e-10,1.0667169359509327e-09,5.581680665306074e-05,0.00630215572289655
72555,Input,6.418987992355877e-05,0.011303445254734442,1.732558708307904e-05,0.01124629530125995,3.9824366391405636e-05,0.06092016338444021,0.05549812085252192,0.005422042531918304,0.14078985775086528,4.535919379275504e-06,1.4927158732456496e-05,0.00012858358174295718,9.270827618912927e-11,7.457024383446743e-11,1.8138032354662298e-11,3.7861893828308326e-10,3.661277958894063e-10,1.2491142393677216e-11,0.0005940074535809537,0.6031143812511496,2.385434516472147e-07,1.4198094757057654e-10,1.066361498373675e-09,5.5786587219198774e-05,0.0063002986376439
72556,Input,6.443295132957386e-05,0.011308189005250767,1.7337146489853824e-05,0.011251020517446548,3.9831341314358035e-05,0.06119454465664383,0.055770988299051194,0.005423556357592646,0.14087690962221494,4.554797655704581e-06,1.4940378156890922e-05,0.00012876083903576522,9.275174096732278e-11,7.461243793356256e-11,1.8139303033760672e-11,3.817480748801799e-10,3.6910568447489886e-10,1.2642390405281241e-11,0.0005943906233458529,0.6031923171256479,2.4158073105601283e-07,1.4233740758538872e-10,1.066973865866213e-09,5.583865092918336e-05,0.0063034981267029045
72557,Input,6.406171001940072e-05,0.011300943907253903,1.7319491886269446e-05,0.011243803726805794,3.9820688561828826e-05,0.060775484000148844,0.05535423969824358,0.005421244301905266,0.14074395588938937,4.525964992125444e-06,1.4920188219591323e-05,0.0001284901151744168,9.268535750631651e-11,7.454799517212693e-11,1.8137362334190025e-11,3.769689657736784e-10,3.645575754309282e-10,1.241139034275034e-11,0.0005938054107621439,0.6030732861929989,2.3694191481032856e-07,1.4179298862187234e-10,1.0660386011472395e-09,5.575913437796075e-05,0.006298611568758381
72558,Input,6.442285657332312e-05,0.011307991997277014,1.7336666427654375e-05,0.011250824279203564,3.983105164578605e-05,0.061183149601552515,0.055759656113144866,0.005423493488407663,0.140873294357726,4.554013640825538e-06,1.4939829154152888e-05,0.00012875347753984144,9.27499358749487e-11,7.461068561249539e-11,1.8139250262453747e-11,3.816181218275324e-10,3.689820127526455e-10,1.2636109074887085e-11,0.0005943747103043203,0.6031890804485367,2.4145459283268216e-07,1.4232260379986058e-10,1.066948434242336e-09,5.583648872314515e-05,0.006303365251912295
72559,Input,6.416349846035413e-05,0.011302930397467803,1.7324332496743712e-05,0.011245782455594535,3.982360937651754e-05,0.06089038374250144,0.055468505511835124,0.005421878230666336,0.14078040968052846,4.533870448209751e-06,1.4925723978097602e-05,0.0001285643433355088,9.270355879161465e-11,7.45656643485831e-11,1.8137894443032014e-11,3.7827932119956066e-10,3.658045943272249e-10,1.2474726872335891e-11,0.0005939658667105787,0.6031059225745857,2.382138041733343e-07,1.419422596108578e-10,1.0662950358031202e-09,5.578093654694665e-05,0.006299951384940393
72560,Input,6.442880703864478e-05,0.011308108125798277,1.7336949405608385e-05,0.011250939953998541,3.983122239411811e-05,0.06118986654235574,0.055766335995014155,0.005423530547341603,0.14087542541522116,4.554475787036256e-06,1.4940152769867126e-05,0.00012875781685474136,9.275099990654168e-11,7.461171853745995e-11,1.8139281369082183e-11,3.8169472408656814e-10,3.6905491241225676e-10,1.2639811674311567e-11,0.0005943840904220219,0.6031909883435298,2.4152894639853563e-07,1.4233133005438583e-10,1.0669634251933006e-09,5.5837763259323055e-05,0.0063034435764219715
72561,Input,6.393439882135904e-05,0.011298459318172258,1.731343752574521e-05,0.011241328845273721,3.981703537278501e-05,0.06063177393133772,0.055211322511505206,0.00542045141983252,0.14069836155883858,4.516077296865235e-06,1.4913264407408892e-05,0.00012839727480837388,9.266259237291333e-11,7.452589557022741e-11,1.813669680268637e-11,3.7533004766503126e-10,3.6299787505452866e-10,1.2332172610502825e-11,0.0005936047215793956,0.6030324664614003,2.3535110786737854e-07,1.4160628895084284e-10,1.0657178672509952e-09,5.573186546385317e-05,0.006296935802810008
72562,Input,6.424839458160102e-05,0.01130458721932769,1.732836978280373e-05,0.011247432804078018,3.982604546685972e-05,0.060986215276677976,0.05556380832101638,0.005422406955661606,0.14081081377595878,4.540463952854865e-06,1.4930341048768305e-05,0.00012862625294827993,9.27187394792158e-11,7.458040123356438e-11,1.813833824565187e-11,3.793722163463007e-10,3.668446639699619e-10,1.2527552376338977e-11,0.0005940996941621589,0.603133142779378,2.3927461689983816e-07,1.4206675830502046e-10,1.0665089137978482e-09,5.579912053291141e-05,0.006301068851677984
72563,Input,6.445072364406045e-05,0.011308535847470524,1.7337991662948623e-05,0.011251366004517455,3.9831851290114795e-05,0.061214606211142476,0.055790939169259965,0.005423667041882515,0.14088327447302004,4.5561779524295755e-06,1.4941344703191993e-05,0.00012877379931111997,9.275491892115868e-11,7.461552298091918e-11,1.8139395940239957e-11,3.8197686361591317e-10,3.69323414619777e-10,1.2653448996136356e-11,0.0005944186390375181,0.6031980154547689,2.418028035972539e-07,1.4236347037734352e-10,1.0670186394898867e-09,5.584245759917534e-05,0.00630373205930191
