turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
17330,Input,0.00010750007983537541,0.01637336060736973,2.4240091273617497e-05,0.01629610843380974,5.301208228635619e-05,0.10656440773369627,0.09906650435852297,0.007497903375173335,0.19037606905200904,7.854674952524582e-06,2.1185006504762276e-05,0.00019392874560274437,1.2274496034702465e-10,9.837566395637234e-11,2.436929639065283e-11,7.805607257757094e-10,7.502211716118911e-10,3.033955416381851e-11,0.0008813557446816873,0.8126390645345346,5.906456971947705e-07,2.2263565083075574e-10,1.4551365237362386e-09,8.049896147300584e-05,0.008248836319422252
17331,Input,0.00010623286490630347,0.01634862980265423,2.417982810619539e-05,0.016271474254936483,5.297571961153849e-05,0.10513396369219272,0.09764395241147014,0.007490011280722627,0.1899222376746932,7.75625599770689e-06,2.111608909373615e-05,0.0001930046423056283,1.2251836349337337e-10,9.815569159035587e-11,2.4362671903018035e-11,7.642474593329262e-10,7.346964131283089e-10,2.9551046204617575e-11,0.0008793581487718708,0.8122327579874431,5.748113139010284e-07,2.2077730204431263e-10,1.4519440411594347e-09,8.022753542731437e-05,0.008232156281373177
17332,Input,0.000105747693966046,0.01633916126854697,2.415675551059198e-05,0.016262042715382917,5.2961797653450056e-05,0.10458629820571505,0.0970993085236159,0.007486989682099216,0.18974848199126554,7.718574925812461e-06,2.1089703100057763e-05,0.00019265083644738672,1.2243160772209638e-10,9.807147209672267e-11,2.4360135625374235e-11,7.580016973574797e-10,7.287525424415378e-10,2.924915491594235e-11,0.0008785933412687506,0.8120771978492513,5.687488990298208e-07,2.2006580724784173e-10,1.4507217546017175e-09,8.01236161735419e-05,0.008225770095763982
17333,Input,0.00010567579659392625,0.016337758128614942,2.4153336387857657e-05,0.016260645057665446,5.2959734561623515e-05,0.10450513978089772,0.0970185978688165,0.007486541912081274,0.18972273317576005,7.712990976274124e-06,2.1085792965610637e-05,0.00019259840603711803,1.224187514039341e-10,9.805899162897192e-11,2.4359759774962707e-11,7.57076139300186e-10,7.278717215861671e-10,2.920441771401909e-11,0.0008784800046175022,0.8120541454274871,5.678505111385175e-07,2.1996037099455746e-10,1.4505406242326343e-09,8.010821640278293e-05,0.008224823728360099
17334,Input,0.00010599305856164806,0.01634394977265841,2.4168423971375544e-05,0.016266812510307645,5.2968838379373464e-05,0.10486326805173155,0.09737475026219068,0.007488517789540917,0.18983635512928815,7.73763130409085e-06,2.1103047239475963e-05,0.00019282976602483216,1.224754825566531e-10,9.811406426431241e-11,2.436141829234121e-11,7.611603549236539e-10,7.317585250888013e-10,2.9401829834852925e-11,0.0008789801259422451,0.8121558689880853,5.718148328065971e-07,2.2042563018553949e-10,1.4513398993050767e-09,8.01761710641205e-05,0.008228999769512801
17335,Input,0.00010537653444988437,0.01633191776683159,2.4139104796770973e-05,0.01625482751478681,5.295114724799629e-05,0.10416732987906382,0.09668265174324668,0.007484678135817187,0.18961555755156778,7.689748614810886e-06,2.1069517611120772e-05,0.00019238017223346986,1.223652388870744e-10,9.80070435336853e-11,2.435819535338963e-11,7.532236412116663e-10,7.242054354629983e-10,2.901820574866814e-11,0.0008780082576224295,0.811958193142179,5.641111048346979e-07,2.1952150823382925e-10,1.4497866959456228e-09,8.004411714186124e-05,0.008220884614453888
17336,Input,0.00010596868497487001,0.016343474100851678,2.4167264870810215e-05,0.01626633869700045,5.2968138980408215e-05,0.10483575491944686,0.09734738892629391,0.007488365993152996,0.1898276261455902,7.735738315868554e-06,2.1101721683361034e-05,0.00019281199184036877,1.2247112419727032e-10,9.810983332019325e-11,2.4361290877077613e-11,7.608465858808859e-10,7.314599221924602e-10,2.938666368842596e-11,0.0008789417042221893,0.8121480540960282,5.715102745928069e-07,2.2038988674188914e-10,1.4512784951585997e-09,8.017095046094839e-05,0.008228678945992243
17337,Input,0.00010557067533541408,0.016335706595559205,2.4148337283241694e-05,0.01625860154016406,5.295671811188637e-05,0.10438647792297265,0.0969005906961243,0.007485887226848387,0.18968508579295126,7.704826675053758e-06,2.108007595201313e-05,0.0001925217474535112,1.223999541613478e-10,9.80407439178512e-11,2.4359210243497137e-11,7.557228794390782e-10,7.265838720568952e-10,2.913900738218314e-11,0.0008783142949251515,0.8120204404461203,5.665369768189517e-07,2.1980621248623837e-10,1.4502757932410222e-09,8.008570037423757e-05,0.008223440043121295
17338,Input,0.00010621326656124307,0.016348247323855,2.4178896095119387e-05,0.01627109327052195,5.297515723791737e-05,0.10511184089733619,0.09762195167324882,0.007489889224087445,0.18991521886223464,7.754733881298104e-06,2.1115023238867357e-05,0.00019299035041648398,1.225148590181454e-10,9.815228956735721e-11,2.4362569450788712e-11,7.639951635167444e-10,7.344563121266869e-10,2.953885139005789e-11,0.0008793272545857041,0.8122264741789688,5.745664243400786e-07,2.2074856141008888e-10,1.4518946672342196e-09,8.022333763798931e-05,0.008231898313183406
17339,Input,0.00010645839263411477,0.016353031172987295,2.419055321281118e-05,0.016275858428655025,5.2982191119441875e-05,0.10538854149666804,0.09789712565063591,0.007491415846032195,0.19000300657741634,7.773771734575499e-06,2.112835440624059e-05,0.00019316910605371099,1.225586912012947e-10,9.819484033043999e-11,2.436385087085523e-11,7.671507505028903e-10,7.374593726115796e-10,2.9691377891310966e-11,0.0008797136632598165,0.812305068840368,5.776293776750608e-07,2.2110803455832612e-10,1.4525122110295221e-09,8.027584143914335e-05,0.008235124847316264
17340,Input,0.00010698680708819822,0.0163633436419876,2.421568227969963e-05,0.016286130605759695,5.299735394819491e-05,0.10598502066523464,0.09849031390407433,0.007494706761160381,0.19019224918653388,7.81481133810948e-06,2.1157092195931e-05,0.00019355444679430655,1.2265317955522127e-10,9.828656634710489e-11,2.4366613208116906e-11,7.739532001773066e-10,7.439330232849403e-10,3.0020176892366576e-11,0.0008805466384149767,0.8124744941267551,5.842321384317059e-07,2.218829452202484e-10,1.4538434405623276e-09,8.038902306482316e-05,0.008242080236648875
17341,Input,0.00010672040057652397,0.01635814448652944,2.4203013157953153e-05,0.016280951763946023,5.298970942544579e-05,0.10568429850792764,0.09819125090126761,0.007493047606660081,0.1900968402457573,7.794120727673879e-06,2.114260369311756e-05,0.00019336017261858192,1.2260554211349557e-10,9.824032157098148e-11,2.4365220542514624e-11,7.705236632397823e-10,7.406692543241175e-10,2.985440891566515e-11,0.0008801266839574809,0.8123890763279289,5.809032770672897e-07,2.214922646763939e-10,1.4531722851589661e-09,8.033196118498627e-05,0.008238573593340544
17342,Input,0.0001072329032429614,0.016368146423114197,2.4227385530218698e-05,0.016290914621917788,5.3004415666175216e-05,0.10626281630206143,0.0987665768773783,0.0074962394246831906,0.19028038431997185,7.833924533338473e-06,2.1170476121152103e-05,0.00019373390985365577,1.2269718520342323e-10,9.832928550404417e-11,2.436789969937959e-11,7.77121275340481e-10,7.46947968326059e-10,3.0173307014422224e-11,0.000880934576294257,0.8125533998250706,5.873072133477585e-07,2.2224384097680915e-10,1.4544634282757579e-09,8.044173464879744e-05,0.008245319539730782
17343,Input,0.00010602205519778373,0.016344515667305975,2.4169802923831072e-05,0.0162673761939456,5.296967043653001e-05,0.10489599972528776,0.09740730134744581,0.00748869837784199,0.18984673977913172,7.739883344022068e-06,2.1104624219864288e-05,0.00019285091151992028,1.2248066758593587e-10,9.811909771089748e-11,2.4361569875038922e-11,7.615336379716781e-10,7.32113765358242e-10,2.9419872613436493e-11,0.0008790258352851626,0.8121651661663581,5.721771579657063e-07,2.2046815325115173e-10,1.4514129502560444e-09,8.018238188290437e-05,0.008229381445093591
17344,Input,0.00010645617121261349,0.016352987820008977,2.4190447571776835e-05,0.016275815245061335,5.298212737585282e-05,0.10538603393534025,0.09789463192411063,0.007491402011229668,0.19000221101325718,7.773599206634621e-06,2.1128233594360023e-05,0.00019316748610520302,1.225582939781313e-10,9.819445471997066e-11,2.4363839258161182e-11,7.671221534275239e-10,7.374321577867648e-10,2.968999564075954e-11,0.0008797101614840694,0.8123043565870012,5.776016200794857e-07,2.2110477688209743e-10,1.4525066146233593e-09,8.027536563062811e-05,0.008235095607292086
17345,Input,0.00010699428212995232,0.016363489523947814,2.4216037759802006e-05,0.016286275917743818,5.299756844417845e-05,0.1059934585621469,0.09849870524713512,0.007494753315011818,0.19019492624503198,7.815391891399835e-06,2.1157498725646824e-05,0.00019355989789070116,1.226545162037278e-10,9.828786391911339e-11,2.4366652284614927e-11,7.740494288004142e-10,7.440246006608259e-10,3.002482813958854e-11,0.0008805584218247924,0.8124768908459973,5.843255422210363e-07,2.2189390723975567e-10,1.4538622723642687e-09,8.039062415156715e-05,0.008242178628782692
17346,Input,0.00010621939681437137,0.016348366961092136,2.4179187622990576e-05,0.01627121244032388,5.297533314525238e-05,0.10511876078429393,0.09762883338157118,0.007489927402722803,0.1899174143076612,7.755209990829183e-06,2.1115356632331123e-05,0.00019299482083977057,1.2251595519846894e-10,9.815335370119432e-11,2.436260149727516e-11,7.640740802421947e-10,7.345314143820952e-10,2.954266586009979e-11,0.0008793369181149874,0.8122284397192446,5.746430244301616e-07,2.2075755132032451e-10,1.4519101111229038e-09,8.022465068309911e-05,0.008231979004195707
17347,Input,0.00010672365940584045,0.01635820808542618,2.4203168133539533e-05,0.016281015114355223,5.2989802937404963e-05,0.10568797710488155,0.09819490920254144,0.007493067902340138,0.19009800733980206,7.794373826471799e-06,2.1142780924362487e-05,0.00019336254908594117,1.226061248405869e-10,9.824088726222984e-11,2.436523757835757e-11,7.705656152005048e-10,7.407091785208081e-10,2.985643667969694e-11,0.0008801318210687665,0.8123901212048923,5.809439975096569e-07,2.2149704369324933e-10,1.4531804950968188e-09,8.033265919692937e-05,0.008238616488508323
18696,Input,9.709838790757726e-05,0.01739541841438861,2.6010643097378935e-05,0.01730774787499257,6.165989629864285e-05,0.09505055601450851,0.08666711395637947,0.00838344205812907,0.1982452267569892,7.127161437388844e-06,2.1979727331244502e-05,0.00019929120900027568,1.3330455775455085e-10,1.0618229112238857e-10,2.712226663216291e-11,5.949348537663492e-10,5.743115074568581e-10,2.0623346309491534e-11,0.0009535682708674924,0.9611935997480224,3.9401415396930945e-07,2.1527581490160534e-10,1.565976156556765e-09,8.537864776772833e-05,0.008483494610226803
18697,Input,9.669046768858627e-05,0.01738745749549164,2.5991244206245353e-05,0.01729981806023889,6.16481910464915e-05,0.09459009186333897,0.08620919029366439,0.008380901569674607,0.19809913709960544,7.095480085882435e-06,2.195754261359865e-05,0.00019899373742644725,1.3323161555978695e-10,1.061114813697106e-10,2.7120134190076963e-11,5.896835652381499e-10,5.693140419637369e-10,2.0369523274413377e-11,0.0009529252388590353,0.9610628084735001,3.8891701933761675e-07,2.1467760695239606e-10,1.5649484870099677e-09,8.529127492397608e-05,0.008478125256838
18698,Input,9.63544714817049e-05,0.017380900236429346,2.5975265704726817e-05,0.017293286421074,6.16385496506e-05,0.09421081620845596,0.08583200719130658,0.008378809017149418,0.19797880579838448,7.0693847529240445e-06,2.1939269479214237e-05,0.00019874871568982286,1.3317153444681123e-10,1.060531567091462e-10,2.7118377737665653e-11,5.853581777124248e-10,5.651977236947805e-10,2.0160454017644662e-11,0.0009523955854962299,0.9609550781623099,3.847186054751005e-07,2.1418487432355564e-10,1.5641020149461272e-09,8.521930755702913e-05,0.008473702621508702
18699,Input,9.592734359816352e-05,0.017372564463204086,2.5954953381563646e-05,0.01728498321658712,6.162629323538702e-05,0.09372867026623666,0.08535252136105574,0.008376148905180954,0.1978258372440923,7.036211627428734e-06,2.1916040153836654e-05,0.0001984372371265456,1.3309515763629806e-10,1.0597901275062842e-10,2.711614488567024e-11,5.798596227242387e-10,5.599649434603811e-10,1.9894679263857883e-11,0.000951722275157505,0.9608181283430277,3.7938146299967835e-07,2.1355849866633662e-10,1.5630259557118251e-09,8.512782060420488e-05,0.00846808044236147
18700,Input,9.557197574774346e-05,0.01736562914962051,2.5938053649896196e-05,0.017278074999999532,6.161609597106425e-05,0.09332752771929115,0.084953592011395,0.00837393570789617,0.1976985683196897,7.008611784961785e-06,2.1896713493732668e-05,0.00019817808882050195,1.3303161258569405e-10,1.0591732541956111e-10,2.7114287166133556e-11,5.752848577841294e-10,5.556113015295355e-10,1.9673556254594127e-11,0.000951162084973351,0.9607041869105689,3.749409923070347e-07,2.1303735785713498e-10,1.5621306808497676e-09,8.505170400536083e-05,0.008463402822858703
18701,Input,9.628843652549896e-05,0.017379611506657573,2.5972125372704007e-05,0.017292002726504323,6.163665478053176e-05,0.09413627533344837,0.08575787757574636,0.008378397757702051,0.197955156506983,7.064256111190019e-06,2.1935678171919374e-05,0.0001987005603853399,1.331597264156999e-10,1.0604169388210463e-10,2.711803253359583e-11,5.845080884257449e-10,5.643887237981949e-10,2.011936462755044e-11,0.0009522914901644946,0.9609339054042972,3.838934709352826e-07,2.140880352018622e-10,1.5639356537059686e-09,8.520516346305645e-05,0.008472833419641826
18702,Input,9.57085812448224e-05,0.017368295125055156,2.5944550006396097e-05,0.017280730559189147,6.16200158595967e-05,0.09348172927961865,0.08510694280563642,0.008374786473982253,0.1977474912446537,7.0192213271447414e-06,2.190414277583363e-05,0.00019827770695737734,1.3305603967783085e-10,1.0594103839335421e-10,2.7115001284477244e-11,5.770434244015773e-10,5.572848671584012e-10,1.975855724317641e-11,0.000951377425383224,0.960747986669046,3.7664793542390934e-07,2.1323768745702692e-10,1.562474829785607e-09,8.50809636747675e-05,0.008465200927376505
18703,Input,9.70036359414827e-05,0.0173935692471194,2.6006137110694805e-05,0.017305905932613403,6.165717739528052e-05,0.0949435991106627,0.08656074715879634,0.00838285195186639,0.19821129295910725,7.119802473052164e-06,2.1974574251018675e-05,0.00019922211211523475,1.3328761469548352e-10,1.0616584338831569e-10,2.7121771307168412e-11,5.937150811504994e-10,5.731506930159016e-10,2.056438813459833e-11,0.0009534189069864528,0.9611632194681734,3.9283018831789803e-07,2.15136862781357e-10,1.565737448825397e-09,8.535835274840009e-05,0.008482247413430566
18704,Input,9.648839910226959e-05,0.01738351395076794,2.5981634713199948e-05,0.017295889923357136,6.16423926975875e-05,0.09436199495677598,0.0859823518511016,0.008379643105674423,0.19802676968762467,7.079786316332749e-06,2.1946553125155002e-05,0.00019884638101312312,1.3319548269484772e-10,1.0607640483769544e-10,2.7119077857152907e-11,5.870822711619234e-10,5.668384824294259e-10,2.0243788732498003e-11,0.0009526067045896953,0.9609980193144566,3.863920873991127e-07,2.1438127686383335e-10,1.56443941753301e-09,8.524799364936028e-05,0.008475465477797395
18705,Input,9.51046354692085e-05,0.017356508596430217,2.5915829002125456e-05,0.01726899008176507,6.160268566300387e-05,0.09279998965021669,0.08442896449327303,0.008371025156943681,0.19753119838313285,6.972315541362996e-06,2.1871297219566424e-05,0.00019783728578672962,1.329480452016055e-10,1.0583620110162127e-10,2.7111844099984816e-11,5.692686356672002e-10,5.498858758046202e-10,1.9382759862580435e-11,0.0009504253851385585,0.9605543438093459,3.691013790503108e-07,2.1235201141783165e-10,1.5609533149093634e-09,8.495160391903371e-05,0.00845725133785881
18706,Input,9.552833405504396e-05,0.017364777443919416,2.5935978242975555e-05,0.017277226622001745,6.161484367467497e-05,0.09327826456917276,0.08490460065760169,0.008373663911571117,0.19768293879303891,7.005222328537764e-06,2.1894340042785522e-05,0.00019814626357034893,1.3302380880274704e-10,1.0590974977775023e-10,2.7114059024997415e-11,5.747230442001129e-10,5.550766434195094e-10,1.9646400780603808e-11,0.000951093289645239,0.9606901940944623,3.7439567100917266e-07,2.1297335806924908e-10,1.5620207347464123e-09,8.504235634711836e-05,0.008462828378004833
18707,Input,9.594043882228568e-05,0.01737282002792562,2.5955576132815698e-05,0.01728523778279054,6.162666900224826e-05,0.09374345227747086,0.08536722181647549,0.008376230460995405,0.1978305270748884,7.0372286753198524e-06,2.1916752336847292e-05,0.000198446786682434,1.3309749925689916e-10,1.059812859146889e-10,2.7116213342210863e-11,5.800282017674078e-10,5.601253741711635e-10,1.990282759624488e-11,0.0009517429180378438,0.9608223270587896,3.795450933305011e-07,2.1357770258612747e-10,1.563058946386012e-09,8.513062548348732e-05,0.008468252811571781
18708,Input,9.66953214076372e-05,0.01738755222005275,2.5991475027771424e-05,0.017299912414701225,6.164833032373915e-05,0.09459557078671355,0.08621463898853685,0.008380931798176741,0.19810087537616095,7.095857052681838e-06,2.195780658283004e-05,0.0001989972769505448,1.332324834768547e-10,1.0611232391349628e-10,2.7120159563359034e-11,5.897460487287555e-10,5.693735052909784e-10,2.0372543437777595e-11,0.0009529328901020101,0.9610643647192347,3.8897766859772975e-07,2.1468472484747532e-10,1.5649607149384329e-09,8.52923145469624e-05,0.008478189145146597
18709,Input,9.524852377348688e-05,0.017359316702200055,2.5922671696897972e-05,0.017271787215971782,6.160681453135802e-05,0.0929624121112966,0.08459049083163402,0.008371921279662617,0.1975827295210734,6.983490706832312e-06,2.1879122576718004e-05,0.0001979422148349515,1.3297377456785481e-10,1.0586117827795346e-10,2.711259628990194e-11,5.711209562103402e-10,5.516486637273998e-10,1.9472292482940683e-11,0.0009506522059260215,0.9606004786509871,3.708993239049372e-07,2.1256302112857974e-10,1.5613158113524495e-09,8.498242350027091e-05,0.008459145304174324
18710,Input,9.615317331125822e-05,0.01737697172704337,2.5965692849271055e-05,0.01728937326078534,6.163277340874439e-05,0.09398358895451897,0.08560603360329276,0.00837755535122624,0.1979067142976855,7.053750818152945e-06,2.1928321889793365e-05,0.00019860192109425297,1.33135539343674e-10,1.0601821391151015e-10,2.7117325432164478e-11,5.827668014481425e-10,5.627316025911882e-10,2.003519885695457e-11,0.0009520782656851129,0.9608905360213568,3.8220330020678586e-07,2.138896740365477e-10,1.5635948863705788e-09,8.517619129856676e-05,0.008471052983262475
18711,Input,9.480518805883811e-05,0.01735066461901286,2.590158860058719e-05,0.01726316893737909,6.159409303316777e-05,0.09246197061802165,0.08409281039116322,0.008369160226858463,0.19742395640897023,6.949058791086938e-06,2.1855011789377935e-05,0.0001976189168795397,1.3289449955637415e-10,1.0578422084646053e-10,2.7110278709914228e-11,5.654137525854871e-10,5.46217319967814e-10,1.91964326176733e-11,0.0009499533460957426,0.9604583321221791,3.6535965776582764e-07,2.1191287696723542e-10,1.5601989198826437e-09,8.488746497572996e-05,0.008453309785337539
18712,Input,9.551180881023867e-05,0.01736445493935229,2.5935192375028815e-05,0.017276905377493715,6.161436948352606e-05,0.09325961071857189,0.08488604972465891,0.008373560993913006,0.19767702055893482,7.0039388861756744e-06,2.189344131829733e-05,0.00019813421270757905,1.3302085384349522e-10,1.0590688120580128e-10,2.7113972637694552e-11,5.745103093945514e-10,5.548741912319615e-10,1.963611816259026e-11,0.0009510672397931779,0.9606848956127269,3.741891811278852e-07,2.129491240834231e-10,1.5619791028535834e-09,8.50388167882411e-05,0.00846261086027694
21612,Input,0.00012018375461638718,0.015999929836173293,2.4259242261468477e-05,0.01592247798202054,5.31926118912757e-05,0.12240336697797989,0.11494884195564439,0.007454525022335575,0.1869977874277219,8.93873498281812e-06,2.1185101855498937e-05,0.0001996886762427929,1.229186798212806e-10,9.905956272162763e-11,2.38591170996535e-11,9.704680038763316e-10,9.306796116935142e-10,3.978839218281839e-11,0.0008836354795371376,0.8186880772887526,7.820345022388865e-07,2.405750358231114e-10,1.4508498503653692e-09,8.167963460325443e-05,0.007951368254168922
21613,Input,0.0001198389061756836,0.015993199818046273,2.4242842786651217e-05,0.01591577425877867,5.3182716480936836e-05,0.12201409883892199,0.11456172149998475,0.0074523773389373014,0.1868742858501921,8.911952136178668e-06,2.1166347292887296e-05,0.00019943719910679283,1.2285701579739856e-10,9.89997014260586e-11,2.3857314371340482e-11,9.660286586898791e-10,9.26454843950852e-10,3.957381473902836e-11,0.0008830918718042641,0.8185775086898529,7.77725475993158e-07,2.4006932154640407e-10,1.4499810769526456e-09,8.160577116740335e-05,0.00794682909906576
21614,Input,0.00011937482577280587,0.015984142884172978,2.4220773164226214e-05,0.015906752711293878,5.3169399714860324e-05,0.12149024054792065,0.11404075345773934,0.007449487090181382,0.18670808338240905,8.87590907264244e-06,2.1141108306871155e-05,0.00019909877330341285,1.2277403132750258e-10,9.891914298099858e-11,2.3854888346504532e-11,9.600544020035547e-10,9.207693552414374e-10,3.928504676211836e-11,0.0008823603107301744,0.818428710801081,7.71926596253269e-07,2.3938875565839686e-10,1.44881192358613e-09,8.150636931713612e-05,0.007940720523006371
21615,Input,0.00011997922648327887,0.015995938291248523,2.424951580319745e-05,0.015918502032479527,5.3186742965788266e-05,0.12217249371203842,0.11471924247152736,0.00745325124051113,0.18692453917107743,8.92285019119396e-06,2.1173978604744503e-05,0.0001995395262305713,1.2288210715283876e-10,9.90240592436267e-11,2.3858047909212595e-11,9.678350472610833e-10,9.281739200410886e-10,3.9661127219995915e-11,0.0008833130681191795,0.8186224995263385,7.794788372291927e-07,2.4027509885169827e-10,1.4503345845754588e-09,8.163582651582692e-05,0.007948676100719585
21616,Input,0.00012039795867538028,0.016004110215231883,2.4269428864209222e-05,0.01592664202790064,5.31987584670168e-05,0.12264516251938574,0.11518930345447664,0.007455859064909186,0.18707450095191522,8.955371260627164e-06,2.119675133092605e-05,0.00019984488232325327,1.2295698268900543e-10,9.909674581708056e-11,2.3860236871925412e-11,9.732255218058584e-10,9.333038439415562e-10,3.99216778643033e-11,0.0008839731437662231,0.818756757438888,7.847110720104058e-07,2.408891623725615e-10,1.4513894926237798e-09,8.172551518702102e-05,0.007954187769447903
