turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
8043,Input,9.087967412222891e-05,0.01892225928700887,2.321636676192229e-05,0.0188569388622851,4.2104057961812726e-05,0.09010993741749176,0.08174161308817866,0.008368324329313106,0.20097860840370788,7.004264221126854e-06,2.2186985589576963e-05,0.00019914433503454148,1.2862210549601437e-10,9.566897343889991e-11,3.295313205711493e-11,4.855999816103895e-10,4.70244909064407e-10,1.5355072545982846e-11,0.0008913454237932105,0.6125697598044556,2.73599367509491e-07,2.3458280634237854e-10,1.5060725981742242e-09,8.344801969113446e-05,0.008280824257410044
8044,Input,9.113637602114993e-05,0.01892726904848395,2.322857437497778e-05,0.018861929050097804,4.21114240111398e-05,0.09039970491732947,0.08202978187292434,0.00836992304440514,0.2010705418032238,7.024201117395924e-06,2.2200946307584035e-05,0.00019933153222242704,1.2866800760881886e-10,9.571353361789649e-11,3.295447399092286e-11,4.88904587938326e-10,4.733897859843341e-10,1.5514801953992146e-11,0.0008917500802185434,0.612652066017703,2.7680696565759943e-07,2.349592552393994e-10,1.5067193048385292e-09,8.350300293016292e-05,0.008284203161290546
8045,Input,9.107615661487558e-05,0.018926093814241922,2.322571060492653e-05,0.018860758407618954,4.2109696018012633e-05,0.09033172868937334,0.08196218068572189,0.008369548003651455,0.2010489752516755,7.019524143593537e-06,2.2197671278637688e-05,0.00019928761784720008,1.2865723948442461e-10,9.570308029622674e-11,3.295415918819833e-11,4.88129364101357e-10,4.726520328873764e-10,1.5477331213980857e-11,0.0008916551523283288,0.6126327578968233,2.760544988591157e-07,2.3487094452114396e-10,1.50656759465827e-09,8.349010447470446e-05,0.00828341050807529
8046,Input,9.150410123070375e-05,0.018934445526710184,2.3246061768284376e-05,0.018869077489072548,4.212197586932148e-05,0.09081479656662225,0.08244258336447109,0.008372213202151176,0.20120223630468284,7.052760701057795e-06,2.22209450219537e-05,0.0001995996920039964,1.2873376233880314e-10,9.577736602906346e-11,3.295639630974014e-11,4.936384331476568e-10,4.778948189788781e-10,1.5743614168779087e-11,0.0008923297501369519,0.6127699695846076,2.814018467478272e-07,2.3549851790214226e-10,1.5076457114784918e-09,8.358176636424222e-05,0.008289043437668488
8047,Input,9.182861611679775e-05,0.018940778717782308,2.3261494268693736e-05,0.01887538593570435,4.213128780923461e-05,0.09118111199942128,0.08280687774932241,0.008374234250098892,0.20131845576701457,7.077964330828432e-06,2.223859374536751e-05,0.00019983634110694087,1.2879179042106834e-10,9.583369767862346e-11,3.2958092742445373e-11,4.978160179283049e-10,4.818704786048471e-10,1.5945539323458022e-11,0.0008928413047235214,0.6128740186451289,2.854567966801964e-07,2.359744133725319e-10,1.5084632587595418e-09,8.365127453549223e-05,0.008293314947199633
8048,Input,9.187248974118955e-05,0.01894163494983269,2.3263580705265372e-05,0.018876238822366505,4.213254676089327e-05,0.09123063695619904,0.08285612946532651,0.008374507490872539,0.2013341683560386,7.0813718003568e-06,2.2240979809906404e-05,0.00019986833549086644,1.287996356768473e-10,9.584131358082108e-11,3.295832209602668e-11,4.983808172437913e-10,4.824079781298734e-10,1.5972839113918404e-11,0.0008929104656611202,0.6128880858253887,2.8600501606206113e-07,2.3603875328423507e-10,1.5085737891662142e-09,8.366067187141814e-05,0.008293892444913253
8049,Input,9.166219461558591e-05,0.018937530857018905,2.3253579994200846e-05,0.018872150764672857,4.212651235181819e-05,0.09099325385529344,0.08262005606252794,0.008373197792765522,0.20125885474955718,7.065039112041391e-06,2.2229542921596833e-05,0.00019971497995939386,1.2876203178447927e-10,9.580480902640059e-11,3.295722275807915e-11,4.956736202743687e-10,4.798316345591247e-10,1.5841985715244295e-11,0.0008925789633459859,0.6128206589947903,2.8337729005661357e-07,2.3573035911802474e-10,1.5080439946466944e-09,8.36156285460427e-05,0.00829112438196187
8050,Input,9.12012234484468e-05,0.01892853460259319,2.3231658233349735e-05,0.018863189659554695,4.211328480511993e-05,0.09047290529861883,0.0821025783905838,0.008370326908035035,0.20109376580143462,7.029237529034354e-06,2.2204473031187486e-05,0.00019937882153381355,1.286796032921207e-10,9.572479030504979e-11,3.295481298707136e-11,4.897393897823963e-10,4.741842373626828e-10,1.5555152419713636e-11,0.0008918523035687885,0.6126728580188611,2.7761726152444467e-07,2.3505435287047707e-10,1.5068826743483464e-09,8.351689266611902e-05,0.00828505673200683
8051,Input,9.189792618236963e-05,0.018942131364170185,2.3264790350510457e-05,0.01887673329716123,4.2133276658417304e-05,0.0912593498484546,0.08288468394183768,0.00837466590661692,0.20134327798288243,7.083347335759511e-06,2.2242363169296852e-05,0.00019988688475083973,1.2880418409038574e-10,9.584572902292255e-11,3.295845506746366e-11,4.987082687540339e-10,4.827196021464018e-10,1.598866660763244e-11,0.0008929505628298764,0.61289624149997,2.863228550884437e-07,2.360760553854919e-10,1.508637870951727e-09,8.366612012844825e-05,0.008294227258524568
8052,Input,9.153269505724069e-05,0.018935003560177063,2.324742156488739e-05,0.01886963334224427,4.2122796367874884e-05,0.09084707354494315,0.0824746822631509,0.008372391281792254,0.20121247669515038,7.05498145655668e-06,2.2222500095565174e-05,0.00019962054375437732,1.2873887533974597e-10,9.578232955303441e-11,3.2956545786712027e-11,4.940065306978155e-10,4.782451243934715e-10,1.5761406304344365e-11,0.0008923748245040745,0.6127791376102217,2.817591386316534e-07,2.355404502544415e-10,1.5077177476350498e-09,8.358789090483123e-05,0.008289419811165722
