turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
25096,Input,4.4898180837055673e-05,0.008012995042148833,1.219836806508105e-05,0.00797316462572149,2.7632048362256137e-05,0.04267700707951138,0.03880289176689206,0.003874115312619309,0.09997750889373194,3.18710003150794e-06,1.0562769237892776e-05,9.06960213438463e-05,6.641443075854724e-11,5.3242401133866114e-11,1.317202962468143e-11,2.5952305773951255e-10,2.511359957683507e-10,8.387061971161915e-12,0.00041729725962810646,0.4166537340460155,1.5957660140101243e-07,1.011552726104748e-10,7.564178074538659e-10,3.942241365860089e-05,0.004461392462144786
25097,Input,6.258695488639618e-05,0.011125194008897717,1.7009696675681977e-05,0.011069595149898907,3.858916232312116e-05,0.05950164307251087,0.05410025354861767,0.005401389523893204,0.13923708719694813,4.440171065434857e-06,1.4701939163538907e-05,0.00012616446313219775,9.256929725994423e-11,7.42655624409663e-11,1.8303734818978362e-11,3.626498803497846e-10,3.509062790898255e-10,1.1743601259959259e-11,0.0005808630739940625,0.5821319350580039,2.2359144688264254e-07,1.4075935851907635e-10,1.0540175785808735e-09,5.487409614427195e-05,0.006221791991867521
25098,Input,4.480829953444877e-05,0.007941551805945206,1.2164488088913127e-05,0.00790177880580424,2.7608512052046503e-05,0.042614427817205563,0.0387524353562066,0.0038619924609989693,0.09952345746861527,3.1785928761952343e-06,1.0507223885976867e-05,9.016437001009498e-05,6.618397956228767e-11,5.3115384030224886e-11,1.3068595532063106e-11,2.603591708891781e-10,2.519075291330622e-10,8.451641756116038e-12,0.00041510679449498905,0.4165516555111313,1.6100095337228868e-07,1.0065128877571107e-10,7.535373766921245e-10,3.921931541065071e-05,0.004449440053827765
25099,Input,6.308429844254469e-05,0.01120446257997556,1.7062899961711562e-05,0.011148775327355238,3.862435265860383e-05,0.06002424018640595,0.054608211188250926,0.00541602899815502,0.13983629761487143,4.48032123004255e-06,1.4779552267136945e-05,0.00012699240501565188,9.287221916765706e-11,7.446310732549205e-11,1.840911184216543e-11,3.6706278241587466e-10,3.551300038703267e-10,1.1932778545548174e-11,0.0005836921259562889,0.5823645248944771,2.272631365791455e-07,1.4186020234995092e-10,1.057919702024182e-09,5.5164135038674174e-05,0.006239088154337415
25100,Input,4.485418531317099e-05,0.007932491717773807,1.216244084086266e-05,0.00789272244207203,2.7606834860908717e-05,0.04267177833987902,0.038811151975084,0.0038606263647950204,0.09947962468031482,3.181938553130764e-06,1.0502482643921323e-05,9.0131245118142e-05,6.616155903769736e-11,5.3107432808964075e-11,1.30541262287336e-11,2.612346139082132e-10,2.5273720500299156e-10,8.497408905221809e-12,0.0004148864445827817,0.4165559021427119,1.6193823784483767e-07,1.0066541169719481e-10,7.532738343506145e-10,3.9202879948951685e-05,0.004448505562338352
25101,Input,4.5074777700794757e-05,0.007976619127312934,1.2189848739731746e-05,0.007936804138297851,2.7625140275343818e-05,0.04289856817706336,0.03902996050985353,0.0038686076672098313,0.09979969005935299,3.1999432547771574e-06,1.0543426498201375e-05,9.0558456294684e-05,6.632350656729465e-11,5.320939046812594e-11,1.3114116099169013e-11,2.629354084845231e-10,2.5436960013110466e-10,8.565808353418658e-12,0.0004164049101375676,0.4166684933989868,1.6323894296278966e-07,1.0120157773918219e-10,7.5534613846305e-10,3.9355183987254514e-05,0.004457563064393821
25102,Input,6.316950293270212e-05,0.011206125419923723,1.706695191244042e-05,0.011150431670413694,3.8626797597577895e-05,0.060120419810287366,0.05470386016664474,0.005416559643642632,0.13986681214735883,4.4869386843312326e-06,1.478418610843311e-05,0.00012705453950324135,9.288745499620018e-11,7.447789773938727e-11,1.8409557256813353e-11,3.681596472950454e-10,3.5617385136696234e-10,1.1985795928083278e-11,0.0005838264395104712,0.5823918439714534,2.2832780250482933e-07,1.4198515326178995e-10,1.0581343568897876e-09,5.518238507448739e-05,0.006240209680059037
25103,Input,4.543247375572087e-05,0.008063244591188018,1.2240694181206619e-05,0.008023344541607627,2.7659355399177444e-05,0.04325790500455842,0.03937385469235469,0.00388405031220373,0.1004099207585959,3.22946846000331e-06,1.0620773677509152e-05,9.135199536747276e-05,6.663247260308034e-11,5.339881320833728e-11,1.3233659394743372e-11,2.6526222041638565e-10,2.5661156293370976e-10,8.650657482676053e-12,0.00041931023237606023,0.41686690696106377,1.6479712653844487e-07,1.0215147505812099e-10,7.592804143450237e-10,3.9641909530521294e-05,0.004474579127038967
25104,Input,6.373016535015883e-05,0.011342279696014965,1.7146807816458204e-05,0.011286452348065799,3.8680540132696506e-05,0.06068344469788823,0.05524261758352552,0.005440827114362715,0.1408255753897591,4.5332255034109405e-06,1.4905694886984905e-05,0.00012830086342466393,9.337289085042272e-11,7.477540387537905e-11,1.85974869750441e-11,3.7179602394690155e-10,3.5967788200138403e-10,1.211814194551762e-11,0.0005883913500002391,0.5827032371440483,2.307564262912773e-07,1.4347605159105243e-10,1.0643153353647578e-09,5.5632796200341645e-05,0.0062669390944797955
25105,Input,6.271493661241516e-05,0.011099866692816342,1.7003962197821917e-05,0.011044278263499473,3.858446711904111e-05,0.059661633613575335,0.05426406385792094,0.005397569755654406,0.1391144835376083,4.449501357742544e-06,1.4688673401184977e-05,0.0001260716887650794,9.250658649695369e-11,7.424329348603305e-11,1.826329301092108e-11,3.6509325514901483e-10,3.5322190362770654e-10,1.1871351521308467e-11,0.0005802467977958392,0.5821437190614921,2.2620776320568895e-07,1.407984422663391e-10,1.0532803335200683e-09,5.4828103729149765e-05,0.006219176683124403
