turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
10099,Input,0.00015448322872490625,0.027965121080701406,3.955765725634971e-05,0.027839572123920193,8.599129952483644e-05,0.15072249425849726,0.1378645157646126,0.012857978493884736,0.31572122414072196,1.134793375072827e-05,3.482739748544868e-05,0.00031335448954233187,2.0518034734320983e-10,1.6124977144041173e-10,4.3930575902798976e-11,9.480090214734317e-10,9.14865716560348e-10,3.3143304913084284e-11,0.001458422214637853,1.3100526700456039,6.285711822178707e-07,3.4851756769163916e-10,2.4190886476890288e-09,0.00013240886866465207,0.013549486393368197
10100,Input,0.00015446730723045672,0.027964810358849117,3.9556900100113935e-05,0.027839262616090696,8.599084265827654e-05,0.15070452192693398,0.1378466425906075,0.012857879336326608,0.31571552212949305,1.1346697198974571e-05,3.4826531595888865e-05,0.0003133428789582247,2.0517750034349028e-10,1.612470076718321e-10,4.393049267165903e-11,9.478040589409018e-10,9.146706609700485e-10,3.313339797085388e-11,0.001458397116517983,1.3100475651440708,6.283722364511038e-07,3.484942190952726e-10,2.4190485368187568e-09,0.0001324054584236734,0.01354927682265756
10101,Input,0.00015447044223229056,0.027964871541144527,3.955704918700997e-05,0.027839323559340476,8.599093261701174e-05,0.1507080607462696,0.1378501618854488,0.01285789886082084,0.3157166448768404,1.1346940680641935e-05,3.4826702092783266e-05,0.00031334516512568106,2.0517806092838825e-10,1.612475518682072e-10,4.3930509060181926e-11,9.478444168305073e-10,9.147090681456582e-10,3.3135348684849885e-11,0.0014584020584317002,1.3100485703182847,6.284114096170163e-07,3.484988165212654e-10,2.4190564347992044e-09,0.0001324061299128829,0.013549318087914678
10102,Input,0.00015449530639258577,0.02796535678692136,3.955823161709369e-05,0.027839806909211277,8.599164609296178e-05,0.15073612764251998,0.137878073930066,0.012858053712454123,0.3157255495510624,1.1348871769530276e-05,3.482805432871071e-05,0.00031336329705577574,2.051825070096033e-10,1.6125186796963852e-10,4.393063903996566e-11,9.481645011843656e-10,9.150136811001177e-10,3.3150820084248544e-11,0.0014584412534757035,1.310056542502706,6.287220977531477e-07,3.485352793824979e-10,2.4191190748429005e-09,0.00013241145559249218,0.013549645368733636
10103,Input,0.00015271820937286435,0.027930675188443502,3.947372070046234e-05,0.027805260815368292,8.594065237471781e-05,0.14873012393729546,0.13588313781661768,0.01284698612067789,0.31508911261397965,1.1210852537529355e-05,3.473140700951354e-05,0.0003120673675512028,2.0486473566390362e-10,1.609433865691272e-10,4.392134909477728e-11,9.252873581581055e-10,8.93242313512716e-10,3.204504464539003e-11,0.0014556398962185394,1.3094867526924971,6.065165233751347e-07,3.4592919732472933e-10,2.414642051141084e-09,0.00013203081738676469,0.013526253878288083
10104,Input,0.0001527994632778614,0.027932260929276212,3.947758477873999e-05,0.027806840360545614,8.594298395183018e-05,0.14882184410376872,0.13597435194147317,0.012847492162295627,0.31511821231188497,1.121716316741636e-05,3.4735825998463e-05,0.0003121266211156839,2.0487926506913457e-10,1.6095749121177321e-10,4.392177385736221e-11,9.263333658804921e-10,8.942377620526496e-10,3.209560382784318e-11,0.0014557679822002894,1.3095128050951477,6.075318250783575e-07,3.460483547717265e-10,2.414846753334887e-09,0.00013204822124275183,0.013527323403430106
10105,Input,0.00015216414025733677,0.02791986204634689,3.944737161073301e-05,0.027794489921349513,8.592475338662018e-05,0.14810468554740208,0.135261150116652,0.012843535430750204,0.31489068222615885,1.1167820450394045e-05,3.470127399253617e-05,0.00031166331841577774,2.0476565987541376e-10,1.6084720723010339e-10,4.391845264531127e-11,9.181546477536135e-10,8.864543653877066e-10,3.1700282365907653e-11,0.0014547664798993801,1.3093091017636647,5.995931968381644e-07,3.451166645453054e-10,2.4132461900625203e-09,0.00013191214076323598,0.01351896080296456
10106,Input,0.00015228813207553377,0.02792228185483541,3.945326811615412e-05,0.02779690027539302,8.592831132621015e-05,0.1482446486692578,0.13540034102921794,0.012844307640039944,0.31493508777752766,1.1177450344165759e-05,3.470801728043668e-05,0.00031175373815861893,2.047878314543917e-10,1.608687306299543e-10,4.391910082443828e-11,9.197508344150616e-10,8.879733997577151e-10,3.177743465734705e-11,0.0014549619365209828,1.3093488572040115,6.011425267344408e-07,3.4529849640317656e-10,2.413558561476539e-09,0.00013193869869602165,0.01352059287673346
10107,Input,0.00015306956316528113,0.027937532164183734,3.9490429541189384e-05,0.027812091000186688,8.595073445582854e-05,0.14912673537809523,0.13627756105930536,0.01284917431878995,0.3152149439720859,1.1238140625940854e-05,3.4750515365303904e-05,0.0003123235886472281,2.0492756294130823e-10,1.610043771108685e-10,4.392318583044059e-11,9.298104488350549e-10,8.975467788756322e-10,3.226366995942332e-11,0.0014561937587737601,1.3095994070993615,6.109068367254604e-07,3.4644445158726237e-10,2.415527213424807e-09,0.00013210607421047034,0.013530878661733848
10108,Input,0.00015315193651112578,0.02793913975188106,3.9494346855149215e-05,0.027813692306870638,8.595309815524517e-05,0.1492197191798474,0.13637003184766833,0.012849687332179165,0.3152444445786059,1.1244538197826159e-05,3.475499523497947e-05,0.00031238365855229577,2.049422925191919e-10,1.610186760741828e-10,4.392361644500996e-11,9.308708674804791e-10,8.985559417811387e-10,3.2314925699341176e-11,0.0014563236094052219,1.3096258184278227,6.119361263127034e-07,3.4656525067491027e-10,2.415734735815341e-09,0.00013212371784062342,0.013531962921800074
10109,Input,0.00015146811740528586,0.027906278553257675,3.9414271825763246e-05,0.027780959500389387,8.590478104250224e-05,0.14731900845457008,0.13447980778816201,0.012839200666408167,0.3146414135327882,1.111376344707398e-05,3.46634208297633e-05,0.00031115575099553,2.0464120065012697e-10,1.607263865310612e-10,4.391481411906669e-11,9.091945211205666e-10,8.779273298949524e-10,3.1267191225614804e-11,0.0014536692923816997,1.3090859362727714,5.90896098683987e-07,3.440959590653023e-10,2.411492706279105e-09,0.00013176305892549165,0.013509799225564476
10110,Input,0.00015166064909344544,0.027910035977094932,3.9423427785886066e-05,0.02778470224357847,8.591030573054689e-05,0.14753634002146554,0.1346959402859549,0.012840399735510693,0.31471036546762565,1.1128716528104857e-05,3.4673891654549246e-05,0.0003112961527251386,2.046756281760062e-10,1.6075980757906652e-10,4.3915820596940537e-11,9.116730436312871e-10,8.802860520742299e-10,3.138699155705771e-11,0.0014539727929986466,1.3091476676204907,5.933018630705718e-07,3.443783034575872e-10,2.4119777495388004e-09,0.0001318042974822578,0.013512333472763179
10111,Input,0.0001524013214006178,0.02792449084324796,3.945865090252401e-05,0.027799100633056663,8.593155928875103e-05,0.14837241783604535,0.1355274052636188,0.012845012572426614,0.31497562460054157,1.1186241256279973e-05,3.471417307537061e-05,0.0003118362802957962,2.0480807138713122e-10,1.6088837885463611e-10,4.391969253249601e-11,9.212079570989989e-10,8.893600918606376e-10,3.1847865238361994e-11,0.0014551403644479555,1.309385149045898,6.02556874937751e-07,3.4546448659164624e-10,2.4138437182719027e-09,0.00013196294283189568,0.013522082759945722
