turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
0,Input,9.23215772245486e-05,0.016014688551801225,2.3588129056737755e-05,0.01593859075393847,5.250966880600713e-05,0.08834184883340844,0.08107619516781067,0.00726565366559782,0.18642643457714048,6.57098807391672e-06,2.0403284129971678e-05,0.0001816643064853635,1.1904208224165323e-10,9.555720656376219e-11,2.3484875677891575e-11,5.839161347801825e-10,5.630829810929099e-10,2.083315368727293e-11,0.0008533194426420727,0.8014485793850331,4.0064647056050117e-07,1.965005843179337e-10,1.411980048598978e-09,7.663960395411881e-05,0.00823608863635397
1,Input,9.22461809595052e-05,0.01601321712792175,2.3584543542047962e-05,0.015937125079066083,5.250750531360711e-05,0.08825674082559645,0.08099155672079006,0.007265184104806433,0.18639943269291062,6.565132380906409e-06,2.0399183708434155e-05,0.00018160932454384877,1.1902860026946057e-10,9.554411873277954e-11,2.3484481536681565e-11,5.829455343459339e-10,5.621592950010645e-10,2.0786239344869883e-11,0.0008532005904511689,0.80142440511482,3.997043625311333e-07,1.9639001699866424e-10,1.411790103502069e-09,7.662345475195022e-05,0.008235096213884166
2,Input,9.122696788133618e-05,0.015993326295655322,2.353607425166998e-05,0.01591731196236301,5.247825904063386e-05,0.08710624358851206,0.07984740704613867,0.007258836542373438,0.18603441894154765,6.48597462827215e-06,2.0343753863804072e-05,0.00018086607401515624,1.1884634983078993e-10,9.536719632827159e-11,2.347915350251888e-11,5.698248757072947e-10,5.496728284050068e-10,2.0152047302288333e-11,0.0008515939364973105,0.8010976152885317,3.86968866627891e-07,1.9489535863922596e-10,1.4092224096409432e-09,7.640514847321418e-05,0.008221680563125994
3,Input,9.250903920251601e-05,0.016018347035821837,2.3597043923745993e-05,0.015942234943879134,5.251504801894815e-05,0.08855345766411274,0.08128663650308694,0.00726682116102586,0.1864935708818852,6.585547413075643e-06,2.0413479238860434e-05,0.00018180101118158302,1.1907560322804012e-10,9.55897475746717e-11,2.3485855653368934e-11,5.863293932766817e-10,5.653795938190006e-10,2.0949799457681514e-11,0.0008536149515347182,0.8015086852338765,4.0298888678685747e-07,1.967754940678647e-10,1.4124523197857706e-09,7.667975662453791e-05,0.008238556152205872
4,Input,9.167789610362001e-05,0.01600212655325186,2.3557518414243684e-05,0.015926077836432122,5.2491198405485755e-05,0.08761525557528221,0.08035361069468686,0.007261644880595399,0.18619591118054732,6.520996220361092e-06,2.0368277569235146e-05,0.00018119490872773366,1.1892698249542158e-10,9.544547172235335e-11,2.3481510773068785e-11,5.756298201314218e-10,5.551971886250324e-10,2.0432631506389794e-11,0.0008523047649067538,0.801242196199614,3.926034043418976e-07,1.9555663708176123e-10,1.410358428843372e-09,7.650173324463479e-05,0.008227616020271061
5,Input,9.034512654308935e-05,0.015976116392721014,2.3494137756930746e-05,0.015900169300320576,5.245295464349663e-05,0.08611081285382959,0.0788574683357153,0.007253344518114316,0.1857186025319322,6.417485928498979e-06,2.0295794973347904e-05,0.00018022300039795698,1.1868866349985893e-10,9.521411990755157e-11,2.3474543592307873e-11,5.584726477773281e-10,5.388693147444256e-10,1.9603333032902886e-11,0.0008502038308333255,0.8008148709008154,3.7594988836798906e-07,1.9360215356156287e-10,1.4070007951039993e-09,7.621626598621342e-05,0.008210073102751474
6,Input,9.12643404720562e-05,0.015994055654362835,2.3537851527678876e-05,0.01591803847138972,5.2479331445426664e-05,0.08714843011779336,0.07988936082246775,0.00725906929532565,0.18604780329642795,6.488877191391562e-06,2.0345786370000674e-05,0.00018089332758794313,1.1885303260517625e-10,9.537368373385388e-11,2.347934887132288e-11,5.703059851198228e-10,5.501306832104728e-10,2.017530190935035e-11,0.0008516528494193798,0.8011095980453183,3.8743585286090054e-07,1.9495016489743635e-10,1.4093165620550178e-09,7.641315334617113e-05,0.008222172489334328
7,Input,9.218574616364992e-05,0.01601203769016417,2.3581669529015762e-05,0.015935950249495255,5.250577113988572e-05,0.08818852146387066,0.08092371374124385,0.007264807722626854,0.1863777890032637,6.56043867875199e-06,2.0395896965537835e-05,0.0001815652530980118,1.1901779363020963e-10,9.553362802222285e-11,2.3484165607987324e-11,5.821675377294292e-10,5.614189031479279e-10,2.074863458150155e-11,0.0008531053230279075,0.8014050279336767,3.989492043492829e-07,1.9630139041531203e-10,1.4116378506928773e-09,7.661051016197985e-05,0.008234300725548899
8,Input,9.173777346698326e-05,0.016003295112228116,2.3560365918238758e-05,0.01592724182972616,5.2492916583707125e-05,0.0876828457020073,0.08042082791086907,0.007262017791138262,0.18621735523527064,6.525646629209862e-06,2.037153399619745e-05,0.00018123857367172787,1.1893768945746232e-10,9.545586566973169e-11,2.348182378773118e-11,5.764006407396918e-10,5.559307513250306e-10,2.0469889414661494e-11,0.0008523991536117801,0.8012613946514306,3.9335159717040755e-07,1.9564444620000054e-10,1.4105092773181622e-09,7.651455843757661e-05,0.00822840417125971
9,Input,9.049666247914001e-05,0.015979073748695817,2.3501344139427652e-05,0.01590311510159608,5.245730296029702e-05,0.08628186803304537,0.07902757976348644,0.007254288269558961,0.18577287253853722,6.4292550515587505e-06,2.0304036246513523e-05,0.00018033350640204781,1.1871576037627382e-10,9.524042461532044e-11,2.3475335760953907e-11,5.604234187505373e-10,5.407257944581651e-10,1.9697624292372512e-11,0.0008504427070958288,0.8008634577991578,3.7784339359678185e-07,1.9382437839209614e-10,1.407382558153426e-09,7.624872362142491e-05,0.008212067732960715
