turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
3416,Input,5.8489895669785526e-05,0.010131980729259903,1.6012999190060002e-05,0.010076799856933227,3.916787313660718e-05,0.05608575822292897,0.05110468904755513,0.004981069175373854,0.12497209816875651,4.1672548692431226e-06,1.3414018281894777e-05,0.00011762754546854996,8.488813484620883e-11,6.883076684629994e-11,1.6057367999909298e-11,3.5302371359994433e-10,3.412043548802915e-10,1.1819358719653045e-11,0.0005545218841922023,0.5998743035989962,2.2802937445280194e-07,1.2744986793887987e-10,9.735472559359357e-10,5.127105513582503e-05,0.0055155481837684045
3417,Input,5.848652232902948e-05,0.010131914895572526,1.6012838768813308e-05,0.010076734280464959,3.916777633874743e-05,0.05608195036439309,0.05110090219786569,0.0049810481665274065,0.12497089006439603,4.1669928768503254e-06,1.3413834822951797e-05,0.00011762508549491528,8.488753164277105e-11,6.883018127732465e-11,1.605735036544681e-11,3.5298028749653173e-10,3.4116302779416014e-10,1.181725970237174e-11,0.0005545165665688521,0.5998732220062819,2.2798722314185502e-07,1.274449209929779e-10,9.73538757510497e-10,5.127033259656102e-05,0.005515503781314745
3420,Input,5.845200631571949e-05,0.010131241285464927,1.6011197339059664e-05,0.010076063302222544,3.9166785903313636e-05,0.056042988366358654,0.05106215516229015,0.004980833204068509,0.1249585287439124,4.164312171409987e-06,1.341195767155333e-05,0.00011759991505147171,8.48813596668598e-11,6.882418973718487e-11,1.605716992967532e-11,3.5253595172621314e-10,3.4074016916287335e-10,1.1795782563339978e-11,0.0005544621566614011,0.5998621551526128,2.2755593104452917e-07,1.2739430385615612e-10,9.734518016448542e-10,5.1262939576804995e-05,0.0055150494555314036
3422,Input,5.8474947885955073e-05,0.010131689010219698,1.6012288339217816e-05,0.010076509277669843,3.9167444210629265e-05,0.05606888502500222,0.05108790894300908,0.004980976081993156,0.12496674487535067,4.166093941268172e-06,1.3413205347530968e-05,0.0001176166449527768,8.488546196041232e-11,6.882817210147768e-11,1.6057289858935035e-11,3.52831285958223e-10,3.4102122830206954e-10,1.1810057656153608e-11,0.0005544983209977074,0.5998695108978565,2.2784259560958168e-07,1.2742794727230305e-10,9.735095981256101e-10,5.126785345490739e-05,0.005515351429770861
3423,Input,5.782645636661893e-05,0.010102191882311751,1.597429436700158e-05,0.010047073816731651,3.914377121309173e-05,0.05534625748470251,0.05037211450946555,0.004974142975236973,0.12463255048419299,4.115359593916922e-06,1.33656952353881e-05,0.00011703109882620755,8.471769465108925e-11,6.868867744025127e-11,1.6029017210838373e-11,3.449647234273861e-10,3.3352905907182274e-10,1.1435664355563489e-11,0.0005529809471372568,0.5996438811754823,2.2035504626230718e-07,1.263870050478952e-10,9.712344887528895e-10,5.108452359514991e-05,0.005504212953761439
3424,Input,5.633241476957573e-05,0.0096688443516103,1.573153468103601e-05,0.009614133466680375,3.897935024888404e-05,0.05388526715385343,0.04898749364121667,0.00489777351263677,0.12165072742955077,3.9904706228820956e-06,1.2990635353096263e-05,0.00011323821407913554,8.320716040216299e-11,6.778313575204244e-11,1.5424024650120967e-11,3.37291714409084e-10,3.2608676783713693e-10,1.120494657194722e-11,0.0005387430730195311,0.5987399469505053,2.1646136411411756e-07,1.2203744394301237e-10,9.520776640758762e-10,4.969822196801691e-05,0.005422086248054828
3428,Input,5.638883503445144e-05,0.009669945442293992,1.573421778063514e-05,0.009615230255287531,3.898096922582137e-05,0.05394895487553346,0.049050829982835505,0.0048981248926979705,0.12167093338351298,3.994852534247101e-06,1.2993703765956179e-05,0.00011327935797004123,8.321724918363938e-11,6.779292959117048e-11,1.5424319592469295e-11,3.3801803067365325e-10,3.2677797732787154e-10,1.124005334578179e-11,0.0005388320120682757,0.5987580369544041,2.1716635904361283e-07,1.2212018328608444e-10,9.522198031151678e-10,4.971030668154163e-05,0.005422828894107425
3430,Input,5.64303110964613e-05,0.009670754883823131,1.5736190199687007e-05,0.009616036534243902,3.8982159379536404e-05,0.053995773441513024,0.04909739023983266,0.0048983832016803825,0.12168578732653065,3.998073795754771e-06,1.2995959439202841e-05,0.00011330960395655494,8.32246657196489e-11,6.78001293070861e-11,1.5424536412563205e-11,3.3855196539541343e-10,3.272861041110881e-10,1.1265861284325448e-11,0.0005388973935674399,0.5987713354053263,2.1768461987554625e-07,1.2218100721400246e-10,9.523242933656244e-10,4.9719190481159135e-05,0.005423374833297832
3432,Input,5.636855397955883e-05,0.009669549639816873,1.5733253302882826e-05,0.00961483599925211,3.898038726187263e-05,0.053926061431445176,0.049028062847234516,0.0048979985842106735,0.12166367007019163,3.99327739479811e-06,1.299260078195243e-05,0.0001132645682218578,8.321362262975182e-11,6.778940905844339e-11,1.5424213571308817e-11,3.37756946113636e-10,3.265295123897014e-10,1.1227433723934747e-11,0.0005388000416807977,0.5987515342489863,2.1691293873628873e-07,1.2209044146969417e-10,9.521687092455342e-10,4.970596266190797e-05,0.005422561939576252
3434,Input,5.7848255812877994e-05,0.010102617317520863,1.5975331052767724e-05,0.010047497589720877,3.914439674721175e-05,0.055370864903139555,0.05039658616301781,0.004974278740121762,0.1246403575834415,4.117052660078944e-06,1.3366880797018975e-05,0.00011704699584549066,8.472159271590866e-11,6.869246154637365e-11,1.6029131169535414e-11,3.4524535472912555e-10,3.3379612595249437e-10,1.1449228776631373e-11,0.0005530153110669142,0.5996508707220343,2.2062743950810805e-07,1.264189735589751e-10,9.712894078915213e-10,5.1089192840564106e-05,0.0055044998945042506
