turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
3418,Input,0.00012870125674088807,0.025514926317117468,2.9639130540616753e-05,0.025435731137310784,4.955604926605468e-05,0.14166558670329932,0.13128495905816312,0.010380627645136226,0.2900504930592238,1.177879848058561e-05,3.133829016520193e-05,0.00028032101254199515,2.1376031693416737e-10,1.4532919032540568e-10,6.843112660876227e-11,7.093739924818378e-10,6.883228324745902e-10,2.1051160007246873e-11,0.0010534094350763425,0.6541941973149301,3.388147182088551e-07,4.0052639532282257e-10,2.3377810663765045e-09,0.00012549626292206707,0.010749019568475609
3419,Input,0.0001293877013358855,0.025678322843597754,2.9780003507131007e-05,0.025598879273979365,4.966356611124414e-05,0.1425019829517873,0.13206511177828845,0.010436871173498908,0.2917702121226337,1.1854409883356689e-05,3.152490877876213e-05,0.00028200732062248676,2.1509624536384204e-10,1.4611847969350405e-10,6.897776567033852e-11,7.12414052597151e-10,6.913001394297583e-10,2.111391316739189e-11,0.0010586574911293336,0.6547473316840945,3.3929766992790314e-07,4.033124645579884e-10,2.351935262597761e-09,0.00012626716435805023,0.01080324877122277
3421,Input,0.000127272812687836,0.02518704906254457,2.935474266269262e-05,0.025108354898450463,4.9339421431404297e-05,0.13993008335829465,0.12966228876030456,0.010267794597990147,0.2865911589073183,1.1623260975593755e-05,3.096203159004974e-05,0.00027690788357537493,2.1107852604004236e-10,1.4374096797281045e-10,6.733755806723245e-11,7.025786965833333e-10,6.816876111852178e-10,2.089108539811497e-11,0.0010428257481125617,0.6530701160460947,3.371546334008134e-07,3.94872786606225e-10,2.3093327150933107e-09,0.00012394256069786573,0.010639829907999719
3425,Input,0.00012934166628720935,0.025677424429467077,2.9777814282728725e-05,0.02559798437004672,4.9662245137613835e-05,0.14245001815910024,0.13201343368752058,0.010436584471579717,0.2917537254564288,1.185083454560478e-05,3.1522405165287856e-05,0.00028197375004239915,2.150880136132933e-10,1.4611048859558953e-10,6.897752501770437e-11,7.118214285698194e-10,6.907361601109532e-10,2.1085268458865643e-11,0.001058584922993626,0.6547325714873483,3.3872244264091195e-07,4.03244954954938e-10,2.3518192869353465e-09,0.00012625730406447356,0.010802642823213561
3426,Input,0.00012668007526483893,0.025025481313265385,2.9218325997051535e-05,0.024947028393759067,4.923459350925809e-05,0.13919946464032568,0.12898732997131418,0.01021213466901157,0.2849049994666351,1.1554927392642831e-05,3.078050923564865e-05,0.0002752899104747059,2.0975935384473074e-10,1.42967944975842e-10,6.67914088688893e-11,7.007449591125629e-10,6.798583188091952e-10,2.0886640303367056e-11,0.0010377254089615844,0.6525470269649233,3.3784259219172384e-07,3.922241373188303e-10,2.29541459446355e-09,0.00012319173049570842,0.010586834149681425
3427,Input,0.00013006836861042647,0.02584160662062985,2.9920601729699347e-05,0.02576191510172365,4.977091717648557e-05,0.14333185770701218,0.13283877898575477,0.01049307872125746,0.29348786213742384,1.1929572587309649e-05,3.171121319308162e-05,0.0002836894156521691,2.1643114072279756e-10,1.4690676619238041e-10,6.952437453041776e-11,7.153797394031142e-10,6.942066679378674e-10,2.1173071465246135e-11,0.0010638964400044905,0.6552986136736253,3.3970843159898013e-07,4.060900614525805e-10,2.366074904070273e-09,0.00012703682834392903,0.010857401928523473
3429,Input,0.00012724798534774086,0.025186564535346057,2.9353561983615637e-05,0.02510787226435042,4.9338709012008224e-05,0.13990205802502975,0.12963441804936024,0.010267639975669578,0.28658226741962195,1.1621332746366797e-05,3.0960681356586754e-05,0.0002768897784960279,2.11074086542826e-10,1.4373665826289675e-10,6.733742827992985e-11,7.02259086227784e-10,6.81383449318178e-10,2.0875636909605475e-11,0.00104278661111071,0.6530621556673174,3.368444053485612e-07,3.9483637774117934e-10,2.3092701678103962e-09,0.00012393724290481227,0.010639503111835988
3431,Input,0.00012730233892534144,0.025187625292824832,2.9356146800659524e-05,0.02510892887733871,4.934026868544808e-05,0.13996341285082095,0.12969543436622263,0.010267978484598346,0.28660173322484456,1.1625554147310971e-05,3.09636373727781e-05,0.0002769294152767495,2.110838057699172e-10,1.4374609335144563e-10,6.733771241847215e-11,7.029587973605805e-10,6.820493396463374e-10,2.0909457714242392e-11,0.0010428722923016493,0.6530795830302141,3.3752357615168975e-07,3.949160863230905e-10,2.309407100263997e-09,0.00012394888495250193,0.010640218554592922
3433,Input,0.00012732234582807464,0.025188015744983423,2.935709824094116e-05,0.02510931780395986,4.934084278261306e-05,0.1399859968293924,0.12971789374370046,0.010268103085691984,0.2866088983552537,1.162710799457947e-05,3.096472544703242e-05,0.0002769440051023242,2.1108738330132614e-10,1.4374956629485082e-10,6.73378170064759e-11,7.032163526714384e-10,6.822944459229533e-10,2.0921906748484445e-11,0.0010429038305246855,0.6530859978343495,3.37773570812524e-07,3.9494542610007836e-10,2.30945750346469e-09,0.00012395317025120763,0.01064048190052673
3435,Input,0.0001300444237682226,0.02584113931614748,2.9919463018339875e-05,0.025761449623048795,4.977023008032639e-05,0.14330482854560517,0.13281189895055512,0.010492929595050101,0.2934792867012704,1.1927712897774026e-05,3.170991095421569e-05,0.00028367195412522375,2.164268590293136e-10,1.4690260967285666e-10,6.952424935645755e-11,7.15071489727514e-10,6.939133176279758e-10,2.1158172099537602e-11,0.0010638586941432713,0.6552909362497461,3.394092307288943e-07,4.060549467554361e-10,2.3660145800559434e-09,0.00012703169957399031,0.01085708674846216
3439,Input,0.00012936605102721523,0.025677900318938778,2.9778973913692506e-05,0.025598458400168448,4.9662944856620454e-05,0.14247754388125267,0.13204080754382383,0.010436736337428884,0.2917624584344647,1.1852728400048744e-05,3.152373132797044e-05,0.0002819915323602379,2.150923739670389e-10,1.4611472147576692e-10,6.897765249127254e-11,7.121353411916863e-10,6.910348996464426e-10,2.1100441545243154e-11,0.001058623362295263,0.6547403899554599,3.390271402189732e-07,4.032807147546042e-10,2.351880719180045e-09,0.0001262625270565668,0.010802963793541313
3464,Input,0.00012679008179992826,0.025027628186754882,2.922355742393069e-05,0.02494916687918916,4.923775014178467e-05,0.1393236410440556,0.12911082126477177,0.01021281977928387,0.2849443964277882,1.1563471111595496e-05,3.078649193473181e-05,0.00027537013159540784,2.0977902464733922e-10,1.4298704070873286e-10,6.679198393860694e-11,7.021611087144887e-10,6.812060182796618e-10,2.0955090434826276e-11,0.0010378988196431559,0.6525822983102998,3.3921717009596046e-07,3.923854600007954e-10,2.295691732886205e-09,0.0001232152929065785,0.010588282138612775
30895,Input,0.00010646097353931819,0.02055250799339453,2.464147548134625e-05,0.020486187468798298,4.1679049114882936e-05,0.11463117733493586,0.1061272995639121,0.008503877771023776,0.23666533897996353,9.381254836323602e-06,2.542287095544346e-05,0.0002264986837453208,1.7566999721462986e-10,1.2358212533901874e-10,5.208787187561168e-11,6.014479948093615e-10,5.832448787359917e-10,1.8203116073369765e-11,0.000871915531300879,0.5560946933710157,3.089215902505166e-07,3.156399096467934e-10,1.8791046688852684e-09,0.00010029260066379998,0.008974082262425614
30896,Input,0.00010661233876756752,0.020555462017857684,2.4648673745731093e-05,0.02048912995157872,4.168339253323073e-05,0.11480203981759195,0.10629721935827553,0.00850482045931642,0.23671954785048593,9.393010701266694e-06,2.543110294467512e-05,0.00022660906526252435,1.7569706356595404e-10,1.236084004140883e-10,5.2088663151866304e-11,6.033965682059932e-10,5.850992670938563e-10,1.8297301112136853e-11,0.0008721541384652223,0.5561432255353934,3.108129624135639e-07,3.158618841372871e-10,1.8794860018721464e-09,0.00010032502173493509,0.008976074645650103
