turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
2472,Input,8.563095005565165e-05,0.012231553743737984,2.066967157132625e-05,0.012159317244722035,5.156682744461247e-05,0.08531649245305262,0.07939484291804876,0.0059216495350039,0.14768782049470305,6.220383394326233e-06,1.633129111036546e-05,0.00015428248459509587,1.18213239566799e-10,1.0044293140543323e-10,1.7770308161366423e-11,6.494540699270212e-10,6.253527164121538e-10,2.4101353514867772e-11,0.0007470003740428393,0.8352760034885444,4.918734561529449e-07,1.7407166264666648e-10,1.2006234616088769e-09,6.522277926685697e-05,0.006068663216262473
2473,Input,8.555201293274904e-05,0.01223001321692874,2.0665917669013264e-05,0.01215778273691226,5.156456234745704e-05,0.08522738749183488,0.07930622956974949,0.005921157922085426,0.1476595505127242,6.214252698613799e-06,1.6326998119476944e-05,0.0001542249205198426,1.1819912443662207e-10,1.0042922892664051e-10,1.7769895509982194e-11,6.484378868876686e-10,6.243856509678178e-10,2.4052235919851176e-11,0.0007468759401601368,0.8352506939146842,4.908871036159994e-07,1.7395590272055921e-10,1.2004245960622767e-09,6.520587164476685e-05,0.006067624186352634
2474,Input,8.54716662516266e-05,0.012228445181361298,2.066209673431212e-05,0.012156220827823886,5.1562256803092536e-05,0.08513669140814029,0.07921603387756834,0.005920657530571981,0.14763077572155026,6.20801252877542e-06,1.6322628469845722e-05,0.00015416632853892904,1.1818475725649658e-10,1.0041528176650011e-10,1.776947548999712e-11,6.474035581507878e-10,6.234013169051687e-10,2.4002241245619546e-11,0.0007467492842962455,0.8352249323948125,4.898831380564993e-07,1.7383807570169044e-10,1.2002221794289948e-09,6.51886621079778e-05,0.006066566602775064
2475,Input,8.538562068489704e-05,0.012226765927070173,2.0658004785681475e-05,0.012154548134555018,5.155978772946445e-05,0.08503956236917273,0.07911944072223356,0.005920121646939208,0.14759995997185782,6.2013297518052804e-06,1.6317948886648563e-05,0.00015410358070500378,1.1816937103096827e-10,1.0040034535242819e-10,1.7769025678540712e-11,6.462958658216676e-10,6.22347165307509e-10,2.3948700514159017e-11,0.000746613644896635,0.8351973436438371,4.888079625254465e-07,1.737118913655985e-10,1.200005405647142e-09,6.517023192112403e-05,0.006065434006169645
2476,Input,8.5290660371669e-05,0.012224912693724915,2.0653488890924214e-05,0.012152702141986391,5.15570628475906e-05,0.08493237028113773,0.07901284003802743,0.005919530243110331,0.1475659515580095,6.193954606072183e-06,1.6312784475475864e-05,0.00015403433188498436,1.1815239071633849e-10,1.0038386145194753e-10,1.7768529264391585e-11,6.450734110859792e-10,6.211837983879998e-10,2.388961269797983e-11,0.0007464639525840308,0.8351668965617414,4.876213934890102e-07,1.735726337078807e-10,1.1997661730288124e-09,6.514989227571283e-05,0.006064184066951397
2477,Input,8.521689353048233e-05,0.012223473069473327,2.0649980864465047e-05,0.012151268142497418,5.155494611143412e-05,0.084849101582186,0.07893003075196979,0.005919070830216258,0.14753953322409633,6.188225463175238e-06,1.6308772670061072e-05,0.00015398053818385717,1.1813920010933626e-10,1.003710564681858e-10,1.7768143641151132e-11,6.441237867505068e-10,6.202800745071909e-10,2.384371224331631e-11,0.0007463476689632702,0.8351432447329593,4.866996457957645e-07,1.734644559105284e-10,1.1995803329240034e-09,6.513409208148601e-05,0.006063213092186562
2478,Input,8.514591675243774e-05,0.01222208789573769,2.0646605521135154e-05,0.012149888380780533,5.155290943601274e-05,0.08476898233255457,0.07885035353898366,0.005918628793570948,0.1475141141036311,6.182713012089618e-06,1.6304912602069765e-05,0.00015392877910723568,1.1812650840706996e-10,1.0035873580383715e-10,1.776777260323347e-11,6.432100797976225e-10,6.194105319285754e-10,2.3799547869047466e-11,0.0007462357835062248,0.8351204874808553,4.858127611144611e-07,1.7336036969254056e-10,1.1994015217988605e-09,6.511888949370189e-05,0.006062278842335786
2479,Input,8.507143127609649e-05,0.012220634246694204,2.0643063319549387e-05,0.012148440411295992,5.1550772078653146e-05,0.08468490243153183,0.0787667375264466,0.005918164905085258,0.1474874384028147,6.176928055992255e-06,1.630086171372343e-05,0.00015387446134890195,1.181131892974269e-10,1.0034580607416875e-10,1.7767383223258792e-11,6.422512042400544e-10,6.184980039870215e-10,2.3753200253033374e-11,0.0007461183670526569,0.8350966052364102,4.848820337728348e-07,1.7325113802915746e-10,1.1992138712433084e-09,6.51029353742854e-05,0.00606129840835338
2480,Input,8.4995447298818e-05,0.012219151353097807,2.06394498558511e-05,0.012146963311520069,5.1548591721877234e-05,0.0845991310086625,0.07868143932458474,0.0059176916840777815,0.14746022603948858,6.171026717983146e-06,1.6296729329489808e-05,0.00015381905082435704,1.1809960223355618e-10,1.0033261622383016e-10,1.7766986009726677e-11,6.412730379966735e-10,6.175671177823154e-10,2.370592021435855e-11,0.0007459985884115274,0.8350722425282902,4.839325820320067e-07,1.7313970884005534e-10,1.1990224455285282e-09,6.508666028943953e-05,0.006060298249972154
2481,Input,8.491516407473161e-05,0.012217584555949778,2.063563193888744e-05,0.01214540263601247,5.1546287998409494e-05,0.08450850655586255,0.07859131486809383,0.005917191687768743,0.14743147397436795,6.1647914765708916e-06,1.629236313096584e-05,0.0001537605051188265,1.180852464004914e-10,1.0031868007902269e-10,1.7766566321469352e-11,6.402395261626818e-10,6.165835611372422e-10,2.365596502543981e-11,0.0007458720325792195,0.8350465013546189,4.829294093948499e-07,1.7302197487983283e-10,1.1988201887619565e-09,6.506946434457714e-05,0.006059241501663923
