turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
5911,Input,0.00010604732050792568,0.01988041364613198,2.6699001243388977e-05,0.019799212163361054,5.45024815275179e-05,0.10466581257127854,0.09564509657407039,0.00902071599720818,0.2185919442608635,7.964963905611379e-06,2.419490004474075e-05,0.0002188917594617175,1.4360965514342172e-10,1.1094099105087246e-10,3.266866409254983e-11,6.353158285702991e-10,6.134577088735552e-10,2.1858119696744285e-11,0.001001632992005203,0.8138672629891865,4.1045678658594947e-07,2.511457678782253e-10,1.668755100681211e-09,9.190834024892275e-05,0.009164887353487283
5912,Input,0.00010641918590521541,0.019887670923733315,2.6716685525811193e-05,0.019806441086019283,5.4513152188198565e-05,0.10508557770313662,0.09606254576348572,0.009023031939650959,0.21872512149982773,7.993845039264786e-06,2.4215123922982286e-05,0.00021916293843209984,1.4367615020047516e-10,1.1100554214588e-10,3.2670608054595766e-11,6.401029717515129e-10,6.180134636621707e-10,2.2089508089342465e-11,0.0010022191883793036,0.8139864940226043,4.151034010625305e-07,2.5169110205470917e-10,1.6696919376569503e-09,9.198799047399526e-05,0.009169782126136837
5913,Input,0.00010543229550158544,0.01986841089665516,2.6669753359643628e-05,0.019787256309882588,5.448483341290274e-05,0.10397156660280707,0.09495468092303616,0.009016885679770915,0.21837168356213935,7.917197645190914e-06,2.4161451945147777e-05,0.00021844325887738169,1.4349967953616177e-10,1.1083423054584668e-10,3.26654489903157e-11,6.273984133258698e-10,6.059229849165164e-10,2.147542840935388e-11,0.0010006634868258409,0.8136700678007713,4.0277179056656094e-07,2.502438443387026e-10,1.6672056740038613e-09,9.177660742156839e-05,0.00915679193078389
5914,Input,0.00010520054202604768,0.019863888025424572,2.665873218385365e-05,0.019782751109983246,5.4478183257451195e-05,0.1037099611161802,0.09469451877508551,0.009015442341094687,0.2182886850142308,7.899198382149958e-06,2.4148848045711346e-05,0.00021827425506757068,1.4345823857206417e-10,1.1079400109527989e-10,3.266423747678488e-11,6.244149760976979e-10,6.030837532653478e-10,2.133122283235059e-11,0.0010002981582740702,0.8135957607891807,3.998759334572944e-07,2.499039818732762e-10,1.6666218196664525e-09,9.172696791054517e-05,0.009153741416856624
5915,Input,0.00010481471941887945,0.019856358360697778,2.664038415792876e-05,0.019775250864444555,5.446711209526716e-05,0.10327444095551937,0.09426140148104753,0.00901303947447188,0.21815050923899826,7.86923325400051e-06,2.41278651054134e-05,0.00021799289794715922,1.4338924775855168e-10,1.107270272064672e-10,3.266222055208507e-11,6.194481572526941e-10,5.983570075047217e-10,2.109114974797286e-11,0.0009996899602136525,0.8134720546618994,3.9505491777547415e-07,2.4933817968979145e-10,1.6656498204239687e-09,9.164432817659036e-05,0.009148662928890522
5916,Input,0.00010487600922324042,0.01985755448469216,2.6643298831404224e-05,0.019776442315057315,5.446887080341879e-05,0.10334362545882797,0.0943302042772646,0.00901342118156338,0.21817245913533423,7.873993360867783e-06,2.4131198347898124e-05,0.00021803759289904952,1.434002072860245e-10,1.1073766633560676e-10,3.2662540950418316e-11,6.202371606694221e-10,5.99107874140192e-10,2.112928652923054e-11,0.0009997865754441835,0.8134917059840316,3.958207596480606e-07,2.4942806012833627e-10,1.6658042272479962e-09,9.165745590169623e-05,0.009149469671492196
5917,Input,0.00010475952523568928,0.019855281198067676,2.6637759365380942e-05,0.01977417791040158,5.44655283006881e-05,0.10321213724629158,0.09419944151596041,0.009012695730331187,0.21813074238524494,7.864946566954001e-06,2.4124863372935426e-05,0.00021795264816356093,1.4337937821869398e-10,1.1071744619949817e-10,3.26619320191964e-11,6.187376247330586e-10,5.976808188455858e-10,2.105680588747326e-11,0.0009996029539197262,0.8134543577760146,3.9436524325210147e-07,2.492572383743152e-10,1.665510770240663e-09,9.163250607874036e-05,0.009147936421449218
5918,Input,0.00010455052209739108,0.019851202319513137,2.6627820095549078e-05,0.019770114968452435,5.4459530965130046e-05,0.10297621255271718,0.09396481847411857,0.009011394078598635,0.2180558914819442,7.84871422155385e-06,2.4113496749281145e-05,0.0002178002348003831,1.4334200535284848e-10,1.106811659176126e-10,3.2660839435236466e-11,6.160470599328685e-10,5.951203035218226e-10,2.0926756411046407e-11,0.0009992734882508607,0.8133873451947191,3.9175366117120515e-07,2.48950738885153e-10,1.6649842306125328e-09,9.158773948543094e-05,0.009145185364608576
5919,Input,0.0001043498914762493,0.019847286837934144,2.661827898580164e-05,0.01976621478506975,5.445377387857142e-05,0.10274973883466718,0.09373959426455795,0.009010144570109246,0.21798403905262412,7.833132132372136e-06,2.410258546449082e-05,0.00021765392700819563,1.4330612961744334e-10,1.1064633899803061e-10,3.2659790619413337e-11,6.134642772460643e-10,5.926623606218615e-10,2.0801916624203318e-11,0.0009989572207424985,0.8133230170897964,3.892466972121023e-07,2.4865651754766043e-10,1.6644787837876304e-09,9.154476621002848e-05,0.009142544513149458
5920,Input,0.00010449156323570084,0.019850051685898228,2.662501627145299e-05,0.01976896883048347,5.445783914327246e-05,0.10290965923925487,0.09389863235085777,0.00901102688839712,0.21803477637290308,7.844135148650212e-06,2.411029027497949e-05,0.00021775723966417358,1.433314626325511e-10,1.10670931410422e-10,3.26605312221297e-11,6.152880634928402e-10,5.943979934643815e-10,2.0890070028459162e-11,0.0009991805474416436,0.8133684412416767,3.9101694540725026e-07,2.4886427673373854e-10,1.6648356961103135e-09,9.157511102729024e-05,0.00914440930363126
