turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
13203,Input,0.00010497170099278088,0.017874372341716287,2.5177312047496827e-05,0.01779564292342876,5.355210624001036e-05,0.10380551666889583,0.09562357796094703,0.008181938707948847,0.2022480279145766,7.76916065890163e-06,2.2422990124090142e-05,0.0002034246393750137,1.3000838762660576e-10,1.0185442140701811e-10,2.8153966219588202e-11,6.941842103600204e-10,6.686338244092232e-10,2.555038595079772e-11,0.0009286882889500694,0.8134744693582288,4.879359341900225e-07,2.3202307749704965e-10,1.5438552716451763e-09,8.526078963869072e-05,0.008652426414328705
13204,Input,0.00010546976708380125,0.017884092535938954,2.520099787974347e-05,0.017805325139835328,5.3566398223864076e-05,0.10436773832193205,0.09618269770558333,0.008185040616348794,0.2024264017759449,7.807843239878053e-06,2.2450077419801032e-05,0.00020378784888772886,1.3009744924239519e-10,1.0194087933452577e-10,2.815656990786995e-11,7.005959757697611e-10,6.747356746909396e-10,2.5860301078822032e-11,0.0009294734239444695,0.8136341640627521,4.941594793913151e-07,2.3275348280918874e-10,1.5451100448341597e-09,8.536747091783069e-05,0.008658982335631855
13205,Input,0.00010523873784909652,0.01787958379889997,2.51900111456615e-05,0.017800834018903824,5.355976885047033e-05,0.10410695036511833,0.09592334857694258,0.008183601788175818,0.2023436626025175,7.78990022540566e-06,2.243751290816064e-05,0.00020361937322300701,1.3005613778331703e-10,1.0190077560294e-10,2.8155362180377584e-11,6.976218619273912e-10,6.719053157761621e-10,2.5716546151229595e-11,0.0009291092370621131,0.813560089264171,4.91272671975738e-07,2.324146824304236e-10,1.544528015069827e-09,8.531798653268304e-05,0.008655941354708322
13206,Input,0.000103673507993282,0.01784903697293465,2.5115575699320825e-05,0.017770406542584445,5.351485465086915e-05,0.10234010429231123,0.09416625060729915,0.008173853685012132,0.20178310227057727,7.668335774952468e-06,2.2352387972485734e-05,0.0002024779456424765,1.2977625143378644e-10,1.0162907164266918e-10,2.8147179791117814e-11,6.77472153226594e-10,6.527295509352219e-10,2.4742602291372645e-11,0.0009266418602295281,0.8130582303264876,4.7171446688267893e-07,2.301192999058604e-10,1.5405847463087493e-09,8.498272836880308e-05,0.008635338619567213
13207,Input,0.00010347128630632956,0.017845090440318498,2.5105958925482687e-05,0.01776647542948425,5.3509051908749365e-05,0.1021118345643214,0.09393924029680574,0.008172594267515702,0.2017106800282194,7.652630114756446e-06,2.2341390157672817e-05,0.00020233047758210732,1.2974009119217925e-10,1.0159396853433431e-10,2.8146122657845495e-11,6.748688882365104e-10,6.502521157519271e-10,2.4616772484583815e-11,0.0009263230846173846,0.8129933920788568,4.691876218873654e-07,2.2982274529786207e-10,1.540075291126809e-09,8.493941430140745e-05,0.008632676825300644
13208,Input,0.00010350637475276244,0.01784577522195782,2.5107627577637473e-05,0.017767157535610038,5.351005877012562e-05,0.1021514427302087,0.09397862993517492,0.008172812795033823,0.2017232463558464,7.655355278534806e-06,2.2343298440813748e-05,0.00020235606546644753,1.2974636552763631e-10,1.0160005944157081e-10,2.8146306086066063e-11,6.753205931230225e-10,6.506819873103641e-10,2.4638605812659102e-11,0.0009263783968895716,0.813004642471498,4.696260667772209e-07,2.2987420189796258e-10,1.5401636891178004e-09,8.49469299311923e-05,0.008633138685880216
13209,Input,0.00010338202725967959,0.01784334847216365,2.510171415788344e-05,0.01776474026738129,5.350649062446095e-05,0.10201107811922154,0.09383903974858698,0.008172038370634611,0.20167871342559368,7.645697761074543e-06,2.2336535809555027e-05,0.00020226538635139784,1.297241303487053e-10,1.0157847430109138e-10,2.814565604761446e-11,6.737198277440679e-10,6.491585955369069e-10,2.456123220716163e-11,0.0009261823795937839,0.8129647729912742,4.680722925737148e-07,2.2969184844902005e-10,1.5398504216554078e-09,8.492029581604354e-05,0.008631501930450378
13210,Input,0.00010290062023249422,0.017833953394103208,2.5078820557427913e-05,0.017755381896874076,5.349267667168712e-05,0.1014676613729561,0.09329862115965115,0.008169040213305006,0.20150630572332878,7.60830901558985e-06,2.231035451607256e-05,0.00020191432528758707,1.2963804762099806e-10,1.0149490817481124e-10,2.81431394461874e-11,6.675225198354129e-10,6.43260836871117e-10,2.4261682964296462e-11,0.0009254235053993592,0.812810419674821,4.6205690937874486e-07,2.2898587336600056e-10,1.538637617488268e-09,8.481718275861397e-05,0.008625165288302055
13211,Input,0.00010283268529181596,0.01783262758447713,2.507558987050182e-05,0.017754061267324955,5.3490727281650774e-05,0.10139097577773962,0.09322235865680521,0.008168617120934458,0.20148197598494852,7.603032810501221e-06,2.2306659878231457e-05,0.00020186478443920384,1.29625899844439e-10,1.0148311553467312e-10,2.814278430976644e-11,6.666479714358997e-10,6.424285601022514e-10,2.4219411333649026e-11,0.0009253164149946305,0.81278863772565,4.6120803373416506e-07,2.2888624794992456e-10,1.5384664696352119e-09,8.480263170504795e-05,0.008624271077407455
13212,Input,0.00010244024175678712,0.017824968706567787,2.5056926982374e-05,0.017746432313453155,5.347946613224258e-05,0.1009479818519028,0.0927818088321023,0.008166173019800575,0.20134142903751698,7.572553464293718e-06,2.2285316859152652e-05,0.0002015785990760645,1.2955572511067188e-10,1.014149923371415e-10,2.814073277353094e-11,6.615959192513805e-10,6.376207007881033e-10,2.3975218463277918e-11,0.0009246977799214298,0.8126628087332762,4.5630428677519514e-07,2.283107362901918e-10,1.5374777903518353e-09,8.471857382786679e-05,0.00861910543979838
