turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
1117,Input,6.739673171179714e-05,0.011640227207023074,1.9521288518420575e-05,0.011570212386294743,5.0493532209907125e-05,0.06369450637931048,0.0578907687192263,0.005803737660084231,0.14164854958172027,4.6655393417774695e-06,1.5345555300020047e-05,0.00013742237883216702,1.0009131288930009e-10,8.395525577719541e-11,1.6136057112105236e-11,4.10190369439343e-10,3.964643369644319e-10,1.372603247491138e-11,0.000692877995705661,0.7946204332871445,2.7328954508945713e-07,1.4160639139792323e-10,1.1237592051044472e-09,5.976439079210569e-05,0.006226735518701348
1118,Input,0.00010015289436957548,0.017318284644953254,2.9041696117726086e-05,0.017214111316517164,7.513163231835701e-05,0.09462651762044787,0.0859912666936392,0.008635250926808736,0.21072787854076072,6.931945944144801e-06,2.2827190130306596e-05,0.00020438916150937824,1.4891398015771858e-10,1.249038719240834e-10,2.401010823363597e-11,6.086351969481165e-10,5.882945240587983e-10,2.0340672889318712e-11,0.0010308052171945745,1.1823696992476929,4.049747075127591e-07,2.1051557549935172e-10,1.6718388422179918e-09,8.890184462060286e-05,0.00926374534520919
1119,Input,6.664316491788277e-05,0.011625520693713583,1.9485452196717307e-05,0.011555563332871872,5.047190864499174e-05,0.06284387314772505,0.057044828630197886,0.005799044517527234,0.1413786725086715,4.607013156091915e-06,1.5304572613278917e-05,0.00013687284809126623,9.995656395239944e-11,8.382444618301694e-11,1.6132117769383058e-11,4.004894610854918e-10,3.872323257180557e-10,1.3257135367436339e-11,0.0006916900978118132,0.7943788175083102,2.638734111894128e-07,1.4050129872197112e-10,1.1218607514129404e-09,5.960298355932763e-05,0.006216816504565194
1120,Input,6.672888626566395e-05,0.011627193620589121,1.948952872692104e-05,0.011557229723447023,5.047436841517183e-05,0.06294063620531706,0.057141057823362,0.00579957838195513,0.14140937214488664,4.6136707524164516e-06,1.530923456384722e-05,0.00013693535949189803,9.997189220276356e-11,8.383932631681031e-11,1.6132565885953803e-11,4.0159297963953293e-10,3.882825052816476e-10,1.331047435788557e-11,0.0006918252261233437,0.7944063023051113,2.6494453546839945e-07,1.4062700759658015e-10,1.1220767083930651e-09,5.962134430139733e-05,0.006217944833556437
1121,Input,6.684596056215105e-05,0.011629478427607412,1.9495096265440493e-05,0.011559505603485176,5.047772785679063e-05,0.06307279076409097,0.0572724832545156,0.005800307509575418,0.14145130030403635,4.622763393003251e-06,1.5315601642727444e-05,0.00013702073470403393,9.999282682610078e-11,8.3859648923029e-11,1.613317790307232e-11,4.0310011481319613e-10,3.8971679250151855e-10,1.3383322311677858e-11,0.0006920097781913805,0.7944438397836144,2.664074280226875e-07,1.4079869502845077e-10,1.1223716525601137e-09,5.964642056322048e-05,0.006219485853690569
1122,Input,9.947191445033107e-05,0.01730499472781951,2.9009311708465242e-05,0.017200873324480528,7.511209163051253e-05,0.09385782113059499,0.08522681128216889,0.008631009848426201,0.21048399721677613,6.879057258598021e-06,2.2790155076569123e-05,0.0002038925639913041,1.4879221083227866e-10,1.247856624865134e-10,2.4006548345766056e-11,5.998687228402435e-10,5.799517808225095e-10,1.9916942017734448e-11,0.0010297317428611035,1.1821513569655122,3.9646557712825926e-07,2.0951693022025386e-10,1.6701232559528163e-09,8.875598484383147e-05,0.009254781774229191
1123,Input,6.696443551499035e-05,0.01163179056965619,1.950073041301442e-05,0.011561808711752991,5.0481127490179804e-05,0.06320652639683047,0.057405481036479855,0.005801045360350688,0.1414937300843293,4.631964816347481e-06,1.532204489622281e-05,0.0001371071313302358,1.0001401190760036e-10,8.388021466534459e-11,1.6133797242256313e-11,4.046252810877754e-10,3.9116823928216147e-10,1.345704180561419e-11,0.000692196538207995,0.7944818263539275,2.6788782236695197e-07,1.40972436498648e-10,1.1226701253874535e-09,5.967179683304252e-05,0.006221045310319343
1124,Input,6.693418350606061e-05,0.011631200175313503,1.949929176055132e-05,0.01156122062414279,5.048025941015797e-05,0.06317237764674533,0.057371520693038525,0.005800856953706859,0.14148289584416676,4.629615277187474e-06,1.5320399642457296e-05,0.00013708507036760427,1.000086023990136e-10,8.387496330203725e-11,1.6133639096976862e-11,4.042358372209314e-10,3.907976193332462e-10,1.343821788768546e-11,0.0006921488499367195,0.794472126666046,2.675098107970047e-07,1.4092807245053568e-10,1.1225939117876876e-09,5.966531712469184e-05,0.006220647110575612
1125,Input,6.707612990153233e-05,0.011633970383039078,1.950604210668364e-05,0.011563980008376863,5.0484332555527136e-05,0.06333260806303635,0.05753086708063459,0.005801740982401833,0.1415337315206444,4.64063962322536e-06,1.5328119389010125e-05,0.00013718858329904142,1.0003398452312143e-10,8.38996033877426e-11,1.6134381135379373e-11,4.060631589457619e-10,3.9253661676513977e-10,1.3526542180622333e-11,0.0006923726095630484,0.7945176388743487,2.692834906846858e-07,1.411362343855896e-10,1.1229515159982972e-09,5.9695720766520195e-05,0.006222515516023716
1126,Input,6.718587788898778e-05,0.011636112210745975,1.9511261238174705e-05,0.011566113467738755,5.04874817690411e-05,0.06345649261578357,0.05765406813331965,0.005802424482463981,0.1415730358873796,4.6491632619317175e-06,1.533408802699508e-05,0.00013726861587657247,1.000536090935723e-10,8.39186542400584e-11,1.6134954853514444e-11,4.0747598018061835e-10,3.938811487464296e-10,1.3594831434189038e-11,0.0006925456126786383,0.7945528273217148,2.7065483792753996e-07,1.4129717791191923e-10,1.1232280030643448e-09,5.9719227798811426e-05,0.006223960101756231
