turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
28050,Input,7.19792363728813e-05,0.01165086905304822,1.8866148838116015e-05,0.011586261027313376,4.5741876896723204e-05,0.06895500427661833,0.06324028624440788,0.0057147180322104675,0.1469314533489492,5.070000537743575e-06,1.5739839530649246e-05,0.0001378469954955222,9.855084685973288e-11,8.071248344645608e-11,1.7838363413277298e-11,4.6425046518088494e-10,4.4784648609799755e-10,1.6403979082887658e-11,0.0006461174258695443,0.7013376111274898,3.198190174983213e-07,1.5029313646894467e-10,1.1345934129029374e-09,5.965187030428571e-05,0.006587599973766243
28051,Input,7.176015713305917e-05,0.011548229843235915,1.8813943132007958e-05,0.011483709889966665,4.5706010137238114e-05,0.06876258272732803,0.06306554996970509,0.005697032757622974,0.14625755089126619,5.050831063571916e-06,1.5656424159570396e-05,0.00013702934195368113,9.820908388566415e-11,8.051719602946057e-11,1.7691887856204063e-11,4.642434950654824e-10,4.478057435369076e-10,1.643775152857508e-11,0.0006428802985502353,0.701163964094101,3.206771735282262e-07,1.4944654971547577e-10,1.13029547225892e-09,5.9345452818146066e-05,0.006569515776560241
28052,Input,7.182707769709565e-05,0.011549535856417003,1.8817125579643313e-05,0.01148501080041757,4.570793041978281e-05,0.06883812328472201,0.06314067375217006,0.005697449532551958,0.14628151734798214,5.056028486532443e-06,1.5660063630596183e-05,0.0001370781430784566,9.822105027661121e-11,8.052881258673791e-11,1.7692237689873792e-11,4.6510498506736234e-10,4.486255930907731e-10,1.6479391976589392e-11,0.0006429857899250093,0.7011854208041503,3.2151337411020887e-07,1.4954468756574272e-10,1.1304640646025034e-09,5.9359786601354546e-05,0.006570396635464904
28050,Assembly,7.093214497480814e-06,0.0016172479397873654,3.3007837083964254e-06,0.0016120355551012592,1.911600977710337e-06,0.008887302732981139,0.00859631021493622,0.00029099251804493053,0.022134318532269957,5.182105227600774e-07,1.4335178080301272e-06,1.5136186530292484e-05,6.436194597838233e-12,4.7958214253351775e-12,1.6403731725030548e-12,2.1264526422178817e-11,2.0477567850454856e-11,7.869585717239821e-13,0.00013501212621547606,0.00490012250256746,1.506335408070511e-08,4.7973970455778e-11,7.812469243747714e-11,5.743889464135816e-06,0.0009390857631800559
28051,Assembly,7.062284230312865e-06,0.0016093875907855298,3.2897454898928754e-06,0.0016041947348092893,1.9031104863477866e-06,0.00886285644010581,0.00857379614364479,0.00028906029646103015,0.022035424865314634,5.153114737412508e-07,1.425854032519129e-06,1.5058054617251658e-05,6.405749552716066e-12,4.7804273268832654e-12,1.625322225832799e-12,2.12544834914335e-11,2.0467548017426264e-11,7.869354740072543e-13,0.00013439006572532318,0.004879269190347522,1.510188902340296e-08,4.784755478191222e-11,7.76363760581542e-11,5.71020097746675e-06,0.0009322883354405159
28052,Assembly,7.065237046997487e-06,0.0016094845809206803,3.291509627209792e-06,0.0016042898216838868,1.9032496095841178e-06,0.008866018897299006,0.008576932210255182,0.00028908668704383836,0.022036688619104714,5.155337247741129e-07,1.426094362231096e-06,1.5060984890115818e-05,6.4062462871533325e-12,4.7808980122778305e-12,1.6253482748755024e-12,2.128891727286597e-11,2.0500318341379183e-11,7.885989314868113e-13,0.0001344005351801339,0.00488025125958005,1.5134952671523718e-08,4.784864110637756e-11,7.764937370978957e-11,5.71115896642073e-06,0.0009323472565110624
28050,Transport,1.0329667270221317e-05,0.001506418231022026,5.956640760361538e-07,0.0015034799438557386,2.3426230902547756e-06,0.008793248939542694,0.008293785679554341,0.000499463259988378,0.02007202482353159,1.312794976261132e-07,4.500575849914034e-06,4.863696624787186e-05,7.416246153043338e-13,3.6373489073716103e-13,3.7788972456717134e-13,9.051560615959655e-12,8.532177217829211e-12,5.193833981304741e-13,4.673648807133667e-05,0.01585407462681618,2.7092282199760867e-09,3.0095536295183705e-11,6.883116764530742e-11,1.4618823061841546e-05,0.00012010213865663203
28051,Transport,1.0328744046980818e-05,0.0015060449885601643,5.955509099785069e-07,0.0015031069965057964,2.342441144392616e-06,0.008790547064488414,0.008291189144307877,0.0004993579201805617,0.020066321560480358,1.3125197204466825e-07,4.500323018765897e-06,4.863438391190204e-05,7.414508945588524e-13,3.6364607456400996e-13,3.7780481999484106e-13,9.047490591170271e-12,8.528313428295975e-12,5.191771628743226e-13,4.6729347791749684e-05,0.01584832920596491,2.7081597829235927e-09,3.008707176542065e-11,6.8794240930758e-11,1.461731553981191e-05,0.00012007284725456979
28052,Transport,1.033027329752463e-05,0.001506663236902209,5.957383611253215e-07,0.0015037247560169237,2.3427425241634517e-06,0.008795022519302392,0.00829549011157505,0.0004995324077273665,0.020075768590992596,1.3129756612045283e-07,4.500741814734002e-06,4.863866135912492e-05,7.417386500364498e-13,3.6379319194053644e-13,3.7794545809591187e-13,9.05423228413191e-12,8.534713507914508e-12,5.195187762174314e-13,4.6741175133136216e-05,0.01585784606773334,2.709929569332643e-09,3.0101092628604586e-11,6.885540728341106e-11,1.4619812637786158e-05,0.00012012136628070314
28050,Disposal,-6.039843765809241e-08,-5.0268915472961734e-05,-7.143216804634326e-09,-5.025613916368917e-05,-5.633092467901707e-09,-0.00029043213134944356,-0.0002848635897755244,-5.5685415739189825e-06,-0.00017475775065609582,-1.7013325873252862e-09,-2.79637053230322e-08,-2.495253028278628e-07,-1.1913435932636143e-12,-5.920822381176782e-15,-1.1854227708824373e-12,-1.761164552504871e-13,-1.6651366521389627e-13,-9.602790036590913e-15,-2.0051614451262028e-07,-0.0002981150595130543,-1.7969495277550525e-11,-2.5088340841791885e-13,-5.231840542393736e-11,-8.688713789035916e-08,-1.861212144747053e-06
