turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
35409,Input,6.86464177369122e-05,0.0117320702202183,1.9491897849209575e-05,0.01166207080665655,5.050751571252949e-05,0.06576139114048747,0.059876159159204655,0.0058852319812828565,0.14091642674155455,4.831040319518546e-06,1.5408078114058752e-05,0.0001391619188575123,9.916575890817345e-11,8.250826651402513e-11,1.665749239414885e-11,4.2742963440655795e-10,4.127966905456213e-10,1.4632943860937044e-11,0.0006967293010586489,0.7910098667353743,2.891531034583696e-07,1.4424688482590014e-10,1.1279274213071089e-09,6.046057671397707e-05,0.006144242864435733
35410,Input,6.891496555605328e-05,0.011737311165159513,1.9504668802119353e-05,0.011667291274677385,5.051522167999909e-05,0.06606453042565234,0.06017762595400932,0.005886904471643071,0.14101260255501755,4.8518972357938235e-06,1.5422683071755604e-05,0.0001393577545594191,9.921377924748308e-11,8.255488299384224e-11,1.6658896253641383e-11,4.308867370856474e-10,4.160866928473708e-10,1.480004423827704e-11,0.0006971526310027645,0.791095971100641,2.925087213598195e-07,1.4464070556013682e-10,1.1286039712861045e-09,6.051809724262323e-05,0.006147777693246936
35409,Assembly,5.744990434925412e-06,0.0011325762433469617,7.943275082620604e-06,0.0010846377431951934,3.999522506914896e-05,0.009935814244801429,0.009659341060804445,0.00027647318399699636,0.013944073368956051,4.777859052331287e-07,1.1584847025763674e-06,1.2138054923946724e-05,6.367810151146168e-12,4.885708972135436e-12,1.4821011790107312e-12,1.963913056900691e-11,1.894598455984841e-11,6.931460091585078e-13,0.00010300887012241719,0.004211792707014667,1.7754767200974297e-08,1.5786858093874883e-11,7.177336782174181e-11,4.768540319845418e-06,0.0020960594452821488
35410,Assembly,5.756251863825416e-06,0.0011329019995064272,7.950346458612177e-06,0.001084955876826372,3.9995776221444555e-05,0.009948109336213696,0.009671544828579955,0.00027656450763375315,0.0139483079308246,4.786758363104983e-07,1.1591763536808255e-06,1.214685111238172e-05,6.369783341574913e-12,4.887588241642827e-12,1.4821950999320848e-12,1.9777175307610947e-11,1.907737062399868e-11,6.998046836122771e-13,0.00010305048905924434,0.004215677714927393,1.7887426720500006e-08,1.579020848904142e-11,7.180912981605645e-11,4.7715071723794396e-06,0.002096293822420334
35409,Transport,6.918014197860398e-06,0.0012854597857365872,4.683949640907892e-07,0.0012834542757060752,1.5371150664226113e-06,0.008109921813114518,0.007705060126315437,0.000404861686799092,0.01797413686947733,1.0622646682843582e-07,2.840948935370758e-06,3.052782342259415e-05,6.212181398837623e-13,3.0886942847661295e-13,3.1234871140714935e-13,9.842038022933022e-12,9.308946920198601e-12,5.330911027344821e-13,3.473522223100099e-05,0.015635123052791113,2.772228066729305e-09,2.6849382571983495e-11,8.177024895647699e-11,1.0023491355478298e-05,0.00010194553828038484
35410,Transport,6.918100368613018e-06,0.0012854946230136804,4.6840552665456644e-07,0.0012834890854383505,1.5371320486769463e-06,0.008110173997631436,0.007705302478746114,0.0004048715188853331,0.017974669194106903,1.062290359796068e-07,2.8409725338346665e-06,3.0528064449709014e-05,6.212343544315845e-13,3.0887771829878104e-13,3.123566361328036e-13,9.842417906241734e-12,9.309307554157364e-12,5.331103520844332e-13,3.473588868223286e-05,0.015635659312297108,2.7723277912822643e-09,2.6850172624560446e-11,8.177369557983408e-11,1.0023632062841572e-05,0.00010194827224769659
35409,Maintenance,2.4741778374474606e-08,7.0838738218066454e-06,3.3864191247545665e-09,7.0772309483521216e-06,3.256454329761582e-09,5.7634781920834136e-05,4.872086599307419e-05,8.913915927759962e-06,9.366608325421721e-05,9.348172074151843e-10,6.383229222840226e-09,6.668878530576247e-08,6.361103903443366e-15,2.943984402874691e-15,3.417119500568675e-15,7.928636254394065e-14,6.168375417967323e-14,1.7602608364267425e-14,1.4944770041749153e-07,3.3511642929975465e-05,7.056152039947382e-11,1.5567060970859972e-13,3.841556074547798e-13,2.965413610275182e-08,7.659238835578387e-07
35410,Maintenance,2.4741778374474606e-08,7.0838738218066454e-06,3.3864191247545665e-09,7.0772309483521216e-06,3.256454329761582e-09,5.7634781920834136e-05,4.872086599307419e-05,8.913915927759962e-06,9.366608325421721e-05,9.348172074151843e-10,6.383229222840226e-09,6.668878530576247e-08,6.361103903443366e-15,2.943984402874691e-15,3.417119500568675e-15,7.928636254394065e-14,6.168375417967323e-14,1.7602608364267425e-14,1.4944770041749153e-07,3.3511642929975465e-05,7.056152039947382e-11,1.5567060970859972e-13,3.841556074547798e-13,2.965413610275182e-08,7.659238835578387e-07
35409,Disposal,-6.119544288328927e-08,-6.556966587821594e-05,-6.6269984079406525e-09,-6.555729068793334e-05,-5.748191874661079e-09,-0.00026534406229454646,-0.00025995894298704345,-5.385119307503042e-06,-0.00017535816509601842,-2.683891942959481e-09,-2.6898865946837028e-08,-2.529269101062563e-07,-8.433628201173463e-13,-5.7833477692997234e-15,-8.375794723480466e-13,-1.681278445940429e-13,-1.5936290585077446e-13,-8.764938743268531e-15,-2.090308816671271e-07,-0.0002929825324594391,-1.9091238173182814e-11,-2.5763423290421446e-13,-3.733409125805082e-11,-8.642262831834768e-08,-2.0614083211169133e-06
35410,Disposal,-6.148677214388256e-08,-6.662888170610654e-05,-6.750191628905763e-09,-6.66163541657771e-05,-5.777348700552851e-09,-0.0002709348087544531,-0.00026550225446675066,-5.432554287702443e-06,-0.00017569090007624676,-2.6885796256202094e-09,-2.7205042587004077e-08,-2.542266348002567e-07,-8.901611042435175e-13,-5.9188353233261174e-15,-8.842422689201912e-13,-1.7238439768209986e-13,-1.634579334968264e-13,-8.926464185273542e-15,-2.097642024263224e-07,-0.0002933103095757529,-1.9212962137629737e-11,-2.5933496206568096e-13,-3.9353202330471914e-11,-8.692582607982956e-08,-2.0943730252661027e-06
