turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
597,Input,9.136937493052226e-05,0.012593092546106265,2.0991649499528683e-05,0.012520718576931088,5.1382319675643e-05,0.0908339884037456,0.08465219666048135,0.006181791743264295,0.15407297925277527,6.566649375216955e-06,1.7070034843901738e-05,0.00015850631704768071,1.0700789210248408e-10,8.95414582212405e-11,1.7466433881244118e-11,7.01906748910179e-10,6.742695177782664e-10,2.76372311319129e-11,0.0007471753196301657,0.8239009846150391,5.508434220009884e-07,1.8120388779765149e-10,1.2138885674105184e-09,6.655508600176452e-05,0.006662330319785236
598,Input,9.15670716945548e-05,0.012596950770904608,2.1001051087938338e-05,0.012524561727241357,5.1387992575305165e-05,0.09105715035650286,0.08487412737653321,0.006183022979969725,0.1541437809712947,6.582003604748618e-06,1.7080786571041935e-05,0.0001586504853551086,1.0704324322065599e-10,8.957577586060883e-11,1.7467467360047694e-11,7.044517631082839e-10,6.766915177438433e-10,2.776024536444099e-11,0.0007474869623027348,0.8239643720386897,5.533137261820765e-07,1.814938066844126e-10,1.214386622996974e-09,6.659743087134922e-05,0.006664932553605712
599,Input,9.130506389249047e-05,0.012591837460101415,2.0988591149470547e-05,0.012519468394678608,5.1380474273328455e-05,0.09076139350366587,0.08458000228345003,0.006181391220215894,0.15404994735321584,6.561654622550201e-06,1.7066537291797614e-05,0.00015845941889258268,1.0699639233355087e-10,8.953029464442943e-11,1.746609768912197e-11,7.010788521780964e-10,6.734816377506823e-10,2.7597214427414563e-11,0.0007470739418263054,0.8238803645961276,5.500398285435157e-07,1.811095767721581e-10,1.2137265492210997e-09,6.65413111555669e-05,0.006661483809428757
600,Input,9.23886921739675e-05,0.012612985411248919,2.1040123743548972e-05,0.012540533718567727,5.141156893763412e-05,0.09198460322356615,0.08579646326913747,0.006188139954428754,0.15443803030915235,6.645815217905535e-06,1.7125470353554376e-05,0.00015924964353781674,1.0719016116745346e-10,8.971839870751323e-11,1.7471762459940772e-11,7.150287485020109e-10,6.867572605120326e-10,2.8271487989978774e-11,0.0007487821377867377,0.8242278078397927,5.635802194931495e-07,1.8269869891366654e-10,1.2164565236942388e-09,6.677341459176629e-05,0.0066757473416452886
601,Input,9.203467734946758e-05,0.012606076503146399,2.102328835584219e-05,0.012533651804292221,5.140141049832867e-05,0.09158498798490992,0.08539905280124885,0.006185935183661139,0.1543112459478675,6.618320458951924e-06,1.7106217277687228e-05,0.00015899148191184226,1.0712685805798305e-10,8.965694624450668e-11,1.7469911813476914e-11,7.104714015009053e-10,6.824201946174615e-10,2.8051206883444023e-11,0.0007482240804681158,0.8241143002274202,5.591566554282091e-07,1.8217954229358624e-10,1.2155646574975755e-09,6.669758779891074e-05,0.006671087531689516
602,Input,9.16125738126909e-05,0.012597838784430923,2.1003214968508545e-05,0.01252544627120589,5.138929825651783e-05,0.09110851357222133,0.08492520720937334,0.006183306362848035,0.15416007677753146,6.585537552152651e-06,1.708326120111944e-05,0.00015868366730114683,1.070513796753075e-10,8.95836744485717e-11,1.7467705226736315e-11,7.050375265489095e-10,6.772489680850192e-10,2.7788558463890574e-11,0.000747558690344278,0.8239789613621588,5.538822942779178e-07,1.8156053475403906e-10,1.2145012560525236e-09,6.66071770159952e-05,0.0066655314867814595
603,Input,9.224580923039447e-05,0.012610196925970207,2.1033328859308922e-05,0.01253775612819283,5.1407468918059734e-05,0.0918233156230356,0.08563606553003465,0.006187250093000986,0.15438685922397252,6.634718134336585e-06,1.7117699672886925e-05,0.00015914544763842483,1.0716461157463278e-10,8.96935960489901e-11,1.7471015525643197e-11,7.131893702914472e-10,6.850067893492447e-10,2.818258094220282e-11,0.0007485569018168039,0.8241819953464976,5.617948370432044e-07,1.8248916354701267e-10,1.2160965600468616e-09,6.674281034975409e-05,0.00667386660864516
604,Input,9.291682749246821e-05,0.012623292432674845,2.1065239535977054e-05,0.012550800469382256,5.142672375660429e-05,0.0925807673012812,0.08638933817015429,0.006191429131126992,0.15462717295062978,6.686833142218671e-06,1.715419296247217e-05,0.00015963478072169397,1.072845996077913e-10,8.981007626979745e-11,1.7474523337994402e-11,7.218276047740531e-10,6.932274914714941e-10,2.8600113302559262e-11,0.0007496146729217516,0.8243971436270646,5.701794923333356e-07,1.8347320022808234e-10,1.2177870500034126e-09,6.688653642911366e-05,0.006682699056784963
605,Input,9.348744806202689e-05,0.012634428590834485,2.1092375740048603e-05,0.012561893117406504,5.1443097687923386e-05,0.09322488912699416,0.08702990622505286,0.006194982901941366,0.15483153095894112,6.731150707270219e-06,1.7185226129324964e-05,0.00016005089983269402,1.0738663504213186e-10,8.990912873035787e-11,1.7477506311774524e-11,7.291733873839221e-10,7.002182128755184e-10,2.8955174508404028e-11,0.0007505141804083328,0.8245801014410847,5.773096362468882e-07,1.8431000542870872e-10,1.2192246090034603e-09,6.700875822530017e-05,0.006690209994821964
606,Input,9.332152504523564e-05,0.012631190458429371,2.1084485171281873e-05,0.012558667636723588,5.143833653449476e-05,0.09303759367673371,0.08684364412761207,0.006193949549121713,0.15477210846516265,6.718264203553955e-06,1.7176202415600828e-05,0.00015992990219972224,1.0735696554196211e-10,8.98803266086792e-11,1.7476638933283437e-11,7.270374068806874e-10,6.981854758050691e-10,2.8851931075618463e-11,0.0007502526248252328,0.8245269016195795,5.752363583957107e-07,1.840666821929868e-10,1.2188066007176954e-09,6.697321900673223e-05,0.006688025991011876
