turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
9972,Input,0.00013671117623545865,0.024518729513491124,3.436884107529767e-05,0.024411357391023607,7.300328139219999e-05,0.13307369889302778,0.12196311676250403,0.01111058213052385,0.27744016017678214,1.0006138881724011e-05,3.0543798817889666e-05,0.00027404781492182265,1.7799283102308186e-10,1.3975366089894792e-10,3.823917012413472e-11,8.49421009363136e-10,8.194064660385168e-10,3.00145433246193e-11,0.0012655158414777734,1.1078169620467666,5.69751200492501e-07,3.0659091663705683e-10,2.1045648504133574e-09,0.00011527426538867345,0.011964198172996467
9973,Input,0.000137153739972316,0.02452736653085833,3.43898874597407e-05,0.02441996066266005,7.30159807385226e-05,0.13357326897056526,0.12245993059504189,0.0111133383755235,0.27759865681822804,1.00405108413833e-05,3.0567867621261945e-05,0.00027437054992046525,1.7807196799346577e-10,1.398304843249321e-10,3.824148366853446e-11,8.551182750689268e-10,8.248283522321507e-10,3.028992283677617e-11,0.0012662134843876678,1.107958861056686,5.752812204445561e-07,3.0723992870631554e-10,2.10567979704682e-09,0.00011536905856251146,0.01197002353047969
9974,Input,0.00013640868626199303,0.02451282615780098,3.4354455982843135e-05,0.024405477100361964,7.29946014561541e-05,0.1327322453872083,0.1216235471355643,0.0111086982516441,0.2773318285606271,9.982645829086824e-06,3.052734791808225e-05,0.00027382722725716435,1.7793874132237216e-10,1.3970115249359934e-10,3.8237588828773606e-11,8.4552695838551e-10,8.157006355009947e-10,2.982632288451544e-11,0.0012650390062386259,1.1077199748239768,5.659714611030068e-07,3.0614732032027986e-10,2.10380279028623e-09,0.00011520947475570704,0.01196021657196643
9975,Input,0.0001367212140529973,0.024518925410256246,3.436931842974245e-05,0.024411552522399564,7.300356942691822e-05,0.13308502967516933,0.12197438503006952,0.01111064464509993,0.2774437550496441,1.0006918474426195e-05,3.054434472401912e-05,0.00027405513489578323,1.779946259339684e-10,1.397554033361801e-10,3.823922259778906e-11,8.495502294253806e-10,8.195294401997382e-10,3.0020789225642606e-11,0.0012655316647629943,1.1078201804676444,5.69876627242686e-07,3.0660563692294794e-10,2.1045901385920764e-09,0.00011527641539895143,0.011964330298316832
9976,Input,0.0001358785080777662,0.024502479268068447,3.432924304070789e-05,0.02439517063701047,7.297938801724473e-05,0.13213377530359122,0.12102837895141957,0.011105396352171776,0.27714195430169086,9.941469244466754e-06,3.0498514208029453e-05,0.00027344060033471966,1.7784393758729595e-10,1.3960912031585336e-10,3.823481727144337e-11,8.38701803644177e-10,8.092053772187918e-10,2.94964264253854e-11,0.0012642032507973124,1.1075499840335947,5.593466617967233e-07,3.053698231785929e-10,2.1024671174047676e-09,0.00011509591535488624,0.011953237967088276
9977,Input,0.00013559695592178463,0.024496984532150278,3.4315853658745356e-05,0.02438969736960059,7.297130889092029e-05,0.13181595660160414,0.12071231372956978,0.011103642872034483,0.27704112120715896,9.919602339111824e-06,3.0483202010221552e-05,0.0002732352813555286,1.777935918793813e-10,1.3956024644884984e-10,3.8233345430532205e-11,8.350772919432055e-10,8.057560576741216e-10,2.9321234269083834e-11,0.0012637594212445776,1.1074597100937142,5.558285492392454e-07,3.0495693180919276e-10,2.101757805723054e-09,0.00011503560941419632,0.01194953196539367
9978,Input,0.00013627712478615433,0.024510258620840667,3.4348199497804266e-05,0.024402919595037265,7.2990826305582e-05,0.13258373756514313,0.12147585866589909,0.011107878899244144,0.2772847120656965,9.972428033629032e-06,3.052019295478632e-05,0.00027373128742027734,1.7791521617616147e-10,1.396783150976273e-10,3.823690107853495e-11,8.438333250801207e-10,8.140888646077687e-10,2.9744460472352236e-11,0.001264831617057836,1.1076777923277386,5.643275451521064e-07,3.05954387690338e-10,2.1034713487053598e-09,0.00011518129547030483,0.011958484860658083
9979,Input,0.00013715939616835784,0.024527476916457912,3.439015644354228e-05,0.024420070616971542,7.301614304281104e-05,0.1335796537374584,0.12246628013568225,0.011113373601776262,0.277600682488208,1.0040950133006144e-05,3.056817523315833e-05,0.0002743746746425558,1.780729794053402e-10,1.3983146616849897e-10,3.8241513236841994e-11,8.551910891046254e-10,8.248976467736456e-10,3.029344233097994e-11,0.0012662224006289612,1.1079606746002537,5.753518969920433e-07,3.072482234200292e-10,2.1056940466479734e-09,0.00011537027006885507,0.0119700979815953
9980,Input,0.0001380739584751191,0.02454532539763485,3.443364900360126e-05,0.02443784936226457,7.304238636665323e-05,0.1346120202068532,0.12349295079772786,0.011119069409125456,0.27792821735368073,1.0111980125063625e-05,3.061791365160502e-05,0.0002750416096854653,1.7823651673150784e-10,1.3999022253245302e-10,3.824629419905559e-11,8.669645446143782e-10,8.361020278181897e-10,3.0862516796188904e-11,0.0012676640865508567,1.1082539102972417,5.867797375098887e-07,3.085894132323534e-10,2.107998094811196e-09,0.0001155661610931539,0.011982136140020564
9981,Input,0.00013765364741122546,0.024537122660591236,3.441366085839267e-05,0.02442967867417305,7.303032555977034e-05,0.13413756915428787,0.12302111740262446,0.011116451751663549,0.2777776901268846,1.0079336431671362e-05,3.059505505857187e-05,0.0002747351022169627,1.7816135886961077e-10,1.3991726188697257e-10,3.824409698263898e-11,8.615537447438557e-10,8.309527610243512e-10,3.060098371950469e-11,0.0012670015220222811,1.1081191461517468,5.815277740618518e-07,3.079730343233017e-10,2.106939209126113e-09,0.00011547613424181577,0.011976603688991656
