turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
27818,Input,8.487523054059893e-05,0.016278530942442148,2.111254277832299e-05,0.0162158988953909,4.1519504272903016e-05,0.08476309618475932,0.0773760793771131,0.007387016807646225,0.17599408725689636,6.493533749884209e-06,1.954831192280159e-05,0.00017737096807666328,1.144224594108369e-10,8.671002285583972e-11,2.7712436554997592e-11,5.017800530006228e-10,4.846181116913438e-10,1.716194130927926e-11,0.0008010996614311148,0.629810509557932,3.1727134281269326e-07,2.0758703447613686e-10,1.341928313993232e-09,7.443791023649591e-05,0.0072814171544709995
27819,Input,8.511362158575537e-05,0.016283183351633694,2.1123879607724705e-05,0.016220533127132845,4.1526344893113216e-05,0.0850321942219341,0.07764369273745729,0.00738850148447682,0.17607946293696536,6.512048523474651e-06,1.9561276806079934e-05,0.00017754481226503103,1.1446508727098263e-10,8.675140450392258e-11,2.7713682767060486e-11,5.048489378030287e-10,4.875386607756361e-10,1.73102770273928e-11,0.0008014754532291883,0.6298869447704544,3.20250139144873e-07,2.0793663082266176e-10,1.3425288902969578e-09,7.448897145526047e-05,0.0072845550370926005
27820,Input,8.534558829756134e-05,0.016287710384356058,2.1134910924093556e-05,0.016225042472264577,4.153300116736979e-05,0.08529404041165112,0.07790409426048282,0.007389946151168313,0.17616253785180042,6.530064347629406e-06,1.957389230235855e-05,0.00017771397157517114,1.1450656636489259e-10,8.679167096958867e-11,2.7714895395304353e-11,5.078351200904474e-10,4.903805048025652e-10,1.7454615287882392e-11,0.0008018411179195945,0.6299613201518927,3.2314866073095845e-07,2.082768059953892e-10,1.3431132818384789e-09,7.453865663957538e-05,0.007287608357796356
27821,Input,8.567000865048202e-05,0.016294041730530846,2.115033892892105e-05,0.01623134908120725,4.1542310394657815e-05,0.08566024913452161,0.07826828252414923,0.007391966610372386,0.17627872345869117,6.5552606354283685e-06,1.9591535884591163e-05,0.00017795055174078293,1.1456457754322214e-10,8.684798620939424e-11,2.771659133382835e-11,5.120114879150692e-10,4.943550062945422e-10,1.7656481620527377e-11,0.0008023525234871805,0.6300653389022857,3.272024294315838e-07,2.0875256283451444e-10,1.3439305909629998e-09,7.460814456266952e-05,0.007291878623010619
27822,Input,8.585547280186112e-05,0.01629766122522291,2.1159158788085387e-05,0.016234954434154753,4.1547632280055644e-05,0.08586960279992314,0.07847648113639735,0.007393121663525821,0.1763451442759749,6.569664812270137e-06,1.960162234179583e-05,0.00017808579954275747,1.1459774128853755e-10,8.688018042306244e-11,2.7717560865475526e-11,5.143990277456234e-10,4.966271434762213e-10,1.77718842694024e-11,0.0008026448830717411,0.6301248041888975,3.2951988197480484e-07,2.090245428062912e-10,1.3443978290441776e-09,7.464786931659364e-05,0.0072943198419631195
27823,Input,8.617781489196624e-05,0.016303952012286013,2.117448795987586e-05,0.016241220642454434,4.155688187168658e-05,0.08623346556032667,0.07883833638082058,0.00739512917950609,0.17646058558854402,6.594699690627457e-06,1.961915289782477e-05,0.00017832086415684278,1.1465538084260332e-10,8.693613490292251e-11,2.771924593968124e-11,5.185486414228071e-10,5.005761839926868e-10,1.7972457430120677e-11,0.0008031530125342209,0.630228156586828,3.3354768190781886e-07,2.0949725190892544e-10,1.345209902420858e-09,7.471691209447603e-05,0.0072985627515157305
27824,Input,8.635683925755643e-05,0.01630744582894107,2.1183001571157335e-05,0.01624470080840217,4.1562018967723774e-05,0.0864355499354137,0.07903930580912961,0.007396244126284103,0.17652470010656693,6.608603717911284e-06,1.962888912764973e-05,0.00017845141581205974,1.1468739305855736e-10,8.696721125182751e-11,2.7720181806730288e-11,5.20853279814151e-10,5.027694268078578e-10,1.808385300629351e-11,0.000803435220652399,0.6302855570878476,3.35784666620231e-07,2.0975978804617094e-10,1.3456609168106495e-09,7.475525750417709e-05,0.007300919205153744
27825,Input,9.899697659080941e-05,0.016383049906941383,2.630816581937957e-05,0.016290030031538887,6.671170958310128e-05,0.09740557930402134,0.08919484873138868,0.008210730572632743,0.19181500209462887,7.198554029873981e-06,2.1340076919156783e-05,0.00019555353642722832,1.3268430382340043e-10,1.081397647688665e-10,2.4544539054534628e-11,6.514770686119602e-10,6.279635361792454e-10,2.3513532432715072e-11,0.0009524213275718997,1.0759842944135567,4.584049495091403e-07,2.0837113177111575e-10,1.5478331367528127e-09,8.426438123197018e-05,0.0082418416502563
27826,Input,9.865235788381704e-05,0.01637632437226813,2.6291777269686995e-05,0.016283330774233468,6.670182076496084e-05,0.09701657049052123,0.08880798617052708,0.008208584319994244,0.19169158279230286,7.171789025631446e-06,2.132133485059981e-05,0.00019530222682214595,1.3262268087931863e-10,1.080799433521427e-10,2.4542737527176625e-11,6.470406808616586e-10,6.237415829239289e-10,2.3299097937730053e-11,0.000951878081983688,1.0758737994740724,4.540987938827168e-07,2.0786575439492443e-10,1.5469649421060534e-09,8.419056700301476e-05,0.008237305519081405
27827,Input,9.816114026015917e-05,0.016366737831859872,2.6268417120421025e-05,0.016273781689441873,6.668772529756693e-05,0.09646207945137485,0.08825655438817512,0.008205525063199819,0.19151566159251893,7.133638334695503e-06,2.1294620008392503e-05,0.00019494401148297205,1.3253484387122686e-10,1.0799467423131238e-10,2.454016963991515e-11,6.407170779808196e-10,6.17723633801634e-10,2.2993444179185978e-11,0.0009511037426878533,1.0757163005905286,4.479608231603104e-07,2.0714539224177919e-10,1.5457274221960763e-09,8.40853526040169e-05,0.008230839742467657
