turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
8558,Input,5.7467978612658564e-05,0.010589128232995978,1.7103470239534962e-05,0.010528131965078822,4.389279767761348e-05,0.056245914854252746,0.0510007627448177,0.005245152109435083,0.12226405062695656,4.2286150318639444e-06,1.3408936291433794e-05,0.00012433571939115767,1.0019915605299395e-10,8.336817042998076e-11,1.6830985623013772e-11,3.387868706975951e-10,3.286504326773362e-10,1.0136438020258972e-11,0.0006295835255674588,0.6978819856105721,2.0696148919384118e-07,1.3252794002909495e-10,1.0142931993771076e-09,5.430227851591111e-05,0.004918867981740949
8559,Input,5.74688821399396e-05,0.010589145866119002,1.710351320731774e-05,0.01052814952930739,4.389282360428776e-05,0.056246934764282094,0.05100177702776479,0.005245157736517339,0.12226437420981608,4.2286852048145695e-06,1.3408985429713005e-05,0.00012433637827902294,1.0019931761709362e-10,8.336832727080483e-11,1.683099034628933e-11,3.3879850209566006e-10,3.286615018673368e-10,1.0137000228323374e-11,0.0006295849498581292,0.6978822753081139,2.0697277914707338e-07,1.325292650362328e-10,1.014295475624835e-09,5.4302472043332106e-05,0.004918879874648048
8560,Input,5.7258895863987357e-05,0.010585047800775571,1.7093527183783973e-05,0.010524067475534138,4.3886798057639395e-05,0.05600990029574613,0.050766050333849476,0.005243849961896674,0.12218917121256082,4.212376503479733e-06,1.3397565338173958e-05,0.00012418324797294398,1.0016176895163117e-10,8.333187632874875e-11,1.6829892622882977e-11,3.360952810473998e-10,3.2608894204008386e-10,1.0006339007315995e-11,0.000629253934403421,0.697814947503839,2.0434891234786462e-07,1.3222132379269698e-10,1.0137664591873185e-09,5.425749487077548e-05,0.0049161158770085695
8561,Input,5.7494513254410756e-05,0.010589646079675585,1.7104732110368166e-05,0.010528647788477256,4.3893559087953046e-05,0.05627586740556593,0.05103055004089743,0.005245317364668525,0.12227355355557323,4.230675859627096e-06,1.3410379376399189e-05,0.00012435506950246749,1.0020390084110833e-10,8.337277650570928e-11,1.6831124335399606e-11,3.391284596979585e-10,3.289755108430053e-10,1.0152948854953343e-11,0.0006296253539034548,0.6978904934007041,2.072930506980716e-07,1.325668526225056e-10,1.0143600478489274e-09,5.430796199763107e-05,0.004919217250695955
8562,Input,5.7417417838348864e-05,0.010588141495381837,1.7101065791530672e-05,0.010527149082751807,4.389134683849174e-05,0.05618884138022252,0.050944004158496876,0.005244837221725668,0.12224594314943502,4.224688201104478e-06,1.3406186546631266e-05,0.00012429884847275826,1.0019011503547287e-10,8.335939372375879e-11,1.6830721311714607e-11,3.38135985544694e-10,3.2803100830670013e-10,1.0104977237993915e-11,0.0006295038232268051,0.6978657743324718,2.063297110623805e-07,1.3245379352764166e-10,1.0141658220969397e-09,5.429144885258949e-05,0.0049182024627197245
8563,Input,5.754050396133609e-05,0.010590543628438314,1.7106919226071843e-05,0.010529541830423036,4.3894878789198824e-05,0.056327782144870706,0.051082178354439234,0.005245603790431497,0.12229002434153766,4.234247753552173e-06,1.3412880578349892e-05,0.00012438860774679477,1.0021212466269329e-10,8.338075990646084e-11,1.6831364756233006e-11,3.3972051289963163e-10,3.295389469272282e-10,1.018156597240355e-11,0.0006296978521402859,0.6979052393801749,2.0786772391624406e-07,1.3263429719914498e-10,1.0144759118015888e-09,5.431781279360333e-05,0.004919822615045616
8564,Input,5.761808098252467e-05,0.010592057611676206,1.7110608447930535e-05,0.010531049898369973,4.3897104858297355e-05,0.056415351810576955,0.051169264877811545,0.005246086932765429,0.12231780722632411,4.240272816205784e-06,1.3417099600184929e-05,0.00012444517998202981,1.002259965864796e-10,8.339422628892513e-11,1.6831770297555018e-11,3.407191869110035e-10,3.3048934964913295e-10,1.0229837261870673e-11,0.0006298201420034077,0.6979301128652401,2.0883708141046667e-07,1.327480625596014e-10,1.014671350856814e-09,5.4334429094133474e-05,0.004920843742271529
8565,Input,5.8072597111983247e-05,0.01060092789041094,1.7132223235585912e-05,0.010539885519997367,4.391014717798262e-05,0.05692841386045939,0.05167949624432626,0.005248917616133154,0.12248058441298139,4.275573065108199e-06,1.3441818433741317e-05,0.0001247766311385694,1.0030727082221206e-10,8.347312449797867e-11,1.6834146324233947e-11,3.465703196212459e-10,3.360576656268376e-10,1.0512653994408514e-11,0.0006305366262716422,0.6980758441653702,2.1451645153302837e-07,1.334146026059823e-10,1.015816409039829e-09,5.4431782363016034e-05,0.004926826426155185
8566,Input,5.7729748885550275e-05,0.010594236908210174,1.711591888216022e-05,0.010533220680164304,4.3900309163701384e-05,0.056541403581942325,0.05129462119206261,0.005246782389879745,0.12235779917802024,4.248945566226582e-06,1.3423172652667726e-05,0.00012452661263800678,1.0024596446635454e-10,8.341361041412215e-11,1.6832354052232953e-11,3.4215672383814317e-10,3.318574026802871e-10,1.0299321157856224e-11,0.0006299961716107176,0.6979659168942635,2.102324188055294e-07,1.3291182160892407e-10,1.0149526747479857e-09,5.435834735508001e-05,0.004922313599379898
8567,Input,5.810349987660175e-05,0.010601530984818539,1.713369283512683e-05,0.010540486258051996,4.391103393140937e-05,0.05696329718964089,0.05171418711401919,0.005249110075621725,0.12249165171017615,4.277973145572022e-06,1.3443499078817537e-05,0.0001247991666580135,1.0031279669558288e-10,8.347848882418224e-11,1.6834307871401207e-11,3.46968140875932e-10,3.364362580393565e-10,1.0531882836575685e-11,0.0006305853403727688,0.6980857525047526,2.149025945688937e-07,1.3345992097606227e-10,1.0158942620822424e-09,5.443840145738503e-05,0.004927233191635793
8568,Input,5.775778931719262e-05,0.010594784141692968,1.711725236173648e-05,0.01053376577554861,4.390111378261343e-05,0.05657305588294021,0.05132609885991036,0.005246957023029878,0.12236784137956068,4.251123342002075e-06,1.3424697629929682e-05,0.00012454706083092087,1.002509785120696e-10,8.341847787579024e-11,1.6832500636279926e-11,3.425176973573609e-10,3.3220092840669386e-10,1.03167689506672e-11,0.0006300403736243405,0.6979749074851239,2.105827957874927e-07,1.3295294241717722e-10,1.0150233167420236e-09,5.436435336345757e-05,0.004922682688676414
8569,Input,5.78363285098747e-05,0.010596316902546846,1.7120987340238714e-05,0.01053529254774542,4.390336746117925e-05,0.05666171165681026,0.05141426549913363,0.005247446157676661,0.12239596884962944,4.257223132241806e-06,1.3428968979406045e-05,0.00012460433471970267,1.0026502248641192e-10,8.343211127896673e-11,1.6832911207445745e-11,3.435287577126567e-10,3.331631187738619e-10,1.0365638938794929e-11,0.0006301641802229393,0.6980000894707982,2.1156417601903686e-07,1.3306811878549528e-10,1.0152211797867853e-09,5.43811757524718e-05,0.0049237164807287535
8570,Input,5.8147379050576196e-05,0.01060238732517387,1.7135779535612203e-05,0.010541339252595937,4.3912293042313054e-05,0.057012828410839336,0.05176344505988172,0.005249383350957645,0.12250736628668835,4.281381046111823e-06,1.3445885445170165e-05,0.0001248311650889144,1.0032064294370965e-10,8.348610568971671e-11,1.6834537253993494e-11,3.4753301163298544e-10,3.3697382555279416e-10,1.0559186080191471e-11,0.0006306545100585472,0.6980998214643723,2.1545088329512657e-07,1.335242690261324e-10,1.016004806469926e-09,5.444779998198166e-05,0.004927810762397204
8571,Input,5.789978285600895e-05,0.010597555269462036,1.712400494979888e-05,0.01053652607623147,4.390518828075872e-05,0.05673333951507874,0.05148549816974962,0.0052478413453291356,0.12241869393962178,4.262151349454136e-06,1.3432419940370598e-05,0.0001246506081411514,1.0027636906610778e-10,8.344312614497955e-11,1.6833242921128797e-11,3.443456259736697e-10,3.339405033957346e-10,1.040512257793529e-11,0.0006302642075658863,0.6980204348089758,2.123570647510845e-07,1.3316117348713099e-10,1.0153810397204152e-09,5.4394767102966524e-05,0.004924551714660754
8572,Input,5.7940746362803014e-05,0.010598354708029042,1.7125952993979462e-05,0.01053732239130833,4.390636372672513e-05,0.05677957950394596,0.05153148304177973,0.00524809646216625,0.12243336431974558,4.265332803074866e-06,1.3434647738331332e-05,0.00012468048035210895,1.0028369394963079e-10,8.345023688784021e-11,1.6833457061791132e-11,3.4487296240684425e-10,3.344423508211624e-10,1.0430611585682033e-11,0.000630328781089877,0.6980335689195519,2.1286892099011103e-07,1.3322124576168584e-10,1.0154842386953678e-09,5.440354111786462e-05,0.004925090907213078
