turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
11916,Input,0.00011593171573914143,0.016196578383643783,2.4378737630431246e-05,0.01611906352313211,5.313612288122767e-05,0.11636871537621855,0.10894166042927289,0.0074270549469457004,0.18999834901944831,8.513735429518299e-06,2.1310972934948543e-05,0.00019780211222499163,1.22867701357478e-10,9.910553013948865e-11,2.3762171217989873e-11,9.018999359830151e-10,8.655583665805508e-10,3.634156940246455e-11,0.0008840934276635323,0.8139115080576692,7.125593900111146e-07,2.3306703565386557e-10,1.455861766649477e-09,8.124927339185231e-05,0.008202470135358384
11917,Input,0.00011615331711490173,0.016200903127791672,2.4389276017015907e-05,0.016123371370052,5.314248172263734e-05,0.11661886107784587,0.10919042601853901,0.0074284350593068985,0.1900777117662635,8.530946224063202e-06,2.1323024713022538e-05,0.00019796371272170888,1.229073269753271e-10,9.914399731488266e-11,2.376332966044498e-11,9.047526819568275e-10,8.682732239890155e-10,3.6479457967812215e-11,0.0008844427527793219,0.8139825600061196,7.153283923655763e-07,2.333920102404733e-10,1.4564200448980046e-09,8.12967384143694e-05,0.008205387019696319
11918,Input,0.00011635086079572292,0.01620475836503761,2.4398670325461455e-05,0.016127211544482548,5.314815022958372e-05,0.11684185022884513,0.10941218488622058,0.0074296653426246025,0.1901484586606461,8.546288564301807e-06,2.133376811474109e-05,0.0001981077693947983,1.2294265071994674e-10,9.917828838095593e-11,2.376436233899138e-11,9.072957254653855e-10,8.706933485190767e-10,3.6602376946308964e-11,0.0008847541541365545,0.8140458983467694,7.177967837075801e-07,2.336817046333514e-10,1.4569177148233746e-09,8.133905049490645e-05,0.008207987238520181
11919,Input,0.00011650215254417874,0.0162077109554785,2.440586509547056e-05,0.01613015259884358,5.315249153943218e-05,0.11701262976682436,0.10958202219353234,0.007430607573292055,0.1902026412156358,8.558038722395719e-06,2.134199610777841e-05,0.00019821809732762722,1.2296970393199234e-10,9.920455070086955e-11,2.376515323112333e-11,9.092433529329388e-10,8.725468366697061e-10,3.669651626323305e-11,0.0008849926454697697,0.8140944069513544,7.196872377097155e-07,2.3390357136699824e-10,1.4572988626933048e-09,8.137145582733035e-05,0.008209978654548243
11920,Input,0.00011570288507723818,0.016192112553670812,2.436785545079998e-05,0.016114615141624218,5.312955659578057e-05,0.11611040918890704,0.10868477937763137,0.0074256298112757154,0.18991639722730858,8.495963168429762e-06,2.12985279925635e-05,0.00019763523984660125,1.228267830358763e-10,9.906580805212906e-11,2.3760974983747786e-11,8.989541250773306e-10,8.627549425692128e-10,3.6199182508118156e-11,0.0008837327065389844,0.8138381381864868,7.097000546870031e-07,2.3273145944410585e-10,1.4552852757287935e-09,8.120025992123384e-05,0.008199458093707219
11921,Input,0.00011551235549478976,0.016188394202672922,2.435879470201732e-05,0.016110911318612822,5.312408935806835e-05,0.11589533761762819,0.10847089440653047,0.007424443211097765,0.18984816231242693,8.481165582056503e-06,2.128816605218149e-05,0.00019749629813174338,1.2279271351623932e-10,9.90327345441662e-11,2.3759978972073654e-11,8.965013763190835e-10,8.604207483582466e-10,3.608062796083718e-11,0.0008834323619755909,0.813777048773012,7.073193074529923e-07,2.3245205110523483e-10,1.4548052763550662e-09,8.11594501975123e-05,0.008196950199732959
11922,Input,0.00011540123534311148,0.016186225595984295,2.4353510316432102e-05,0.016108751184897487,5.3120900770364344e-05,0.115769904153097,0.10834615298777012,0.0074237511653269155,0.18980836652851787,8.472535373449848e-06,2.128212278912421e-05,0.00019741526491773515,1.2277284358244206e-10,9.901344550162419e-11,2.375939808081844e-11,8.950708907716812e-10,8.590594058756991e-10,3.6011484895982275e-11,0.0008832571958254783,0.8137414203692543,7.059308144412971e-07,2.322890953237938e-10,1.4545253324086794e-09,8.113564925998016e-05,0.008195487552540686
11923,Input,0.00011527938710402409,0.016183847621311913,2.4347715750203636e-05,0.016106382501221015,5.311740434067953e-05,0.1156323607233507,0.10820936841730606,0.007422992306044667,0.1897647286633855,8.463071961946213e-06,2.127549607965027e-05,0.00019732640835764794,1.2275105530725154e-10,9.89922941997952e-11,2.375876110745691e-11,8.935022990953878e-10,8.575666326767068e-10,3.5935666418681506e-11,0.000883065118271438,0.8137023522237038,7.044082694671856e-07,2.321104069876296e-10,1.4542183612932225e-09,8.110955046256922e-05,0.00819388369417573
11924,Input,0.00011515096269626696,0.016181341306971637,2.434160845032245e-05,0.016103885979313167,5.31137192081335e-05,0.11548739405302087,0.10806520156201357,0.007422192491007341,0.1897187356557936,8.453097808632069e-06,2.12685117256215e-05,0.00019723275619500696,1.2272809111541466e-10,9.897000135887256e-11,2.3758089756542654e-11,8.918490502790779e-10,8.559932942728682e-10,3.5855756006210025e-11,0.0008828626742615303,0.8136611755641799,7.028035525008323e-07,2.319220748137971e-10,1.4538948228982785e-09,8.108204310894822e-05,0.00819219327532201
11925,Input,0.00011497472023722941,0.016177901781649576,2.433322713427874e-05,0.016100459892576503,5.310866193877846e-05,0.11528844992001983,0.10786735505034026,0.007421094869679626,0.18965561743007547,8.439409839673495e-06,2.1258926789624383e-05,0.00019710423321618776,1.226965763456771e-10,9.893940791350062e-11,2.3757168432177042e-11,8.895802242679162e-10,8.538341328328159e-10,3.57460914351005e-11,0.0008825848514492886,0.8136046670245947,7.006013288803482e-07,2.3166361829441877e-10,1.453450816939335e-09,8.10442935586217e-05,0.008189873439234881
11926,Input,0.00011489887667650332,0.016176421628404682,2.4329620348173973e-05,0.016098985522445246,5.3106485611249146e-05,0.11520283700066565,0.10778221447749256,0.007420622523173127,0.18962845535453865,8.43351940719431e-06,2.125480204193689e-05,0.00019704892508895215,1.2268301439037182e-10,9.892624243768646e-11,2.3756771952685926e-11,8.886038656520969e-10,8.529049668833034e-10,3.569889876879373e-11,0.0008824652941561912,0.81358034933817,6.996536317033755e-07,2.3155239502376328e-10,1.453259744974646e-09,8.102804854973903e-05,0.008188875129122157
