turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
18793,Input,0.00011475044387973056,0.015604146434702029,2.3894924957894177e-05,0.015527402090815096,5.2849418929031156e-05,0.11522812143191638,0.10803822578313953,0.007189895648776918,0.18482388913193146,8.39824963774465e-06,2.074555055843364e-05,0.0001928056413374532,1.190444393288855e-10,9.652483192289665e-11,2.2519607405989366e-11,9.078455621858959e-10,8.709830038298393e-10,3.686255835605711e-11,0.0008621764430528349,0.8484334755398316,7.240884477397928e-07,2.2652648139162726e-10,1.4181569742530688e-09,7.919427171480887e-05,0.008023496982949985
18794,Input,0.0001150259666661283,0.015609523502213429,2.3908027609563106e-05,0.015532758149560986,5.285732504286931e-05,0.11553913412523255,0.10834752254666062,0.007191611578572006,0.18492256291075473,8.419648268745297e-06,2.076053484932354e-05,0.00019300656346163246,1.1909370689595298e-10,9.657265916816097e-11,2.2521047727792494e-11,9.113924558678196e-10,8.743584570520336e-10,3.703399881578635e-11,0.0008626107681057858,0.8485218162856815,7.275312207894891e-07,2.2693053079476573e-10,1.418851096201057e-09,7.925328621873726e-05,0.008027123621537543
18795,Input,0.00011456183876382774,0.015600465641347464,2.388595572827451e-05,0.015523735678705379,5.2844006913799026e-05,0.11501522221643931,0.10782650118244522,0.007188721033994183,0.1847563434318649,8.38360151613988e-06,2.073529328005402e-05,0.0001926681030197928,1.190107139324546e-10,9.649209247780635e-11,2.2518621454648756e-11,9.054175877061069e-10,8.686723864231271e-10,3.67452012829801e-11,0.0008618791321551689,0.8483730031671913,7.217317475243424e-07,2.2624989524967608e-10,1.4176818231696952e-09,7.915387419452068e-05,0.008021014420254947
18796,Input,0.00011472691629912672,0.015603687273443752,2.3893806089660827e-05,0.015526944723547908,5.284874380617464e-05,0.11520156327929867,0.10801181415806349,0.00718974912123525,0.1848154631308914,8.396422355064106e-06,2.074427101231583e-05,0.00019278848409418664,1.19040232247974e-10,9.65207478346703e-11,2.2519484413304214e-11,9.075426840534348e-10,8.70694765427499e-10,3.684791862593616e-11,0.0008621393549490697,0.8484259319023498,7.23794460728822e-07,2.2649197860140598e-10,1.4180977014419387e-09,7.918923231855375e-05,0.008023187295200362
18797,Input,0.00011419874626884068,0.015593379574587056,2.3868688646492935e-05,0.0155166772979494,5.283358799115136e-05,0.1146053600185963,0.10741890029024107,0.007186459728355302,0.18462630805798108,8.355401734840786e-06,2.0715546515599585e-05,0.0001924033215971012,1.1894578760065332e-10,9.642906424686241e-11,2.25167233537914e-11,9.007433809253859e-10,8.642241092109862e-10,3.651927171440004e-11,0.0008613067650955397,0.848256584985454,7.171947541502847e-07,2.2571742638275704e-10,1.4167670876836924e-09,7.907610304625401e-05,0.008016235123158003
18798,Input,0.00013317752816895608,0.015963767058305794,2.477123602411259e-05,0.01588561763900614,5.337818327553254e-05,0.1360287861961095,0.12872412841320263,0.007304657782906956,0.19142323455553578,9.82939942494868e-06,2.174770647755912e-05,0.00020624340075556594,1.2233947573203406e-10,9.972353897478933e-11,2.2615936757245282e-11,1.145063360743487e-09,1.0967347895638901e-09,4.832857117959774e-11,0.0008912242922862402,0.8309733226514621,9.54342612939205e-07,2.535494819426435e-10,1.4645801532932089e-09,8.314118751220308e-05,0.008266048155625054
18799,Input,0.00013326067702111417,0.015965389780685298,2.4775190217741158e-05,0.015887234021239476,5.3380569228067596e-05,0.13612264539662772,0.12881746977055183,0.007305175626075977,0.19145301289639294,9.8358572269647e-06,2.1752228523100933e-05,0.00020630403619054064,1.2235434398196668e-10,9.973797255611887e-11,2.2616371425848322e-11,1.1461337627317748e-09,1.0977534532635728e-09,4.838030946820289e-11,0.0008913553654003319,0.8309999826301601,9.55381592803868e-07,2.536714182968935e-10,1.4647896294094585e-09,8.315899724883678e-05,0.00826714262348991
18800,Input,0.00013373004438908205,0.015974549894294074,2.479751126496796e-05,0.01589635834532573,5.339403770336717e-05,0.13665247166317707,0.12934437286162787,0.007308098801549292,0.19162110880039868,9.872310905595805e-06,2.1777755040409388e-05,0.0002066463174581828,1.2243827383975805e-10,9.981944875095698e-11,2.2618825088801582e-11,1.1521760802246843e-09,1.1035037130345118e-09,4.8672367190173464e-11,0.0008920952606721945,0.8311504756761474,9.612465353952727e-07,2.543597374278067e-10,1.4659721021770853e-09,8.32595315194971e-05,0.008273320790568821
18801,Input,0.00013380382256074239,0.01597598973966974,2.4801019830254607e-05,0.015897792565074825,5.339615476465108e-05,0.13673575315207326,0.12942719486706483,0.007308558285008479,0.19164753119212746,9.878040928480312e-06,2.1781767462031345e-05,0.00020670011942193998,1.2245146647281722e-10,9.983225570154459e-11,2.2619210771273173e-11,1.1531258504209984e-09,1.1044075757259227e-09,4.871827469507643e-11,0.0008922115621539411,0.8311741311378139,9.621684246675504e-07,2.544679318411028e-10,1.4661579708266497e-09,8.327533414060951e-05,0.008274291914473892
18802,Input,0.00013389973173053103,0.015977861490778452,2.4805580848455773e-05,0.015899657003056067,5.3398906873920834e-05,0.13684401631825152,0.1295348607200255,0.00730915559822607,0.1916818794227423,9.885489767687836e-06,2.1786983476713507e-05,0.00020677006018572994,1.224686164570952e-10,9.984890431143473e-11,2.2619712145661013e-11,1.1543605200931856e-09,1.1055825671683135e-09,4.8777952924872904e-11,0.0008923627502128,0.8312048824513577,9.633668500656237e-07,2.546085809805633e-10,1.4663995938903316e-09,8.329587702256588e-05,0.008275554343257384
