turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
6873,Input,8.29697081101643e-05,0.012880820606760464,1.9444096469764416e-05,0.01281687649471696,4.4500015573727506e-05,0.08261611983442993,0.07653226743177832,0.0060838524026516376,0.14873495832548472,6.106832783656343e-06,1.663025632258675e-05,0.00015339795317920746,9.974393867799867e-11,8.025333515002705e-11,1.9490603527972096e-11,5.906981459341446e-10,5.680697989670447e-10,2.2628346967100267e-11,0.0007100040272740027,0.6820200161448643,4.415495041608128e-07,1.7419310601931916e-10,1.16395518252015e-09,6.421861177078041e-05,0.006354627731291934
6874,Input,8.328531360521099e-05,0.01288697992329476,1.9459105278728865e-05,0.01282301174615695,4.4509071859069304e-05,0.08297237826344478,0.07688656029968834,0.00608581796375649,0.148847987041624,6.131344460598126e-06,1.664742050928093e-05,0.00015362810520146484,9.980037362879665e-11,8.030812024281639e-11,1.9492253385980746e-11,5.947610372506746e-10,5.719363088812547e-10,2.2824728369420184e-11,0.0007105015373897354,0.6821212085913813,4.4549312750641253e-07,1.7465593602175956e-10,1.1647502844566607e-09,6.428621163056248e-05,0.006358781968702734
6875,Input,8.344396677388508e-05,0.012890076178272472,1.946665012549993e-05,0.012826095903742427,4.451362440453649e-05,0.08315146744128592,0.07706466140063471,0.006086806040651225,0.14890480596349986,6.14366634750239e-06,1.6656048852733383e-05,0.000153743801373366,9.982874317213032e-11,8.033566041148754e-11,1.949308276064324e-11,5.968034306546629e-10,5.738799824206155e-10,2.2923448234047714e-11,0.0007107516330235162,0.6821720774847869,4.4747556554902e-07,1.7488859815089556e-10,1.165149977882872e-09,6.432019371301883e-05,0.006360870281292319
6876,Input,8.360286271175394e-05,0.012893177171102789,1.9474206517305932e-05,0.012829184780669219,4.4518183916254686e-05,0.08333083065926038,0.07724303502977091,0.006087795629489492,0.1489617118290153,6.156007089211677e-06,1.6664690399174528e-05,0.00015385967458217558,9.985715612620229e-11,8.036324272179778e-11,1.9493913404404988e-11,5.988489493047856e-10,5.758266301461461e-10,2.3022319158639844e-11,0.0007110021113506662,0.6822230242171693,4.4946103709477966e-07,1.7512161629685888e-10,1.1655502829152177e-09,6.435422779445423e-05,0.0063629617893930296
6877,Input,8.376262696525543e-05,0.012896295109870096,1.9481804202383616e-05,0.012832290537323451,4.452276834425051e-05,0.08351117404002677,0.0774223834139116,0.006088790626115206,0.14901892866693997,6.168415269139261e-06,1.6673379168911412e-05,0.00015397618100112232,9.988572434800814e-11,8.039097576063857e-11,1.9494748587370028e-11,6.009056460620681e-10,5.777839156807611e-10,2.3121730381307483e-11,0.0007112539584620028,0.6822742493571986,4.5145735860942114e-07,1.7535590781268634e-10,1.1659527754869182e-09,6.438844786129207e-05,0.006365064726918583
6878,Input,8.392261010065499e-05,0.012899417320308571,1.948941229652149e-05,0.012835400548958986,4.452735905305246e-05,0.08369176449672297,0.07760197751080637,0.006089786985916632,0.14907622389367695,6.180840448651636e-06,1.6682079842527728e-05,0.00015409284703741497,9.991433170914878e-11,8.041874679458806e-11,1.949558491456119e-11,6.02965160556611e-10,5.797438827562303e-10,2.3221277800380942e-11,0.0007115061506115602,0.6823255446772314,4.5345641514539993e-07,1.755905203150334e-10,1.166355819485713e-09,6.442271481066475e-05,0.006367170545532659
6879,Input,8.408276132757241e-05,0.01290254281119964,1.9497028384352502e-05,0.012838513828230045,4.453195458523288e-05,0.0838725446966937,0.07778176030411763,0.006090784392576096,0.14913357931951932,6.193278683085574e-06,1.6690789657791573e-05,0.00015420963565269743,9.994296912754982e-11,8.04465470070834e-11,1.9496422120466894e-11,6.050268389474708e-10,5.817059091352624e-10,2.3320929812208698e-11,0.0007117586077350543,0.6823768938923711,4.554575720555625e-07,1.7582537932068552e-10,1.1667592869558777e-09,6.445701776372945e-05,0.00636927857669399
6880,Input,8.424264723941092e-05,0.012905663124235514,1.9504631854965507e-05,0.012841621949876328,4.453654250420916e-05,0.0840530254065266,0.07796124525964823,0.0060917801468784,0.14919083972729896,6.2056963116758124e-06,1.6699485043910117e-05,0.00015432623078972014,9.997155910367353e-11,8.047430116426145e-11,1.949725793941256e-11,6.07085101851759e-10,5.836646851165697e-10,2.3420416735189552e-11,0.0007120106466245896,0.6824281580396577,4.5745541374227197e-07,1.7605984924636106e-10,1.1671620860202752e-09,6.449126388868939e-05,0.006371383115578275
6881,Input,8.440362448500983e-05,0.01290880473560168,1.951228722461127e-05,0.012844751286638097,4.4541161738958116e-05,0.08423473802409592,0.07814195532619206,0.00609278269790391,0.14924849097762014,6.218198699311728e-06,1.6708239782152443e-05,0.0001544436217705284,1.0000034422648525e-10,8.050224476307553e-11,1.949809946341018e-11,6.091574138474861e-10,5.856368311211198e-10,2.3520582726366712e-11,0.0007122644058567489,0.6824797721007921,4.594668921031296e-07,1.7629591959412974e-10,1.1675676344714858e-09,6.452574376752985e-05,0.006373502019420097
6882,Input,8.456545238506223e-05,0.012911962948231517,1.951998304764073e-05,0.012847897159800666,4.4545805383197966e-05,0.0844174108683533,0.07832362032162864,0.006093790546724716,0.14930644687530095,6.230767153500603e-06,1.671704078318829e-05,0.00015456163308224277,1.000292814589496e-10,8.05303360246645e-11,1.9498945434285573e-11,6.112406765923184e-10,5.876193985661377e-10,2.3621278026181038e-11,0.0007125195060325931,0.6825316589068776,4.6148899974901075e-07,1.7653323741194875e-10,1.1679753259684102e-09,6.456040584890695e-05,0.006375632120217009
