turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
4201,Input,5.7752717251569585e-05,0.010015696456008746,1.5348004100616327e-05,0.009965036584962677,3.5311866945443997e-05,0.05598211161468297,0.051005100302836635,0.00497701131184634,0.12492801353814584,4.177289157456233e-06,1.3280389585999708e-05,0.0001150495651455554,8.29461075335776e-11,6.595424612466867e-11,1.6991861408909313e-11,3.4744304481317124e-10,3.358067699320297e-10,1.1636274881141665e-11,0.0005254485241850162,0.5340214619901874,2.2052957036505381e-07,1.308216810409099e-10,9.569045516555566e-10,5.018616811405974e-05,0.0055296566027176
4202,Input,5.785473369599662e-05,0.009981946707527424,1.5337672049515233e-05,0.009931304989246778,3.530404623112293e-05,0.056117208474276155,0.051145492041995165,0.004971716432281008,0.12474819331292636,4.184429455878888e-06,1.3259957767263209e-05,0.00011488491279101362,8.285440336549046e-11,6.591481477850271e-11,1.693958858698813e-11,3.497785576519763e-10,3.38017001150427e-10,1.1761556501549531e-11,0.0005245586048769568,0.5340165994665809,2.2311079456449485e-07,1.3078041340540764e-10,9.558004364251854e-10,5.0113731813205507e-05,0.005525476276849433
4203,Input,5.8077712863032445e-05,0.010022039028855774,1.536345946220947e-05,0.009971354376713808,3.532119267974974e-05,0.05634896969476597,0.05136993434105989,0.004979035353706082,0.1250444051640556,4.20253012303098e-06,1.329806445363505e-05,0.00011528656481247144,8.30042215766799e-11,6.601066122202774e-11,1.6993560354652538e-11,3.5162681812652034e-10,3.3978831896561006e-10,1.183849916091046e-11,0.0005259608365712362,0.5341256651854654,2.2459052716301055e-07,1.3129828148674242e-10,9.57723310023478e-10,5.0255779252362106e-05,0.005533934439918391
4204,Input,5.809640173820668e-05,0.010022403758556855,1.5364348222898535e-05,0.009971717681377775,3.5321728956173794e-05,0.056370065871524995,0.05139091412527598,0.004979151746249026,0.12505109826541214,4.203981604953398e-06,1.3299080847036396e-05,0.00011530019348016758,8.300756342518216e-11,6.601390537264176e-11,1.6993658052540764e-11,3.518674060435648e-10,3.400172779738678e-10,1.1850128069697217e-11,0.0005259902970990052,0.5341316573910234,2.2482405251537866e-07,1.3132568839910058e-10,9.577703927298172e-10,5.02597822414136e-05,0.005534180436980017
4205,Input,5.747115106633852e-05,0.009992331102106589,1.5327022299275623e-05,0.009941705666426534,3.529841338077134e-05,0.05567424694874364,0.05070195431856265,0.0049722926301810026,0.12471899758332426,4.155029729672457e-06,1.3252086636612594e-05,0.00011472471254328332,8.284078620512806e-11,6.587679977180613e-11,1.6963986433322295e-11,3.4432946363448583e-10,3.328374880298458e-10,1.1491975604640148e-11,0.000524479305180201,0.533912397547193,2.1766452542479357e-07,1.3031333260403786e-10,9.55514642483465e-10,5.007871551536348e-05,0.005523188844757559
4206,Input,5.755660628444548e-05,0.009993998835229391,1.533108617352278e-05,0.009943366883541489,3.530086551437252e-05,0.05577070959667505,0.05079788475949655,0.004972824837178516,0.12474960190974321,4.161666656887294e-06,1.3256734113733873e-05,0.00011478702987162023,8.28560668675531e-11,6.589163370887884e-11,1.6964433158674634e-11,3.4542955621540734e-10,3.3388440721603627e-10,1.1545148999371172e-11,0.0005246140139736715,0.5339397970149576,2.1873232430161622e-07,1.304386512040804e-10,9.557299290056204e-10,5.0097019254849456e-05,0.005524313670749436
4207,Input,5.8052283526483364e-05,0.010021542753171348,1.536225015482938e-05,0.009970860040030418,3.532046298609277e-05,0.05632026482228419,0.051341387840075525,0.004978876982208666,0.12503529808161398,4.200555139413402e-06,1.3296681480629546e-05,0.00011526802073347635,8.299967443355502e-11,6.60062470131997e-11,1.6993427420355705e-11,3.512994580764835e-10,3.3947678198852335e-10,1.1822676087960371e-11,0.0005259207506019863,0.5341175117888387,2.242727769119789e-07,1.3126098980430412e-10,9.576592461365952e-10,5.025033251708009e-05,0.005533599719823583
4208,Input,5.8140910640955007e-05,0.01002327238861851,1.5366464870514155e-05,0.009972582917610873,3.532300613711604e-05,0.05642030793644199,0.05144087899296594,0.004979428943476054,0.1250670383685262,4.207438413729934e-06,1.330150146115217e-05,0.00011533265113422226,8.301552227816823e-11,6.602163155106796e-11,1.6993890727100645e-11,3.524403835022042e-10,3.405625603483764e-10,1.1877823153827944e-11,0.000526060459468498,0.534145928260294,2.2538020996738814e-07,1.3139095993553116e-10,9.578825235872406e-10,5.02693156482524e-05,0.005534766296706202
4209,Input,5.8229662929785795e-05,0.010025004466952479,1.53706855389408e-05,0.00997430822853352,3.5325552880011844e-05,0.0565204923485849,0.05154051066426742,0.004979981684317485,0.1250988234844966,4.214331409782941e-06,1.3306328249275115e-05,0.00011539737281706671,8.30313925058163e-11,6.603703781761012e-11,1.6994354688206557e-11,3.5358292033781727e-10,3.4164987223000975e-10,1.1933048107807636e-11,0.00052620036565575,0.5341743848663472,2.2648920712903996e-07,1.3152111363279192e-10,9.581061163884643e-10,5.028832559064713e-05,0.005535934521228087
4210,Input,5.825944663101353e-05,0.010007715377670914,1.5364510168540945e-05,0.00995702983401618,3.53210334861859e-05,0.05656408234095991,0.05158688028072979,0.004977202060230131,0.1250013121723028,4.216253144724516e-06,1.3294958045553909e-05,0.0001152995688787841,8.298174516213265e-11,6.601363783810706e-11,1.6968107324025955e-11,3.5447744665392943e-10,3.424949644172343e-10,1.1982482236695265e-11,0.0005257219483653429,0.5341651483960211,2.2751460991595588e-07,1.314693544219351e-10,9.575005880384464e-10,5.024756133863085e-05,0.005533564985150985
