turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
75560,Input,0.00011707503193441354,0.02303040363724317,2.7735120278426644e-05,0.022954638285744938,4.803023121980024e-05,0.12627308944329196,0.11664615484266623,0.0096269346006257,0.26461523127709735,1.0370565483000504e-05,2.8433651908490735e-05,0.0002533399157201667,1.977647400804175e-10,1.3910965650298393e-10,5.865508357743427e-11,6.431200632860311e-10,6.242631502576693e-10,1.885691302836191e-11,0.0009826371751110036,0.6455828947165797,3.1514576712429415e-07,3.5140152295918704e-10,2.113900876026578e-09,0.00011266777740849371,0.009999051534601844
75564,Input,0.0001178019996371521,0.023179591011375546,2.7867097477548456e-05,0.023103593784959138,4.8130128938853045e-05,0.12714907543592188,0.11747084177450966,0.009678233661412189,0.2662020749333177,1.0447094305540877e-05,2.860754573255988e-05,0.00025493720230474,1.9898659644981911e-10,1.3983896703303417e-10,5.914762941678562e-11,6.472614666880688e-10,6.282801477209169e-10,1.8981318967151996e-11,0.0009875325137189612,0.6461157179963241,3.169445183196935e-07,3.540690776209553e-10,2.1269146774446036e-09,0.00011338497141237774,0.01004929476287845
75565,Input,0.00011850364504915484,0.023328284198915913,2.7997870459918155e-05,0.023252057028420068,4.822930003592361e-05,0.12799647739038325,0.11826710237301079,0.009729375017372435,0.26777984984372566,1.0521656458236506e-05,2.878006240530392e-05,0.00025651602287236333,2.002039248174774e-10,1.4056388193604569e-10,5.964004288143239e-11,6.510768880753445e-10,6.319869196344917e-10,1.9089968440852903e-11,0.000992387935101166,0.6466404222014921,3.18426856846501e-07,3.566994975811198e-10,2.13986468465525e-09,0.00011409674160923061,0.010099204680077925
75566,Input,0.00011743540789277873,0.023037436688421804,2.7752258173676798e-05,0.02296164385805657,4.8040572191552956e-05,0.1266798851892371,0.11705070620130503,0.009629178987932018,0.2647442937698003,1.0398554282966504e-05,2.8453250934257243e-05,0.00025360271613680206,1.9782918065511696e-10,1.3917221317778187e-10,5.865696747733579e-11,6.477592992147697e-10,6.286781469473043e-10,1.9081152267465345e-11,0.0009832052599117042,0.6456984418964139,3.1964881623119105e-07,3.519300080721123e-10,2.1148087677675807e-09,0.00011274496669903732,0.010003795074596202
75568,Input,0.00011773687586273526,0.023110820081466595,2.7815297570731745e-05,0.02303491604238768,4.808874150817971e-05,0.1270478740796894,0.11739343179039466,0.00965444228929471,0.2655155056694829,1.0432002196189896e-05,2.8536825116148396e-05,0.0002543561349930658,1.984290194789823e-10,1.3952610327594224e-10,5.890291620304076e-11,6.490316504750222e-10,6.299268838113937e-10,1.9104766663628674e-11,0.0009855551694211825,0.6459449694123988,3.1977327731828913e-07,3.531728401850073e-10,2.121159432453522e-09,0.00011309028045669632,0.010028100388959401
75569,Input,0.00011765603382715049,0.02310924237862473,2.7811453079151496e-05,0.023033344503795933,4.8086421749641416e-05,0.12695661883525353,0.11730268002249288,0.009653938812760632,0.2654865534755711,1.0425723554370698e-05,2.8532428526693236e-05,0.0002542971817800665,1.9841456372212055e-10,1.3951207012857852e-10,5.89024935935427e-11,6.479909448804023e-10,6.289364811188579e-10,1.90544637615446e-11,0.000985427732696819,0.6459190490672506,3.187631220965283e-07,3.530542867373829e-10,2.120955767878431e-09,0.00011307296481943464,0.010027036285153026
75570,Input,0.00011768381155372372,0.02310978448518895,2.7812774065630337e-05,0.02303388449229307,4.808721883024344e-05,0.12698797459231703,0.11733386278250849,0.009654111809808498,0.2654965015937792,1.0427880927010358e-05,2.853393921675512e-05,0.0002543174383980433,1.9841953079226682e-10,1.3951689198799377e-10,5.890263880427372e-11,6.483485365125462e-10,6.292767884229931e-10,1.9071748089553222e-11,0.0009854715205908171,0.6459279554271042,3.1911021646820804e-07,3.530950222931938e-10,2.121025748042075e-09,0.00011307891455874807,0.010027401916527411
75574,Input,0.00011756750120339563,0.02310751458724633,2.780724285702953e-05,0.02303162346307927,4.808388131002498e-05,0.1268566823830989,0.1172032949431264,0.009653387439972471,0.26545484702889477,1.0418847618728426e-05,2.852761368504281e-05,0.00025423262028569224,1.9839873277385114e-10,1.3949670199309478e-10,5.890203078075706e-11,6.468512358641506e-10,6.278518603728578e-10,1.899937549129293e-11,0.0009852881727823637,0.645890662892311,3.176568697423503e-07,3.5292445517515855e-10,2.120732728477354e-09,0.0001130540019273244,0.010025870952028441
75575,Input,0.00011715148682355654,0.023031895721095375,2.7738756136621616e-05,0.022956124539869376,4.80324250893707e-05,0.12635939243586997,0.1167319816814423,0.00962741075442763,0.26464261228946256,1.0376503394642428e-05,2.8437809903239016e-05,0.0002533956696522873,1.9777841135032493e-10,1.391229280976223e-10,5.865548325270335e-11,6.441042917297069e-10,6.251998056439054e-10,1.8904486085801524e-11,0.0009827576960820983,0.6456074084129568,3.1610110310684723e-07,3.515136427323976e-10,2.1140934881051614e-09,0.00011268415335842754,0.010000057891479976
75576,Input,0.00011739915472916486,0.023104229158955335,2.7799237039288e-05,0.023028350871300445,4.807905061559523e-05,0.12666665131145752,0.11701431231736788,0.00965233899408962,0.26539455661523753,1.0405772895837364e-05,2.8518458171725227e-05,0.00025410985537160745,1.9836862992349102e-10,1.3946747919008203e-10,5.890115073340966e-11,6.446840574117625e-10,6.257894333180337e-10,1.8894624093728843e-11,0.0009850227969407125,0.6458366860387478,3.1555330977161036e-07,3.5267757798099713e-10,2.1203086147981996e-09,0.00011301794362595951,0.010023655048844875
