turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
517,Input,8.188501031315257e-05,0.015411808047149898,2.268211883872501e-05,0.015336960954385566,5.2164973925592514e-05,0.07809222986133486,0.07091899884849284,0.007173231012842072,0.17624683773374658,5.8788333637437105e-06,1.9316537710584178e-05,0.00017233356017819104,1.1743816314933215e-10,9.405946708946345e-11,2.3378696059869256e-11,4.678588574920612e-10,4.5248071715214353e-10,1.5378140339918026e-11,0.0008284940955480799,0.7978620742316099,2.9330606777860406e-07,1.829418113834638e-10,1.363564293355262e-09,7.357705627612646e-05,0.007652433400956434
518,Input,8.27373677199005e-05,0.015428442545442565,2.2722653207384904e-05,0.01535353045995251,5.21894322826549e-05,0.0790543788589062,0.07187583944493547,0.007178539413970794,0.17655209497700922,5.945032177519275e-06,1.9362893119121728e-05,0.00017295513294523064,1.1759057731533073e-10,9.420742547533201e-11,2.338315183999928e-11,4.788315292636464e-10,4.6292302064610985e-10,1.590850861753676e-11,0.0008298377237127737,0.7981353651997627,3.039566319189677e-07,1.8419177878528874e-10,1.3657116293026415e-09,7.375962357005731e-05,0.0076636527716013
519,Input,8.683541002920001e-05,0.015508419415776123,2.2917538071919344e-05,0.015433194852283647,5.230702542053829e-05,0.08368028727324285,0.07647622564024989,0.007204061632993006,0.17801973881773478,6.263308920972191e-06,1.9585764914389546e-05,0.00017594358764448076,1.183233681561845e-10,9.491879340679448e-11,2.340457474939059e-11,5.315869494782436e-10,5.131284874913989e-10,1.8458461986845144e-11,0.0008362977427415168,0.7994493186439079,3.5516339344831907e-07,1.9020148698676696e-10,1.376035788505078e-09,7.463738739178259e-05,0.007717594293341332
520,Input,8.6436421962638e-05,0.015500632815625203,2.2898563954661856e-05,0.015425438675194431,5.229557647609509e-05,0.0832299058191176,0.07602832904598053,0.007201576773137134,0.17787684805814358,6.232321290070051e-06,1.956406597133976e-05,0.00017565262974984013,1.18252023162961e-10,9.484953416197304e-11,2.3402489000988536e-11,5.264506474287691e-10,5.082404505616706e-10,1.8210196867098854e-11,0.0008356687910841893,0.7993213912813616,3.5017786981642904e-07,1.8961637788467973e-10,1.3750306216453533e-09,7.45519277347816e-05,0.007712342511675332
521,Input,8.609638836837409e-05,0.015493996763426379,2.2882393452760276e-05,0.015418828550746045,5.228581922755607e-05,0.08284607272366783,0.07564661364752182,0.0071994590761460565,0.17775507083560763,6.205912391166952e-06,1.9545573263874782e-05,0.00017540466379049045,1.1819122010514638e-10,9.479050866239964e-11,2.340071144274728e-11,5.220732853132619e-10,5.040746699145645e-10,1.7998615398697773e-11,0.0008351327733167855,0.7992123664644889,3.4592900710119336e-07,1.891177244970393e-10,1.374173978229693e-09,7.447909559575298e-05,0.00770786673321016
522,Input,8.614981650579236e-05,0.015495039460132745,2.28849342599402e-05,0.01541986717352726,5.2287352345531945e-05,0.0829063829039421,0.07570659108242106,0.007199791821521096,0.17777420521023948,6.210061917282789e-06,1.9548478950055038e-05,0.00017544362570359165,1.1820077384978564e-10,9.479978310632398e-11,2.3400990743462223e-11,5.227610829561482e-10,5.047292225958952e-10,1.8031860360253302e-11,0.0008352169956742779,0.7992294971039202,3.465966141401756e-07,1.8919607593692162e-10,1.3743085792306013e-09,7.449053942247518e-05,0.00770856999462587
523,Input,8.641331593660256e-05,0.015500181881372041,2.289746513370932e-05,0.01542498950278859,5.2294913449727754e-05,0.08320382352123193,0.07600239065023462,0.007201432870997356,0.17786857302967019,6.23052674766037e-06,1.95628093514429e-05,0.00017563577992085473,1.182478914622685e-10,9.48455232502487e-11,2.3402368212020345e-11,5.261531961042127e-10,5.079573766604039e-10,1.819581944380902e-11,0.0008356323675051725,0.7993139828067295,3.498891503070176e-07,1.8958249329694532e-10,1.3749724108526572e-09,7.45469786317253e-05,0.00771203837274468
524,Input,8.573851379217063e-05,0.015487012528902555,2.286537451224191e-05,0.015411871604357447,5.227555003285084e-05,0.0824421005612575,0.07524487029404683,0.007197230267210721,0.1776269041701915,6.1781178624427975e-06,1.9526110275633256e-05,0.00017514368748076071,1.181272268147352e-10,9.472838619567471e-11,2.3398840619061037e-11,5.174662504837555e-10,4.99690317871741e-10,1.7775932612014737e-11,0.0008345686316126037,0.7990976213016808,3.4145721381602343e-07,1.8859290761781142e-10,1.3732723881970954e-09,7.440244207878128e-05,0.007703156118293209
525,Input,8.612076239865401e-05,0.015494472443888432,2.2883552574416607e-05,0.015419302372674751,5.22865186392476e-05,0.0828735863565816,0.07567397548128556,0.007199610875296066,0.17776379997813815,6.20780541383407e-06,1.9546898844109537e-05,0.00017542243829837302,1.1819557854383386e-10,9.479473968350508e-11,2.340083886032933e-11,5.223870600653728e-10,5.043732782442851e-10,1.8013781821088007e-11,0.0008351711957359632,0.799220181498746,3.4623357085672626e-07,1.8915346859107755e-10,1.3742353834934808e-09,7.448431629391922e-05,0.007708187562568425
526,Input,8.548346845238696e-05,0.015482035096624032,2.285324567785162e-05,0.015406913619427755,5.226823151841295e-05,0.08215420300083812,0.07495856113182622,0.007195641869011956,0.17753556403902937,6.158309623763809e-06,1.9512239649499578e-05,0.00017495769832138363,1.1808162091931243e-10,9.468411357423804e-11,2.3397507345074956e-11,5.141829695758131e-10,4.965657355994941e-10,1.7617233976319347e-11,0.0008341665865325771,0.7990158462302372,3.382703150707765e-07,1.882188880361276e-10,1.3726298548865457e-09,7.434781365982774e-05,0.007699799019292689
