turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
2353,Input,0.00015184685812375502,0.024575602697325817,3.497784682960662e-05,0.024466356907263394,7.426794323279035e-05,0.15100526053960273,0.1397729757949677,0.011232284744635142,0.28003929026371543,1.1235742619280236e-05,3.1144007583721986e-05,0.0002841866401944702,1.795769108792515e-10,1.4132235427523244e-10,3.8254556604019837e-11,1.0551961027518124e-09,1.0151593587332338e-09,4.003674401857889e-11,0.0012861981399784027,1.1250543003500881,7.703277289371023e-07,3.279829394323131e-10,2.1359990269405204e-09,0.0001184314029292769,0.011995880093157826
2354,Input,0.0001500276525634926,0.024540099313948578,3.48913334160268e-05,0.02443099223932064,7.421574121188863e-05,0.1489517243207284,0.13773076941586834,0.011220954904860164,0.2793877728722346,1.1094453003973476e-05,3.1045070193969606e-05,0.0002828600034749979,1.792516099009855e-10,1.4100656336859096e-10,3.824504653239534e-11,1.0317768829036938e-09,9.928721158140331e-10,3.890476708966118e-11,0.0012833304042037326,1.124471009297653,7.475959906420063e-07,3.2531510592779455e-10,2.13141591959107e-09,0.00011804174545271642,0.011971934338362715
2355,Input,0.00012593369766330828,0.020915665205413363,2.969454381514838e-05,0.020822649510551784,6.332115104641004e-05,0.12473167949909429,0.11516207118567003,0.009569608313424346,0.23782497308376205,9.304551803672458e-06,2.6394618220703686e-05,0.000239974766515056,1.5269745592825033e-10,1.2004562606977874e-10,3.265182985847224e-11,8.528977193661356e-10,8.210386146899774e-10,3.1859104676158946e-11,0.0010925681676531185,0.9596537894912527,6.110226172016315e-07,2.746132689566885e-10,1.8148061522928682e-09,0.0001003431950942244,0.010195742486868158
2356,Input,0.00014992742654210023,0.02453814331571529,3.488656710735362e-05,0.02442904388337715,7.421286523075823e-05,0.14883858825216165,0.13761825754546175,0.01122033070670001,0.2793518786349684,1.108666889407651e-05,3.1039619407561285e-05,0.0002827869146921081,1.7923368799951444e-10,1.409891654082637e-10,3.824452259125152e-11,1.0304866410086814e-09,9.916442382534158e-10,3.8842402755266224e-11,0.0012831724112020743,1.1244388738739406,7.46343624368279e-07,3.2516812620008495e-10,2.1311634211240014e-09,0.00011802027793995451,0.011970615087924625
2357,Input,0.00012644803132900773,0.020925702875545873,2.971900326168408e-05,0.020832647962456593,6.333590982758013e-05,0.12531226414228766,0.11573945260755043,0.009572811534737286,0.23800917289908086,9.344497814916792e-06,2.6422590227527774e-05,0.00024034983898728354,1.5278942642804533e-10,1.2013490784098447e-10,3.265451858706154e-11,8.595189025108087e-10,8.273397604204873e-10,3.217914209032203e-11,0.0010933789463168728,0.9598187000608563,6.174494325876573e-07,2.7536753038586803e-10,1.8161019082287708e-09,0.00010045336074161701,0.010202512534250783
2358,Input,0.00014884318388540678,0.024516983374499528,3.483500529629261e-05,0.02440796661626623,7.418175293698365e-05,0.14761468501978187,0.1364011068735654,0.01121357814621654,0.2789635756510444,1.1002460582927055e-05,3.098065293304372e-05,0.00028199624202014233,1.7903980930619667e-10,1.4080095469747013e-10,3.8238854608727324e-11,1.016528835634478e-09,9.783610887287409e-10,3.816774690573795e-11,0.00128146324676077,1.1240912336434288,7.327955565420246e-07,3.2357810308794267e-10,2.128431898861195e-09,0.00011778804291010695,0.011956343468838412
2359,Input,0.00014993735508514507,0.024538337079893342,3.488703926518418e-05,0.024429236890498286,7.421315012984984e-05,0.1488497956842345,0.13762940314350974,0.011220392540724902,0.27935543437303734,1.1087439999914139e-05,3.1040159370803685e-05,0.0002827941549787816,1.7923546337049825e-10,1.4099088887683608e-10,3.8244574493662966e-11,1.0306144543451278e-09,9.917658736834673e-10,3.884858066166122e-11,0.0012831880622305792,1.124442057258187,7.464676856877237e-07,3.2518268623682007e-10,2.1311884340085224e-09,0.00011802240454461828,0.011970745774891737
2360,Input,0.00015034347787540027,0.02454626292040066,3.490635267851416e-05,0.024437131763917253,7.422480380486526e-05,0.14930823088106793,0.13808530904610447,0.011222921834963588,0.2795008803120272,1.1118981753114467e-05,3.1062246335391127e-05,0.00028309031579641316,1.7930808415830358e-10,1.4106138661878664e-10,3.824669753951772e-11,1.0358426039935633e-09,9.967413187234083e-10,3.9101285270155396e-11,0.001283828260831531,1.1245722722239502,7.515423606916982e-07,3.257782582878614e-10,2.1322115753101184e-09,0.000118109392395294,0.011976091469168722
2361,Input,0.000149920785566247,0.024538013711278676,3.488625129175635e-05,0.02442891478531864,7.421267466825784e-05,0.1488310918566244,0.13761080250929256,0.011220289347331937,0.27934950028292327,1.1086153118979917e-05,3.1039258238471506e-05,0.0002827820718295903,1.7923250049438097e-10,1.409880126194687e-10,3.8244487874913025e-11,1.0304011495848914e-09,9.915628790902213e-10,3.883827049467096e-11,0.0012831619425862952,1.1244367445808692,7.462606425830331e-07,3.2515838732380236e-10,2.13114669057639e-09,0.00011801885550262837,0.011970527674394865
2362,Input,0.00014984941594200729,0.02453662087080687,3.488285726638959e-05,0.024427527386820323,7.421062672013274e-05,0.1487505291585406,0.13753068429446297,0.011219844864077764,0.27932394047130477,1.108061015727527e-05,3.103537680556247e-05,0.00028273002627397006,1.7921973854537925e-10,1.4097562376202585e-10,3.824411478335419e-11,1.0294823853962493e-09,9.906885237192684e-10,3.879386167698174e-11,0.0012830494378594365,1.124413861370668,7.453688491233633e-07,3.2505372500366077e-10,2.1309668897575465e-09,0.00011800356877072088,0.011969588253606365
2363,Input,0.00015052881764980665,0.02454987998776761,3.491516662285682e-05,0.02444073469902346,7.423012212127151e-05,0.14951744414858154,0.13829336803507264,0.011224076113509026,0.279567256585823,1.113337627014922e-05,3.107232602836129e-05,0.00028322547289777477,1.7934122566316864e-10,1.4109355924219708e-10,3.824766642097234e-11,1.038228542679237e-09,9.990119321521562e-10,3.921661052708158e-11,0.0012841204243523247,1.12463169763163,7.538582590923551e-07,3.260500558629578e-10,2.132678500049566e-09,0.00011814909050878868,0.011978531050977759
2364,Input,0.0001264874285910729,0.02092647174748078,2.972087682215542e-05,0.02083341383032838,6.333704033022518e-05,0.1253567361394838,0.11578367924233318,0.009573056897150704,0.23802328235541323,9.34755762526638e-06,2.6424732845359016e-05,0.0002403785690305749,1.527964712437444e-10,1.201417467037158e-10,3.2654724540029275e-11,8.600260761704936e-10,8.278224196477767e-10,3.2203656522717356e-11,0.001093441050864218,0.9598313319870964,6.179417179403245e-07,2.754253057896045e-10,1.816201161378202e-09,0.00010046179928097454,0.01020303111070944
2365,Input,0.0001492424307160779,0.02452477502465775,3.485399171923279e-05,0.02441572782363184,7.419320930665121e-05,0.14806535856924902,0.13684929395161838,0.011216064617630755,0.27910655908258053,1.103346831088817e-05,3.100236594896469e-05,0.0002822873886158161,1.7911120057028678e-10,1.40870258860444e-10,3.8240941709843584e-11,1.0216684688377772e-09,9.832522957997024e-10,3.8416173038075637e-11,0.0012820926063253227,1.124219243973394,7.377843135402457e-07,3.241635916631226e-10,2.1294377176228908e-09,0.00011787355799205385,0.011961598656552658
2366,Input,0.00014975810735817403,0.024534838904146105,3.487851503181802e-05,0.024425752382489795,7.420800662446797e-05,0.1486474591767357,0.13742818297386242,0.011219276202873385,0.2792912398619518,1.1073518625143989e-05,3.1030410993482864e-05,0.0002826634404396025,1.792034112142113e-10,1.409597737552412e-10,3.824363745897087e-11,1.0283069405506967e-09,9.895698944489149e-10,3.8737046101782824e-11,0.001282905502012871,1.1243845851409093,7.442279099809535e-07,3.24919822543971e-10,2.1307368569065183e-09,0.00011798401129291742,0.01196838638120287
2367,Input,0.00015298822493361699,0.024597877466219296,3.5032125214097506e-05,0.02448854464630363,7.430069470154484e-05,0.15229364604933837,0.14105425298040913,0.011239393068929373,0.2804480512871683,1.1324387509671865e-05,3.120608075202378e-05,0.00028501897006055283,1.7978100421972857e-10,1.4152048101119341e-10,3.826052320853596e-11,1.0698892857715735e-09,1.0291423411443238e-09,4.074694462724996e-11,0.0012879973530547913,1.1254202562718825,7.845895870729958e-07,3.296567341275404e-10,2.138874461541733e-09,0.00011867587343919364,0.012010903623404892
2368,Input,0.00012614728984322858,0.020919833643118113,2.9704701319612134e-05,0.02082680166173417,6.332728006430896e-05,0.12497278434569084,0.11540184580041785,0.009570938545273097,0.23790146747391896,9.321140559551765e-06,2.6406234419122617e-05,0.00024013052638907132,1.5273564938290754e-10,1.2008270295082063e-10,3.265294643208758e-11,8.556473603790353e-10,8.236553507551633e-10,3.1992009623872576e-11,0.0010929048673361708,0.959722273454879,6.136915412868937e-07,2.7492649819605626e-10,1.8153442530501222e-09,0.00010038894461899431,0.010198553948133583
2369,Input,0.00014881499156486056,0.024516433176772278,3.483366459354824e-05,0.024407418568219083,7.41809439596264e-05,0.14758286126517137,0.13636945869805475,0.011213402567116714,0.278953479053088,1.1000271010615059e-05,3.097911969531246e-05,0.00028197568306382605,1.790347681004893e-10,1.4079606086982355e-10,3.8238707230666524e-11,1.0161659068004182e-09,9.780157021983811e-10,3.8150204602037863e-11,0.0012814188053144775,1.1240821943524981,7.32443281644351e-07,3.2353675953723783e-10,2.128360874214879e-09,0.00011778200436849166,0.011955972380265658
