turbine_idx,phase,acidification - accumulated exceedance (AE)[mol H+-Eq],climate change - global warming potential (GWP100)[kg CO2-Eq],climate change: biogenic - global warming potential (GWP100)[kg CO2-Eq],climate change: fossil - global warming potential (GWP100)[kg CO2-Eq],climate change: land use and land use change - global warming potential (GWP100)[kg CO2-Eq],ecotoxicity: freshwater - comparative toxic unit for ecosystems (CTUe)[CTUe],"ecotoxicity: freshwater, inorganics - comparative toxic unit for ecosystems (CTUe)[CTUe]","ecotoxicity: freshwater, organics - comparative toxic unit for ecosystems (CTUe)[CTUe]","energy resources: non-renewable - abiotic depletion potential (ADP): fossil fuels[MJ, net calorific value]",eutrophication: freshwater - fraction of nutrients reaching freshwater end compartment (P)[kg P-Eq],eutrophication: marine - fraction of nutrients reaching marine end compartment (N)[kg N-Eq],eutrophication: terrestrial - accumulated exceedance (AE)[mol N-Eq],human toxicity: carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",human toxicity: non-carcinogenic - comparative toxic unit for human (CTUh)[CTUh],"human toxicity: non-carcinogenic, inorganics - comparative toxic unit for human (CTUh)[CTUh]","human toxicity: non-carcinogenic, organics - comparative toxic unit for human (CTUh)[CTUh]",ionising radiation: human health - human exposure efficiency relative to u235[kBq U235-Eq],land use - soil quality index[dimensionless],material resources: metals/minerals - abiotic depletion potential (ADP): elements (ultimate reserves)[kg Sb-Eq],ozone depletion - ozone depletion potential (ODP)[kg CFC-11-Eq],particulate matter formation - impact on human health[disease incidence],photochemical oxidant formation: human health - tropospheric ozone concentration increase[kg NMVOC-Eq],water use - user deprivation potential (deprivation-weighted water consumption)[m3 world eq. deprived]
5211,Input,8.213312010560052e-05,0.011545286253507363,1.9645245247511182e-05,0.011475065026587036,5.057598167280881e-05,0.08129061747619575,0.07552326320465974,0.00576735427153607,0.14043762256061923,5.892503195350756e-06,1.573288501576806e-05,0.00014570563295613273,9.544503943524123e-11,7.954442067842557e-11,1.590061875681618e-11,6.187639645515875e-10,5.944631120531556e-10,2.4300852498432215e-11,0.0006983025725372358,0.7955381987199356,4.808037874640141e-07,1.5682818641719678e-10,1.1296131771150462e-09,6.184988554138478e-05,0.006173274071751
5212,Input,8.322174397527685e-05,0.01156653169791616,1.9697015409788278e-05,0.011496227462821074,5.0607219685290885e-05,0.08251946626268965,0.07674533214489106,0.005774134117798673,0.14082749460112298,5.977051775852093e-06,1.5792089762301688e-05,0.00014649950058206413,9.563970155452275e-11,7.973339191197163e-11,1.590630964255164e-11,6.327781706934055e-10,6.077999361928184e-10,2.497823450058757e-11,0.0007000186433784992,0.7958872436967759,4.944066003884135e-07,1.5842463450243802e-10,1.1323557369262531e-09,6.208305898766669e-05,0.006187603359664794
5213,Input,8.254054562489843e-05,0.0115532375179083,1.9664620612903597e-05,0.011482985224565817,5.058767272957493e-05,0.08175052320573367,0.07598063152668602,0.005769891679047742,0.1405835350497595,5.924146125729363e-06,1.575504282919956e-05,0.00014600274377535907,9.55178931703513e-11,7.961514455753981e-11,1.590274861281201e-11,6.240088846511034e-10,5.994545169380242e-10,2.4554367713079554e-11,0.0006989448247173772,0.7956688313791201,4.85894740615063e-07,1.574256688978583e-10,1.1306396003695893e-09,6.193715242491007e-05,0.006178636913529568
5214,Input,8.21731672129285e-05,0.011546067807739424,1.9647149711764494e-05,0.01147584352720492,5.057713082273416e-05,0.08133582302479096,0.07556821934366685,0.005767603681124183,0.14045196474793034,5.895613476295423e-06,1.5735062975396542e-05,0.00014573483689231807,9.545220045292667e-11,7.955137234601481e-11,1.5900828106912378e-11,6.192795038789077e-10,5.949537325903428e-10,2.432577128856532e-11,0.0006983657014792669,0.7955510390057673,4.813041929064445e-07,1.568869148077769e-10,1.1297140674134974e-09,6.185846327175557e-05,0.006173801201962822
5215,Input,8.291137050854689e-05,0.011560474488978295,1.968225541307436e-05,0.01149019392003245,5.059831353276394e-05,0.08216911379608022,0.0763969126548101,0.0057722011412702,0.14071633964653962,5.952946447310015e-06,1.5775210119166567e-05,0.00014627316396199878,9.5584202168109e-11,7.967951503263646e-11,1.5904687135473045e-11,6.287826329646604e-10,6.03997524305023e-10,2.4785108659637618e-11,0.0006995293808600175,0.7957877287931217,4.905283534362499e-07,1.5796947717907522e-10,1.1315738159891608e-09,6.201657978131472e-05,0.006183517990154297
5216,Input,8.319360196864449e-05,0.011565982482108833,1.9695677099752328e-05,0.011495680392857385,5.060641215168911e-05,0.08248769930289483,0.0767137404508458,0.005773958852049131,0.14081741602223521,5.974866111198301e-06,1.579055926088974e-05,0.00014647897831664584,9.563466934569059e-11,7.972850681817945e-11,1.5906162527511657e-11,6.324158895665846e-10,6.074551660625208e-10,2.4960723504064072e-11,0.0006999742812454046,0.7958782205379726,4.940549541842465e-07,1.5838336473621797e-10,1.1322848390353043e-09,6.207703122283943e-05,0.006187232933361698
5217,Input,8.242943454804604e-05,0.011551069088322818,1.9659336658877177e-05,0.011480825267261663,5.058448440227264e-05,0.08162509998495064,0.07585590029515668,0.0057691996897940466,0.14054374251584428,5.915516621924125e-06,1.574900005967616e-05,0.00014592171717907316,9.549802485926773e-11,7.959585709027191e-11,1.5902167768996323e-11,6.225785159268609e-10,5.980932856319446e-10,2.448523029491666e-11,0.0006987696728725215,0.7956332058850197,4.84506360997132e-07,1.572627264244925e-10,1.1303596792853257e-09,6.191335343112402e-05,0.006177174385786995
5218,Input,8.243928879100232e-05,0.011551261402469834,1.9659805283322385e-05,0.011481016830017178,5.058476716932657e-05,0.08163622354638993,0.07586696248530497,0.005769261061085031,0.14054727164460581,5.9162819572038996e-06,1.574953598211251e-05,0.00014592890328318033,9.549978694429195e-11,7.959756766129555e-11,1.5902219282996924e-11,6.22705372774306e-10,5.982140108052557e-10,2.449136196905075e-11,0.0006987852067768122,0.7956363654464627,4.84629493905733e-07,1.5727717750143217e-10,1.130384504986336e-09,6.191546412137674e-05,0.006177304094760338
5219,Input,8.206154144781196e-05,0.011543889333563512,1.96418412814284e-05,0.011473673564555602,5.0573927726475515e-05,0.0812098188190907,0.07544291033265,0.005766908486440771,0.1404119878872064,5.886943998938855e-06,1.5728992214581502e-05,0.0001456534349649727,9.543224010793584e-11,7.953199553542194e-11,1.5900244572514404e-11,6.178425094066604e-10,5.935861957943166e-10,2.425631361234401e-11,0.00069818973829677,0.7955152484874026,4.799093820422709e-07,1.5672321755296943e-10,1.1294328496799613e-09,6.183455403637033e-05,0.006172331899505374
5220,Input,8.27033580566728e-05,0.011556414944533487,1.96723632559307e-05,0.011486150236652642,5.0592344624907814e-05,0.08193430739858949,0.07616340173915079,0.005770905659438782,0.14064184354065645,5.936791044123983e-06,1.5763897373936476e-05,0.00014612147304658411,9.554700645171267e-11,7.964340672129172e-11,1.5903599730421452e-11,6.261048215902915e-10,6.014491459653769e-10,2.4655675624914964e-11,0.0006992014768766269,0.7957210338551644,4.879291503987211e-07,1.5766443051442744e-10,1.1310497721879621e-09,6.19720253841312e-05,0.006180779973475089
5221,Input,8.23653571210765e-05,0.011549818561441624,1.9656289418333482e-05,0.011479579626319868,5.0582645703416914e-05,0.08155276878721879,0.07578396816556567,0.005768800621653196,0.14052079428009573,5.910540012790923e-06,1.5745515212496217e-05,0.0001458749893824107,9.54865668634627e-11,7.95847340653648e-11,1.590183279809842e-11,6.217536265453197e-10,5.973082675934656e-10,2.444535895185444e-11,0.0006986686633254516,0.7956126607687168,4.837056866080956e-07,1.5716875798558338e-10,1.1301982496300449e-09,6.189962862231581e-05,0.006176330950395399
5222,Input,8.286922368465474e-05,0.011559651956945926,1.9680251095538118e-05,0.011489374601718816,5.059710413156716e-05,0.0821215380678263,0.07634959941297999,0.005771938654846371,0.14070124548161334,5.9496730907063395e-06,1.577291796657352e-05,0.00014624242882936404,9.55766656899108e-11,7.96721988810043e-11,1.590446680890703e-11,6.282400633088772e-10,6.034811799606149e-10,2.4758883348262575e-11,0.0006994629419938967,0.7957742152761218,4.900017111525995e-07,1.5790766959045268e-10,1.1314676358946427e-09,6.20075523105321e-05,0.006182963221890413
5223,Input,8.308145615860515e-05,0.011563793858802622,1.9690343938367434e-05,0.011493500320731483,5.0603194132765036e-05,0.08236110806563106,0.07658784764705591,0.005773260418575237,0.14077725291630683,5.9661562442625165e-06,1.578446021746149e-05,0.00014639719715195341,9.561461600894234e-11,7.97090397344139e-11,1.590557627452895e-11,6.309722003883382e-10,6.060812581516652e-10,2.4890942236673374e-11,0.0006997974982812063,0.7958422632778405,4.926536451401284e-07,1.5821890484452153e-10,1.1320023111575162e-09,6.205301059850686e-05,0.006185756785680996
5224,Input,7.829524856084395e-05,0.011470386842587344,1.946273296002133e-05,0.011400458255504125,5.046585412319392e-05,0.07695839224959304,0.07121493987822096,0.005743452371372151,0.13906315443436879,5.5944327595517345e-06,1.5524162592564628e-05,0.000142906905078917,9.475877099189475e-11,7.887821507683458e-11,1.5880555915060683e-11,5.693578064907433e-10,5.474450194972276e-10,2.1912786993516133e-11,0.0006922526781394306,0.7976313269638697,4.328479690170774e-07,1.5120001414420583e-10,1.1199444636572438e-09,6.102784795851951e-05,0.006122757113715415
5225,Input,7.805216027928091e-05,0.01146564276272998,1.9451172750719725e-05,0.011395732711263257,5.0458878715998426e-05,0.07668399192811337,0.07094205348751494,0.005741938440598497,0.13897609651933,5.575553172473807e-06,1.5510942250354498e-05,0.00014272963547979132,9.471530319610258e-11,7.883601804835933e-11,1.5879285147743762e-11,5.662284526492759e-10,5.444669241679536e-10,2.176152848132254e-11,0.0006918694817724733,0.797553385678572,4.29810478741213e-07,1.5084352938169436e-10,1.1193320536502977e-09,6.0975780633944264e-05,0.0061195574025277285
